PROB_ID,"TO_CHAR(AP.CREATED_DATE,'MM-DD-YYYYHH24:MI:SS')",SOLVE_HOURS,MICRO,UNIT,STATUS_CHK,PROB_TYPE_CHK,PROB_TYPE_DETAIL,DESCRIPTION
126784,8/26/2015 13:14,0.5,LI28,31,4,HARDWARE,HW Problem,28-3 reported water leak from green hose in Fiat rack.
104518,1/31/2013 11:49,0.5,LI20,31,4,HARDWARE,HW Problem,20-3B: Thyratron removed.
107093,4/17/2013 12:00,0.5,LI09,41,4,HARDWARE,HW Problem,9-4: Bad T20 reported.
106694,4/4/2013 23:37,,LI19,51,4,HARDWARE,HW Problem,19-5: Thyratron is missing.
112460,11/4/2013 14:27,0.5,LI16,11,4,HARDWARE,HW Problem,OFF LINE: 16-1: T20  removed
112126,10/23/2013 19:55,,LI20,81,4,HARDWARE,HW Problem,Water leaking from pipe between 20-8 modulator and klystron.
123094,2/25/2015 19:12,2,LI23,11,4,HARDWARE,HW Problem,23-1 BV jitters
123094,2/25/2015 19:12,1,LI23,11,4,HARDWARE,HW Problem,23-1 BV jitters
123105,2/26/2015 7:42,0.25,LI13,21,4,HARDWARE,HW Problem,Tried 3 times but no reset.
123113,2/26/2015 11:42,2,LI21,31,4,HARDWARE,HW Problem,21-3 Klystron beam current reads 110Amps low. FEPK and PIOP ratios unchanged suggesting a readback issue.
115070,3/3/2014 18:25,4,LI12,31,4,HARDWARE,HW Problem,TBR - 12-3 is showing an EVC fault and the modulator won't reset remotely.  Klystron filament appears to be shorted.
115070,3/3/2014 18:25,2,LI12,31,4,HARDWARE,HW Problem,TBR - 12-3 is showing an EVC fault and the modulator won't reset remotely.  Klystron filament appears to be shorted.
115070,3/3/2014 18:25,0.8,LI12,31,4,HARDWARE,HW Problem,TBR - 12-3 is showing an EVC fault and the modulator won't reset remotely.  Klystron filament appears to be shorted.
115070,3/3/2014 18:25,0.75,LI12,31,4,HARDWARE,HW Problem,TBR - 12-3 is showing an EVC fault and the modulator won't reset remotely.  Klystron filament appears to be shorted.
115070,3/3/2014 18:25,1,LI12,31,4,HARDWARE,HW Problem,TBR - 12-3 is showing an EVC fault and the modulator won't reset remotely.  Klystron filament appears to be shorted.
114033,1/21/2014 15:19,2.5,LI14,81,4,HARDWARE,HW Problem,14-8 - New MKSU installed. Check PIOP ratios.
115116,3/5/2014 10:30,1,LI05,21,4,HARDWARE,HW Problem,"5-2: ""FLK"" on what error counter says was RE faults. Reset and on OK for now."
117530,5/30/2014 17:25,1,LI16,51,4,HARDWARE,HW Problem,station 16-5 scp history shows 11 REFL faults since 08:00 today (9.5 hour time span).
117530,5/30/2014 17:25,0.5,LI16,51,4,HARDWARE,HW Problem,station 16-5 scp history shows 11 REFL faults since 08:00 today (9.5 hour time span).
117319,5/23/2014 12:05,0.5,LI12,81,4,HARDWARE,HW Problem,"12-8: ""Bad Timing Results"" due to PFN needs tuned."
117513,5/30/2014 8:37,,LI20,41,4,HARDWARE,HW Problem,"20-4B (XTCAV) is getting a lot of reflected energy faults. Here's what I saw:

 - Originally MOD faulted
 - Reset and turned on
 - Drive RF ramped up to 100 percent
 - Reflected energy fault occurred and drive went back to 0
 - Repeat Drive Ramp - Reflected energy fault cycle

Turned station off for now."
117513,5/30/2014 8:37,0.5,LI20,41,4,HARDWARE,HW Problem,"20-4B (XTCAV) is getting a lot of reflected energy faults. Here's what I saw:

 - Originally MOD faulted
 - Reset and turned on
 - Drive RF ramped up to 100 percent
 - Reflected energy fault occurred and drive went back to 0
 - Repeat Drive Ramp - Reflected energy fault cycle

Turned station off for now."
117513,5/30/2014 8:37,1,LI20,41,4,HARDWARE,HW Problem,"20-4B (XTCAV) is getting a lot of reflected energy faults. Here's what I saw:

 - Originally MOD faulted
 - Reset and turned on
 - Drive RF ramped up to 100 percent
 - Reflected energy fault occurred and drive went back to 0
 - Repeat Drive Ramp - Reflected energy fault cycle

Turned station off for now."
117320,5/23/2014 12:08,2,LI14,31,4,HARDWARE,HW Problem,"14-3: ""Bad Timing Results"" due to PFN needs tuned."
117320,5/23/2014 12:08,1,LI14,31,4,HARDWARE,HW Problem,"14-3: ""Bad Timing Results"" due to PFN needs tuned."
118366,7/3/2014 10:19,6,LI03,21,4,HARDWARE,HW Problem,3-2 cycling often.  RE faults.
116820,5/6/2014 9:25,,LI24,71,4,HARDWARE,HW Problem,24-7. Move Modulator Chassis from LINAC to Building 015. Will be used for the AIP build.  
121685,12/16/2014 1:34,1,LI26,41,4,HARDWARE,HW Problem,Klystron 26-4 has tripped off approximately 20 times in the last day or so.  
125692,6/13/2015 2:54,1.3,LI24,41,4,HARDWARE,HW Problem,24-4 HVR resets and trips back to HVR immediately
125703,6/15/2015 8:55,0.8,LI20,51,4,HARDWARE,HW Problem,"Check with MCC EOIC to get approval to work on this  This station (TCAV0) is used infrequently, and is normally on in Standby. Need improved stability by Tuesday 6/16 MD."
117316,5/23/2014 11:59,0.5,LI05,21,4,HARDWARE,HW Problem,"5-2: ""Bad Timing Results"" due to PFN needs tuned."
116366,4/18/2014 13:07,6,LI19,41,4,HARDWARE,HW Problem,19-4: Low forward energy.
121624,12/11/2014 16:27,1,LI23,21,4,HARDWARE,HW Problem,23-2 high phase jitter unrelated to beam voltage.  Seen on IPA output (klystron drive) and possibly on SSSB output.   Jitter started after power outage on Nov. 7.
121624,12/11/2014 16:27,1,LI23,21,4,HARDWARE,HW Problem,23-2 high phase jitter unrelated to beam voltage.  Seen on IPA output (klystron drive) and possibly on SSSB output.   Jitter started after power outage on Nov. 7.
121624,12/11/2014 16:27,1,LI23,21,4,HARDWARE,HW Problem,23-2 high phase jitter unrelated to beam voltage.  Seen on IPA output (klystron drive) and possibly on SSSB output.   Jitter started after power outage on Nov. 7.
118774,8/2/2014 12:49,,LI00,20,4,HARDWARE,HW Problem,KLYS LI00 20 S-Band Pre Buncher PAD has a blown fuse due to water-leak in Area 8. Waterleak was repaired.
118725,7/30/2014 2:36,1,LI26,51,4,HARDWARE,HW Problem,26-5 HVR fault.  Won't reset.
123123,2/26/2015 17:05,0.75,LI10,71,4,HARDWARE,HW Problem,"10-7 MOD fault, no remote reset"
123124,2/26/2015 19:17,0.75,LI09,21,4,HARDWARE,HW Problem,"9-2 MOD fault, no remote reset. This is the energy feedback station."
123138,2/27/2015 11:20,1,LI28,51,4,HARDWARE,HW Problem,"PEM says the station will stay on, and the fault has been coming and going periodically for at least a week.  It would be nice if it didn't alarm in this state."
123144,2/27/2015 12:02,,LI05,21,4,HARDWARE,HW Problem,"5-2 MOD fault, won't reset."
120389,10/23/2014 1:20,0.8,LI01,51,4,HARDWARE,HW Problem,"1-5 PHJ See the pic.s in the MCC log entry. Owl Shift, Thu, 23-Oct-14 01:33"
120390,10/23/2014 1:46,,LI05,71,4,HARDWARE,HW Problem,"Kly. LI05-7 tripped on ""MOD"" fault and won't reset."
116196,4/13/2014 15:17,,LI29,11,4,HARDWARE,HW Problem,The DLWG temperature for 29-1 is reading 3 degrees above its high alarm limit.  It looks like it has been slightly oscillating (following outside temperature) a few degrees above its high alarm temperature for at least he past two weeks (see attached plot).
119646,9/30/2014 7:29,2,LI12,21,4,HARDWARE,HW Problem,"12-2 WGV faults, VGC gauge fail & Over Pressure fail to fault"
119648,9/30/2014 7:32,1,LI13,51,4,HARDWARE,HW Problem,13-5 VGC over pressure interlock fails to fault
119681,10/1/2014 7:27,1,LI15,81,4,HARDWARE,HW Problem,15-8 Modulator is at ready green but the HVOC light remains on.
119727,10/1/2014 15:41,,LI25,11,4,HARDWARE,HW Problem,"Kly. LI 25 - 1 cycling ""MOD""fault to ok, then back to ""MOD""fault.  False mod fault status"
119831,10/5/2014 15:05,,LI24,41,4,HARDWARE,HW Problem,station 24-4 has 140 AMPL errors since 08:00 this morning
121193,11/22/2014 1:25,1,LI22,51,4,HARDWARE,HW Problem,22-5 has a waveguide vacuum fault
121389,12/1/2014 14:19,1.5,LI15,61,4,HARDWARE,HW Problem,15-6 T20  Network resistor is badly burnt
121395,12/1/2014 18:06,,LI21,21,4,HARDWARE,HW Problem,"L1X needs new thyratron, current one was ""killed"" running at over 10V reservoir on Nov 20th, see:
http://physics-elog.slac.stanford.edu/lclselog/show.jsp?dir=/2014/49/01.12&pos=2014-12-01T17:57:09"
121399,12/2/2014 9:48,,LI04,61,4,HARDWARE,HW Problem,"4-6 MOD fault, won't reset."
121402,12/2/2014 10:44,1,LI12,81,4,HARDWARE,HW Problem,"12-8 bad HPA, saturation FTP successful, but starts at 40%.  "
121433,12/3/2014 11:23,0.5,LI05,71,4,HARDWARE,HW Problem,"5-7 MOD fault, no remote reset"
121459,12/4/2014 14:30,1,LI21,61,4,HARDWARE,HW Problem,21-6 T20 Network filter  cap needs to be turned around  to correct phase connections
119608,9/29/2014 0:11,0.5,LI27,41,4,HARDWARE,HW Problem,27-4 failed remote turn-on
119608,9/29/2014 0:11,,LI27,41,4,HARDWARE,HW Problem,27-4 failed remote turn-on
120098,10/14/2014 10:08,1,LI10,21,4,HARDWARE,HW Problem,"10-2 HVOCs, already verified NO ground hooks & lowered Vres 0.2V-> no go"
119824,10/5/2014 8:40,,LI12,51,4,HARDWARE,HW Problem,12-5 fails NIRP test
120711,11/4/2014 22:20,,LI26,41,4,HARDWARE,HW Problem,Klys 26-4 is cycling frequently.  It has far more AMPL errors than most stations.
120761,11/6/2014 8:16,0,LI28,51,4,HARDWARE,HW Problem, Expected to be 360 max.
120865,11/9/2014 6:02,,LI15,31,4,HARDWARE,HW Problem,Klystron 15-3 (KLYS:LI15:31) has a waveguide vacuum fault
119451,9/23/2014 18:46,0.3,LI21,11,4,HARDWARE,HW Problem,"21-1 is responding very strongly to rate transitions, suggesting that the standby timing is incorrect."
125272,5/22/2015 13:17,0.5,LI26,51,4,HARDWARE,HW Problem,26-5: Light bulb is burnt in T20 compartment
121357,11/28/2014 8:19,1,LI22,81,4,HARDWARE,HW Problem,Klystron 22-8 mod fault.
121551,12/9/2014 1:14,,LI14,31,4,HARDWARE,HW Problem,Won't reset.
121552,12/9/2014 1:20,,LI11,21,4,HARDWARE,HW Problem,Won't reset.
120036,10/13/2014 3:52,,LI21,51,4,HARDWARE,HW Problem,21-5 MOD fault no reset.
120222,10/17/2014 3:09,0.5,LI20,71,4,HARDWARE,HW Problem,20-7 L0A MOD fault no reset
120923,11/12/2014 6:38,,LI30,81,4,HARDWARE,HW Problem,We see intermittent periods when 30-8 beam volts are unstable - plots in mccelog at https://mccelog.slac.stanford.edu/elog/wbin/elog_item.php?elog_id=748792
120925,11/12/2014 7:07,,LI29,61,4,HARDWARE,HW Problem,29-6 tripped ~5 times on owl shift 11/12.
120994,11/14/2014 7:13,0.3,LI18,21,4,HARDWARE,HW Problem,Klystron 18-2 waveguide vacuum fault.
121012,11/14/2014 13:44,0.5,LI27,81,4,HARDWARE,HW Problem,27-8 DQ current at 1A
119879,10/6/2014 20:37,1,LI21,31,4,HARDWARE,HW Problem,"21-3 tripping frequently ""volt"" errors counting up on error display."
120228,10/17/2014 8:46,,LI17,61,4,HARDWARE,HW Problem,"Klystron 17-6 mod fault. 

Mod fault lockout."
120590,10/30/2014 17:12,0.2,DR13,1,4,HARDWARE,HW Problem,Klys DR13-1 (NRTL compressor) has bad AMPL/PHAS/BV jitter.
120763,11/6/2014 10:05,,LI21,21,4,HARDWARE,HW Problem,21-2 is running 380 KV. Last run it was 368.5. Raised BVMX and BCMX to 10 and 20 above current value for now.
121194,11/22/2014 1:33,1,DR13,1,4,HARDWARE,HW Problem,NRTL Compressor Klystron MOD Fault
121538,12/8/2014 15:00,0.2,LI16,81,4,HARDWARE,HW Problem,16-8 has a WGV fault
121553,12/9/2014 2:54,1,LI28,81,4,HARDWARE,HW Problem,Won't reset
121581,12/10/2014 4:19,1,LI27,41,4,HARDWARE,HW Problem,"Klystron 27-4 has tripped off approximately 15-20 times the past 8 hours, but keeps coming back."
120612,10/31/2014 18:08,0.75,LI16,51,4,HARDWARE,HW Problem,"16-5 MOD fault, won't reset"
120705,11/4/2014 15:20,,LI28,31,4,HARDWARE,HW Problem,28-3 beam voltage is low due to radiation.  Changes to the station might have reduced radiation sufficiently to allow higher voltage operation.
120727,11/5/2014 14:12,,LI18,41,4,HARDWARE,HW Problem,"18-4: CBL fault; PAD and MKSU have been checked, maybe PIOP

11/09/14, LEB: Klystron showing CBL fault again."
120727,11/5/2014 14:12,,LI18,41,4,HARDWARE,HW Problem,"18-4: CBL fault; PAD and MKSU have been checked, maybe PIOP

11/09/14, LEB: Klystron showing CBL fault again."
120785,11/6/2014 16:06,0.5,LI26,61,4,HARDWARE,HW Problem,26-6 WGV fault.
120839,11/7/2014 22:27,0.5,LI05,41,4,HARDWARE,HW Problem,Craig Butler has reported that klystron 5-4 has a mod fault and needs to be looked at by PEM.
120844,11/8/2014 7:23,,LI08,81,4,HARDWARE,HW Problem,Klystron 12-8 (KLYS:LI08:81) has an MKSU Trigger Enable Fault.
121093,11/19/2014 4:42,,LI00,11,4,HARDWARE,HW Problem,LI00 Klys 11 (1-1A) tripping on reflected energy.  Trips about once an hour with 17 reflected energy faults in last 20 hours.
121104,11/19/2014 12:53,1,LI09,21,4,HARDWARE,HW Problem,9-2: Replace  Core Bias variac 
121394,12/1/2014 16:44,0.5,LI21,21,4,HARDWARE,HW Problem,"21-2 beam voltage jitter.  Thyratron needs adjustment. Due to large beam voltage changes that were observed in B921 during recent thyratron adjustments, this work occur during a POMM with careful attention."
121394,12/1/2014 16:44,0.8,LI21,21,4,HARDWARE,HW Problem,"21-2 beam voltage jitter.  Thyratron needs adjustment. Due to large beam voltage changes that were observed in B921 during recent thyratron adjustments, this work occur during a POMM with careful attention."
120094,10/14/2014 10:02,1,LI09,61,4,HARDWARE,HW Problem,9-6 No turn on with green light & no EXT faults
120094,10/14/2014 10:02,2,LI09,61,4,HARDWARE,HW Problem,9-6 No turn on with green light & no EXT faults
121083,11/18/2014 12:09,2,DR13,1,4,HARDWARE,HW Problem,We see significant jitter on the beam volts and phase for the north compressor (DR13 KLYS 1).  This is causing the positron beam to be very unstable.
121094,11/19/2014 6:15,,LI22,81,4,HARDWARE,HW Problem,"22-8 MOD fault, won't reset."
121150,11/20/2014 17:28,0.75,LI10,61,4,HARDWARE,HW Problem,Won't reset.
121152,11/20/2014 17:37,0.75,LI06,51,4,HARDWARE,HW Problem,Won't reset.
120691,11/4/2014 13:15,1.25,LI10,61,4,HARDWARE,HW Problem,"10-6: ""Bad Timing Results"" due to PFN needs tuned."
120856,11/8/2014 15:10,1,LI04,51,4,HARDWARE,HW Problem,"4-5 MOD fault, won't reset."
121226,11/23/2014 23:19,,LI29,51,4,HARDWARE,HW Problem,29-5 MOD fault no reset 
121228,11/24/2014 3:54,0.5,LI29,51,4,HARDWARE,HW Problem,29-5 MOD fault
121252,11/24/2014 16:00,0.75,LI06,31,4,HARDWARE,HW Problem,Klystron 6-3 mod fault.
120514,10/28/2014 16:26,1.5,LI21,51,4,HARDWARE,HW Problem,21-5 thyratron change due to EOL
121137,11/20/2014 14:19,1,LI27,61,4,HARDWARE,HW Problem,27-6 T20 input snubber resistore are badly burnt
121651,12/13/2014 7:32,1,LI28,61,4,HARDWARE,HW Problem,Klystron 28-6 has tripped off 5 times over the last 8 hours
121341,11/26/2014 13:24,1,LI29,81,4,HARDWARE,HW Problem,29-8: Beam Volts Jitter
121726,12/17/2014 12:05,1,LI13,41,4,HARDWARE,HW Problem,13-4: Beam Voltage Jitter
121288,11/25/2014 19:43,0.75,LI29,81,4,HARDWARE,HW Problem,"Still won't reset, Inform PEM."
121294,11/25/2014 21:40,0.2,LI17,61,4,HARDWARE,HW Problem,"17-6 Tripped on waveguide vac, won't reset"
119826,10/5/2014 8:57,0.5,LI30,61,4,HARDWARE,HW Problem,Klystron LI30-61 is tripped off and will not reset remotely.
120468,10/26/2014 11:48,,LI27,81,4,HARDWARE,HW Problem,Kly LI27-8 has jitter on beam volt and current plus phase and and amplitude.  + 1.0 sigma.
120779,11/6/2014 14:16,0.2,LI29,51,4,HARDWARE,HW Problem,Tried to reset the station twice but it failed to reset.
121316,11/26/2014 9:41,0.5,LI19,41,4,HARDWARE,HW Problem,19-4 MOD fault
121630,12/12/2014 9:29,,LI26,81,4,HARDWARE,HW Problem,26-8: Beam Volts Jitter
120019,10/11/2014 3:33,1,LI23,71,4,HARDWARE,HW Problem,"23-7: MOD fault, no remote reset"
120129,10/14/2014 23:06,1,LI17,41,4,HARDWARE,HW Problem,17-4 klystron vacuum faults at mod on.
120289,10/19/2014 7:43,,LI09,31,4,HARDWARE,HW Problem,9-3 MOD fault.  Won't reset.
120629,11/2/2014 9:12,0.3,LI27,41,4,HARDWARE,HW Problem,Klystron 27-5 has an HVR fault and won't turn on remotely.
120729,11/5/2014 14:19,2,LI01,21,4,HARDWARE,HW Problem,"1-2  Mod has a burnt/broken T20 network resistor
        K26 (""B"") contacts need to be replaced."
121393,12/1/2014 16:33,1.5,LI21,31,4,HARDWARE,HW Problem,21-3 is currently MOD fault lockout and just cycles through many faults when we try to reset it.  Very difficult to make good FEL without this station.
121393,12/1/2014 16:33,0.8,LI21,31,4,HARDWARE,HW Problem,21-3 is currently MOD fault lockout and just cycles through many faults when we try to reset it.  Very difficult to make good FEL without this station.
121415,12/2/2014 14:50,0.5,LI11,21,4,HARDWARE,HW Problem,"11-2 MOD Fault, won't reset."
121450,12/4/2014 9:19,1,LI25,41,4,HARDWARE,HW Problem,25-4 Low klystron vacuum. 1.7E-7 per PIOP..
120226,10/17/2014 6:22,1,LI23,51,4,HARDWARE,HW Problem,23-5 MOD fault no reset
120253,10/17/2014 14:46,0.25,LI20,51,4,HARDWARE,HW Problem,20-5 MOD Fault.  Won't reset.
120267,10/18/2014 7:29,0.5,LI05,71,4,HARDWARE,HW Problem,"5-7 has a MOD fault, it will not reset in the SCP."
123850,3/28/2015 7:23,1,LI13,11,4,HARDWARE,HW Problem,13-1 Mod Flt will not remote on
123852,3/28/2015 14:43,1,LI30,71,4,HARDWARE,HW Problem,Kly Mod 30-7:  trips repeatedly on reflected energy faults until fault lockout occurs.
123853,3/28/2015 15:34,1,LI23,31,4,HARDWARE,HW Problem,tried to reset 3 times but it still faulted.
123854,3/28/2015 15:49,0.5,LI28,41,4,HARDWARE,HW Problem,Won't reset.
119540,9/25/2014 23:03,72,LI21,11,4,HARDWARE,HW Problem,Klystron LI21-11 (L1S) output is jittery and unstable after thyratron swap on 9/25/14. 
119647,9/30/2014 7:31,2.5,LI13,31,4,HARDWARE,HW Problem,13-3 VGC over pressure interlock fails to fault
119820,10/5/2014 3:25,2,LI22,81,4,HARDWARE,HW Problem,Klystron LI22-81 is tripped off on Mod Fault and will not reset remotely.
119820,10/5/2014 3:25,3,LI22,81,4,HARDWARE,HW Problem,Klystron LI22-81 is tripped off on Mod Fault and will not reset remotely.
120269,10/18/2014 10:17,1.5,LI30,41,4,HARDWARE,HW Problem,Klystron 30-4 mod fault. 
120636,11/2/2014 20:13,0.75,LI12,21,4,HARDWARE,HW Problem,"Klystron 12-2 mod fault.

Unable to reset by remote."
120775,11/6/2014 12:19,1,LI23,11,4,HARDWARE,HW Problem,"Unit still had a ""EXTERNAL"" fault showed a ""Electro - Magnet current fault"" and a ""Electro - Magnet current Tol. fault""  The ""Electro - Magnet Breaker  fault"" cycled 3 - 4 times."
121582,12/10/2014 8:46,2,LI03,51,4,HARDWARE,HW Problem,3-5 is MOD faulted
