"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","hour_data","day_data","year_data","max_value","min_value","median_value","average_value","event_duration_seconds"
"1",1456704005,0.107644,185520141,0,0,2016-02-29 00:00:05,"li22_31",0,29,2016,0.219727,0.0982647,0.14575,0.145510091484375,2509196
"65",1456707644,0.14575,562344634,0,0,2016-02-29 01:00:44,"li22_31",1,29,2016,0.201383,0.0878906,0.131836,0.135763039540412,2509195
"129",1456711218,0.124296,936574799,0,0,2016-02-29 02:00:18,"li22_31",2,29,2016,7.06878,0.0878906,0.131836,0.141136248617886,2509196
"191",1456714813,0.131836,303756139,0,0,2016-02-29 03:00:13,"li22_31",3,29,2016,0.186444,0.0878906,0.131836,0.13237323473251,2509195
"251",1456718417,0.116268,661453058,0,0,2016-02-29 04:00:17,"li22_31",4,29,2016,0.186444,0.0878906,0.131836,0.131609023637821,2509195
"313",1456722012,0.152231,25363522,0,0,2016-02-29 05:00:12,"li22_31",5,29,2016,0.259984,0.0761155,0.131836,0.129988519109312,2509190
"374",1456725636,0.116268,401150107,0,0,2016-02-29 06:00:36,"li22_31",6,29,2016,0.952712,0.0878906,0.131836,0.131002808156607,2509196
"435",1456729250,0.131836,747821426,0,0,2016-02-29 07:00:50,"li22_31",7,29,2016,0.196529,0.0878906,0.131836,0.13262381464,2509191
"496",1456732845,0.116268,158835963,0,0,2016-02-29 08:00:45,"li22_31",8,29,2016,0.181191,0.0878906,0.131836,0.130399588995984,2509195
"556",1456736409,0.14575,508321705,0,0,2016-02-29 09:00:09,"li22_31",9,29,2016,0.186444,0.0761155,0.131836,0.128657270243902,2509191
"617",1456740043,0.0982647,859917537,0,0,2016-02-29 10:00:43,"li22_31",10,29,2016,0.592855,0.0761155,0.131836,0.130718740389294,2509195
"678",1456743663,0.131836,266731280,0,0,2016-02-29 11:01:03,"li22_31",11,29,2016,0.186444,0.0761155,0.131836,0.128964866135792,2509195
"737",1456747232,0.131836,647018989,0,0,2016-02-29 12:00:32,"li22_31",12,29,2016,0.445996,0.0878906,0.131836,0.135420089123377,2509196
"798",1456750822,0.124296,64007467,0,0,2016-02-29 13:00:22,"li22_31",13,29,2016,0.592855,0.0878906,0.131836,0.13409076192026,2509190
"858",1456754411,0.131836,432632943,0,0,2016-02-29 14:00:11,"li22_31",14,29,2016,1.60446,0,0.107644,0.10617702309043,2509195
"910",1456758030,0.0878906,796462653,0,0,2016-02-29 15:00:30,"li22_31",15,29,2016,0.186444,0.0439453,0.107644,0.106352514677277,2509191
"961",1456761615,0.0878906,163856819,0,0,2016-02-29 16:00:15,"li22_31",16,29,2016,0.201383,0.0439453,0.116268,0.111704882332762,2509195
"1015",1456765229,0.0878906,524272267,0,0,2016-02-29 17:00:29,"li22_31",17,29,2016,0.754786,0.0439453,0.124296,0.114037732274678,2509195
"1067",1456768804,0.107644,1690764,0,0,2016-02-29 18:00:04,"li22_31",18,29,2016,0.201383,0.0439453,0.116268,0.112777864507542,2509195
"1119",1456772433,0.0621481,256821759,0,0,2016-02-29 19:00:33,"li22_31",19,29,2016,0.969788,0.0439453,0.116268,0.110782917515639,2509195
"1168",1456776062,0.0878906,655443622,0,0,2016-02-29 20:01:02,"li22_31",20,29,2016,0.982647,0.0439453,0.107644,0.103722369619132,2509196
"1219",1456779637,0.0878906,815394092,0,0,2016-02-29 21:00:37,"li22_31",21,29,2016,1.02873,0,0.116268,0.104763088696445,2509195
"1265",1456783246,0.0878906,425419209,0,0,2016-02-29 22:00:46,"li22_31",22,29,2016,0.932221,0,0.116268,0.106694349820144,2509196
"1313",1456786835,0.0878906,807037705,0,0,2016-02-29 23:00:35,"li22_31",23,29,2016,0.210754,0.0439453,0.124296,0.111454906511628,2509196
"1358",1456790460,0.0621481,187748103,0,0,2016-03-01 00:01:00,"li22_31",0,1,2016,0.191553,0.0439453,0.0761155,0.0707347248434238,3599
"1406",1456794054,0.0878906,569985188,0,0,2016-03-01 01:00:54,"li22_31",1,1,2016,0.0982647,0,0.0621481,0.065677876446281,3594
"1454",1456797638,0.0761155,978395577,0,0,2016-03-01 02:00:38,"li22_31",2,1,2016,0.107644,0,0.0621481,0.0650993393548387,3584
"1500",1456801203,0.0439453,383507473,0,0,2016-03-01 03:00:03,"li22_31",3,1,2016,0.983629,0.0439453,0.0621481,0.0678142285097192,3594
"1547",1456804872,0.0439453,755460923,0,0,2016-03-01 04:01:12,"li22_31",4,1,2016,0.116268,0,0.0621481,0.0675700111111111,3590
"1594",1456808402,0.0621481,786235256,0,0,2016-03-01 05:00:02,"li22_31",5,1,2016,0.107644,0,0.0761155,0.0698685159763314,3594
"1645",1456812026,0.0621481,501447446,0,0,2016-03-01 06:00:26,"li22_31",6,1,2016,0.196529,0.0439453,0.0761155,0.0710152890873016,3584
"1696",1456815655,0.0761155,863570348,0,0,2016-03-01 07:00:55,"li22_31",7,1,2016,0.116268,0,0.0761155,0.0744315015037594,3595
"1749",1456819235,0.0878906,236229586,0,0,2016-03-01 08:00:35,"li22_31",8,1,2016,0.164428,0.0439453,0.0982647,0.102394276028623,3599
"1805",1456822844,0.124296,606005134,0,0,2016-03-01 09:00:44,"li22_31",9,1,2016,0.175781,0.0761155,0.131836,0.130297632189542,3594
"1866",1456826433,0.124296,966789815,0,0,2016-03-01 10:00:33,"li22_31",10,1,2016,0.186444,0.0761155,0.131836,0.1294142,3595
"1927",1456830063,0.107644,337540989,0,0,2016-03-01 11:01:03,"li22_31",11,1,2016,0.201383,0.0878906,0.124296,0.125201937751678,3594
"1986",1456833622,0.138967,730987083,0,0,2016-03-01 12:00:22,"li22_31",12,1,2016,0.164428,0.0621481,0.124296,0.124558553409091,3595
"2048",1456837242,0.116268,475765918,0,0,2016-03-01 13:00:42,"li22_31",13,1,2016,0.170199,0.0761155,0.124296,0.121818993162393,3590
"2106",1456840811,0.138967,492150512,0,0,2016-03-01 14:00:11,"li22_31",14,1,2016,0.175781,0,0.0761155,0.070813678,3590
"2156",1456844415,0.0761155,865592602,0,0,2016-03-01 15:00:15,"li22_31",15,1,2016,0.116268,0.0439453,0.0621481,0.0690859271047228,3595
"2205",1456848040,0.0621481,232807616,0,0,2016-03-01 16:00:40,"li22_31",16,1,2016,0.232537,0.0439453,0.0761155,0.0742307422222222,3589
