"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","hour_data","day_data","year_data","max_value","min_value","median_value","average_value","event_duration_seconds"
"1",1446249617,0.0982647,599686319,0,0,2015-10-31 00:00:17,"li22_31",0,31,2015,0.256243,0.0439453,0.107644,0.104994422390572,3594
"61",1446253251,0.0982647,972840793,0,0,2015-10-31 01:00:51,"li22_31",1,31,2015,1.01074,0.0621481,0.131836,0.213086105167173,3595
"126",1446256806,0.354298,353016763,0,0,2015-10-31 02:00:06,"li22_31",2,31,2015,0.930147,0.0621481,0.116268,0.156896751415094,3594
"190",1446260426,0.477368,408638664,0,0,2015-10-31 03:00:26,"li22_31",3,31,2015,0.630734,0.0439453,0.107644,0.147409887293729,3595
"251",1446264045,0.284798,109340099,0,0,2015-10-31 04:00:45,"li22_31",4,31,2015,0.781189,0.0621481,0.385619,0.390430295365169,3599
"322",1446267639,0.116268,501151514,0,0,2015-10-31 05:00:39,"li22_31",5,31,2015,0.907021,0.0621481,0.340399,0.311669755797101,3594
"391",1446271243,0.298052,860785478,0,0,2015-10-31 06:00:43,"li22_31",6,31,2015,0.840723,0.236653,0.354298,0.364352152974504,3595
"461",1446274808,0.33755,258157415,0,0,2015-10-31 07:00:08,"li22_31",7,31,2015,1.1178,0.0621481,0.354298,0.363838364213564,3589
"531",1446278457,0.0878906,621148770,0,0,2015-10-31 08:00:57,"li22_31",8,31,2015,1.12211,0.0621481,0.346026,0.299150114831804,3585
"596",1446282022,0.462993,1725288,0,0,2015-10-31 09:00:22,"li22_31",9,31,2015,0.983629,0.244677,0.351562,0.375832631205674,3594
"667",1446285646,0.33178,372917070,0,0,2015-10-31 10:00:46,"li22_31",10,31,2015,1.05469,0.0878906,0.367673,0.379946029634831,3594
"738",1446289235,0.301274,748033759,0,0,2015-10-31 11:00:35,"li22_31",11,31,2015,0.901682,0.284798,0.367673,0.391409356741573,3595
"809",1446292825,0.383106,147699724,0,0,2015-10-31 12:00:25,"li22_31",12,31,2015,1.04826,0.256243,0.351562,0.381341718706048,3599
"880",1446296424,0.340399,633381939,0,0,2015-10-31 13:00:24,"li22_31",13,31,2015,0.982647,0.0982647,0.400361,0.446584164235624,3595
"951",1446300009,0.328857,4935337,0,0,2015-10-31 14:00:09,"li22_31",14,31,2015,0.87229,0.0621481,0.236653,0.29918535186846,3594
"1018",1446303613,0.499123,366820804,0,0,2015-10-31 15:00:13,"li22_31",15,31,2015,0.690655,0.0621481,0.107644,0.134978536482085,3594
"1080",1446307247,0.107644,766472345,0,0,2015-10-31 16:00:47,"li22_31",16,31,2015,0.993397,0.0621481,0.407532,0.422078271326676,3595
"1150",1446310837,0.477368,148817300,0,0,2015-10-31 17:00:37,"li22_31",17,31,2015,0.832645,0.0761155,0.351562,0.371527139914773,3594
"1220",1446314416,0.375469,541942771,0,0,2015-10-31 18:00:16,"li22_31",18,31,2015,0.939443,0.0621481,0.228347,0.267050422488756,3594
"1287",1446318030,0.107644,912790029,0,0,2015-10-31 19:00:30,"li22_31",19,31,2015,0.502977,0.0621481,0.107644,0.12451696984127,3595
"1350",1446321635,0.0982647,297970491,0,0,2015-10-31 20:00:35,"li22_31",20,31,2015,0.497184,0.0439453,0.116268,0.143651429256966,3599
"1414",1446325204,0.351562,675223386,0,0,2015-10-31 21:00:04,"li22_31",21,31,2015,0.645862,0.0621481,0.138967,0.194963656716418,3595
"1481",1446328804,0.385619,89102838,0,0,2015-10-31 22:00:04,"li22_31",22,31,2015,0.74707,0.0761155,0.3091785,0.276443220906433,3594
"1550",1446332433,0.37029,472223529,0,0,2015-10-31 23:00:33,"li22_31",23,31,2015,0.917605,0.244677,0.343224,0.357910107648725,3595
"1620",1446336002,0.359708,860394154,0,0,2015-11-01 00:00:02,"li22_31",0,1,2015,1.05194,0.0878906,0.354298,0.348620041374474,3595
"1692",1446339637,0.244677,256239801,0,0,2015-11-01 01:00:37,"li22_31",1,1,2015,0.826826,0.0878906,0.357013,0.365732071830986,3594
"1763",1446343241,0.385619,645751587,0,0,2015-11-01 02:00:41,"li22_31",2,1,2015,0.759885,0.107644,0.375469,0.392515185552408,3595
"1833",1446346806,0.319927,52475751,0,0,2015-11-01 03:00:06,"li22_31",3,1,2015,1.08448,0.0761155,0.432811,0.412920003971631,3594
"1904",1446350430,0.116268,410357396,0,0,2015-11-01 04:00:30,"li22_31",4,1,2015,0.647355,0.0621481,0.124296,0.173800711267606,3599
"1968",1446354045,0.116268,294552554,0,0,2015-11-01 05:00:45,"li22_31",5,1,2015,0.669355,0.0621481,0.116268,0.152246316377953,3595
"2031",1446357619,0.131836,151279425,0,0,2015-11-01 06:00:19,"li22_31",6,1,2015,0.880004,0.0439453,0.2219025,0.270767444461078,3594
