,je_count,day_count,month
jitter_event_60m_15v_count,4,27,jan_2015
jitter_event_60m_20v_count,0,27,jan_2015
jitter_event_120m_15v_count,0,27,jan_2015
jitter_event_120m_20v_count,0,27,jan_2015
jitter_event_180m_15v_count,0,27,jan_2015
jitter_event_180m_20v_count,0,27,jan_2015
jitter_event_60m_15v_count,1,28,feb_2015
jitter_event_60m_20v_count,0,28,feb_2015
jitter_event_120m_15v_count,0,28,feb_2015
jitter_event_120m_20v_count,0,28,feb_2015
jitter_event_180m_15v_count,0,28,feb_2015
jitter_event_180m_20v_count,0,28,feb_2015
jitter_event_60m_15v_count,0,31,mar_2015
jitter_event_60m_20v_count,0,31,mar_2015
jitter_event_120m_15v_count,0,31,mar_2015
jitter_event_120m_20v_count,0,31,mar_2015
jitter_event_180m_15v_count,0,31,mar_2015
jitter_event_180m_20v_count,0,31,mar_2015
jitter_event_60m_15v_count,0,1,apr_2015
jitter_event_60m_20v_count,0,1,apr_2015
jitter_event_120m_15v_count,0,1,apr_2015
jitter_event_120m_20v_count,0,1,apr_2015
jitter_event_180m_15v_count,0,1,apr_2015
jitter_event_180m_20v_count,0,1,apr_2015
jitter_event_60m_15v_count,0,31,may_2015
jitter_event_60m_20v_count,0,31,may_2015
jitter_event_120m_15v_count,0,31,may_2015
jitter_event_120m_20v_count,0,31,may_2015
jitter_event_180m_15v_count,0,31,may_2015
jitter_event_180m_20v_count,0,31,may_2015
jitter_event_60m_15v_count,3,30,june_2015
jitter_event_60m_20v_count,2,30,june_2015
jitter_event_120m_15v_count,2,30,june_2015
jitter_event_120m_20v_count,1,30,june_2015
jitter_event_180m_15v_count,1,30,june_2015
jitter_event_180m_20v_count,1,30,june_2015
jitter_event_60m_15v_count,0,31,july_2015
jitter_event_60m_20v_count,0,31,july_2015
jitter_event_120m_15v_count,0,31,july_2015
jitter_event_120m_20v_count,0,31,july_2015
jitter_event_180m_15v_count,0,31,july_2015
jitter_event_180m_20v_count,0,31,july_2015
jitter_event_60m_15v_count,6,19,aug_2015
