"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","max_value","min_value","median_value","average_value","event_duration_seconds","threshold","event_duration","month"
"5",1420491344,0.152231,821855788,0,0,2015-01-05 20:55:44,"li22_31",3.76753,0,0.0439453,0.153792816923077,895,0.15,15,"jan_2015"
"129",1420492849,0.284798,542075672,0,0,2015-01-05 21:20:49,"li22_31",0.284798,0,0.0439453,0.0361956526315789,895,0.15,15,"jan_2015"
"426",1420496163,0.340399,945024246,0,0,2015-01-05 22:16:03,"li22_31",0.815064,0.0439453,0.0982647,0.110702926,900,0.15,15,"jan_2015"
"2260",1420507921,0.240698,828915856,0,0,2015-01-06 01:32:01,"li22_31",5.83,0,0.107644,0.583994182539682,390,0.15,15,"jan_2015"
"7826",1420544699,0.430574,886308202,0,0,2015-01-06 11:44:59,"li22_31",0.430574,0.0439453,0.0878906,0.0889627098591549,900,0.15,15,"jan_2015"
"9551",1420556157,0.170199,725444259,0,0,2015-01-06 14:55:57,"li22_31",0.423793,0.0439453,0.0878906,0.0897315611111111,900,0.15,15,"jan_2015"
"10575",1420563001,0.152231,440597549,0,0,2015-01-06 16:50:01,"li22_31",2.4719,0,0.0761155,0.237422236842105,880,0.15,15,"jan_2015"
"10691",1420563931,1.34805,271862673,0,0,2015-01-06 17:05:31,"li22_31",2.15601,0,0.0878906,0.215125680769231,875,0.15,15,"jan_2015"
"10798",1420564881,0.210754,132570058,0,0,2015-01-06 17:21:21,"li22_31",1.89322,0,0.0878906,0.119237577419355,884,0.15,15,"jan_2015"
"11004",1420566280,0.186444,940054456,0,0,2015-01-06 17:44:40,"li22_31",1.95988,0,0.0982647,0.137465523076923,900,0.15,15,"jan_2015"
"11345",1420568445,0.186444,427595103,0,0,2015-01-06 18:20:45,"li22_31",0.343224,0,0.17299,0.14919181,55,0.15,15,"jan_2015"
"11355",1420572789,1.30659,646678836,0,0,2015-01-06 19:33:09,"li22_31",1.30659,0,0.0878906,0.112520930645161,900,0.15,15,"jan_2015"
"11884",1420576364,0.152231,8951699,0,0,2015-01-06 20:32:44,"li22_31",3.32013,0.0439453,0.0878906,0.168008228965517,899,0.15,15,"jan_2015"
"12270",1420578858,1.17343,577409248,0,0,2015-01-06 21:14:18,"li22_31",3.321,0.0439453,0.0878906,0.189663010869565,900,0.15,15,"jan_2015"
"12946",1420583332,3.83887,776371076,0,0,2015-01-06 22:28:52,"li22_31",3.83887,0.0439453,0.0878906,0.129969358695652,900,0.15,15,"jan_2015"
"13150",1420584677,0.228347,539828982,0,0,2015-01-06 22:51:17,"li22_31",0.228347,0.0439453,0.0878906,0.087750813986014,895,0.15,15,"jan_2015"
"14349",1420592481,0.164428,146606164,0,0,2015-01-07 01:01:21,"li22_31",11.1331,0.0621481,0.116268,0.27400647133758,895,0.15,15,"jan_2015"
"16811",1420609872,0.475341,969763494,0,0,2015-01-07 05:51:12,"li22_31",0.475341,0.0439453,0.0761155,0.0795687954545455,881,0.15,15,"jan_2015"
"17652",1420616191,0.219727,801365192,0,0,2015-01-07 07:36:31,"li22_31",0.219727,0.0439453,0.0761155,0.0800842953488372,895,0.15,15,"jan_2015"
"20965",1420640062,0.627665,446119217,0,0,2015-01-07 14:14:22,"li22_31",0.627665,0.0439453,0.0761155,0.0820289495652174,900,0.15,15,"jan_2015"
"22521",1420650920,0.313832,454042047,0,0,2015-01-07 17:15:20,"li22_31",0.313832,0.0621481,0.0761155,0.081419787826087,895,0.15,15,"jan_2015"
"24265",1420663093,0.256243,297571590,0,0,2015-01-07 20:38:13,"li22_31",0.985591,0.0439453,0.0761155,0.110729706206897,900,0.15,15,"jan_2015"
"24588",1420665252,1.42941,895776499,0,0,2015-01-07 21:14:12,"li22_31",3.78262,0,0.0878906,0.14805092962963,900,0.15,15,"jan_2015"
"24852",1420666997,0.800722,640019213,0,0,2015-01-07 21:43:17,"li22_31",1.04826,0.0439453,0.0982647,0.163271692156863,900,0.15,15,"jan_2015"
"25005",1420667902,0.357013,418752206,0,0,2015-01-07 21:58:22,"li22_31",0.868962,0.0439453,0.0982647,0.148147709933775,900,0.15,15,"jan_2015"
"25172",1420670966,1.58508,886379227,0,0,2015-01-07 22:49:26,"li22_31",1.80069,0.0439453,0.0878906,0.125682938235294,895,0.15,15,"jan_2015"
"31910",1420716433,0.175781,738049203,0,0,2015-01-08 11:27:13,"li22_31",0.175781,0.0621481,0.0878906,0.0884376409722222,895,0.15,15,"jan_2015"
"33297",1420725567,0.164428,101775982,0,0,2015-01-08 13:59:27,"li22_31",0.281387,0,0.1261593,0.124970035714286,110,0.15,15,"jan_2015"
"33311",1420796373,1.79155,949967443,0,0,2015-01-09 09:39:33,"li22_31",6.60789,0,0.0878906,0.177106733333333,900,0.15,15,"jan_2015"
"33524",1420797793,2.95677,703853629,0,0,2015-01-09 10:03:13,"li22_31",2.95677,0.0439453,0.0878906,0.108359809701493,900,0.15,15,"jan_2015"
"37386",1420824114,0.284798,116524040,0,0,2015-01-09 17:21:54,"li22_31",0.284798,0.0439453,0.0761155,0.0834526929078014,899,0.15,15,"jan_2015"
"37799",1420826998,0.298052,602025932,0,0,2015-01-09 18:09:58,"li22_31",0.298052,0.0439453,0.0761155,0.0805595518796993,895,0.15,15,"jan_2015"
"37933",1420827913,0.325907,441207661,0,0,2015-01-09 18:25:13,"li22_31",0.325907,0.0439453,0.0761155,0.0792212755555556,895,0.15,15,"jan_2015"
"39139",1420836566,0.206122,935570440,0,0,2015-01-09 20:49:26,"li22_31",0.33178,0,0.0761155,0.0758149795454545,890,0.15,15,"jan_2015"
"42880",1420863722,0.530993,177468388,0,0,2015-01-10 04:22:02,"li22_31",0.530993,0.0439453,0.0761155,0.081612978030303,900,0.15,15,"jan_2015"
"46555",1420890007,0.477368,422445290,0,0,2015-01-10 11:40:07,"li22_31",0.632263,0.0439453,0.0761155,0.0867023632352941,900,0.15,15,"jan_2015"
"55760",1420956260,0.487377,581668822,0,0,2015-01-11 06:04:20,"li22_31",0.487377,0.0439453,0.0761155,0.0827627387596899,900,0.15,15,"jan_2015"
