"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","pjtn_24H_pjtn_max_value","pjtn_24H_pjtn_min_value","pjtn_24H_pjtn_median_value","pjtn_24H_pjtn_average_value","pjtn_24H_pjtn_event_count","pjtn_24H_pjtn_event_max_value","pjtn_24H_pjtn_event_median_value","pjtn_24H_pjtn_event_average_value","pjtn_12H_pjtn_max_value","pjtn_12H_pjtn_min_value","pjtn_12H_pjtn_median_value","pjtn_12H_pjtn_average_value","pjtn_12H_pjtn_event_count","pjtn_12H_pjtn_event_max_value","pjtn_12H_pjtn_event_median_value","pjtn_12H_pjtn_event_average_value","pjtn_6H_pjtn_max_value","pjtn_6H_pjtn_min_value","pjtn_6H_pjtn_median_value","pjtn_6H_pjtn_average_value","pjtn_6H_pjtn_event_count","pjtn_6H_pjtn_event_max_value","pjtn_6H_pjtn_event_median_value","pjtn_6H_pjtn_event_average_value","pjtn_2H_pjtn_max_value","pjtn_2H_pjtn_min_value","pjtn_2H_pjtn_median_value","pjtn_2H_pjtn_average_value","pjtn_2H_pjtn_event_count","pjtn_2H_pjtn_event_max_value","pjtn_2H_pjtn_event_median_value","pjtn_2H_pjtn_event_average_value","pjtn_1H_pjtn_max_value","pjtn_1H_pjtn_min_value","pjtn_1H_pjtn_median_value","pjtn_1H_pjtn_average_value","pjtn_1H_pjtn_event_count","pjtn_1H_pjtn_event_max_value","pjtn_1H_pjtn_event_median_value","pjtn_1H_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","sigma_24H_sigma_max_value","sigma_24H_sigma_min_value","sigma_24H_sigma_median_value","sigma_24H_sigma_average_value","sigma_24H_sigma_event_count","sigma_24H_sigma_event_max_value","sigma_24H_sigma_event_median_value","sigma_24H_sigma_event_average_value","sigma_12H_sigma_max_value","sigma_12H_sigma_min_value","sigma_12H_sigma_median_value","sigma_12H_sigma_average_value","sigma_12H_sigma_event_count","sigma_12H_sigma_event_max_value","sigma_12H_sigma_event_median_value","sigma_12H_sigma_event_average_value","sigma_6H_sigma_max_value","sigma_6H_sigma_min_value","sigma_6H_sigma_median_value","sigma_6H_sigma_average_value","sigma_6H_sigma_event_count","sigma_6H_sigma_event_max_value","sigma_6H_sigma_event_median_value","sigma_6H_sigma_event_average_value","sigma_2H_sigma_max_value","sigma_2H_sigma_min_value","sigma_2H_sigma_median_value","sigma_2H_sigma_average_value","sigma_2H_sigma_event_count","sigma_2H_sigma_event_max_value","sigma_2H_sigma_event_median_value","sigma_2H_sigma_event_average_value","sigma_1H_sigma_max_value","sigma_1H_sigma_min_value","sigma_1H_sigma_median_value","sigma_1H_sigma_average_value","sigma_1H_sigma_event_count","sigma_1H_sigma_event_max_value","sigma_1H_sigma_event_median_value","sigma_1H_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","thy_resv_24H_thy_resv_median_value","thy_resv_24H_thy_resv_average_value","thy_resv_24H_thy_resv_high_var","thy_resv_12H_thy_resv_median_value","thy_resv_12H_thy_resv_average_value","thy_resv_12H_thy_resv_high_var","thy_resv_6H_thy_resv_median_value","thy_resv_6H_thy_resv_average_value","thy_resv_6H_thy_resv_high_var","thy_resv_2H_thy_resv_median_value","thy_resv_2H_thy_resv_average_value","thy_resv_2H_thy_resv_high_var","thy_resv_1H_thy_resv_median_value","thy_resv_1H_thy_resv_average_value","thy_resv_1H_thy_resv_high_var","swrd_yesterday_swrd_trip_count","swrd_24H_swrd_trip_count","swrd_12H_swrd_trip_count","swrd_6H_swrd_trip_count","swrd_2H_swrd_trip_count","swrd_1H_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","temp_24H_temp_max_value","temp_24H_temp_min_value","temp_24H_temp_median_value","temp_24H_temp_average_value","temp_12H_temp_max_value","temp_12H_temp_min_value","temp_12H_temp_median_value","temp_12H_temp_average_value","temp_6H_temp_max_value","temp_6H_temp_min_value","temp_6H_temp_median_value","temp_6H_temp_average_value","temp_2H_temp_max_value","temp_2H_temp_min_value","temp_2H_temp_median_value","temp_2H_temp_average_value","temp_1H_temp_max_value","temp_1H_temp_min_value","temp_1H_temp_median_value","temp_1H_temp_average_value","jitter"
"1",0.804331,0,0.170199,0.0916378177876893,0,-Inf,NA,NA,1.21547,0,0.181191,0.0981431707892244,1,1.21547,1.21547,1.21547,1.21547,0,0.196529,0.103843790392221,1,1.21547,1.21547,1.21547,1.21547,0,0.206122,0.108419747478091,1,1.21547,1.21547,1.21547,1.21547,0,0.206122,0.114653877752415,1,1.21547,1.21547,1.21547,1.21547,0,0.228347,0.125474519559441,1,1.21547,1.21547,1.21547,0.157992,0.0616109,0.134958,0.104725731,20,0.157992,0.134958,0.1355947,0.157992,0.0616109,0.1323375,0.101084161818182,66,0.157992,0.1323375,0.132830166666667,0.145142,0.0659127,0.1316765,0.0995008708695652,46,0.145142,0.1316765,0.131628195652174,0.145142,0.0659127,0.1316765,0.0985954233333333,24,0.145142,0.1316765,0.131286666666667,0.136999,0.0698978,0.130577,0.0998529311111111,9,0.136999,0.130577,0.129824888888889,0.136004,0.0731913,0.1323915,0.10157644,4,0.136004,0.1323915,0.130489,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,12,7,8,9,12,6,8,9,11,6,7,8,7,6,7,7,7,7,7,7,7,7,7,7,1
"2",4.68652,0,0.206122,0.104425091744561,2,4.68652,4.68652,4.68652,4.68652,0,0.2037525,0.106771295113781,2,4.68652,4.68652,4.68652,3.56689,0,0.210754,0.10894277329914,0,-Inf,NA,NA,3.56689,0,0.210754,0.108910496343609,0,-Inf,NA,NA,3.56689,0.0439453,0.215287,0.109737728690071,0,-Inf,NA,NA,3.56689,0.0439453,0.215287,0.110212370071977,0,-Inf,NA,NA,0.283981,0.0668005,0.135516,0.109922608372093,129,0.283981,0.135516,0.148584341085271,0.781464,0.0646721,0.137673,0.113213560465116,129,0.781464,0.137673,0.156005472868217,0.781464,0.0646721,0.137267,0.113111525084746,59,0.781464,0.137267,0.16401286440678,0.781464,0.0715892,0.135186,0.114771634482759,29,0.781464,0.135186,0.168866103448276,0.19371,0.0778945,0.1342795,0.1127212,8,0.19371,0.1342795,0.1450325,0.19371,0.0778945,0.144356,0.116428693333333,3,0.19371,0.144356,0.154852333333333,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,13,6,9,10,13,6,8,9,8,6,7,7,8,6,7,7,8,7,7,8,8,7,8,8,1
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,11,11,11,10,11,11,11,10,11,11,11,10,11,11,11,10,11,11,0
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.138791,0.0677581,0.137614,0.10435534,2,0.138791,0.137614,0.137614,0.138791,0.0677581,0.137614,0.10435534,2,0.138791,0.137614,0.137614,0.138791,0.0677581,0.137614,0.10435534,2,0.138791,0.137614,0.137614,0.138791,0.0677581,0.137614,0.10435534,2,0.138791,0.137614,0.137614,0.138791,0.0677581,0.137614,0.10435534,2,0.138791,0.137614,0.137614,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,10,10,11,10,10,10,11,10,10,10,11,10,10,10,11,10,10,10,0
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.138791,0.0622352,0.13291,0.0966478433333333,6,0.138791,0.13291,0.130793166666667,0.138791,0.0622352,0.13291,0.0966478433333333,6,0.138791,0.13291,0.130793166666667,0.138791,0.0622352,0.13291,0.0966478433333333,6,0.138791,0.13291,0.130793166666667,0.138791,0.0622352,0.13291,0.0966478433333333,6,0.138791,0.13291,0.130793166666667,0.132938,0.0622352,0.1281695,0.092794095,4,0.132938,0.1281695,0.12738275,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9,10,10,11,9,10,10,11,9,10,10,11,9,10,10,10,9,10,10,0
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.138791,0.0622352,0.132882,0.0947930571428571,7,0.138791,0.132882,0.129355857142857,0.138791,0.0622352,0.132882,0.0947930571428571,7,0.138791,0.132882,0.129355857142857,0.138791,0.0622352,0.132882,0.0947930571428571,7,0.138791,0.132882,0.129355857142857,0.132938,0.0622352,0.123457,0.090968144,5,0.132938,0.123457,0.1260526,0.120732,0.0710731,0.120732,0.08366434,1,0.120732,0.120732,0.120732,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,8,10,10,11,8,10,10,11,8,10,10,10,8,9,9,9,8,9,9,0
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.138791,0.0622352,0.132882,0.0947930571428571,7,0.138791,0.132882,0.129355857142857,0.138791,0.0622352,0.132882,0.0947930571428571,7,0.138791,0.132882,0.129355857142857,0.138791,0.0622352,0.132882,0.0947930571428571,7,0.138791,0.132882,0.129355857142857,0.120732,0.0710731,0.120732,0.08366434,1,0.120732,0.120732,0.120732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7,9,9,11,7,9,9,11,7,9,9,9,7,8,8,9,7,8,8,0
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.138791,0.0622352,0.132072,0.094062055,8,0.138791,0.132072,0.129594125,0.138791,0.0622352,0.132072,0.094062055,8,0.138791,0.132072,0.129594125,0.138791,0.0622352,0.132072,0.094062055,8,0.138791,0.132072,0.129594125,0.131262,0.0743145,0.131262,0.08894504,1,0.131262,0.131262,0.131262,0.131262,0.0743145,0.131262,0.08894504,1,0.131262,0.131262,0.131262,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7,9,9,11,7,9,9,11,7,9,9,9,7,7,8,8,7,7,7,0
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.138791,0.0622352,0.127913,0.092063,11,0.138791,0.127913,0.128136,0.138791,0.0622352,0.127913,0.092063,11,0.138791,0.127913,0.128136,0.138791,0.0622352,0.127913,0.092063,11,0.138791,0.127913,0.128136,0.131262,0.0659127,0.1259675,0.0872854,4,0.131262,0.1259675,0.12600125,0.127913,0.0659127,0.124022,0.0867321866666667,3,0.127913,0.124022,0.124247666666667,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7,8,8,11,7,8,8,11,7,8,8,8,7,7,7,7,7,7,7,0
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.138791,0.0622352,0.127913,0.092063,11,0.138791,0.127913,0.128136,0.138791,0.0622352,0.127913,0.092063,11,0.138791,0.127913,0.128136,0.132938,0.0622352,0.124022,0.0893313688888889,9,0.132938,0.124022,0.126029777777778,0.127913,0.0659127,0.124022,0.0867321866666667,3,0.127913,0.124022,0.124247666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,6,8,8,11,6,8,8,10,6,7,8,7,6,7,7,7,6,7,7,0
