"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","pjtn_24H_pjtn_max_value","pjtn_24H_pjtn_min_value","pjtn_24H_pjtn_median_value","pjtn_24H_pjtn_average_value","pjtn_24H_pjtn_event_count","pjtn_24H_pjtn_event_max_value","pjtn_24H_pjtn_event_median_value","pjtn_24H_pjtn_event_average_value","pjtn_12H_pjtn_max_value","pjtn_12H_pjtn_min_value","pjtn_12H_pjtn_median_value","pjtn_12H_pjtn_average_value","pjtn_12H_pjtn_event_count","pjtn_12H_pjtn_event_max_value","pjtn_12H_pjtn_event_median_value","pjtn_12H_pjtn_event_average_value","pjtn_6H_pjtn_max_value","pjtn_6H_pjtn_min_value","pjtn_6H_pjtn_median_value","pjtn_6H_pjtn_average_value","pjtn_6H_pjtn_event_count","pjtn_6H_pjtn_event_max_value","pjtn_6H_pjtn_event_median_value","pjtn_6H_pjtn_event_average_value","pjtn_2H_pjtn_max_value","pjtn_2H_pjtn_min_value","pjtn_2H_pjtn_median_value","pjtn_2H_pjtn_average_value","pjtn_2H_pjtn_event_count","pjtn_2H_pjtn_event_max_value","pjtn_2H_pjtn_event_median_value","pjtn_2H_pjtn_event_average_value","pjtn_1H_pjtn_max_value","pjtn_1H_pjtn_min_value","pjtn_1H_pjtn_median_value","pjtn_1H_pjtn_average_value","pjtn_1H_pjtn_event_count","pjtn_1H_pjtn_event_max_value","pjtn_1H_pjtn_event_median_value","pjtn_1H_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","sigma_24H_sigma_max_value","sigma_24H_sigma_min_value","sigma_24H_sigma_median_value","sigma_24H_sigma_average_value","sigma_24H_sigma_event_count","sigma_24H_sigma_event_max_value","sigma_24H_sigma_event_median_value","sigma_24H_sigma_event_average_value","sigma_12H_sigma_max_value","sigma_12H_sigma_min_value","sigma_12H_sigma_median_value","sigma_12H_sigma_average_value","sigma_12H_sigma_event_count","sigma_12H_sigma_event_max_value","sigma_12H_sigma_event_median_value","sigma_12H_sigma_event_average_value","sigma_6H_sigma_max_value","sigma_6H_sigma_min_value","sigma_6H_sigma_median_value","sigma_6H_sigma_average_value","sigma_6H_sigma_event_count","sigma_6H_sigma_event_max_value","sigma_6H_sigma_event_median_value","sigma_6H_sigma_event_average_value","sigma_2H_sigma_max_value","sigma_2H_sigma_min_value","sigma_2H_sigma_median_value","sigma_2H_sigma_average_value","sigma_2H_sigma_event_count","sigma_2H_sigma_event_max_value","sigma_2H_sigma_event_median_value","sigma_2H_sigma_event_average_value","sigma_1H_sigma_max_value","sigma_1H_sigma_min_value","sigma_1H_sigma_median_value","sigma_1H_sigma_average_value","sigma_1H_sigma_event_count","sigma_1H_sigma_event_max_value","sigma_1H_sigma_event_median_value","sigma_1H_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","thy_resv_24H_thy_resv_median_value","thy_resv_24H_thy_resv_average_value","thy_resv_24H_thy_resv_high_var","thy_resv_12H_thy_resv_median_value","thy_resv_12H_thy_resv_average_value","thy_resv_12H_thy_resv_high_var","thy_resv_6H_thy_resv_median_value","thy_resv_6H_thy_resv_average_value","thy_resv_6H_thy_resv_high_var","thy_resv_2H_thy_resv_median_value","thy_resv_2H_thy_resv_average_value","thy_resv_2H_thy_resv_high_var","thy_resv_1H_thy_resv_median_value","thy_resv_1H_thy_resv_average_value","thy_resv_1H_thy_resv_high_var","swrd_yesterday_swrd_trip_count","swrd_24H_swrd_trip_count","swrd_12H_swrd_trip_count","swrd_6H_swrd_trip_count","swrd_2H_swrd_trip_count","swrd_1H_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","temp_24H_temp_max_value","temp_24H_temp_min_value","temp_24H_temp_median_value","temp_24H_temp_average_value","temp_12H_temp_max_value","temp_12H_temp_min_value","temp_12H_temp_median_value","temp_12H_temp_average_value","temp_6H_temp_max_value","temp_6H_temp_min_value","temp_6H_temp_median_value","temp_6H_temp_average_value","temp_2H_temp_max_value","temp_2H_temp_min_value","temp_2H_temp_median_value","temp_2H_temp_average_value","temp_1H_temp_max_value","temp_1H_temp_min_value","temp_1H_temp_median_value","temp_1H_temp_average_value","jitter"
"1",1.54872,0,0.325907,0.109858824360873,2,1.54872,1.54872,1.54872,1.46477,0,0.942522,0.133420118682129,5,1.25994,0.527344,0.7522024,0.942522,0.0439453,0.397942,0.0981092999881149,0,-Inf,NA,NA,0.152231,0.0439453,0.152231,0.0932750080610276,0,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.289055,0.0614014,0.134903,0.0967678531818182,22,0.289055,0.134903,0.162405318181818,0.281769,0.0530365,0.143538,0.100291729714286,35,0.281769,0.143538,0.170027371428571,0.248933,0.0530365,0.138682,0.0959768724074074,27,0.248933,0.138682,0.15817137037037,0.204707,0.0530365,0.135594,0.0952426314285714,14,0.204707,0.135594,0.155287857142857,0.204707,0.0530365,0.1270505,0.0951002566666667,6,0.204707,0.1270505,0.147353,0.175693,0.0676766,0.12765,0.0932764333333333,3,0.175693,0.12765,0.143226,5,5,1,5,5,1,5,5,0,5,5,0,5,5,0,5,5,0,1,1,NA,NA,NA,NA,12,6,8,8,12,6,8,8,8,6,7,7,8,7,7,7,8,7,8,8,8,7,8,8,1
"2",1.54872,0,0.325907,0.109858824360873,2,1.54872,1.54872,1.54872,1.46477,0,0.728751,0.137201508332661,6,1.25994,0.6280475,0.748293833333333,0.942522,0,0.397942,0.11101159249149,1,0.728751,0.728751,0.728751,0.912328,0,0.152231,0.126972260226725,1,0.728751,0.728751,0.728751,0.912328,0,0.728751,0.184738978225063,1,0.728751,0.728751,0.728751,0.912328,0,0.728751,0.184738978225063,1,0.728751,0.728751,0.728751,0.289055,0.0614014,0.134903,0.0967678531818182,22,0.289055,0.134903,0.162405318181818,0.281769,0.0530365,0.143538,0.100291729714286,35,0.281769,0.143538,0.170027371428571,0.248933,0.0530365,0.138682,0.0959768724074074,27,0.248933,0.138682,0.15817137037037,0.204707,0.0530365,0.135594,0.0952426314285714,14,0.204707,0.135594,0.155287857142857,0.204707,0.0530365,0.1270505,0.0951002566666667,6,0.204707,0.1270505,0.147353,0.175693,0.0676766,0.12765,0.0932764333333333,3,0.175693,0.12765,0.143226,5,5,1,5,5,1,5,5,0,5,5,0,5,5,0,5,5,0,1,1,NA,NA,NA,NA,12,6,8,8,12,6,8,8,8,6,7,7,8,7,7,7,8,7,8,8,8,7,8,8,1
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177652,0.068622,0.1375155,0.104174693333333,6,0.177652,0.1375155,0.145965166666667,0.177652,0.068622,0.1375155,0.104174693333333,6,0.177652,0.1375155,0.145965166666667,0.177652,0.068622,0.1375155,0.104174693333333,6,0.177652,0.1375155,0.145965166666667,0.177652,0.068622,0.1375155,0.104174693333333,6,0.177652,0.1375155,0.145965166666667,0.177652,0.068622,0.1375155,0.104174693333333,6,0.177652,0.1375155,0.145965166666667,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,9,10,10,10,9,10,10,10,9,10,10,10,9,10,10,10,9,10,10,0
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177652,0.068622,0.1290155,0.102622308,10,0.177652,0.1290155,0.1385778,0.177652,0.068622,0.1290155,0.102622308,10,0.177652,0.1290155,0.1385778,0.177652,0.068622,0.1290155,0.102622308,10,0.177652,0.1290155,0.1385778,0.177652,0.068622,0.1290155,0.102622308,10,0.177652,0.1290155,0.1385778,0.136383,0.0767517,0.126507,0.10029373,4,0.136383,0.126507,0.12749675,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,9,9,10,10,9,9,10,10,9,9,10,10,9,9,10,10,9,9,9,0
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177652,0.068622,0.133807,0.102708575384615,13,0.177652,0.133807,0.138502076923077,0.177652,0.068622,0.133807,0.102708575384615,13,0.177652,0.133807,0.138502076923077,0.177652,0.068622,0.133807,0.102708575384615,13,0.177652,0.133807,0.138502076923077,0.146681,0.0761497,0.133807,0.101451902857143,7,0.146681,0.133807,0.132105142857143,0.146681,0.0761497,0.134261,0.102996133333333,3,0.146681,0.134261,0.138249666666667,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,8,9,9,10,8,9,9,10,8,9,9,10,8,9,9,9,8,8,8,0
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.267195,0.068622,0.134247,0.105506965263158,19,0.267195,0.134247,0.144626894736842,0.267195,0.068622,0.134247,0.105506965263158,19,0.267195,0.134247,0.144626894736842,0.267195,0.068622,0.134247,0.105506965263158,19,0.267195,0.134247,0.144626894736842,0.267195,0.0721782,0.134261,0.10871214,9,0.267195,0.134261,0.151348111111111,0.267195,0.0721782,0.136625,0.111570143333333,6,0.267195,0.136625,0.157897333333333,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,9,9,10,6,9,9,10,6,9,9,9,6,8,8,8,6,7,7,0
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.267195,0.0685415,0.133807,0.104649141904762,21,0.267195,0.133807,0.143146571428571,0.267195,0.0685415,0.133807,0.104649141904762,21,0.267195,0.133807,0.143146571428571,0.267195,0.0685415,0.133807,0.104649141904762,21,0.267195,0.133807,0.143146571428571,0.267195,0.0685415,0.1329175,0.1078025625,8,0.267195,0.1329175,0.150693875,0.131588,0.0685415,0.1290835,0.09649982,2,0.131588,0.1290835,0.1290835,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,8,8,10,6,8,8,10,6,8,8,8,6,7,7,7,6,6,6,0
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.267195,0.0685415,0.131172,0.104834133846154,26,0.267195,0.131172,0.140549384615385,0.267195,0.0685415,0.131172,0.104834133846154,26,0.267195,0.131172,0.140549384615385,0.267195,0.0685415,0.131172,0.104834133846154,26,0.267195,0.131172,0.140549384615385,0.149269,0.0685415,0.126579,0.103007877142857,7,0.149269,0.126579,0.129481857142857,0.149269,0.0767517,0.126524,0.1056111,5,0.149269,0.126524,0.1296412,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,8,8,10,6,8,8,10,6,8,8,7,6,6,6,6,6,6,6,0
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.267195,0.0685415,0.134027,0.104479522,30,0.267195,0.134027,0.141125066666667,0.267195,0.0685415,0.134027,0.104479522,30,0.267195,0.134027,0.141125066666667,0.267195,0.0685415,0.134027,0.104555729166667,24,0.267195,0.134027,0.139915041666667,0.155399,0.0767517,0.135571,0.104083742222222,9,0.155399,0.135571,0.136408222222222,0.155399,0.0791836,0.144249,0.102174545,4,0.155399,0.144249,0.144867,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,7,8,10,6,7,8,10,6,7,7,6,6,6,6,6,6,6,6,0
