"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","pjtn_24H_pjtn_max_value","pjtn_24H_pjtn_min_value","pjtn_24H_pjtn_median_value","pjtn_24H_pjtn_average_value","pjtn_24H_pjtn_event_count","pjtn_24H_pjtn_event_max_value","pjtn_24H_pjtn_event_median_value","pjtn_24H_pjtn_event_average_value","pjtn_12H_pjtn_max_value","pjtn_12H_pjtn_min_value","pjtn_12H_pjtn_median_value","pjtn_12H_pjtn_average_value","pjtn_12H_pjtn_event_count","pjtn_12H_pjtn_event_max_value","pjtn_12H_pjtn_event_median_value","pjtn_12H_pjtn_event_average_value","pjtn_6H_pjtn_max_value","pjtn_6H_pjtn_min_value","pjtn_6H_pjtn_median_value","pjtn_6H_pjtn_average_value","pjtn_6H_pjtn_event_count","pjtn_6H_pjtn_event_max_value","pjtn_6H_pjtn_event_median_value","pjtn_6H_pjtn_event_average_value","pjtn_2H_pjtn_max_value","pjtn_2H_pjtn_min_value","pjtn_2H_pjtn_median_value","pjtn_2H_pjtn_average_value","pjtn_2H_pjtn_event_count","pjtn_2H_pjtn_event_max_value","pjtn_2H_pjtn_event_median_value","pjtn_2H_pjtn_event_average_value","pjtn_1H_pjtn_max_value","pjtn_1H_pjtn_min_value","pjtn_1H_pjtn_median_value","pjtn_1H_pjtn_average_value","pjtn_1H_pjtn_event_count","pjtn_1H_pjtn_event_max_value","pjtn_1H_pjtn_event_median_value","pjtn_1H_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","sigma_24H_sigma_max_value","sigma_24H_sigma_min_value","sigma_24H_sigma_median_value","sigma_24H_sigma_average_value","sigma_24H_sigma_event_count","sigma_24H_sigma_event_max_value","sigma_24H_sigma_event_median_value","sigma_24H_sigma_event_average_value","sigma_12H_sigma_max_value","sigma_12H_sigma_min_value","sigma_12H_sigma_median_value","sigma_12H_sigma_average_value","sigma_12H_sigma_event_count","sigma_12H_sigma_event_max_value","sigma_12H_sigma_event_median_value","sigma_12H_sigma_event_average_value","sigma_6H_sigma_max_value","sigma_6H_sigma_min_value","sigma_6H_sigma_median_value","sigma_6H_sigma_average_value","sigma_6H_sigma_event_count","sigma_6H_sigma_event_max_value","sigma_6H_sigma_event_median_value","sigma_6H_sigma_event_average_value","sigma_2H_sigma_max_value","sigma_2H_sigma_min_value","sigma_2H_sigma_median_value","sigma_2H_sigma_average_value","sigma_2H_sigma_event_count","sigma_2H_sigma_event_max_value","sigma_2H_sigma_event_median_value","sigma_2H_sigma_event_average_value","sigma_1H_sigma_max_value","sigma_1H_sigma_min_value","sigma_1H_sigma_median_value","sigma_1H_sigma_average_value","sigma_1H_sigma_event_count","sigma_1H_sigma_event_max_value","sigma_1H_sigma_event_median_value","sigma_1H_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","thy_resv_24H_thy_resv_median_value","thy_resv_24H_thy_resv_average_value","thy_resv_24H_thy_resv_high_var","thy_resv_12H_thy_resv_median_value","thy_resv_12H_thy_resv_average_value","thy_resv_12H_thy_resv_high_var","thy_resv_6H_thy_resv_median_value","thy_resv_6H_thy_resv_average_value","thy_resv_6H_thy_resv_high_var","thy_resv_2H_thy_resv_median_value","thy_resv_2H_thy_resv_average_value","thy_resv_2H_thy_resv_high_var","thy_resv_1H_thy_resv_median_value","thy_resv_1H_thy_resv_average_value","thy_resv_1H_thy_resv_high_var","swrd_yesterday_swrd_trip_count","swrd_24H_swrd_trip_count","swrd_12H_swrd_trip_count","swrd_6H_swrd_trip_count","swrd_2H_swrd_trip_count","swrd_1H_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","temp_24H_temp_max_value","temp_24H_temp_min_value","temp_24H_temp_median_value","temp_24H_temp_average_value","temp_12H_temp_max_value","temp_12H_temp_min_value","temp_12H_temp_median_value","temp_12H_temp_average_value","temp_6H_temp_max_value","temp_6H_temp_min_value","temp_6H_temp_median_value","temp_6H_temp_average_value","temp_2H_temp_max_value","temp_2H_temp_min_value","temp_2H_temp_median_value","temp_2H_temp_average_value","temp_1H_temp_max_value","temp_1H_temp_min_value","temp_1H_temp_median_value","temp_1H_temp_average_value","jitter"
"1",1.67281,0.0439453,0.170199,0.115371380013731,1,1.67281,1.67281,1.67281,10.5837,0,0.175781,0.129155553171695,1,1.67281,1.67281,1.67281,10.5837,0,0.175781,0.142972722912348,0,-Inf,NA,NA,10.5837,0,0.170199,0.155954459119996,0,-Inf,NA,NA,10.5837,0,0.181191,0.218980257188394,0,-Inf,NA,NA,10.5837,0,0.191553,0.277093194397434,0,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,1,NA,NA,NA,NA,NA,12,5,8,8,11,5,8,8,11,5,6,7,6,5,5,5,5,5,5,5,5,5,5,5,1
"2",1.67281,0.0439453,0.170199,0.115371380013731,1,1.67281,1.67281,1.67281,10.5837,0,0.175781,0.194061602998148,14,10.5837,5.377655,5.05758771428571,10.5837,0,0.175781,0.243673425000002,13,10.5837,5.94335,5.31795523076923,10.5837,0,0.175781,0.338404743876543,13,10.5837,5.94335,5.31795523076923,10.5837,0,5.94335,0.763921624551537,13,10.5837,5.94335,5.31795523076923,8.90736,0,4.81196,0.42782026303551,8,5.94335,2.148556,2.74745975,NA,NA,NA,NA,NA,NA,NA,NA,0.255221,0.172264,0.255221,0.209491,1,0.255221,0.255221,0.255221,0.255221,0.172264,0.255221,0.209491,1,0.255221,0.255221,0.255221,0.255221,0.172264,0.255221,0.209491,1,0.255221,0.255221,0.255221,0.255221,0.172264,0.255221,0.209491,1,0.255221,0.255221,0.255221,0.255221,0.172264,0.255221,0.209491,1,0.255221,0.255221,0.255221,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,1,1,1,1,1,1,12,5,8,8,11,5,8,8,10,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,1
"3",1.67281,0.0439453,0.170199,0.115371380013731,1,1.67281,1.67281,1.67281,10.5837,0,0.181191,0.275897084796865,19,10.5837,5.94335,5.946762,10.5837,0,0.178486,0.341504671104338,19,10.5837,5.94335,5.946762,10.5837,0,0.944569,0.584847875681074,19,10.5837,5.94335,5.946762,8.90736,0,8.90736,1.60026670431346,6,8.90736,7.40084,7.30917666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.255221,0.172264,0.255221,0.209491,1,0.255221,0.255221,0.255221,0.255221,0.172264,0.255221,0.209491,1,0.255221,0.255221,0.255221,0.255221,0.172264,0.255221,0.209491,1,0.255221,0.255221,0.255221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,5,5,1,5,5,1,5,5,1,5,5,1,5,5,0,1,2,2,2,1,NA,12,5,8,8,11,5,8,8,9,5,6,6,7,5,5,5,7,5,5,5,7,5,6,6,1
"4",1.60986,0.0439453,0.367673,0.102724854515095,2,1.60986,1.60986,1.60986,3.74825,0,0.232537,0.0999133396350518,2,3.74825,3.74825,3.74825,1.10302,0,0.181191,0.105352178054508,0,-Inf,NA,NA,1.10302,0,0.181191,0.104867785571981,0,-Inf,NA,NA,1.10302,0,0.232537,0.0984426670335105,0,-Inf,NA,NA,1.10302,0,0.232537,0.0976169548426267,0,-Inf,NA,NA,0.127448,0.0659127,0.123624,0.0912214,3,0.127448,0.123624,0.124142333333333,0.171783,0.0659127,0.125119,0.0926811854545455,11,0.171783,0.125119,0.129732454545455,0.131234,0.0659127,0.125119,0.089219624,5,0.131234,0.125119,0.1265144,0.131234,0.0659127,0.128108,0.090002235,4,0.131234,0.128108,0.127683,0.131234,0.0659127,0.128108,0.090002235,4,0.131234,0.128108,0.127683,0.131234,0.0659127,0.125119,0.0910411133333333,3,0.131234,0.125119,0.126545,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,0,0,NA,NA,NA,NA,11,4,6,7,11,4,7,7,11,4,5,6,11,4,8,7,11,9,10,10,11,9,10,10,1
"5",1.67281,0.0439453,0.170199,0.115371380013731,1,1.67281,1.67281,1.67281,10.5837,0,0.175781,0.139250674386405,2,10.5837,6.128255,6.128255,10.5837,0,0.175781,0.160678565381761,1,10.5837,10.5837,10.5837,10.5837,0,0.175781,0.184917835585998,1,10.5837,10.5837,10.5837,10.5837,0,0.191553,0.295009863762098,1,10.5837,10.5837,10.5837,10.5837,0,0.183667,0.43678171494713,1,10.5837,10.5837,10.5837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,1,NA,NA,NA,NA,NA,12,5,8,8,11,5,8,8,11,5,6,7,6,5,5,5,5,5,5,5,5,5,5,5,1
"6",1.67281,0.0439453,0.170199,0.115371380013731,1,1.67281,1.67281,1.67281,10.5837,0,0.175781,0.194061602998148,14,10.5837,5.377655,5.05758771428571,10.5837,0,0.175781,0.243673425000002,13,10.5837,5.94335,5.31795523076923,10.5837,0,0.175781,0.338404743876543,13,10.5837,5.94335,5.31795523076923,10.5837,0,5.94335,0.763921624551537,13,10.5837,5.94335,5.31795523076923,8.90736,0,4.81196,0.42782026303551,8,5.94335,2.148556,2.74745975,NA,NA,NA,NA,NA,NA,NA,NA,0.255221,0.172264,0.255221,0.209491,1,0.255221,0.255221,0.255221,0.255221,0.172264,0.255221,0.209491,1,0.255221,0.255221,0.255221,0.255221,0.172264,0.255221,0.209491,1,0.255221,0.255221,0.255221,0.255221,0.172264,0.255221,0.209491,1,0.255221,0.255221,0.255221,0.255221,0.172264,0.255221,0.209491,1,0.255221,0.255221,0.255221,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,1,1,1,1,1,1,12,5,8,8,11,5,8,8,10,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,1
"7",1.67281,0.0439453,0.170199,0.115371380013731,1,1.67281,1.67281,1.67281,10.5837,0,0.181191,0.28165419017288,20,10.5837,5.94335,5.9209084,10.5837,0,0.181191,0.348169233930708,20,10.5837,5.94335,5.9209084,10.5837,0,0.944569,0.589115006757613,20,10.5837,5.94335,5.9209084,8.90736,0,8.90736,1.40962666148999,7,8.90736,7.40084,7.04067857142857,7.43611,0,7.43611,0.694726500901944,1,5.42969,5.42969,5.42969,NA,NA,NA,NA,NA,NA,NA,NA,0.255221,0.172264,0.255221,0.209491,1,0.255221,0.255221,0.255221,0.255221,0.172264,0.255221,0.209491,1,0.255221,0.255221,0.255221,0.255221,0.172264,0.255221,0.209491,1,0.255221,0.255221,0.255221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,5,5,1,5,5,1,5,5,1,5,5,1,5,5,0,1,2,2,2,1,NA,12,5,8,8,11,5,8,8,9,5,6,6,7,5,5,5,7,5,5,5,7,5,6,6,1
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,5,5,NA,5,5,NA,5,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,8,9,9,10,8,9,9,10,8,9,9,10,8,9,9,10,8,9,9,0
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,8,8,10,7,8,8,10,7,8,8,10,7,8,8,8,7,8,8,0
