"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","pjtn_24H_pjtn_max_value","pjtn_24H_pjtn_min_value","pjtn_24H_pjtn_median_value","pjtn_24H_pjtn_average_value","pjtn_24H_pjtn_event_count","pjtn_24H_pjtn_event_max_value","pjtn_24H_pjtn_event_median_value","pjtn_24H_pjtn_event_average_value","pjtn_12H_pjtn_max_value","pjtn_12H_pjtn_min_value","pjtn_12H_pjtn_median_value","pjtn_12H_pjtn_average_value","pjtn_12H_pjtn_event_count","pjtn_12H_pjtn_event_max_value","pjtn_12H_pjtn_event_median_value","pjtn_12H_pjtn_event_average_value","pjtn_6H_pjtn_max_value","pjtn_6H_pjtn_min_value","pjtn_6H_pjtn_median_value","pjtn_6H_pjtn_average_value","pjtn_6H_pjtn_event_count","pjtn_6H_pjtn_event_max_value","pjtn_6H_pjtn_event_median_value","pjtn_6H_pjtn_event_average_value","pjtn_2H_pjtn_max_value","pjtn_2H_pjtn_min_value","pjtn_2H_pjtn_median_value","pjtn_2H_pjtn_average_value","pjtn_2H_pjtn_event_count","pjtn_2H_pjtn_event_max_value","pjtn_2H_pjtn_event_median_value","pjtn_2H_pjtn_event_average_value","pjtn_1H_pjtn_max_value","pjtn_1H_pjtn_min_value","pjtn_1H_pjtn_median_value","pjtn_1H_pjtn_average_value","pjtn_1H_pjtn_event_count","pjtn_1H_pjtn_event_max_value","pjtn_1H_pjtn_event_median_value","pjtn_1H_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","sigma_24H_sigma_max_value","sigma_24H_sigma_min_value","sigma_24H_sigma_median_value","sigma_24H_sigma_average_value","sigma_24H_sigma_event_count","sigma_24H_sigma_event_max_value","sigma_24H_sigma_event_median_value","sigma_24H_sigma_event_average_value","sigma_12H_sigma_max_value","sigma_12H_sigma_min_value","sigma_12H_sigma_median_value","sigma_12H_sigma_average_value","sigma_12H_sigma_event_count","sigma_12H_sigma_event_max_value","sigma_12H_sigma_event_median_value","sigma_12H_sigma_event_average_value","sigma_6H_sigma_max_value","sigma_6H_sigma_min_value","sigma_6H_sigma_median_value","sigma_6H_sigma_average_value","sigma_6H_sigma_event_count","sigma_6H_sigma_event_max_value","sigma_6H_sigma_event_median_value","sigma_6H_sigma_event_average_value","sigma_2H_sigma_max_value","sigma_2H_sigma_min_value","sigma_2H_sigma_median_value","sigma_2H_sigma_average_value","sigma_2H_sigma_event_count","sigma_2H_sigma_event_max_value","sigma_2H_sigma_event_median_value","sigma_2H_sigma_event_average_value","sigma_1H_sigma_max_value","sigma_1H_sigma_min_value","sigma_1H_sigma_median_value","sigma_1H_sigma_average_value","sigma_1H_sigma_event_count","sigma_1H_sigma_event_max_value","sigma_1H_sigma_event_median_value","sigma_1H_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","thy_resv_24H_thy_resv_median_value","thy_resv_24H_thy_resv_average_value","thy_resv_24H_thy_resv_high_var","thy_resv_12H_thy_resv_median_value","thy_resv_12H_thy_resv_average_value","thy_resv_12H_thy_resv_high_var","thy_resv_6H_thy_resv_median_value","thy_resv_6H_thy_resv_average_value","thy_resv_6H_thy_resv_high_var","thy_resv_2H_thy_resv_median_value","thy_resv_2H_thy_resv_average_value","thy_resv_2H_thy_resv_high_var","thy_resv_1H_thy_resv_median_value","thy_resv_1H_thy_resv_average_value","thy_resv_1H_thy_resv_high_var","swrd_yesterday_swrd_trip_count","swrd_24H_swrd_trip_count","swrd_12H_swrd_trip_count","swrd_6H_swrd_trip_count","swrd_2H_swrd_trip_count","swrd_1H_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","temp_24H_temp_max_value","temp_24H_temp_min_value","temp_24H_temp_median_value","temp_24H_temp_average_value","temp_12H_temp_max_value","temp_12H_temp_min_value","temp_12H_temp_median_value","temp_12H_temp_average_value","temp_6H_temp_max_value","temp_6H_temp_min_value","temp_6H_temp_median_value","temp_6H_temp_average_value","temp_2H_temp_max_value","temp_2H_temp_min_value","temp_2H_temp_median_value","temp_2H_temp_average_value","temp_1H_temp_max_value","temp_1H_temp_min_value","temp_1H_temp_median_value","temp_1H_temp_average_value","jitter"
"1",1.67569,0,0.929108,0.103201377034472,0,-Inf,NA,NA,1.67569,0,0.929108,0.103201377034472,0,-Inf,NA,NA,1.67569,0,0.929108,0.103201377034472,0,-Inf,NA,NA,1.67569,0,0.929108,0.103201377034472,0,-Inf,NA,NA,1.67569,0,0.929108,0.103201377034472,0,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,1,1,1,1,1,0,12,5,8,8,11,5,8,7,11,5,9,9,11,8,9,9,9,8,9,9,9,8,8,8,1
"2",1.67569,0,0.929108,0.103201377034472,0,-Inf,NA,NA,1.67569,0,0.929108,0.278938492505416,20,1.67569,0.8319755,0.9767406,1.67569,0,0.929108,0.278938492505416,20,1.67569,0.8319755,0.9767406,1.67569,0,0.929108,0.278938492505416,20,1.67569,0.8319755,0.9767406,1.67569,0,0.844162,0.362622833205866,20,1.67569,0.8319755,0.9767406,1.55432,0.0439453,0.8319755,0.319186535585473,18,1.55432,0.819789,0.899079555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,1,1,1,1,0,NA,12,5,8,8,11,5,7,7,11,6,9,9,11,7,9,9,9,7,8,8,8,7,8,8,1
"3",1.67569,0,0.929108,0.103201377034472,0,-Inf,NA,NA,1.79908,0,0.844162,0.240950145637586,37,1.67569,0.667911,0.751650513513514,1.79908,0,0.844162,0.240950145637586,37,1.67569,0.667911,0.751650513513514,1.79908,0,0.844162,0.240950145637586,37,1.67569,0.667911,0.751650513513514,1.79908,0,0.759885,0.243038694546415,35,1.55432,0.667911,0.698848257142857,1.79908,0,0.435036,0.181046967432169,17,0.915498,0.400361,0.486838647058824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,1,1,1,1,NA,NA,12,5,8,8,11,5,7,7,11,6,9,9,10,6,9,8,8,6,7,7,7,6,7,7,1
"4",1.67569,0,0.929108,0.103201377034472,0,-Inf,NA,NA,1.79908,0,0.929108,0.283033778739228,61,1.67569,0.890909,0.873426573770492,1.79908,0,0.929108,0.283033778739228,61,1.67569,0.890909,0.873426573770492,1.79908,0,0.929108,0.283033778739228,61,1.67569,0.890909,0.873426573770492,1.79908,0,0.915498,0.287840805836633,41,1.65073,0.914443,0.823029487804878,1.79908,0,1.07554,0.389763067763201,24,1.65073,1.010695,1.06116466666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,1,1,1,1,NA,NA,12,5,8,8,11,5,7,7,11,6,9,9,10,6,8,8,7,6,6,6,6,6,6,6,1
"5",1.67569,0,0.929108,0.103201377034472,0,-Inf,NA,NA,4.31291,0,0.518108,0.19446260404597,84,4.31291,0.915498,1.05628886904762,4.31291,0,0.388114,0.170758080921033,39,4.31291,1.21706,1.35238979487179,4.31291,0,0.346026,0.12786783264165,12,4.31291,1.74059,1.9920035,4.31291,0,0.660643,0.144660479132385,10,4.31291,1.82519,2.0592062,1.82519,0,0.660643,0.157781905349277,6,1.82519,1.065654,1.145397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,1,2,1,NA,NA,NA,12,5,8,8,11,5,6,7,6,5,6,6,6,5,6,6,6,5,6,6,6,6,6,6,1
"6",1.67569,0,0.929108,0.103201377034472,0,-Inf,NA,NA,4.31291,0,0.518108,0.196568925656784,105,4.31291,0.819789,0.942935266666667,4.31291,0,0.385619,0.140430501535719,38,4.31291,0.475341,0.966336368421053,4.31291,0,0.409895,0.144920532706446,33,4.31291,0.475341,1.03587818181818,1.82519,0,0.569596,0.191224689746338,27,1.82519,0.456693,0.635271111111111,1.02309,0,0.475341,0.219698825098848,21,1.02309,0.421509,0.489520857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,1,2,1,NA,NA,NA,12,5,8,8,11,5,6,7,7,5,6,6,7,5,6,6,7,6,6,6,7,6,7,7,1
"7",1.67569,0,0.929108,0.103201377034472,0,-Inf,NA,NA,4.31291,0,0.519968,0.200297373742389,129,4.31291,0.605744,0.856189713178295,4.31291,0,0.407532,0.15153970498066,58,4.31291,0.475341,0.791874344827586,4.31291,0,0.506802,0.167275781004663,57,4.31291,0.475341,0.800425438596491,1.02309,0,0.550633,0.230757312795062,45,1.02309,0.448156,0.482671288888889,0.957766,0,0.5287175,0.237944533053528,22,0.605744,0.454574,0.468230818181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,1,2,0,NA,NA,NA,12,5,8,8,11,5,6,7,8,5,6,6,8,5,6,6,8,6,7,7,8,7,7,7,1
"8",1.67569,0,0.929108,0.103201377034472,0,-Inf,NA,NA,4.31291,0,0.3905865,0.189059149648705,181,4.31291,0.454574,0.70438079558011,4.31291,0,0.324419,0.160058844953309,109,4.31291,0.395508,0.574942211009174,0.957766,0,0.267309,0.172716947555668,74,0.957766,0.380578,0.369534175675676,0.2915,0.0761155,0.236653,0.148305066492521,11,0.248592,0.224078,0.225507,0.2915,0.0761155,0.248592,0.150921394076153,10,0.248592,0.226132,0.2256499,NA,NA,NA,NA,NA,NA,NA,NA,0.186723,0.0925606,0.159037,0.142993106666667,5,0.186723,0.159037,0.1622662,0.186723,0.0925606,0.159037,0.142993106666667,5,0.186723,0.159037,0.1622662,0.186723,0.0925606,0.159037,0.142993106666667,5,0.186723,0.159037,0.1622662,0.186723,0.0925606,0.159037,0.142993106666667,5,0.186723,0.159037,0.1622662,0.186723,0.0925606,0.159037,0.142993106666667,5,0.186723,0.159037,0.1622662,5,5,0,5,5,1,5,5,1,5,5,1,5,5,0,5,5,0,1,2,NA,NA,NA,NA,12,5,8,8,10,5,6,7,10,5,7,7,10,7,9,9,10,9,10,10,10,9,10,10,1
"9",1.67569,0,0.929108,0.103201377034472,0,-Inf,NA,NA,4.31291,0,0.375469,0.189189496049402,201,4.31291,0.421509,0.658620054726368,4.31291,0,0.313832,0.163461046442852,129,4.31291,0.383106,0.523708589147287,0.957766,0.0621481,0.256243,0.159402203132819,71,0.957766,0.248592,0.304383478873239,0.375469,0.0761155,0.248592,0.157475324926278,30,0.267309,0.236653,0.238206866666667,0.375469,0.0761155,0.248592,0.163735885757338,20,0.267309,0.244677,0.24448535,NA,NA,NA,NA,NA,NA,NA,NA,0.242521,0.0925606,0.165681,0.144519488888889,12,0.242521,0.165681,0.1767495,0.242521,0.0925606,0.165681,0.144519488888889,12,0.242521,0.165681,0.1767495,0.242521,0.0925606,0.165681,0.144519488888889,12,0.242521,0.165681,0.1767495,0.242521,0.0925606,0.165681,0.144519488888889,12,0.242521,0.165681,0.1767495,0.242521,0.101079,0.168502,0.145609761904762,7,0.242521,0.168502,0.187094714285714,5,5,0,5,5,1,5,5,1,5,5,1,5,5,0,5,5,0,1,2,NA,NA,NA,NA,12,5,8,8,10,5,6,7,10,5,8,8,10,7,9,9,10,9,10,10,10,9,10,10,1
"10",4.31291,0,0.3515515,0.189265174909613,216,4.31291,0.405156,0.630658208333333,4.31291,0,0.346026,0.188879672380972,223,4.31291,0.402765,0.618396726457399,4.31291,0,0.2915,0.166596271708865,149,4.31291,0.343224,0.468229979865772,0.395508,0.0621481,0.248592,0.154291856244602,71,0.395508,0.244677,0.248711661971831,0.375469,0.0761155,0.2505195,0.165041884648191,42,0.2915,0.248592,0.247846333333333,0.375469,0.0761155,0.252447,0.166352993723439,22,0.2915,0.248592,0.250901772727273,0.257703,0.0925606,0.163131,0.143608580392157,17,0.257703,0.163131,0.174230647058824,0.257703,0.0925606,0.1618575,0.142254526666667,20,0.257703,0.1618575,0.17094585,0.257703,0.0925606,0.1618575,0.142254526666667,20,0.257703,0.1618575,0.17094585,0.257703,0.0925606,0.1618575,0.142254526666667,20,0.257703,0.1618575,0.17094585,0.257703,0.095169,0.16505,0.142008333333333,15,0.257703,0.16505,0.173839066666667,0.257703,0.095169,0.1550575,0.138857083333333,8,0.257703,0.1550575,0.162240375,5,5,1,5,5,1,5,5,1,5,5,0,5,5,0,5,5,0,1,1,NA,NA,NA,NA,10,5,6,7,10,5,6,7,10,5,8,8,10,8,9,9,10,9,9,9,10,9,9,9,1
