"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","pjtn_24H_pjtn_max_value","pjtn_24H_pjtn_min_value","pjtn_24H_pjtn_median_value","pjtn_24H_pjtn_average_value","pjtn_24H_pjtn_event_count","pjtn_24H_pjtn_event_max_value","pjtn_24H_pjtn_event_median_value","pjtn_24H_pjtn_event_average_value","pjtn_12H_pjtn_max_value","pjtn_12H_pjtn_min_value","pjtn_12H_pjtn_median_value","pjtn_12H_pjtn_average_value","pjtn_12H_pjtn_event_count","pjtn_12H_pjtn_event_max_value","pjtn_12H_pjtn_event_median_value","pjtn_12H_pjtn_event_average_value","pjtn_6H_pjtn_max_value","pjtn_6H_pjtn_min_value","pjtn_6H_pjtn_median_value","pjtn_6H_pjtn_average_value","pjtn_6H_pjtn_event_count","pjtn_6H_pjtn_event_max_value","pjtn_6H_pjtn_event_median_value","pjtn_6H_pjtn_event_average_value","pjtn_2H_pjtn_max_value","pjtn_2H_pjtn_min_value","pjtn_2H_pjtn_median_value","pjtn_2H_pjtn_average_value","pjtn_2H_pjtn_event_count","pjtn_2H_pjtn_event_max_value","pjtn_2H_pjtn_event_median_value","pjtn_2H_pjtn_event_average_value","pjtn_1H_pjtn_max_value","pjtn_1H_pjtn_min_value","pjtn_1H_pjtn_median_value","pjtn_1H_pjtn_average_value","pjtn_1H_pjtn_event_count","pjtn_1H_pjtn_event_max_value","pjtn_1H_pjtn_event_median_value","pjtn_1H_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","sigma_24H_sigma_max_value","sigma_24H_sigma_min_value","sigma_24H_sigma_median_value","sigma_24H_sigma_average_value","sigma_24H_sigma_event_count","sigma_24H_sigma_event_max_value","sigma_24H_sigma_event_median_value","sigma_24H_sigma_event_average_value","sigma_12H_sigma_max_value","sigma_12H_sigma_min_value","sigma_12H_sigma_median_value","sigma_12H_sigma_average_value","sigma_12H_sigma_event_count","sigma_12H_sigma_event_max_value","sigma_12H_sigma_event_median_value","sigma_12H_sigma_event_average_value","sigma_6H_sigma_max_value","sigma_6H_sigma_min_value","sigma_6H_sigma_median_value","sigma_6H_sigma_average_value","sigma_6H_sigma_event_count","sigma_6H_sigma_event_max_value","sigma_6H_sigma_event_median_value","sigma_6H_sigma_event_average_value","sigma_2H_sigma_max_value","sigma_2H_sigma_min_value","sigma_2H_sigma_median_value","sigma_2H_sigma_average_value","sigma_2H_sigma_event_count","sigma_2H_sigma_event_max_value","sigma_2H_sigma_event_median_value","sigma_2H_sigma_event_average_value","sigma_1H_sigma_max_value","sigma_1H_sigma_min_value","sigma_1H_sigma_median_value","sigma_1H_sigma_average_value","sigma_1H_sigma_event_count","sigma_1H_sigma_event_max_value","sigma_1H_sigma_event_median_value","sigma_1H_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","thy_resv_24H_thy_resv_median_value","thy_resv_24H_thy_resv_average_value","thy_resv_24H_thy_resv_high_var","thy_resv_12H_thy_resv_median_value","thy_resv_12H_thy_resv_average_value","thy_resv_12H_thy_resv_high_var","thy_resv_6H_thy_resv_median_value","thy_resv_6H_thy_resv_average_value","thy_resv_6H_thy_resv_high_var","thy_resv_2H_thy_resv_median_value","thy_resv_2H_thy_resv_average_value","thy_resv_2H_thy_resv_high_var","thy_resv_1H_thy_resv_median_value","thy_resv_1H_thy_resv_average_value","thy_resv_1H_thy_resv_high_var","swrd_yesterday_swrd_trip_count","swrd_24H_swrd_trip_count","swrd_12H_swrd_trip_count","swrd_6H_swrd_trip_count","swrd_2H_swrd_trip_count","swrd_1H_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","temp_24H_temp_max_value","temp_24H_temp_min_value","temp_24H_temp_median_value","temp_24H_temp_average_value","temp_12H_temp_max_value","temp_12H_temp_min_value","temp_12H_temp_median_value","temp_12H_temp_average_value","temp_6H_temp_max_value","temp_6H_temp_min_value","temp_6H_temp_median_value","temp_6H_temp_average_value","temp_2H_temp_max_value","temp_2H_temp_min_value","temp_2H_temp_median_value","temp_2H_temp_average_value","temp_1H_temp_max_value","temp_1H_temp_min_value","temp_1H_temp_median_value","temp_1H_temp_average_value","jitter"
"1",0.966797,0,0.252447,0.139461579783334,38,0.966797,0.252447,0.2870235,1.53306,0,0.244677,0.135031589833097,14,1.53306,0.2708035,0.416811,1.53306,0,0.244677,0.133305650601853,4,1.53306,0.280032,0.58244425,1.53306,0.0439453,0.248592,0.136978419814159,3,1.53306,0.307617,0.697708,1.53306,0.0621481,0.281387,0.143735725818249,3,1.53306,0.307617,0.697708,0.354298,0.0621481,0.2581135,0.145183760681729,2,0.307617,0.280032,0.280032,0.327253,0.0701804,0.160604,0.143969928581818,275,0.327253,0.160604,0.165513829090909,0.327253,0.0933281,0.166394,0.149182078540146,137,0.327253,0.166394,0.172366065693431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,9,4,6,6,9,4,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2",1.53306,0,0.248592,0.137219627149597,33,1.53306,0.252447,0.347551181818182,1.53306,0,0.248592,0.139414445598132,42,1.53306,0.252447,0.334339261904762,0.812691,0.0439453,0.2466345,0.138532509259046,10,0.388114,0.2524175,0.2805597,0.445996,0.0439453,0.254345,0.139343438034108,9,0.388114,0.256243,0.285895555555556,0.445996,0.0439453,0.248592,0.145437653022416,7,0.367673,0.256243,0.281379857142857,0.445996,0.0621481,0.256243,0.146230241843161,6,0.367673,0.256243,0.289520333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"3",1.53306,0,0.248592,0.137219627149597,33,1.53306,0.252447,0.347551181818182,1.53306,0.0439453,0.248592,0.140334172060789,54,1.53306,0.252447,0.322364222222222,0.445996,0.0439453,0.248592,0.139354666699648,22,0.445996,0.256243,0.280687818181818,0.445996,0.0439453,0.256243,0.142137284430594,22,0.445996,0.256243,0.280687818181818,0.445996,0.0621481,0.263672,0.149868347569117,19,0.445996,0.256243,0.281010210526316,0.445996,0.0621481,0.263672,0.153747948610341,13,0.445996,0.256243,0.277082461538462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"4",1.53306,0,0.248592,0.137219627149597,33,1.53306,0.252447,0.347551181818182,1.53306,0.0439453,0.252447,0.141240876597887,67,1.53306,0.252447,0.313734074626866,0.662103,0.0439453,0.248592,0.14068394980615,35,0.445996,0.256243,0.279647057142857,0.662103,0.0439453,0.263672,0.145554808102023,35,0.445996,0.256243,0.279647057142857,0.662103,0.0621481,0.2915,0.153736050042219,26,0.445996,0.256243,0.277484115384615,0.662103,0.0621481,0.2915,0.153751021467851,13,0.367673,0.256243,0.277885769230769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"5",1.53306,0,0.248592,0.137219627149597,33,1.53306,0.252447,0.347551181818182,1.53306,0.0439453,0.252447,0.142035176072306,75,1.53306,0.252447,0.31822748,0.662103,0.0439453,0.256243,0.141777521006873,43,0.662103,0.256243,0.293826162790698,0.662103,0.0439453,0.263672,0.148117381775395,43,0.662103,0.256243,0.293826162790698,0.662103,0.0621481,0.2915,0.152284877696871,21,0.662103,0.256243,0.307590142857143,0.662103,0.0621481,0.2968965,0.150565742790493,8,0.662103,0.2524175,0.35585975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"6",1.53306,0,0.248592,0.137219627149597,33,1.53306,0.252447,0.347551181818182,1.53306,0.0439453,0.256243,0.142973349108298,86,1.53306,0.254345,0.315037360465116,0.662103,0.0439453,0.256243,0.143423982104228,54,0.662103,0.256243,0.293716240740741,0.662103,0.0439453,0.267309,0.150720815988238,52,0.662103,0.256243,0.293409153846154,0.662103,0.0621481,0.33755,0.152879368265882,19,0.662103,0.263672,0.319633157894737,0.378032,0.0621481,0.3402925,0.154884738665045,11,0.365037,0.2915,0.293286545454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"7",1.53306,0,0.248592,0.137219627149597,33,1.53306,0.252447,0.347551181818182,1.53306,0.0439453,0.256243,0.143957456725939,102,1.53306,0.256243,0.310670166666667,0.662103,0.0439453,0.263672,0.145583130394763,70,0.662103,0.256243,0.292226014285714,0.662103,0.0621481,0.31074,0.152950159470511,67,0.662103,0.256243,0.292834074626866,0.400361,0.0621481,0.33178,0.156527304342326,27,0.378032,0.2915,0.28967762962963,0.400361,0.0621481,0.33178,0.158131779339534,16,0.378032,0.2771475,0.2871965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"8",1.53306,0,0.248592,0.137219627149597,33,1.53306,0.252447,0.347551181818182,1.53306,0.0439453,0.256243,0.144887868052882,117,1.53306,0.256243,0.309219948717949,0.662103,0.0439453,0.2915,0.14725129617394,85,0.662103,0.263672,0.293484682352941,0.662103,0.0621481,0.31074,0.154830867570509,76,0.662103,0.263672,0.294383394736842,0.412244,0.0621481,0.316894,0.157760922056155,31,0.378032,0.301274,0.293081322580645,0.412244,0.0761155,0.31074,0.157416151747771,15,0.357013,0.307617,0.299358466666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"9",1.53306,0,0.248592,0.137219627149597,33,1.53306,0.252447,0.347551181818182,1.14089,0.0439453,0.256243,0.14579248520185,131,1.14089,0.256243,0.29793558778626,0.662103,0.0439453,0.301274,0.149477172100054,100,0.662103,0.2654905,0.29330086,0.662103,0.0621481,0.316894,0.156620186308328,78,0.662103,0.2915,0.296858384615385,0.412244,0.0761155,0.316894,0.160946209106197,30,0.378032,0.3044455,0.295808833333333,0.400361,0.0761155,0.316894,0.164646033676853,15,0.378032,0.284798,0.2922592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"10",1.53306,0,0.248592,0.137219627149597,33,1.53306,0.252447,0.347551181818182,1.14089,0,0.263672,0.146972938545512,145,1.14089,0.263672,0.299852682758621,0.662103,0,0.307617,0.152716176728179,116,0.662103,0.267309,0.296027818965517,0.662103,0,0.33178,0.159703128601668,81,0.662103,0.298052,0.303105925925926,0.412244,0,0.33178,0.168029890902958,31,0.400361,0.284798,0.303000935483871,0.412244,0,0.365037,0.171237509371648,15,0.400361,0.267309,0.312414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
