"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","pjtn_24H_pjtn_max_value","pjtn_24H_pjtn_min_value","pjtn_24H_pjtn_median_value","pjtn_24H_pjtn_average_value","pjtn_24H_pjtn_event_count","pjtn_24H_pjtn_event_max_value","pjtn_24H_pjtn_event_median_value","pjtn_24H_pjtn_event_average_value","pjtn_12H_pjtn_max_value","pjtn_12H_pjtn_min_value","pjtn_12H_pjtn_median_value","pjtn_12H_pjtn_average_value","pjtn_12H_pjtn_event_count","pjtn_12H_pjtn_event_max_value","pjtn_12H_pjtn_event_median_value","pjtn_12H_pjtn_event_average_value","pjtn_6H_pjtn_max_value","pjtn_6H_pjtn_min_value","pjtn_6H_pjtn_median_value","pjtn_6H_pjtn_average_value","pjtn_6H_pjtn_event_count","pjtn_6H_pjtn_event_max_value","pjtn_6H_pjtn_event_median_value","pjtn_6H_pjtn_event_average_value","pjtn_2H_pjtn_max_value","pjtn_2H_pjtn_min_value","pjtn_2H_pjtn_median_value","pjtn_2H_pjtn_average_value","pjtn_2H_pjtn_event_count","pjtn_2H_pjtn_event_max_value","pjtn_2H_pjtn_event_median_value","pjtn_2H_pjtn_event_average_value","pjtn_1H_pjtn_max_value","pjtn_1H_pjtn_min_value","pjtn_1H_pjtn_median_value","pjtn_1H_pjtn_average_value","pjtn_1H_pjtn_event_count","pjtn_1H_pjtn_event_max_value","pjtn_1H_pjtn_event_median_value","pjtn_1H_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","sigma_24H_sigma_max_value","sigma_24H_sigma_min_value","sigma_24H_sigma_median_value","sigma_24H_sigma_average_value","sigma_24H_sigma_event_count","sigma_24H_sigma_event_max_value","sigma_24H_sigma_event_median_value","sigma_24H_sigma_event_average_value","sigma_12H_sigma_max_value","sigma_12H_sigma_min_value","sigma_12H_sigma_median_value","sigma_12H_sigma_average_value","sigma_12H_sigma_event_count","sigma_12H_sigma_event_max_value","sigma_12H_sigma_event_median_value","sigma_12H_sigma_event_average_value","sigma_6H_sigma_max_value","sigma_6H_sigma_min_value","sigma_6H_sigma_median_value","sigma_6H_sigma_average_value","sigma_6H_sigma_event_count","sigma_6H_sigma_event_max_value","sigma_6H_sigma_event_median_value","sigma_6H_sigma_event_average_value","sigma_2H_sigma_max_value","sigma_2H_sigma_min_value","sigma_2H_sigma_median_value","sigma_2H_sigma_average_value","sigma_2H_sigma_event_count","sigma_2H_sigma_event_max_value","sigma_2H_sigma_event_median_value","sigma_2H_sigma_event_average_value","sigma_1H_sigma_max_value","sigma_1H_sigma_min_value","sigma_1H_sigma_median_value","sigma_1H_sigma_average_value","sigma_1H_sigma_event_count","sigma_1H_sigma_event_max_value","sigma_1H_sigma_event_median_value","sigma_1H_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","thy_resv_24H_thy_resv_median_value","thy_resv_24H_thy_resv_average_value","thy_resv_24H_thy_resv_high_var","thy_resv_12H_thy_resv_median_value","thy_resv_12H_thy_resv_average_value","thy_resv_12H_thy_resv_high_var","thy_resv_6H_thy_resv_median_value","thy_resv_6H_thy_resv_average_value","thy_resv_6H_thy_resv_high_var","thy_resv_2H_thy_resv_median_value","thy_resv_2H_thy_resv_average_value","thy_resv_2H_thy_resv_high_var","thy_resv_1H_thy_resv_median_value","thy_resv_1H_thy_resv_average_value","thy_resv_1H_thy_resv_high_var","swrd_yesterday_swrd_trip_count","swrd_24H_swrd_trip_count","swrd_12H_swrd_trip_count","swrd_6H_swrd_trip_count","swrd_2H_swrd_trip_count","swrd_1H_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","temp_24H_temp_max_value","temp_24H_temp_min_value","temp_24H_temp_median_value","temp_24H_temp_average_value","temp_12H_temp_max_value","temp_12H_temp_min_value","temp_12H_temp_median_value","temp_12H_temp_average_value","temp_6H_temp_max_value","temp_6H_temp_min_value","temp_6H_temp_median_value","temp_6H_temp_average_value","temp_2H_temp_max_value","temp_2H_temp_min_value","temp_2H_temp_median_value","temp_2H_temp_average_value","temp_1H_temp_max_value","temp_1H_temp_min_value","temp_1H_temp_median_value","temp_1H_temp_average_value","jitter"
"1",0.63531,0.0439453,0.164428,0.110512855108347,0,-Inf,NA,NA,2.46251,0,0.164428,0.112644128387294,0,-Inf,NA,NA,2.46251,0,0.164428,0.116958103991175,0,-Inf,NA,NA,2.46251,0,0.164428,0.119157948921112,0,-Inf,NA,NA,2.46251,0,0.164428,0.125437715573368,0,-Inf,NA,NA,2.46251,0,0.298052,0.132268284134119,0,-Inf,NA,NA,0.228167,0.0653236,0.128512,0.103165504375,56,0.228167,0.128512,0.145779178571429,0.269609,0.068622,0.130559,0.103379301016949,59,0.269609,0.130559,0.14820206779661,0.269609,0.0737925,0.129909,0.101895065645161,31,0.269609,0.129909,0.146786580645161,0.218026,0.0737925,0.124322,0.100115681071429,14,0.218026,0.124322,0.137437571428571,0.218026,0.0737925,0.131682,0.104896158333333,3,0.218026,0.131682,0.156691,0.131682,0.0737925,0.131682,0.09524798,1,0.131682,0.131682,0.131682,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,11,6,7,8,11,5,8,8,10,5,6,7,7,5,6,6,7,5,6,6,7,6,7,7,1
"2",0.63531,0.0439453,0.164428,0.110512855108347,0,-Inf,NA,NA,2.46251,0,0.164428,0.111078588921798,0,-Inf,NA,NA,2.46251,0,0.164428,0.115064733721548,0,-Inf,NA,NA,2.46251,0,0.164428,0.116411874818171,0,-Inf,NA,NA,2.46251,0,0.164428,0.118764274657714,0,-Inf,NA,NA,2.46251,0,0.164428,0.122343058643759,0,-Inf,NA,NA,0.228167,0.0653236,0.128512,0.103165504375,56,0.228167,0.128512,0.145779178571429,0.269609,0.068622,0.130234,0.103299778333333,60,0.269609,0.130234,0.1478095,0.269609,0.0737925,0.129909,0.101895065645161,31,0.269609,0.129909,0.146786580645161,0.218026,0.0737925,0.124322,0.100115681071429,14,0.218026,0.124322,0.137437571428571,0.218026,0.0737925,0.131682,0.104896158333333,3,0.218026,0.131682,0.156691,0.131682,0.0737925,0.131682,0.09524798,1,0.131682,0.131682,0.131682,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,11,6,7,8,11,5,8,8,10,5,6,7,7,5,6,6,7,5,6,6,7,6,7,7,1
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.243127,0.0828199,0.133026,0.1160276675,8,0.243127,0.133026,0.157388875,0.243127,0.0828199,0.133026,0.1160276675,8,0.243127,0.133026,0.157388875,0.243127,0.0828199,0.133026,0.1160276675,8,0.243127,0.133026,0.157388875,0.243127,0.0828199,0.133026,0.1160276675,8,0.243127,0.133026,0.157388875,0.243127,0.0828199,0.133026,0.1160276675,8,0.243127,0.133026,0.157388875,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.243127,0.0828199,0.133128,0.111416194666667,15,0.243127,0.133128,0.1495858,0.243127,0.0828199,0.133128,0.111416194666667,15,0.243127,0.133128,0.1495858,0.243127,0.0828199,0.133128,0.111416194666667,15,0.243127,0.133128,0.1495858,0.243127,0.0828199,0.133128,0.111416194666667,15,0.243127,0.133128,0.1495858,0.166789,0.0845794,0.135567,0.10614594,7,0.166789,0.135567,0.140668,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,9,10,10,10,9,10,10,10,9,10,10,10,9,10,10,10,9,10,10,0
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.243127,0.0797627,0.139133,0.112304185454545,22,0.243127,0.139133,0.150704181818182,0.243127,0.0797627,0.139133,0.112304185454545,22,0.243127,0.139133,0.150704181818182,0.243127,0.0797627,0.139133,0.112304185454545,22,0.243127,0.139133,0.150704181818182,0.185707,0.0797627,0.1453325,0.110176481428571,14,0.185707,0.1453325,0.146884357142857,0.185707,0.0797627,0.154719,0.114207022857143,7,0.185707,0.154719,0.153100714285714,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,8,10,10,10,8,10,10,10,8,10,10,10,8,9,9,9,8,9,9,0
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.243127,0.0797627,0.141887,0.1126563196,25,0.243127,0.141887,0.15360864,0.243127,0.0797627,0.141887,0.1126563196,25,0.243127,0.141887,0.15360864,0.243127,0.0797627,0.141887,0.1126563196,25,0.243127,0.141887,0.15360864,0.204502,0.0797627,0.155907,0.114516507,10,0.204502,0.155907,0.1596429,0.204502,0.0797627,0.188149,0.115238636666667,3,0.204502,0.188149,0.174908,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,9,9,10,7,9,9,10,7,9,9,9,7,8,8,8,7,8,8,0
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.243127,0.0797627,0.148518,0.112117180344828,29,0.243127,0.148518,0.155473448275862,0.243127,0.0797627,0.148518,0.112117180344828,29,0.243127,0.148518,0.155473448275862,0.243127,0.0797627,0.148518,0.112117180344828,29,0.243127,0.148518,0.155473448275862,0.226171,0.0797627,0.158041,0.11152945,7,0.226171,0.158041,0.170462571428571,0.226171,0.0815656,0.1540685,0.10874756,4,0.226171,0.1540685,0.1671285,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,9,9,10,7,9,9,10,7,9,9,8,7,7,7,7,7,7,7,0
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.243127,0.0693956,0.1452025,0.1117981678125,32,0.243127,0.1452025,0.15399546875,0.243127,0.0693956,0.1452025,0.1117981678125,32,0.243127,0.1452025,0.15399546875,0.243127,0.0693956,0.1452025,0.1117981678125,32,0.243127,0.1452025,0.15399546875,0.226171,0.0693956,0.150096,0.10873334,7,0.226171,0.150096,0.155377,0.158852,0.0693956,0.130531,0.10871438,3,0.158852,0.130531,0.139708333333333,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,8,8,10,6,8,8,10,6,8,8,7,6,7,7,7,6,7,7,0
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.243127,0.0693956,0.136379,0.111348128378378,37,0.243127,0.136379,0.150628135135135,0.243127,0.0693956,0.136379,0.111348128378378,37,0.243127,0.136379,0.150628135135135,0.226171,0.0693956,0.136747,0.110057221034483,29,0.226171,0.136747,0.148763103448276,0.158852,0.0693956,0.1301365,0.108560315,8,0.158852,0.1301365,0.133063875,0.136747,0.0788108,0.12917,0.108467876,5,0.136747,0.12917,0.1290772,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,8,8,10,6,8,8,10,6,7,8,7,6,6,7,7,6,6,6,0
