"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_median_value","thy_resv_average_value","thy_resv_high_var","swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_max_value","dqi_min_value","dqi_median_value","dqi_average_value","hvv_max_value","hvv_min_value","hvv_median_value","hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,0.153839,0,0.129158,0.117413935106383,94,0.153839,0.129158,0.131870734042553,NA,NA,NA,NA,"(75,80]","(50,55]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,108.635,106.078,107.217,107.311162268519,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-01
"2",NA,NA,NA,NA,NA,NA,NA,NA,0.169507,0.0299571,0.130809,0.118006589221014,92,0.169507,0.130809,0.132981413043478,NA,NA,NA,NA,"(75,80]","(35,40]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,108.232,105.267,106.796,106.851949189815,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-02
"3",NA,NA,NA,NA,NA,NA,NA,NA,0.1702,0,0.1304705,0.117750826811594,92,0.1702,0.1304705,0.133970836956522,NA,NA,NA,NA,"(70,75]","(40,45]","(50,55]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,108.988,105.139,106.6385,106.720603240741,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-03
"4",NA,NA,NA,NA,NA,NA,NA,NA,0.157595,0.0812037,0.128301,0.11662191462963,90,0.157595,0.128301,0.131898755555556,NA,NA,NA,NA,"(80,85]","(40,45]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,109.098,105.228,106.821,107.009145138889,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-04
"5",NA,NA,NA,NA,NA,NA,NA,NA,0.182588,0.0778945,0.130238,0.115856391666667,67,0.182588,0.130238,0.133143298507463,NA,NA,NA,NA,"(75,80]","(40,45]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,109.233,104.994,106.546,106.653324768519,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-05
"6",NA,NA,NA,NA,NA,NA,NA,NA,0.158736,0.0804063,0.1313075,0.115212373824786,78,0.158736,0.1313075,0.132873025641026,NA,NA,NA,NA,"(65,70]","(40,45]","(50,55]","(50,55]",NA,NA,NA,NA,NA,NA,NA,NA,108.637,105.438,106.86,106.826523726852,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-06
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.173669,0.0804063,0.129568,0.115369731455399,71,0.173669,0.129568,0.132366225352113,NA,NA,NA,NA,"(70,75]","(35,40]","(50,55]","(50,55]",NA,NA,NA,NA,NA,NA,NA,NA,108.836,103.206,106.505,106.548519097222,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-07
"8",NA,NA,NA,NA,NA,NA,NA,NA,0.187914,0.0774204,0.127264,0.115027592068273,83,0.187914,0.127264,0.131621024096386,NA,NA,NA,NA,"(70,75]","(45,50]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,115.209,94.5859,107.269,107.380383799602,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-08
"9",NA,NA,NA,NA,NA,NA,NA,NA,0.17447,0.0748083,0.1276825,0.116852506646825,84,0.17447,0.1276825,0.132559833333333,NA,NA,NA,NA,"(70,75]","(45,50]","(50,55]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,109.598,107.039,108.12,108.194288657407,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-09
"10",NA,NA,NA,NA,NA,NA,NA,NA,0.16896,0.0715892,0.1256915,0.113154516666667,74,0.16896,0.1256915,0.130347472972973,NA,NA,NA,NA,"(70,75]","(40,45]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,109.716,106.168,107.974,107.928028240741,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-10
"11",NA,NA,NA,NA,NA,NA,NA,NA,0.164298,0.068407,0.131544,0.115314004656863,68,0.164298,0.131544,0.131977882352941,NA,NA,NA,NA,"(75,80]","(40,45]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,109.403,106.482,108.028,107.936518865741,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-11
"12",NA,NA,NA,NA,NA,NA,NA,NA,0.153071,0.0840554,0.1322575,0.11751488629386,76,0.153071,0.1322575,0.132977197368421,NA,NA,NA,NA,"(80,85]","(40,45]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,110.115,106.145,107.866,107.894416435185,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-12
"13",NA,NA,NA,NA,NA,NA,NA,NA,0.162925,0.0864948,0.130351,0.117737803405018,93,0.162925,0.130351,0.133305215053763,NA,NA,NA,NA,"(80,85]","(45,50]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,110.425,106.536,108.0375,108.219215625,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-13
"14",NA,NA,NA,NA,NA,NA,NA,NA,0.161655,0.0853809,0.131546,0.116714797101449,92,0.161655,0.131546,0.134171434782609,NA,NA,NA,NA,"(75,80]","(45,50]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,110.2,106.56,108.202,108.154009259259,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-14
