"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,0.241913,0.0456898,0.126568,0.092855005952381,21,0.241913,0.126568,0.13928480952381,4,4,0,NA,"(70,75]","(40,45]","(50,55]","(55,60]",20.5,4,20,19.8344671201814,21.4025,19.67,21.385,21.3851190878378,113.502,109.163,110.7185,110.708527546296,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-04-01
"2",NA,NA,NA,NA,NA,NA,NA,NA,0.181787,0.0550463,0.126782,0.087560481,20,0.181787,0.126782,0.13077125,4,4,0,NA,"(75,80]","(40,45]","(50,55]","(55,60]",20.5,19,20,19.8486005089059,21.41,21.37,21.385,21.3848424899194,113.647,109.02,110.3405,110.551149074074,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-04-02
"3",NA,NA,NA,NA,NA,NA,NA,NA,0.158713,0.0608896,0.124396,0.0877824848076923,26,0.158713,0.124396,0.127740884615385,4,4,0,NA,"(70,75]","(45,50]","(50,55]","(55,60]",20.5,19.5,20,19.8684456928839,21.3975,21.37,21.385,21.3860397931655,113.752,109.593,110.77,110.892818402778,"0","0","21","1","0","0","0","0","0","0","0","0","0","0",2016-04-03
"4",NA,NA,NA,NA,NA,NA,NA,NA,0.205866,0.0634944,0.124285,0.0916846506944444,24,0.205866,0.124285,0.133434541666667,4,4,0,NA,"(75,80]","(50,55]","(50,55]","(55,60]",20.5,11.5,20,19.8461775585697,21.3925,16.4125,21.3875,21.3843569444444,113.994,110.233,111.178,111.239719212963,"0","0","16","1","0","0","0","0","0","0","0","0","0","0",2016-04-04
"5",NA,NA,NA,NA,NA,NA,NA,NA,2.91794,0.0511638,0.1263955,0.645279215104167,16,2.91794,0.1263955,0.7784475,4,4,0,1,"(75,80]","(45,50]","(55,60]","(60,65]",24.5,0,19.5,14.125748502994,23.0975,0.005,21.3825,19.6618501159644,112.699,92.9764,110.274,107.037294074175,"0","0","23","1","0","0","0","0","0","0","0","0","0","0",2016-04-05
"6",NA,NA,NA,NA,NA,NA,NA,NA,0.334943,0.0342707,0.175874,0.104183755277778,18,0.334943,0.175874,0.185588,4,4,0,NA,"(80,85]","(40,45]","(55,60]","(60,65]",31.5,0,19.5,19.5499075785582,22.52,16.06,21.3875,21.2566808401639,131.628,106.308,112.029,112.587450115741,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-04-06
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.162894,0.0394637,0.1492475,0.07502108,4,0.162894,0.1492475,0.150715,4,4,0,NA,"(90,95]","(50,55]","(65,70]","(65,70]",21.5,19,20,20.2383561643836,21.42,20.54,21.39,21.3895416106093,117.444,111.31,112.9315,113.353138425926,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-04-07
"8",NA,NA,NA,NA,NA,NA,NA,NA,0.160251,0.046051,0.148675,0.0781136933333333,3,0.160251,0.148675,0.14927,4,4,0,NA,"(85,90]","(60,65]","(65,70]","(70,75]",21,19.5,20,20.2054794520548,21.405,21.3725,21.3925,21.3923991661819,117.169,111.809,112.865,113.15897974537,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-04-08
"9",NA,NA,NA,NA,NA,NA,NA,NA,0.136004,0.0483901,0.1268185,0.0750209266666667,6,0.136004,0.1268185,0.127268,4,4,0,NA,"(70,75]","(55,60]","(60,65]","(60,65]",20,19.5,19.5,19.7076923076923,21.41,21.38,21.39,21.3894442190669,115.01,111.167,112.283,112.300402893519,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-04-09
"10",NA,NA,NA,NA,NA,NA,NA,NA,0.234437,0.0479314,0.1545425,0.09194380625,4,0.234437,0.1545425,0.16612425,4,4,0,NA,"(70,75]","(55,60]","(55,60]","(60,65]",20.5,1.5,19.5,19.741935483871,21.4,3.6125,21.39,21.3864279719213,115.221,111.377,112.33,112.411366666667,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-04-10
