"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_median_value","thy_resv_average_value","thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_max_value","dqi_min_value","dqi_median_value","dqi_average_value","hvv_max_value","hvv_min_value","hvv_median_value","hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,0.170891,0.0949172,0.132438,0.128943738383838,99,0.170891,0.132438,0.13628195959596,NA,NA,NA,NA,"(85,90]","(60,65]","(65,70]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,111.202,105.603,108.479,108.602196875,"1","1","18","1","1","1","0","0","0","0","0","0","0","0",2015-08-01
"2",6.31881,0,0.508704,0.302125792506356,1,6.31881,6.31881,6.31881,0.164614,0.0891568,0.132574,0.126376154761905,63,0.164614,0.132574,0.13602853968254,NA,NA,NA,1,"(85,90]","(60,65]","(65,70]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,111.62,93.3182,108.555,104.994627326389,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-08-02
"3",0.591224,0,0.244677,0.0847961203681891,0,-Inf,NA,NA,0.184461,0.0871521,0.134206,0.128435945283019,106,0.184461,0.134206,0.137070094339623,NA,NA,NA,NA,"(85,90]","(60,65]","(70,75]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,111.78,107.388,108.707,108.898523263889,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-08-03
"4",0.57801,0.0439453,0.277935,0.0868415092223954,0,-Inf,NA,NA,0.185695,0.0868134,0.135353,0.129059838073394,109,0.185695,0.135353,0.137743990825688,NA,NA,NA,NA,"(85,90]","(55,60]","(65,70]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,111.669,107.395,108.537,108.637016087963,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-08-04
"5",3.1018,0,0.267309,0.0864660146941912,0,-Inf,NA,NA,0.18328,0.0907327,0.134261,0.12648236741573,89,0.18328,0.134261,0.136197292134831,NA,NA,NA,NA,"(80,85]","(55,60]","(65,70]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,110.832,106.992,108.287,108.427599074074,"1","1","22","1","0","0","0","0","0","0","0","0","0","0",2015-08-05
"6",3.65407,0,0.479387,0.104135335163083,5,3.65407,0.467145,1.0930448,0.264766,0.0953816,0.138459,0.137485068348624,109,0.264766,0.138459,0.149773082568807,NA,NA,NA,NA,"(85,90]","(55,60]","(70,75]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,110.981,107.025,108.466,108.460844791667,"4","1","20","1","2","1","1","1","1","1","1","1","0","0",2015-08-06
"7",1.35449,0,0.423793,0.121494916384283,15,0.853264,0.458803,0.488074533333333,0.359419,0.0920821,0.145446,0.149947487383178,107,0.359419,0.145446,0.166891551401869,NA,NA,NA,2,"(85,90]","(55,60]","(65,70]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,110.698,104.689,108.412,108.413990856481,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-08-07
"8",1.0136,0,0.5479615,0.0583580964243388,0,-Inf,NA,NA,0.173627,0.0766557,0.1287415,0.115029140909091,22,0.173627,0.1287415,0.133806727272727,NA,NA,NA,NA,"(85,90]","(55,60]","(65,70]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,110.578,105.762,108.379,108.437835648148,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-08-08
"9",0.616802,0,0.527344,0.0530587223485224,0,-Inf,NA,NA,0.194916,0.0710731,0.129141,0.114122168965517,29,0.194916,0.129141,0.134027793103448,NA,NA,NA,NA,"(85,90]","(60,65]","(65,70]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,111.073,107.644,108.5065,108.735539814815,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-08-09
"10",0.547115,0,0.547115,0.0578815094102071,0,-Inf,NA,NA,0.162812,0.0796703,0.1298095,0.112682605,20,0.162812,0.1298095,0.13188525,NA,NA,NA,NA,"(85,90]","(50,55]","(65,70]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,110.493,107.011,108.453,108.377017592593,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-08-10
