"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,0.193246,0.0550463,0.1278195,0.091838888125,32,0.193246,0.1278195,0.1309806875,5,5,0,NA,"(85,90]","(55,60]","(65,70]","(70,75]",21.5,18.5,21,20.7670682730924,21.3375,21.2925,21.3,21.3010091420534,126.721,124.709,126.141,126.100233881779,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-08-01
"2",0.866737,0,0.367673,0.0907658756821104,0,-Inf,NA,NA,0.179579,0.0639566,0.127789,0.093934792375,40,0.179579,0.127789,0.130504225,5,5,0,NA,"(95,100]","(50,55]","(65,70]","(70,75]",22.5,19,20.5,20.6549217002237,21.325,21.2825,21.3025,21.3011139765372,127.393,124.464,126.1535,126.205451476283,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-08-02
"3",0.870073,0.0439453,0.284798,0.0895077710940528,0,-Inf,NA,NA,0.186577,0.0616109,0.125589,0.0906987428378378,37,0.186577,0.125589,0.130134594594595,5,5,0,NA,"(90,95]","(55,60]","(70,75]","(70,75]",22.5,20,21,21.0413816689466,21.3175,21.29,21.3025,21.3017535425101,127.962,124.512,126.432,126.494696480583,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-08-03
"4",0.861149,0.0439453,0.288169,0.0922587537586373,0,-Inf,NA,NA,0.148824,0.0594206,0.127148,0.0913271425454545,55,0.148824,0.127148,0.127304818181818,5,5,0,NA,"(90,95]","(65,70]","(70,75]","(75,80]",22.5,0,21,21.1717791411043,21.3175,17.245,21.305,21.3027932330827,127.994,124.519,126.542,126.56769875852,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-08-04
"5",4.7526,0.0439453,0.458803,0.09711576908036,0,-Inf,NA,NA,0.18292,0.0569206,0.125103,0.091606221,40,0.18292,0.125103,0.129226375,5,5,0,NA,"(85,90]","(70,75]","(70,75]","(70,75]",22,14,21,21.082905982906,21.315,2.46,21.3025,21.2948469167745,127.331,124.849,126.621,126.526264673581,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-08-05
"6",1.0818,0,0.445996,0.0916685065843388,0,-Inf,NA,NA,23.1637,0.0574357,0.125646,0.198392740681818,44,23.1637,0.125646,0.653091772727273,5,5,0,NA,"(85,90]","(60,65]","(70,75]","(70,75]",22,11.5,21,20.9049694856146,21.325,15.545,21.3,21.2994701419481,127.476,124.67,126.484,126.396057003058,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-08-06
"7",1.71612,0.0439453,0.274438,0.0918142261415456,0,-Inf,NA,NA,0.263565,0.0586724,0.124378,0.0908688979591837,49,0.263565,0.124378,0.129386183673469,5,5,0,NA,"(85,90]","(60,65]","(65,70]","(70,75]",22,19.5,21.5,21.2739726027397,21.3225,21.2575,21.3025,21.3029992892679,127.549,124.652,126.713,126.560649831244,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-08-07
"8",1.82836,0,0.244677,0.0964944924794783,2,0.901682,0.901682,0.901682,0.311743,0.0631746,0.129255,0.0996554937931035,29,0.311743,0.129255,0.145449275862069,5,5,0,1,"(85,90]","(50,55]","(65,70]","(65,70]",23,0,20.5,20.4585674157303,21.325,0,21.2975,20.4234910591472,127.314,93.6054,126.144,123.13933613476,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-08-08
"9",0.849862,0.0439453,0.322931,0.091759430037504,0,-Inf,NA,NA,0.19317,0.0609198,0.1272025,0.0915669672916667,24,0.19317,0.1272025,0.13525375,5,5,0,NA,"(85,90]","(55,60]","(65,70]","(65,70]",22,20,20.5,20.5567010309278,21.3125,21.2875,21.3,21.3006626766657,126.958,124.555,126.126,125.984394028032,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-08-09
"10",0.863388,0,0.471261,0.0921377171988916,0,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,"(80,85]","(60,65]","(65,70]","(65,70]",22,15,20.5,20.7126865671642,21.3125,21.2925,21.3025,21.3015301238739,126.893,124.63,126.042,126.023889578013,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-08-10
