"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,0.128656,0.068622,0.123758,0.10371025,7,0.128656,0.123758,0.125020285714286,4,4,1,NA,"(55,60]","[30,35]","(35,40]","(40,45]",19.5,18.5,19.5,19.3259717314488,21.3475,21.325,21.335,21.3363219493477,110.522,105.982,108.227,108.234211226852,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-12-01
"2",1.1468,0.0439453,0.259984,0.11734968154314,0,-Inf,NA,NA,0.1317,0.0579145,0.125534,0.110383091666667,6,0.1317,0.125534,0.125714833333333,4,4,1,NA,"(60,65]","(35,40]","(45,50]","(45,50]",20,2.5,19,19.1224489795918,21.345,4.3875,21.3375,21.3335615171138,110.906,106.861,108.4095,108.460064814815,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-12-02
"3",0.732715,0,0.301274,0.108501281999851,0,-Inf,NA,NA,0.132258,0.0668831,0.121294,0.09862537,5,0.132258,0.121294,0.1242562,4,4,0,1,"(55,60]","(40,45]","(45,50]","(45,50]",33,0,19,19.2046130952381,21.35,0.25,21.34,21.3295252154485,111.333,106.834,108.6185,108.900231944444,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-12-03
"4",0.70175,0,0.284798,0.121531312092907,1,0.240698,0.240698,0.240698,0.146304,0.0789974,0.128831,0.10900599,5,0.146304,0.128831,0.1299796,4,4,0,1,"(65,70]","(40,45]","(45,50]","(50,55]",20,0,19.5,19.3864541832669,21.35,0.2125,21.34,21.3308358269859,110.182,106.695,108.654,108.731130787037,"3","1","23","1","0","0","1","1","0","0","0","0","0","0",2015-12-04
"5",5.33461,0,0.288169,0.143592652716332,19,5.33461,0.319927,1.10206021052632,0.152336,0.0789275,0.1288855,0.111975870833333,12,0.152336,0.1288855,0.130525083333333,4,4,1,1,"(60,65]","(40,45]","(50,55]","(50,55]",20,0,19.5,19.2616753150482,21.3475,0.175,21.34,21.3273364297254,111.241,106.117,109.109,109.087805902778,"5","1","20","1","0","0","2","1","0","0","1","1","0","0",2015-12-05
"6",8.72168,0,0.288169,0.137005058939585,21,0.759885,0.288169,0.350345238095238,8.04796,0.0494066,0.127836,0.35551024375,16,8.04796,0.127836,0.623957625,4,4,1,1,"(55,60]","(35,40]","(45,50]","(45,50]",20,0,19,19.2005912162162,21.345,0.195,21.34,21.3291103097659,111.126,105.964,108.5295,108.762875462963,"0","0","20","1","0","0","0","0","0","0","0","0","0","0",2015-12-06
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,NA,"(60,65]","(45,50]","(55,60]","(55,60]",0.5,0,0,0.166666666666667,0.0025,0,0.0025,0.00154920767306088,94.1692,92.7466,93.47425,93.4654953703704,"0","0","21","1","0","0","0","0","0","0","0","0","0","0",2015-12-09
"8",6.26772,0,0.248592,0.101923758383775,0,-Inf,NA,NA,0.92762,0.085273,0.128416,0.19324183,5,0.92762,0.128416,0.2864758,4,4,0,2,"(70,75]","(50,55]","(55,60]","(55,60]",21,0,19.5,19.4851170568562,21.3975,0.19,21.385,21.341267665692,112.376,93.4489,110.154,107.846854537037,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-12-10
"9",3.28857,0,0.228347,0.109890018578471,0,-Inf,NA,NA,0.165995,0.0641003,0.129287,0.105116014285714,7,0.165995,0.129287,0.133903428571429,4,4,0,2,"(65,70]","(50,55]","(55,60]","(55,60]",33,0,19.5,19.5670572916667,21.395,0.1875,21.3875,21.3682815653734,112.107,107.561,110.1405,110.171813541667,"1","1","23","1","0","0","0","0","0","0","0","0","0","0",2015-12-11
"10",5.77057,0,0.259984,0.125485664369424,3,5.77057,4.30843,3.61422933333333,0.147585,0.0710731,0.1242225,0.10841104375,8,0.147585,0.1242225,0.1279895,4,4,1,1,"(60,65]","(45,50]","(50,55]","(50,55]",20,0,19,19.1155810983397,21.3925,0.205,21.385,21.3674377114734,111.082,107.376,109.3585,109.353535763889,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-12-12
