"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_median_value","thy_resv_average_value","thy_resv_high_var","swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_max_value","dqi_min_value","dqi_median_value","dqi_average_value","hvv_max_value","hvv_min_value","hvv_median_value","hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,11.4211,0.104605,0.145424,0.157779422338569,191,11.4211,0.145424,0.208163879581152,NA,NA,NA,NA,"(75,80]","(40,45]","(50,55]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,107.601,104.419,105.757,105.820928356481,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-01
"2",2.16629,0.0439453,0.164428,0.10890509582364,0,-Inf,NA,NA,0.178311,0.0269828,0.1431705,0.135993373784722,192,0.178311,0.1431705,0.144787385416667,NA,NA,NA,NA,"(70,75]","(35,40]","(50,55]","(50,55]",NA,NA,NA,NA,NA,NA,NA,NA,107.796,104.152,105.527,105.66396099537,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-02
"3",0.662103,0.0621481,0.164428,0.112218247860012,0,-Inf,NA,NA,0.270863,0.108933,0.146571,0.140995191588785,214,0.270863,0.146571,0.149729331775701,NA,NA,NA,NA,"(70,75]","(40,45]","(50,55]","(50,55]",NA,NA,NA,NA,NA,NA,NA,NA,108.126,104.339,105.766,105.759611805556,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-03
"4",4.48909,0.0621481,0.164428,0.114422435263351,0,-Inf,NA,NA,0.308238,0.116336,0.154162,0.146671632520325,205,0.308238,0.154162,0.156986346341463,NA,NA,NA,NA,"(70,75]","(45,50]","(50,55]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,107.578,105.143,106.182,106.202463425926,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-04
"5",7.21426,0.0439453,0.164428,0.110160768825934,1,7.21426,7.21426,7.21426,0.250239,0.113258,0.153503,0.145699703891709,197,0.250239,0.153503,0.156021005076142,NA,NA,NA,NA,"(70,75]","(40,45]","(50,55]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,108.154,104.996,106.1205,106.236562962963,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-05
"6",0.175781,0.0621481,0.164428,0.115424679647362,0,-Inf,NA,NA,0.336287,0.120319,0.163399,0.155132459412781,193,0.336287,0.163399,0.167786445595855,NA,NA,NA,NA,"(65,70]","(45,50]","(50,55]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,107.534,104.609,105.9705,105.996406828704,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-06
"7",0.448156,0.0621481,0.175781,0.119260938580731,0,-Inf,NA,NA,0.275639,0.122262,0.168319,0.156071149068323,161,0.275639,0.168319,0.168802142857143,NA,NA,NA,NA,"(65,70]","(55,60]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,107.119,103.77,105.193,105.224745833333,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-07
"8",0.412244,0.0621481,0.181191,0.129815117537143,0,-Inf,NA,NA,0.323361,0.119336,0.183031,0.171474715210356,206,0.323361,0.183031,0.185033412621359,NA,NA,NA,NA,"(70,75]","(55,60]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,107.495,103.667,105.923,105.950869675926,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-08
"9",0.647355,0,0.186444,0.130371811107588,0,-Inf,NA,NA,0.286556,0.126349,0.189616,0.175612004950495,202,0.286556,0.189616,0.18896896039604,NA,NA,NA,NA,"(60,65]","(50,55]","(60,65]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,107.789,103.044,106.183,106.147983101852,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-09
"10",4.4658,0.0621481,0.186444,0.131992493231956,1,4.4658,4.4658,4.4658,0.239165,0.12012,0.1877235,0.175857333333333,194,0.239165,0.1877235,0.189290046391753,NA,NA,NA,NA,"(70,75]","(50,55]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,107.671,104.081,105.514,105.739944560185,"1","1","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-10
"11",1.56546,0,0.186444,0.13124480450295,2,1.11347,0.6848565,0.6848565,0.22223,0.126258,0.1814805,0.170580376602564,208,0.22223,0.1814805,0.180979581730769,NA,NA,NA,NA,"(65,70]","(40,45]","(50,55]","(50,55]",NA,NA,NA,NA,NA,NA,NA,NA,107.437,103.393,105.9115,105.893165162037,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-11
"12",1.0212,0,0.191553,0.133034519867125,0,-Inf,NA,NA,0.235877,0.133601,0.1873245,0.174957038135593,118,0.235877,0.1873245,0.187519033898305,NA,NA,NA,NA,"(70,75]","(40,45]","(50,55]","(50,55]",NA,NA,NA,NA,NA,NA,NA,NA,107.056,92.3724,105.0585,100.654199367237,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-12
"13",0.824487,0,0.493285,0.065572620893957,0,-Inf,NA,NA,0.231244,0.0982152,0.140884,0.134359564825046,181,0.231244,0.140884,0.143229082872928,NA,NA,NA,NA,"(70,75]","(45,50]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,107.97,94.0498,106.316,105.876928978128,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-13
"14",3.98863,0,2.67273,0.0688001649428255,0,-Inf,NA,NA,0.227391,0.0911174,0.141723,0.133828692156863,170,0.227391,0.141723,0.1440147,NA,NA,NA,NA,"(75,80]","(45,50]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,108.595,105.651,106.6155,106.737178935185,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-14
"15",1.91048,0,1.0775785,0.0657728086162074,0,-Inf,NA,NA,0.280523,0.0982901,0.140688,0.133989646060606,165,0.280523,0.140688,0.144888096969697,NA,NA,NA,NA,"(75,80]","(45,50]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,108.379,105.583,106.689,106.757816782407,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-15
"16",0.610508,0,0.201383,0.0642753269084906,0,-Inf,NA,NA,0.242642,0.0917817,0.146383,0.137602249444444,180,0.242642,0.146383,0.149165155555556,NA,NA,NA,NA,"(75,80]","(40,45]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,108.268,103.158,106.591,106.630657523148,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-16
