"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",0.629201,0.0761155,0.33178,0.152603314524399,10,0.629201,0.3122555,0.3338013,0.158959,0.0727119,0.132013,0.110202158125,24,0.158959,0.132013,0.135063666666667,4,4,0,1,"(55,60]","(50,55]","(55,60]","(50,55]",30,0,19.5,18.9411764705882,21.38,0.2525,21.38,21.3199342825849,109.452,106.545,109.08,108.969238884045,"14","1","10","1","0","0","8","1","0","0","5","1","0","0",2016-02-02
"2",4.17411,0,0.328857,0.152255613323929,59,1.39106,0.319927,0.386320881355932,0.176101,0.0668831,0.132924,0.110435391777778,135,0.176101,0.132924,0.134989437037037,4,4,1,1,"(65,70]","(40,45]","(45,50]","(45,50]",21,0,19.5,19.3861138861139,21.385,0.225,21.3775,20.9576496833621,110.855,95.3055,108.583,108.862467743056,"1","1","22","1","0","0","1","1","0","0","0","0","0","0",2016-02-03
"3",9.33308,0,0.307617,0.12668397694842,7,9.33308,0.66356,2.35307742857143,0.188628,0.0569206,0.131153,0.101032418333333,75,0.188628,0.131153,0.135847866666667,4,4,1,1,"(60,65]","(35,40]","(45,50]","(45,50]",20,0,19.5,19.4039955604883,21.385,0.2525,21.3775,21.3609780163599,111.01,107.692,109.306,109.500578349912,"15","1","9","1","15","1","8","1","7","1","6","1","5","1",2016-02-04
"4",1.95495,0.0439453,0.400361,0.186676300931962,59,1.95495,0.421509,0.504152610169492,30.834,0.0622352,0.1355365,0.162416595560345,116,30.834,0.1355365,0.405704,4,4,0,NA,"(60,65]","(40,45]","(45,50]","(50,55]",20.5,18.5,19.5,19.7042696629213,21.3875,21.2375,21.38,21.3795716666667,111.907,108.231,109.766,109.844288541667,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2016-02-05
"5",5.31048,0.0982647,0.471261,0.231363796282195,95,5.31048,0.439453,0.508767052631579,0.176631,0.0685415,0.135835,0.113750297857143,168,0.176631,0.135835,0.138768803571429,4,4,0,NA,"(65,70]","(35,40]","(45,50]","(50,55]",20,2,19.5,19.4377187864644,21.3875,15.4125,21.3775,21.376058066609,111.282,106.456,109.628,109.509193865741,"24","1","0","0","19","1","12","1","9","1","8","1","6","1",2016-02-06
"6",5.69444,0,0.43725,0.219832604090097,96,5.69444,0.4087135,0.499422052083333,0.222315,0.0682184,0.135353,0.112363149371069,159,0.222315,0.135353,0.139236893081761,4,4,0,NA,"(65,70]","(35,40]","(45,50]","(50,55]",20.5,17,19.5,19.5542944785276,21.39,17.25,21.38,21.3784553537647,112.014,108.458,109.559,109.735659722222,"22","1","3","1","13","1","10","1","7","1","7","1","4","1",2016-02-07
"7",2.52485,0,0.430574,0.1936164357093,83,2.52485,0.402765,0.467225722891566,0.325172,0.0641003,0.132369,0.109831814728682,129,0.325172,0.132369,0.137682992248062,4,4,0,1,"(75,80]","(40,45]","(50,55]","(55,60]",20.5,0,20,19.9661443760492,21.3925,0.2525,21.38,21.3617583757422,112.449,107.463,109.823,110.077116666667,"24","1","0","0","11","1","12","1","5","1","8","1","4","1",2016-02-08
"8",1.91654,0,0.405156,0.196351289032283,95,0.893074,0.372888,0.409801536842105,0.196496,0.0550463,0.134257,0.110964526556291,151,0.196496,0.134257,0.137532139072848,4,4,0,1,"(75,80]","(45,50]","(55,60]","(55,60]",20.5,0.5,20,20.0080944350759,21.3925,0.255,21.3825,21.3549067247542,112.644,106.66,110.195,110.360065270223,"18","1","5","1","9","1","9","1","5","1","6","1","3","1",2016-02-09
"9",4.50327,0,0.433912,0.184426195431003,79,4.50327,0.402765,0.560922481012658,0.218252,0.0530365,0.136241,0.111568811436404,152,0.218252,0.136241,0.139620565789474,4,4,0,1,"(75,80]","(45,50]","(55,60]","(55,60]",20.5,0,20,20.0101491300746,21.405,0.2525,21.3825,21.3686518751456,112.554,107.514,110.245,110.309761921296,"22","1","0","0","3","1","12","1","2","1","8","1","0","0",2016-02-10
"10",3.54571,0,0.400361,0.182253591484614,86,3.54571,0.365037,0.437686139534884,0.239717,0.0690499,0.136315,0.111268163405797,138,0.239717,0.136315,0.140776231884058,4,4,0,2,"(75,80]","(40,45]","(55,60]","(55,60]",30.5,0,20,19.9231368880574,21.3925,0.0075,21.3825,20.5701332769198,112.737,92.9896,110.231,109.741008310185,"20","1","4","1","0","0","9","1","0","0","7","1","0","0",2016-02-11
"11",7.3191,0,0.362382,0.166576792178203,76,7.3191,0.351562,0.506700815789474,0.268273,0.0574357,0.136207,0.111536013669065,139,0.268273,0.136207,0.140689561151079,4,4,0,NA,"(75,80]","(45,50]","(55,60]","(55,60]",20.5,19.5,20,19.9918604651163,21.4075,21.3725,21.385,21.3846296108634,112.424,108.894,110.349,110.474440907512,"23","1","1","1","0","0","12","1","0","0","8","1","0","0",2016-02-12
"12",9.5505,0,0.395508,0.173416895960132,89,9.5505,0.367673,0.520096651685393,0.23637,0.0611309,0.1371835,0.113169737865854,164,0.23637,0.1371835,0.141204268292683,4,4,0,1,"(70,75]","(45,50]","(55,60]","(55,60]",20.5,0.5,20,19.8049305887985,21.3925,0.2625,21.385,21.3663546498785,111.71,109.055,110.314,110.346068973498,"24","1","0","0","0","0","12","1","0","0","8","1","0","0",2016-02-13
"13",2.11349,0,0.380578,0.173498357250862,95,2.11349,0.357013,0.422262010526316,0.214663,0.0710731,0.140466,0.117060512859745,183,0.214663,0.140466,0.145194819672131,4,4,0,NA,"(70,75]","(45,50]","(50,55]","(55,60]",20.5,1.5,20,19.7503875968992,21.39,12.2525,21.385,21.3817684021544,112.003,108.362,110.316,110.299629007987,"23","1","1","1","0","0","11","1","0","0","8","1","0","0",2016-02-14
"14",0.954737,0.0439453,0.37029,0.170179059327768,89,0.884382,0.348805,0.395850337078652,0.210333,0.0671029,0.14265,0.117431317846154,195,0.210333,0.14265,0.144781358974359,4,4,0,NA,"(75,80]","(40,45]","(50,55]","(55,60]",21,19.5,20,19.9347826086957,21.39,21.23,21.385,21.3842551020408,112.283,108.773,110.215,110.210505439815,"24","1","0","0","0","0","12","1","0","0","8","1","0","0",2016-02-15
"15",5.25032,0,0.351562,0.169613309241138,96,5.25032,0.333229,0.535273072916667,0.20715,0.0685415,0.144599,0.120449898267327,202,0.20715,0.144599,0.146589782178218,4,4,0,1,"(80,85]","(45,50]","(60,65]","(60,65]",26,0,20,19.9583536288359,23.0475,0.2675,21.385,21.3752867528271,112.47,107.113,110.412,110.414672723064,"24","1","0","0","0","0","12","1","0","0","8","1","0","0",2016-02-16
"16",1.11434,0,0.365037,0.169786511894971,95,1.11434,0.33178,0.410736715789474,30.9377,0.0620871,0.143042,0.1509474192,200,30.9377,0.143042,0.30100499,4,4,0,1,"(75,80]","(45,50]","(55,60]","(60,65]",20.5,0,20,19.8969176351693,21.3925,0.2325,21.385,21.3550883977901,112.557,104.257,110.395,110.468423197129,"16","1","0","0","2","1","9","1","2","1","5","1","2","1",2016-02-17
"17",1.73292,0,0.375469,0.190965288928312,66,1.73292,0.343224,0.477821893939394,0.865288,0.0606472,0.1411825,0.124359825774648,142,0.865288,0.1411825,0.152713598591549,4,4,0,2,"(75,80]","(55,60]","(60,65]","(60,65]",21,0,20,19.4882352941176,23.47,0.005,21.385,20.3442095721537,127.311,92.6636,110.346,105.798262443491,"18","1","6","1","2","1","9","1","1","1","6","1","0","0",2016-02-18
"18",6.0314,0,0.400361,0.172013924986105,69,6.0314,0.372888,0.538407550724638,6.91263,0.0625597,0.146219,0.125820353782435,167,6.91263,0.146219,0.192772479041916,4,4,0,NA,"(70,75]","(45,50]","(50,55]","(55,60]",20.5,5.5,19.5,19.3768886997233,21.395,18.8175,21.3825,21.3825534669068,114.045,109.793,111.589,111.689530378428,"24","1","0","0","1","1","12","1","0","0","8","1","0","0",2016-02-19
"19",0.910209,0,0.383106,0.179476886474885,93,0.910209,0.359708,0.389013376344086,0.231658,0.0129785,0.1442715,0.119448063061224,196,0.231658,0.1442715,0.148530943877551,4,4,0,1,"(65,70]","(40,45]","(50,55]","(50,55]",21,0,19.5,19.4369933677229,21.4,0.2825,21.3825,21.3756494388125,113.927,109.394,111.416,111.443664428753,"23","1","1","1","0","0","11","1","0","0","8","1","0","0",2016-02-20
"20",4.26066,0.0439453,0.378032,0.176805114933945,88,4.26066,0.365037,0.432538590909091,0.24268,0.0657729,0.1459485,0.121665986068182,220,0.24268,0.1459485,0.149593959090909,4,4,0,NA,"(65,70]","(40,45]","(50,55]","(50,55]",20,19,19.5,19.6925477239354,21.3925,19.595,21.3825,21.3819714800679,113.801,109.34,111.388,111.42241256799,"22","1","2","1","0","0","11","1","0","0","7","1","0","0",2016-02-21
"21",4.91913,0.0439453,0.385619,0.17285858131569,86,4.91913,0.367673,0.553007872093023,0.241463,0.0593276,0.144616,0.120181598465347,202,0.241463,0.144616,0.149700232673267,4,4,0,NA,"(65,70]","(40,45]","(45,50]","(50,55]",20,0,19.5,19.4384033800311,21.3925,2.3575,21.3825,21.3739082946391,113.562,109.278,110.908,111.071423544392,"24","1","0","0","0","0","12","1","0","0","8","1","0","0",2016-02-22
"22",4.80393,0.0621481,0.385619,0.182296753569563,94,4.80393,0.359708,0.466162904255319,0.280117,0.0696868,0.147758,0.122769423326023,228,0.280117,0.147758,0.151118964912281,4,4,0,NA,"(70,75]","(40,45]","(50,55]","(55,60]",21.5,19,19.5,19.6143488745981,21.39,19.77,21.3825,21.3827045119123,113.837,109.311,111.08,111.178347992131,"24","1","0","0","1","1","12","1","0","0","8","1","0","0",2016-02-23
"23",2.5214,0,0.397942,0.189716728535713,95,2.5214,0.367673,0.459762231578947,0.696228,0.0707356,0.152297,0.126479443114407,236,0.696228,0.152297,0.158308,4,4,0,3,"(75,80]","(40,45]","(50,55]","(55,60]",20.5,0,19.5,19.4835680751174,21.7375,0.245,21.385,21.3573418073854,113.973,108.271,111.127,111.171750578704,"24","1","0","0","1","1","12","1","0","0","8","1","0","0",2016-02-24
"24",5.94189,0,0.414573,0.189766094737226,96,5.94189,0.366355,0.498262625,0.292407,0.0702393,0.15086,0.126597386118619,222,0.292407,0.15086,0.157323252252252,4,4,0,1,"(75,80]","(40,45]","(50,55]","(55,60]",20.5,0,19.5,19.4637305699482,21.4,0.2275,21.385,21.2976634745599,113.527,101.529,111.116,111.072909711772,"24","1","0","0","1","1","12","1","0","0","8","1","0","0",2016-02-25
"25",2.6875,0,0.390594,0.182589006550221,95,2.6875,0.362382,0.444940778947368,1.8291,0.0659127,0.149173,0.125408469585253,217,1.8291,0.149173,0.161402493087558,4,4,0,1,"(75,80]","(45,50]","(55,60]","(55,60]",20.5,0,20,19.8043405676127,21.395,0.23,21.385,21.3069713559916,114.18,100.085,111.341,111.303094317787,"24","1","0","0","0","0","12","1","0","0","8","1","0","0",2016-02-26
