"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",2.54086,0,0.440516,0.160284875426876,6,2.54086,0.366355,0.813466666666667,0.269642,0.0679751,0.1540885,0.161061,10,0.269642,0.1540885,0.1737722,4,4,1,12,"(55,60]","(45,50]","(50,55]","(50,55]",29.5,0,19,18.830412371134,21.38,0.0025,21.3725,13.4433998027058,126.865,93.1428,94.9309,101.722850717593,"2","1","13","1","1","1","1","1","0","0","0","0","0","0",2016-01-06
"2",3.81743,0,0.3637095,0.141590580099946,3,1.49026,1.01265,1.16543566666667,0.256098,0.0655486,0.1482055,0.136751005,10,0.256098,0.1482055,0.1659285,4,4,1,2,"(55,60]","(45,50]","(50,55]","(50,55]",29,0,19,19.2218465157307,21.7075,0.0025,21.375,19.1157415107415,120.984,92.0696,110.205,102.708315364857,"3","1","20","1","0","0","2","1","0","0","1","1","0","0",2016-01-07
"3",3.91015,0,0.334678,0.140900350587332,14,3.91015,0.6651235,1.24679164285714,0.267723,0.0608896,0.13995,0.1221544016,25,0.267723,0.13995,0.15549348,4,4,1,2,"(55,60]","(40,45]","(45,50]","(45,50]",28,0,19,19.2244599459946,21.395,0.01,21.3775,21.2728172966781,112.445,97.2046,110.906,110.78544630787,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-01-08
"4",3.42492,0,0.316894,0.135405456709796,12,3.42492,0.419291,0.878758083333333,0.317843,0.0561062,0.1380315,0.0973401325925926,54,0.317843,0.1380315,0.159546814814815,4,4,1,2,"(55,60]","(35,40]","(40,45]","(45,50]",20,0,19.5,19.2551145662848,21.385,0.0425,21.3775,21.2881683461766,112.105,102.498,110.345,110.402319444444,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-01-09
"5",6.37283,0.0439453,0.304462,0.125126384212094,1,6.37283,6.37283,6.37283,0.261632,0.0536919,0.135448,0.0926626980392157,51,0.261632,0.135448,0.144194450980392,4,4,0,NA,"(55,60]","(45,50]","(50,55]","(50,55]",20,19,19.5,19.4858230506695,21.4025,21.345,21.38,21.3797256170621,112.251,108.904,110.443,110.562193287037,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-01-10
"6",5.6262,0,0.33178,0.130120595303716,3,5.6262,3.2308,3.047266,0.496689,0.046011,0.138125,0.100063588014706,68,0.496689,0.138125,0.160901852941176,4,4,0,NA,"(60,65]","(45,50]","(45,50]","(50,55]",20.5,9,19.5,19.3826969384245,21.39,19.81,21.3825,21.3804346885813,111.795,108.654,110.3935,110.458998263889,"11","1","13","1","0","0","7","1","0","0","3","1","0","0",2016-01-11
"7",1.03435,0,0.319927,0.149063104035666,49,1.03435,0.304462,0.35721006122449,0.304851,0.0637259,0.131588,0.105613296701031,97,0.304851,0.131588,0.141380979381443,4,4,0,1,"(60,65]","(45,50]","(50,55]","(50,55]",20.5,0,19.5,19.5973307291667,21.3875,0.1825,21.38,21.3696543496046,112.361,108.077,110.38,110.455314699074,"10","1","14","1","0","0","5","1","0","0","3","1","0","0",2016-01-12
"8",3.28651,0,0.33755,0.146471488900031,47,1.72174,0.322931,0.401114510638298,0.195971,0.0644154,0.131097,0.101504800774648,71,0.195971,0.131097,0.134716690140845,4,4,1,NA,"(65,70]","(40,45]","(50,55]","(50,55]",20.5,2.5,19.5,19.495818815331,21.395,2.3725,21.38,21.375427376581,112.065,108.728,110.421,110.354968865741,"5","1","19","1","0","0","3","1","0","0","2","1","0","0",2016-01-13
"9",4.94341,0,0.33178,0.134772595879523,22,4.94341,0.298034,0.574424954545455,54.674,0.0613714,0.1345465,0.361914079519231,52,54.674,0.1345465,1.19125819230769,4,4,0,2,"(60,65]","(50,55]","(55,60]","(55,60]",21,0,19.5,19.6876780626781,21.395,0.0075,21.3825,21.146576259947,111.705,93.2658,110.232,109.576405636574,"23","1","0","0","0","0","12","1","0","0","8","1","0","0",2016-01-14
"10",3.40994,0,0.344625,0.166080793288052,95,0.752223,0.316894,0.357934947368421,0.304307,0.0719995,0.133862,0.107502359868421,114,0.304307,0.133862,0.140513070175439,4,4,1,1,"(55,60]","(35,40]","(45,50]","(45,50]",20.5,0,19.5,19.4443037974684,21.39,0.18,21.3775,21.3700227085054,111.583,106.848,109.489,109.558732407407,"24","1","0","0","4","1","11","1","2","1","8","1","1","1",2016-01-15
"11",3.40994,0.0621481,0.357013,0.175214890221933,94,3.40994,0.321429,0.384736744680851,0.269081,0.0698978,0.1373445,0.117168808851351,148,0.269081,0.1373445,0.146890135135135,4,4,0,NA,"(65,70]","(45,50]","(50,55]","(50,55]",20,9.5,20,19.7461984069515,21.385,14.7025,21.3825,21.3806215243703,112.064,108.744,110.157,110.200208217593,"24","1","0","0","0","0","12","1","0","0","8","1","0","0",2016-01-16
"12",1.80015,0,0.348805,0.164750891876701,93,1.80015,0.31074,0.393206053763441,0.216951,0.0682184,0.1347995,0.11048509155303,132,0.216951,0.1347995,0.140447643939394,4,4,1,NA,"(65,70]","(50,55]","(50,55]","(55,60]",20.5,15.5,19.5,19.7219789842382,21.4025,16.98,21.3825,21.3808484314712,112.341,108.897,110.293,110.395263541667,"16","1","7","1","0","0","9","1","0","0","6","1","0","0",2016-01-17
"13",0.712673,0,0.322931,0.153238736143608,64,0.712673,0.304462,0.3449399375,0.315284,0.0690499,0.1344095,0.109286198813131,132,0.315284,0.1344095,0.142872424242424,4,4,1,NA,"(60,65]","(50,55]","(55,60]","(55,60]",20,0,20,19.7656020558003,21.39,2.46,21.3825,21.3778791033807,112.031,109.524,110.685,110.686962847222,"11","1","14","1","0","0","5","1","0","0","2","1","0","0",2016-01-18
"14",3.24571,0,0.325907,0.149525358096793,40,3.24571,0.33178,0.452172475,0.27747,0.0676766,0.135231,0.110184623255814,129,0.27747,0.135231,0.141791069767442,4,4,1,NA,"(70,75]","(50,55]","(55,60]","(55,60]",20,19,19.5,19.6704934049829,21.3925,21.3675,21.3825,21.3821989029335,112.115,109.416,110.66,110.642696990741,"1","1","21","1","0","0","0","0","0","0","0","0","0","0",2016-01-19
