"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_median_value","thy_resv_average_value","thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_max_value","dqi_min_value","dqi_median_value","dqi_average_value","hvv_max_value","hvv_min_value","hvv_median_value","hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,0.154051,0.0845794,0.134545,0.12252682890625,64,0.154051,0.134545,0.1347405625,NA,NA,NA,NA,"(95,100]","(55,60]","(70,75]","(75,80]",NA,NA,NA,NA,NA,NA,NA,NA,111.815,107.456,108.981,109.072763425926,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-01
"2",1.31689,0,0.512486,0.0638226415159467,0,-Inf,NA,NA,0.158739,0.0878254,0.135122,0.124740744915254,59,0.158739,0.135122,0.135568525423729,NA,NA,NA,0,"(95,100]","(60,65]","(75,80]","(75,80]",NA,NA,NA,NA,NA,NA,NA,NA,111.538,107.736,108.968,109.210578420991,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-02
"3",3.04969,0,0.491324,0.0664205477175564,0,-Inf,NA,NA,0.158681,0.0690499,0.132796,0.12018301627907,43,0.158681,0.132796,0.132643093023256,NA,NA,NA,NA,"(90,95]","(60,65]","(70,75]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,110.652,105.756,108.67,108.706014699074,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-03
"4",0.550633,0.0439453,0.550633,0.0691195557364016,0,-Inf,NA,NA,0.172638,0.0741906,0.127074,0.11271956,20,0.172638,0.127074,0.1317455,NA,NA,NA,0,"(85,90]","(60,65]","(70,75]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,110.616,107.015,108.485,108.575686494619,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-04
"5",1.27971,0,0.483398,0.0650894734512279,0,-Inf,NA,NA,0.18288,0.0710731,0.130107,0.114752176190476,21,0.18288,0.130107,0.13379580952381,NA,NA,NA,NA,"(85,90]","(60,65]","(70,75]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,110.696,107.69,108.624,108.881934490741,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-05
"6",0.543573,0,0.510598,0.0682112931799315,0,-Inf,NA,NA,0.135883,0.0659127,0.125382,0.1066683675,20,0.135883,0.125382,0.12677525,NA,NA,NA,NA,"(90,95]","(60,65]","(70,75]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,111.132,107.462,108.747,108.858207407407,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-06
"7",3.64163,0,2.0908195,0.0728182756721282,0,-Inf,NA,NA,0.13357,0.0818585,0.128301,0.109115855555556,9,0.13357,0.128301,0.127868666666667,NA,NA,NA,NA,"(85,90]","(60,65]","(70,75]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,110.218,106.231,108.134,108.23659212963,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-07
"8",0.518108,0,0.224078,0.0578606627214318,0,-Inf,NA,NA,0.140636,0.075103,0.1257615,0.107743378125,16,0.140636,0.1257615,0.1268435,NA,NA,NA,NA,"(85,90]","(55,60]","(65,70]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,111.455,106.773,108.193,108.49829525463,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-08
"9",0.518108,0,0.4003275,0.0596920540761479,0,-Inf,NA,NA,0.160167,0.0735176,0.1318005,0.116024577272727,22,0.160167,0.1318005,0.135051863636364,NA,NA,NA,NA,"(85,90]","(55,60]","(60,65]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,110.359,106.446,108.417,108.373996643519,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-09
"10",0.502977,0,0.497184,0.0618718738471855,0,-Inf,NA,NA,0.168807,0.0748083,0.128913,0.113265297368421,19,0.168807,0.128913,0.132285894736842,NA,NA,NA,NA,"(80,85]","(55,60]","(60,65]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,109.828,106.909,108.077,108.202943865741,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-10
"11",4.20683,0,0.497184,0.0652205489161693,0,-Inf,NA,NA,0.146882,0.081746,0.129102,0.119042795238095,21,0.146882,0.129102,0.131973904761905,NA,NA,NA,NA,"(80,85]","(60,65]","(65,70]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,110.229,106.794,108.273,108.399391782407,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-11
"12",0.530993,0,0.489354,0.0632704066187137,0,-Inf,NA,NA,0.170891,0.0774917,0.1294255,0.113486516666667,24,0.170891,0.1294255,0.132235333333333,NA,NA,NA,NA,"(80,85]","(55,60]","(65,70]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,110.202,106.185,108.037,108.158428587963,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-12
"13",4.39013,0,0.897389,0.0663042744628346,0,-Inf,NA,NA,0.153955,0.0745865,0.1307455,0.113446678125,32,0.153955,0.1307455,0.1309858125,NA,NA,NA,3,"(85,90]","(55,60]","(65,70]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,109.806,104.201,108.149,108.146197453704,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-13
