"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,0.267195,0.0632911,0.132494,0.104228754951456,103,0.267195,0.132494,0.13599367961165,5,5,0,NA,"(80,85]","(50,55]","(65,70]","(65,70]",21.5,19.5,20.5,20.4373589164786,21.315,21.28,21.3,21.298730558598,128.54,111.024,126.517,125.228938802238,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-07-01
"2",3.66067,0,0.186444,0.109536452251605,0,-Inf,NA,NA,0.166648,0.0622352,0.129257,0.104343983097826,92,0.166648,0.129257,0.132195543478261,5,5,0,2,"(80,85]","(50,55]","(65,70]","(65,70]",27.5,0,20,20.1786163522013,21.32,0.0025,21.2975,21.1039126394052,128.798,94.9505,125.911,124.896005566814,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-07-02
"3",0.890909,0.0439453,0.186444,0.105567574432608,0,-Inf,NA,NA,0.170891,0.0748083,0.1318515,0.104940656860465,86,0.170891,0.1318515,0.134323337209302,5,5,0,NA,"(85,90]","(50,55]","(65,70]","(65,70]",22,2.5,20,20.2546148949714,21.315,4.3775,21.2975,21.2938481977819,128.261,124.886,126.323,126.444828650006,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-07-03
"4",0.907021,0.0439453,0.181191,0.109483839989232,0,-Inf,NA,NA,0.166965,0.0686488,0.133045,0.106155924488449,101,0.166965,0.133045,0.135302455445545,5,5,0,NA,"(85,90]","(55,60]","(60,65]","(65,70]",22.5,6,20.5,20.7261427425822,21.3225,21.2825,21.2975,21.2984377758164,128.727,124.908,126.386,126.608525731343,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-07-04
"5",1.9306,0.0439453,0.191553,0.109624734883861,0,-Inf,NA,NA,0.16564,0.0735926,0.132407,0.106513012637363,91,0.16564,0.132407,0.133624307692308,5,5,0,NA,"(80,85]","(55,60]","(65,70]","(65,70]",21.5,19,20.5,20.7046979865772,21.33,21.2725,21.3,21.299416347731,128.731,125.325,126.753,126.908683854105,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-07-05
"6",1.08892,0,0.201383,0.107711592686314,0,-Inf,NA,NA,0.169724,0.0698978,0.13224,0.106673505769231,91,0.169724,0.13224,0.134278340659341,5,5,0,1,"(80,85]","(55,60]","(60,65]","(65,70]",25,0,20.5,20.6553730321697,21.3225,0.1125,21.2975,21.2785363772136,128.108,116.848,126.703,126.820790332254,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-07-06
"7",0.861149,0,0.196529,0.110943792158503,0,-Inf,NA,NA,0.200784,0.0682184,0.132438,0.109208000391304,115,0.200784,0.132438,0.134984391304348,5,5,0,NA,"(85,90]","(50,55]","(70,75]","(70,75]",22,19.5,20,20.0555339049104,21.3275,21.2575,21.3,21.2994227483525,128.593,125.89,126.9635,127.008895384983,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-07-07
"8",2.50334,0,0.191553,0.108997019240291,0,-Inf,NA,NA,0.414028,0.0733923,0.1327905,0.109338312298387,124,0.414028,0.1327905,0.137851661290323,5,5,0,1,"(100,105]","(55,60]","(75,80]","(75,80]",23,0,21,20.8895388850654,21.3375,0.0575,21.3025,21.2615952732644,129.717,113.245,127.638,127.684468712682,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-07-08
"9",0.997278,0.0439453,0.201383,0.110217067354973,0,-Inf,NA,NA,0.184833,0.0659127,0.129398,0.107511568666667,125,0.184833,0.129398,0.133415064,5,5,0,NA,"(100,105]","(60,65]","(80,85]","(80,85]",22.5,17,21.5,21.2411310151036,21.345,21.2825,21.3025,21.3028187755898,129.694,125.734,128.177,128.170086344663,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-07-09
"10",0.902753,0,0.201383,0.114031690122358,0,-Inf,NA,NA,0.186429,0.0703179,0.136495,0.110670693108108,148,0.186429,0.136495,0.138104581081081,5,5,0,NA,"(90,95]","(55,60]","(70,75]","(70,75]",22,10.5,20.5,20.5867713004484,21.3375,20.015,21.3,21.3000100491291,129.145,126.12,127.358,127.460297281183,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-07-10
