"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_median_value","thy_resv_average_value","thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_max_value","dqi_min_value","dqi_median_value","dqi_average_value","hvv_max_value","hvv_min_value","hvv_median_value","hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,0.237365,0.0956899,0.137726,0.128633961733002,201,0.237365,0.137726,0.141062900497512,NA,NA,NA,NA,"(80,85]","(50,55]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,110.732,107.89,108.7075,108.760382407407,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-06-01
"2",5.58745,0,0.9036385,0.31376392862383,1,5.58745,5.58745,5.58745,0.213107,0.0878254,0.140151,0.127364166306306,185,0.213107,0.140151,0.141645054054054,NA,NA,NA,2,"(85,90]","(55,60]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,110.323,95.7959,108.3295,108.170392962963,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-06-02
"3",3.75443,0.0439453,2.2957,0.0824941663971422,0,-Inf,NA,NA,0.299465,0.0958629,0.140606,0.129825591956882,201,0.299465,0.140606,0.143344756218905,NA,NA,NA,1,"(80,85]","(50,55]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,110.514,105.423,108.459,108.616640509259,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-06-03
"4",0.536421,0.0439453,0.530993,0.0813857003937926,0,-Inf,NA,NA,0.215418,0.100494,0.1402885,0.129588438552189,198,0.215418,0.1402885,0.142216671717172,NA,NA,NA,0,"(80,85]","(50,55]","(65,70]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,110.366,107.24,108.481,108.511313539471,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-06-04
"5",0.502977,0,0.485392,0.0769423884683561,0,-Inf,NA,NA,0.226515,0.0958629,0.139624,0.130273458254344,211,0.226515,0.139624,0.143031668246446,NA,NA,NA,0,"(85,90]","(50,55]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,110.861,106.588,108.345,108.563912915736,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-06-05
"6",0.516241,0,0.491324,0.0746523495995753,0,-Inf,NA,NA,0.215862,0.0994816,0.1401885,0.130841541810345,232,0.215862,0.1401885,0.142139465517241,NA,NA,NA,NA,"(85,90]","(50,55]","(65,70]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,111.84,107.068,108.4405,108.780817939815,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-06-06
"7",0.510598,0.0439453,0.502977,0.0770941281822669,0,-Inf,NA,NA,0.222315,0.0911174,0.143948,0.134229520576132,243,0.222315,0.143948,0.145257909465021,NA,NA,NA,NA,"(80,85]","(55,60]","(65,70]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,110.717,106.907,108.466,108.642218634259,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-06-07
"8",0.532809,0.0439453,0.529172,0.078935841238578,0,-Inf,NA,NA,0.29507,0.0895071,0.147154,0.135538101084011,246,0.29507,0.147154,0.147470536585366,NA,NA,NA,NA,"(85,90]","(55,60]","(65,70]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,110.435,106.624,108.158,108.353317476852,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-06-08
"9",0.504893,0.0439453,0.277935,0.0783936541802143,0,-Inf,NA,NA,0.300558,0.104093,0.147035,0.137225624481328,241,0.300558,0.147035,0.149182116182573,NA,NA,NA,NA,"(100,105]","(55,60]","(70,75]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,112.476,106.677,108.2605,108.70810150463,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-06-09
"10",0.900611,0,0.313832,0.0823624494395736,0,-Inf,NA,NA,0.184833,0.0903057,0.13807,0.1234728384,125,0.184833,0.13807,0.140194784,NA,NA,NA,NA,"(100,105]","(55,60]","(75,80]","(75,80]",NA,NA,NA,NA,NA,NA,NA,NA,111.181,105.298,108.642,108.771939930556,"1","1","23","1","1","1","1","1","0","0","1","1","1","1",2015-06-10
