"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,0.266993,0.0622352,0.141471,0.105196017307692,13,0.266993,0.141471,0.164057153846154,5,5,0,1,"(80,85]","(50,55]","(60,65]","(65,70]",21,0,20,20.2331900521953,21.2375,0.22,21.2,21.0687831108286,122.628,100.618,117.278,117.116026736111,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-06-01
"2",1.375,0,0.175781,0.114857072748793,0,-Inf,NA,NA,0.281165,0.0552132,0.135448,0.099135243255814,43,0.281165,0.135448,0.168619186046512,5,5,0,NA,"(85,90]","(55,60]","(60,65]","(65,70]",21.5,19.5,20,20.2421917808219,21.2225,21.1325,21.2025,21.2017930145752,122.258,113.871,117.173,117.435568418615,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-06-02
"3",6.46101,0,0.191553,0.118284552348804,2,6.46101,6.46101,6.46101,0.258283,0.0555788,0.1340595,0.09635285203125,32,0.258283,0.1340595,0.15267665625,5,5,0,NA,"(85,90]","(45,50]","(65,70]","(65,70]",22,0,20,20.214799154334,21.2275,3.21,21.2025,21.198809658555,122.818,113.524,117.651,117.73135934244,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-06-03
"4",1.67281,0.0439453,0.170199,0.115371380013731,0,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,1,"(85,90]","(50,55]","(65,70]","(65,70]",25,0,20.5,20.5844796650718,21.2225,0.2875,21.2025,21.1951396464172,123.302,113.236,117.599,117.489544560185,"3","1","20","1","3","1","2","1","2","1","1","1","1","1",2017-06-04
"5",10.5837,0,0.191553,0.322108604843281,11,10.5837,7.43611,7.12954363636364,0.255221,0.172264,0.255221,0.209491,1,0.255221,0.255221,0.255221,5,5,1,3,"(85,90]","(50,55]","(65,70]","(65,70]",22.5,0,20.5,19.0216543113539,23.7025,0,21.2,18.0850442314781,121.526,92.8637,117.966,113.182068156037,"0","0","12","1","0","0","0","0","0","0","0","0","0","0",2017-06-05
"6",4.2247,0,0.773737,0.0916414651295092,0,-Inf,NA,NA,0.141406,0.0655486,0.127115,0.0927127416666667,12,0.141406,0.127115,0.128015583333333,0,1,1,1,"(90,95]","(40,45]","(65,70]","(65,70]",22.5,0,21,20.9824689554419,21.3075,0,21.2975,19.0167628494139,126.953,92.1726,95.3893,105.440755874523,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-06-06
"7",2.37549,0,0.853264,0.0905266962069834,0,-Inf,NA,NA,0.292864,0.0659127,0.128201,0.0963265883870968,31,0.292864,0.128201,0.137137870967742,5,5,0,NA,"(85,90]","(45,50]","(65,70]","(65,70]",21.5,19.5,20.5,20.3231414868106,21.31,21.235,21.3,21.2984407803525,122.367,112.316,119.254,119.028115162037,"0","0","22","1","0","0","0","0","0","0","0","0","0","0",2017-06-07
"8",1.35163,0,0.487377,0.0984198139228647,0,-Inf,NA,NA,0.186735,0.0616109,0.127621,0.0935508583333333,21,0.186735,0.127621,0.136236095238095,5,5,0,1,"(80,85]","(45,50]","(65,70]","(60,65]",21.5,0,20.5,20.3718371837184,21.3225,0,21.2925,21.0135927283535,121.342,93.2465,118.517,115.638568237064,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-06-08
"9",1.45883,0.0439453,0.170199,0.104509368681305,0,-Inf,NA,NA,0.172731,0.0668831,0.124674,0.0930676542857143,7,0.172731,0.124674,0.136570857142857,5,5,0,NA,"(75,80]","(55,60]","(60,65]","(60,65]",21,20,20.5,20.3273262228761,21.31,21.2875,21.2975,21.2971403476331,121.136,112.222,118.7825,118.587639499884,"0","0","22","1","0","0","0","0","0","0","0","0","0","0",2017-06-09
"10",1.45816,0,0.419212,0.101373069009534,0,-Inf,NA,NA,0.198052,0.0526183,0.123992,0.0901139614285714,35,0.198052,0.123992,0.128102685714286,5,5,0,2,"(75,80]","(55,60]","(60,65]","(65,70]",21,0,20.5,20.3172215108835,21.315,0,21.2975,20.6960947442847,121.153,92.4525,118.9935,115.694261819235,"0","0","1","1","0","0","0","0","0","0","0","0","0","0",2017-06-10
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,"(75,80]","(50,55]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,93.1922,89.8842,91.63085,91.6428020490827,"0","0","8","1","0","0","0","0","0","0","0","0","0","0",2017-06-12
"12",1.60986,0.0439453,0.367673,0.102724854515095,0,-Inf,NA,NA,0.127448,0.0659127,0.123624,0.0912214,3,0.127448,0.123624,0.124142333333333,5,5,0,0,"(80,85]","(45,50]","(55,60]","(60,65]",21.5,2,20,19.8220524017467,21.305,0.0025,21.2925,21.0298780129336,125.65,90.7721,92.22445,100.039651561383,"1","1","24","1","0","0","0","0","0","0","0","0","0","0",2017-06-13
"13",3.74825,0,0.232537,0.102347439560247,1,0.175781,0.175781,0.175781,0.204934,0.0609198,0.129296,0.0960813711111111,18,0.204934,0.129296,0.136555722222222,5,5,0,1,"(80,85]","(45,50]","(60,65]","(60,65]",29,0,20,19.9401286491836,24.65,0.0025,21.2925,21.0846900214062,120.725,85.8433,118.086,114.97417836475,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-06-14
"14",0.81861,0,0.186444,0.0936216408518606,0,-Inf,NA,NA,0.177693,0.0573074,0.127913,0.0949699423529412,51,0.177693,0.127913,0.130438039215686,5,5,0,NA,"(85,90]","(45,50]","(65,70]","(65,70]",22,19,20.5,20.4823073194377,21.315,21.2825,21.295,21.2959929444158,127.374,111.239,113.365,115.549525816523,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-06-15
"15",0.900611,0,0.164428,0.100290634488913,0,-Inf,NA,NA,0.213728,0.0641003,0.127708,0.0961613964,50,0.213728,0.127708,0.13361446,5,5,0,NA,"(90,95]","(50,55]","(70,75]","(70,75]",22,19,20.5,20.512593118127,21.3225,21.28,21.2975,21.2973878205128,127.269,111.789,115.793,117.069022881659,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-06-16
"16",0.988525,0,0.175781,0.0994417878854082,0,-Inf,NA,NA,0.173539,0.0646721,0.126116,0.0942557247959184,49,0.173539,0.126116,0.129478571428571,5,5,0,NA,"(95,100]","(55,60]","(75,80]","(75,80]",22,9,20.5,20.8494074376788,21.3275,16.735,21.2975,21.2985910652921,126.934,113.937,116.963,118.186944696608,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-06-17
