"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_median_value","thy_resv_average_value","thy_resv_high_var","swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_max_value","dqi_min_value","dqi_median_value","dqi_average_value","hvv_max_value","hvv_min_value","hvv_median_value","hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,0.287281,0.10635,0.1499795,0.138111016819572,218,0.287281,0.1499795,0.150929110091743,NA,NA,NA,NA,"(70,75]","(45,50]","(50,55]","(50,55]",NA,NA,NA,NA,NA,NA,NA,NA,107.607,105.184,106.104,106.191741782407,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-01
"2",9.0443,0.0439453,0.181191,0.105206155656097,1,9.0443,9.0443,9.0443,0.227065,0.110693,0.145626,0.137352972348485,220,0.227065,0.145626,0.148196890909091,NA,NA,NA,NA,"(70,75]","(35,40]","(50,55]","(50,55]",NA,NA,NA,NA,NA,NA,NA,NA,107.532,103.735,105.742,105.897891898148,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-02
"3",7.88362,0,0.452445,0.102577044921045,1,7.88362,7.88362,7.88362,0.319764,0.11254,0.147329,0.138433782874618,218,0.319764,0.147329,0.152171266055046,NA,NA,NA,NA,"(65,70]","(40,45]","(50,55]","(50,55]",NA,NA,NA,NA,NA,NA,NA,NA,107.578,102.253,105.873,105.969582986111,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-03
"4",1.151,0.0439453,0.456693,0.0937099947847181,0,-Inf,NA,NA,0.272345,0.109338,0.1481995,0.138893789039039,222,0.272345,0.1481995,0.150306166666667,NA,NA,NA,NA,"(70,75]","(40,45]","(50,55]","(50,55]",NA,NA,NA,NA,NA,NA,NA,NA,107.855,104.575,105.792,105.940637731481,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-04
"5",0.487377,0.0439453,0.465073,0.0946926288513709,0,-Inf,NA,NA,0.243979,0.110809,0.147682,0.1387696786754,229,0.243979,0.147682,0.148836908296943,NA,NA,NA,NA,"(70,75]","(35,40]","(50,55]","(50,55]",NA,NA,NA,NA,NA,NA,NA,NA,108.254,104.936,105.975,106.145135532407,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-05
"6",0.483398,0.0439453,0.158447,0.0961092838984599,0,-Inf,NA,NA,0.176935,0.109623,0.146118,0.136926529521674,223,0.176935,0.146118,0.148211932735426,NA,NA,NA,NA,"(70,75]","(40,45]","(50,55]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,108.169,104.565,105.8465,105.99532349537,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-06
"7",1.48896,0.0439453,0.65477,0.09323627678701,0,-Inf,NA,NA,0.293404,0.0445887,0.149259,0.137263125825472,212,0.293404,0.149259,0.151376490566038,NA,NA,NA,NA,"(75,80]","(40,45]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,108.281,104.243,106.097,106.189397569444,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-07
"8",0.481397,0.0439453,0.43725,0.0939404348035836,0,-Inf,NA,NA,0.298543,0.104605,0.146609,0.135986953478964,206,0.298543,0.146609,0.148707291262136,NA,NA,NA,NA,"(80,85]","(40,45]","(50,55]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,108.198,104.596,106.082,106.212712731481,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-08
"9",0.497184,0.0439453,0.469208,0.0925911693314714,0,-Inf,NA,NA,0.30892,0.0991851,0.1433115,0.132508795173267,202,0.30892,0.1433115,0.145907237623762,NA,NA,NA,NA,"(75,80]","(40,45]","(50,55]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,108.103,104.83,106.214,106.287769675926,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-09
"10",0.510598,0.0439453,0.466921,0.0908197586494196,0,-Inf,NA,NA,0.273406,0.100933,0.144293,0.134017909017713,207,0.273406,0.144293,0.147524077294686,NA,NA,NA,NA,"(75,80]","(45,50]","(50,55]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,108.06,105.258,106.411,106.567212384259,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-10
