"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,0.273236,0.0329563,0.1362015,0.092683648,30,0.273236,0.1362015,0.156236533333333,4,4,0,1,"(75,80]","(45,50]","(55,60]","(55,60]",20.5,0,20,19.8428917609047,21.4,0.2375,21.385,21.3751694086985,113.673,107.971,111.225,111.357456881584,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-03-01
"2",0.983629,0,0.1889985,0.102002107554378,0,-Inf,NA,NA,0.234242,0.0342707,0.168111,0.0871818419047619,21,0.234242,0.168111,0.166589333333333,4,4,0,NA,"(75,80]","(45,50]","(55,60]","(60,65]",20.5,19,20,19.9871120462914,21.4125,21.375,21.3875,21.3872883314078,113.789,110.503,111.568,111.512439416734,"0","0","18","1","0","0","0","0","0","0","0","0","0","0",2016-03-02
"3",6.76872,0,0.181191,0.118366349705107,1,0.644365,0.644365,0.644365,0.233683,0.0329563,0.12781,0.088672797,20,0.233683,0.12781,0.1427401,4,4,0,1,"(75,80]","(45,50]","(55,60]","(55,60]",34.5,0,20,19.9457523029683,21.45,0.0025,21.385,20.9646489361702,113.387,77.7643,110.811,104.524067021646,"5","1","20","1","0","0","2","1","0","0","2","1","0","0",2016-03-03
"4",6.76872,0,0.201383,0.139373941463721,20,0.475341,0.228347,0.2376751,0.290689,0.0259569,0.139344,0.0940408311111111,27,0.290689,0.139344,0.158056666666667,4,4,0,NA,"(70,75]","(50,55]","(55,60]","(60,65]",20.5,19.5,20,19.9978708303762,21.395,21.38,21.3875,21.3873782809738,113.535,110.423,111.474,111.594100451337,"24","1","1","1","0","0","12","1","0","0","8","1","0","0",2016-03-04
"5",1.44486,0,0.240698,0.16919266023492,92,1.44486,0.232537,0.258512880434783,0.17852,0.0622352,0.1251405,0.0888153583333333,12,0.17852,0.1251405,0.139165833333333,4,4,0,NA,"(65,70]","(55,60]","(60,65]","(60,65]",20.5,19.5,20,20.2172018348624,21.4,21.3575,21.3875,21.3883860699354,114.206,111.066,111.811,111.841643899051,"23","1","3","1","0","0","11","1","0","0","8","1","0","0",2016-03-05
"6",8.29857,0,0.232537,0.162136657178937,82,1.07554,0.2219025,0.285702012195122,0.155668,0.0641003,0.126097,0.0892921870833333,24,0.155668,0.126097,0.128034833333333,4,4,0,1,"(70,75]","(55,60]","(55,60]","(60,65]",25.5,0,20,20.1506493506493,21.4075,0.275,21.3875,21.3816419094318,113.465,109.969,111.559,111.508953472222,"21","1","2","1","0","0","10","1","0","0","7","1","0","0",2016-03-06
"7",8.29857,0.0439453,0.244677,0.170500381202348,86,8.29857,0.236653,0.380080430232558,0.14812,0.0648711,0.126025,0.0909742210526316,19,0.14812,0.126025,0.129368631578947,4,4,0,NA,"(70,75]","(45,50]","(55,60]","(55,60]",20,19.5,19.5,19.7104863221885,21.395,21.3775,21.385,21.3856019684138,113.679,108.642,110.856,110.763000462909,"24","1","0","0","0","0","12","1","0","0","8","1","0","0",2016-03-07
"8",2.05418,0.0982647,0.240698,0.171309743133524,95,2.05418,0.232537,0.269542063157895,0.160893,0.0622352,0.124585,0.0920646642105263,19,0.160893,0.124585,0.131765736842105,4,4,0,NA,"(65,70]","(45,50]","(50,55]","(50,55]",20,19,19.5,19.7461005199307,21.39,21.375,21.385,21.3843931206039,112.239,109.375,110.563,110.598068634259,"23","1","1","1","0","0","12","1","0","0","7","1","0","0",2016-03-08
"9",7.31,0.0621481,0.232537,0.169428258731017,92,7.31,0.228347,0.334272826086957,0.139502,0.0639566,0.1261005,0.09043878225,20,0.139502,0.1261005,0.1261717,4,4,0,NA,"(70,75]","(40,45]","(50,55]","(50,55]",20.5,19,19.5,19.6420021762786,21.4,21.37,21.385,21.3839395886889,113.306,109.042,110.35,110.532638773148,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-03-09
"10",1.01551,0.0439453,0.181191,0.11429341016583,2,0.232537,0.223912,0.223912,0.169178,0.0402032,0.153011,0.0762365285714286,7,0.169178,0.153011,0.151662571428571,4,4,0,0,"(75,80]","(50,55]","(50,55]","(55,60]",20.5,19.5,20,19.9706908583392,21.395,21.3725,21.3875,21.3868974388292,114.097,110.275,111.014,111.262335185185,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-03-10
"11",1.0193,0,0.181191,0.109755924074457,0,-Inf,NA,NA,40.8908,0.0545086,0.159237,2.79435505833333,3,40.8908,0.159237,13.7253793333333,4,4,0,NA,"(70,75]","(55,60]","(60,65]","(60,65]",21,0.5,20.5,20.2920148560817,21.405,0.9875,21.3875,21.3838183939491,113.536,110.472,111.366,111.436256597222,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-03-11
"12",11.2233,0,0.186444,0.119216117406447,2,11.2233,5.7123415,5.7123415,0.154269,0.0368088,0.144659,0.0767290657142857,7,0.154269,0.144659,0.141111142857143,4,4,0,1,"(65,70]","(50,55]","(55,60]","(55,60]",26.5,0,20,19.7229357798165,21.4225,0.225,21.3875,21.362816032888,112.928,107.53,110.954,110.950361458333,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-03-12
"13",1.08715,0,0.181191,0.119328953922905,0,-Inf,NA,NA,0.189096,0.0329563,0.1416835,0.0739086133333333,6,0.189096,0.1416835,0.146726333333333,4,4,0,NA,"(60,65]","(40,45]","(50,55]","(50,55]",20.5,19.5,20,19.8531518624642,21.4075,13.3925,21.385,21.3823123291076,111.584,108.26,110.248,110.233190299803,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-03-13
"14",2.66368,0,0.170199,0.108471499567674,0,-Inf,NA,NA,141.421,0.0541358,0.5012055,35.44788514,4,141.421,0.5012055,35.63654975,4,4,0,1,"(60,65]","(50,55]","(55,60]","(55,60]",26,0,20,19.8189655172414,21.4025,0.0125,21.385,20.8811695659517,112.62,93.9411,110.573,110.232361370212,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-03-14
"15",0.439453,0,0.191553,0.120670383258253,0,-Inf,NA,NA,0.143278,0.04633,0.121112,0.0699763066666667,3,0.143278,0.121112,0.128499333333333,4,4,0,NA,"(65,70]","(50,55]","(55,60]","(55,60]",20.5,19.5,20,19.8277227722772,21.3925,21.375,21.385,21.386147579693,113.726,110.039,110.929,110.978084153258,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-03-15
"16",7.52441,0.0439453,0.181191,0.12034744084833,1,7.52441,7.52441,7.52441,0.138788,0.047157,0.126335,0.0716403,5,0.138788,0.126335,0.129878,4,4,0,NA,"(70,75]","(40,45]","(50,55]","(50,55]",20.5,2,20,20.1228313671062,21.4025,12.9525,21.385,21.3824279958855,112.756,109.295,110.282,110.566694826988,"0","0","23","1","0","0","0","0","0","0","0","0","0","0",2016-03-16
"17",0.938415,0,0.181191,0.122872150129921,1,0.88329,0.88329,0.88329,0.2187,0.046011,0.140475,0.0887158114285714,7,0.2187,0.140475,0.152245,4,4,1,1,"(75,80]","(40,45]","(55,60]","(55,60]",22.5,0,20,19.8910891089109,21.3925,0,21.3825,18.2101033690659,120.677,92.0602,109.766,103.376148836671,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-03-17
"18",1.3322,0.0439453,0.186444,0.116674666069663,0,-Inf,NA,NA,0.121779,0.0402032,0.121779,0.06107642,1,0.121779,0.121779,0.121779,4,4,0,NA,"(80,85]","(45,50]","(55,60]","(60,65]",20.5,19,20,20.0485347985348,21.3975,21.3775,21.385,21.3852490039841,113.674,109.91,111.234,111.352342437218,"9","1","16","1","0","0","4","1","0","0","3","1","0","0",2016-03-18
"19",1.15016,0,0.236653,0.144076232262145,33,0.550633,0.236653,0.256985848484849,0.19138,0.0545086,0.121704,0.0840587418181818,11,0.19138,0.121704,0.130888363636364,4,4,0,NA,"(75,80]","(45,50]","(55,60]","(55,60]",20.5,17.5,20,19.8798185941043,21.4025,21.275,21.385,21.3860051546392,114.278,110.154,111.247,111.412704826948,"24","1","0","0","0","0","12","1","0","0","8","1","0","0",2016-03-19
"20",5.38379,0,0.244677,0.172175808282097,95,5.38379,0.236653,0.317734789473684,0.192913,0.0568882,0.128528,0.0894220111111111,18,0.192913,0.128528,0.135228833333333,4,4,0,NA,"(80,85]","(40,45]","(50,55]","(55,60]",20.5,1,20,19.9348508634223,21.39,11.5975,21.385,21.3816915855355,114.365,109.942,111.189,111.289786135864,"23","1","0","0","0","0","12","1","0","0","8","1","0","0",2016-03-20
"21",1.07912,0.0878906,0.256243,0.178818739539724,92,1.07912,0.252447,0.283011380434783,0.170781,0.0614014,0.123699,0.0887775893333333,15,0.170781,0.123699,0.1290536,4,4,0,NA,"(80,85]","(45,50]","(55,60]","(55,60]",20.5,19.5,20,20.0345679012346,21.405,21.3775,21.385,21.3859301334848,114.229,109.477,111.05,111.275096423197,"21","1","3","1","1","1","11","1","0","0","8","1","0","0",2016-03-21
