"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_median_value","thy_resv_average_value","thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_max_value","dqi_min_value","dqi_median_value","dqi_average_value","hvv_max_value","hvv_min_value","hvv_median_value","hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,0.15971,0.0213452,0.1293085,0.0968567113357843,68,0.15971,0.1293085,0.130184647058824,NA,NA,NA,NA,"(90,95]","(45,50]","(65,70]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,112.575,107.029,108.819,108.942016087963,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-05-01
"2",0.504893,0,0.499123,0.0707146901843227,0,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(90,95]","(50,55]","(75,80]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,111.449,107.357,108.993,109.054358101852,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-05-02
"3",0.502977,0,0.483398,0.0746687723462459,0,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(80,85]","(55,60]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,111.687,107.535,108.6165,108.589020601852,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-05-03
"4",0.475341,0.0439453,0.475341,0.0792892149524347,0,-Inf,NA,NA,0.149417,0.0849269,0.133097,0.112227608578431,34,0.149417,0.133097,0.133892352941176,NA,NA,NA,NA,"(80,85]","(50,55]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,110.082,107.135,108.608,108.490818171296,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-05-04
"5",2.07383,0,1.88145,0.0823788688108636,0,-Inf,NA,NA,0.166825,0.0776815,0.130026,0.115312688253012,83,0.166825,0.130026,0.133842987951807,NA,NA,NA,NA,"(70,75]","(50,55]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,110.905,106.986,107.837,108.013159819465,"0","0","16","1","0","0","0","0","0","0","0","0","0","0",2015-05-05
"6",1.04272,0,0.880004,0.0929354482291225,0,-Inf,NA,NA,0.191255,0.0812037,0.1335485,0.113644744642857,28,0.191255,0.1335485,0.136326464285714,NA,NA,NA,NA,"(75,80]","(45,50]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,113.757,92.7693,106.662,101.732012335116,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-05-06
"7",0.497184,0.0439453,0.489354,0.0742610214702102,0,-Inf,NA,NA,0.223034,0.0711507,0.12853,0.104916736166667,50,0.223034,0.12853,0.1319724,NA,NA,NA,1,"(75,80]","(45,50]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,110.434,98.0147,108.209,108.351057800926,"0","0","15","1","0","0","0","0","0","0","0","0","0","0",2015-05-07
"8",1.2691,0,0.8597025,0.0798210791699045,0,-Inf,NA,NA,0.161837,0.0679751,0.1303735,0.103778861712963,30,0.161837,0.1303735,0.132987233333333,NA,NA,NA,3,"(70,75]","(45,50]","(50,55]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,109.81,93.5279,107.8465,104.633151937157,"0","0","19","1","0","0","0","0","0","0","0","0","0","0",2015-05-08
"9",9.42481,0,0.6019865,0.0884383177051529,1,9.42481,9.42481,9.42481,0.284474,0.0357818,0.132171,0.103472582711214,62,0.284474,0.132171,0.140092370967742,NA,NA,NA,4,"(75,80]","(45,50]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,119.391,92.4051,107.378,103.787805219907,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-05-09
"10",0.497184,0.0439453,0.485392,0.0738111608390946,0,-Inf,NA,NA,0.2881,0.0304599,0.1341235,0.102342823783208,112,0.2881,0.1341235,0.145266464285714,NA,NA,NA,NA,"(75,80]","(50,55]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,110.805,108.663,109.666,109.704178240741,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-05-10
