"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,0.693403,0.0552132,0.124762,0.101335718571429,7,0.693403,0.124762,0.226407571428571,4,4,0,1,"(80,85]","(45,50]","(60,65]","(60,65]",20.5,0,20,19.888141809291,21.4175,0.2375,21.39,21.3768473937618,114.016,108.739,111.4285,111.572147337963,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-05-01
"2",0.900611,0.0439453,0.206122,0.122141511981812,1,0.219727,0.219727,0.219727,0.197179,0.0499992,0.1217925,0.0797106125,8,0.197179,0.1217925,0.134918375,4,4,0,NA,"(85,90]","(50,55]","(70,75]","(70,75]",21,19,20,20.2397959183673,21.4325,21.38,21.3925,21.3917166841553,116.229,110.564,112.3495,112.349848611111,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-05-02
"3",1.45618,0.0439453,0.224078,0.131912010428866,1,1.38131,1.38131,1.38131,0.136962,0.047157,0.123397,0.0777535471428571,7,0.136962,0.123397,0.125774285714286,4,4,0,NA,"(80,85]","(45,50]","(60,65]","(60,65]",21,19,20,20.2405213270142,21.4025,19.295,21.3925,21.3915042134831,114.889,110.603,112.264,112.186271759259,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-05-03
"4",6.02532,0.0621481,0.210754,0.130377796105774,1,6.02532,6.02532,6.02532,0.146756,0.0495925,0.121866,0.0794089342857143,7,0.146756,0.121866,0.125938571428571,4,4,0,NA,"(75,80]","(50,55]","(60,65]","(60,65]",20.5,1,20,20.0319803198032,21.4,2.4075,21.3925,21.3885463013203,115.484,111.154,112.1155,112.250083101852,"1","1","23","1","0","0","0","0","0","0","0","0","0","0",2016-05-04
"5",10.594,0.0439453,0.215287,0.125225822764056,2,10.594,5.5705575,5.5705575,0.200135,0.0614014,0.200135,0.09268622,1,0.200135,0.200135,0.200135,4,4,0,0,"(75,80]","(50,55]","(60,65]","(60,65]",20.5,0.5,20,19.9271871539313,21.4075,10.305,21.3925,21.3900132625995,114.834,110.911,112.366,112.352594170404,"1","1","23","1","0","0","0","0","0","0","0","0","0","0",2016-05-05
"6",2.06403,0,0.2262125,0.115784025489319,2,1.00595,0.763886,0.763886,0.156343,0.0505849,0.124692,0.0765584,5,0.156343,0.124692,0.1304684,4,4,0,NA,"(75,80]","(50,55]","(55,60]","(60,65]",20.5,3,20,19.8665644171779,21.405,17.05,21.39,21.3897943627016,114.852,110.58,111.8545,111.896275810185,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-05-06
"7",1.03994,0.0439453,0.215287,0.115637524475703,0,-Inf,NA,NA,0.219379,0.0505849,0.122908,0.0825512088888889,9,0.219379,0.122908,0.141353333333333,4,4,0,NA,"(70,75]","(50,55]","(55,60]","(55,60]",21,19,20,19.7979020979021,21.41,21.375,21.39,21.3892208720515,113.693,110.514,111.489,111.527533217593,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-05-07
"8",1.06924,0.0439453,0.219727,0.125123665649002,0,-Inf,NA,NA,0.157668,0.0479314,0.124648,0.07861486,3,0.157668,0.124648,0.134834333333333,4,4,0,NA,"(65,70]","(50,55]","(55,60]","(55,60]",21,19,19.5,19.7430249632893,21.405,21.3675,21.39,21.3891736625514,114.176,110.735,111.483,111.573431134259,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-05-08
"9",1.06199,0.0621481,0.219727,0.12994205046285,3,0.244677,0.215287,0.223572666666667,0.185786,0.047893,0.127032,0.0799888911111111,9,0.185786,0.127032,0.139303666666667,4,4,0,NA,"(75,80]","(50,55]","(55,60]","(60,65]",20.5,19.5,20,19.8846560846561,21.405,21.38,21.39,21.3905308008214,114.357,110.991,111.8765,111.962852546296,"1","1","23","1","0","0","0","0","0","0","0","0","0","0",2016-05-09
"10",1.78615,0,0.224078,0.13281388679802,3,0.340399,0.244677,0.268267666666667,0.159845,0.0445887,0.122017,0.0799278423076923,13,0.159845,0.122017,0.128906846153846,4,4,0,1,"(80,85]","(50,55]","(55,60]","(60,65]",21.5,0.5,20,19.8558504221954,21.4175,0.265,21.3925,21.3847662205658,115.249,110.669,112.007,112.149138078704,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-05-10
