"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,0.327253,0.0701804,0.1607025,0.143970091086957,276,0.327253,0.1607025,0.165512036231884,5,5,0,1,"(70,75]","(45,50]","(55,60]","(55,60]",20.5,0,20,19.8330942990319,21.4025,0.2375,21.3825,21.3746882352941,116.001,110.295,112.41,112.475366666667,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-11-01
"2",1.53306,0,0.240698,0.137666009719764,14,1.14089,0.254345,0.389765,0.282915,0.077224,0.16042,0.141746971227437,277,0.282915,0.16042,0.165023277978339,5,5,0,NA,"(70,75]","(50,55]","(55,60]","(55,60]",20.5,0,20,19.8413566739606,21.3975,15.99,21.3825,21.3818613840239,115.422,111.34,112.553,112.585849884259,"13","1","11","1","0","0","6","1","0","0","3","1","0","0",2016-11-02
"3",0.734031,0,0.263672,0.149594318090809,95,0.734031,0.319927,0.347210863157895,0.31724,0.0743888,0.161586,0.14252728967825,259,0.31724,0.161586,0.166575517374517,5,5,0,NA,"(70,75]","(45,50]","(50,55]","(55,60]",21,0,20,19.8939485627837,21.395,11.735,21.3825,21.3790126598799,115.978,110.811,112.447,112.500093402778,"6","1","17","1","0","0","3","1","0","0","3","1","0","0",2016-11-03
"4",0.771237,0,0.270897,0.146577305071782,66,0.768729,0.322931,0.351785393939394,0.2833,0.0797627,0.148044,0.131084699359504,242,0.2833,0.148044,0.158072685950413,5,5,0,1,"(70,75]","(45,50]","(55,60]","(55,60]",23.5,0,20,19.9776902887139,21.4025,0.255,21.3825,21.3753533653846,115.988,111.365,112.534,112.655323032407,"11","1","13","1","0","0","6","1","0","0","4","1","0","0",2016-11-04
"5",3.20108,0,0.281387,0.152337104498845,90,2.07755,0.316894,0.374411711111111,6.83747,0.0786237,0.15536,0.138338915116732,257,6.83747,0.15536,0.186486155642023,5,5,0,2,"(75,80]","(45,50]","(55,60]","(55,60]",21,0,20,19.9631634078212,21.42,0.2,21.3825,21.3638932734337,115.984,109.621,112.509,112.631732785557,"13","1","11","1","0","0","7","1","0","0","5","1","0","0",2016-11-05
"6",8.12596,0,0.298052,0.155777206541745,111,8.12596,0.343224,0.565170990990991,0.304573,0.0830585,0.154983,0.13366550076,250,0.304573,0.154983,0.160037988,5,5,0,1,"(70,75]","(45,50]","(55,60]","(55,60]",25.5,0,20,19.8138697557921,21.4025,0.2175,21.3825,21.3723854378819,116.132,110.023,112.421,112.454944328704,"15","1","10","1","0","0","8","1","0","0","5","1","0","0",2016-11-06
"7",0.749651,0,0.2915,0.152861748340793,112,0.749651,0.313832,0.325787044642857,0.32887,0.0824802,0.153455,0.132334244129555,247,0.32887,0.153455,0.159468724696356,5,5,0,0,"(70,75]","(50,55]","(55,60]","(60,65]",20.5,0,20,19.8789549810161,21.395,20.2575,21.385,21.3834547297297,115.765,111.798,112.755,112.873348032407,"15","1","8","1","0","0","8","1","0","0","5","1","0","0",2016-11-07
"8",3.46583,0,0.302868,0.154943054744677,124,3.46583,0.3303185,0.408618491935484,0.296241,0.0832853,0.156658,0.134655373306773,251,0.296241,0.156658,0.162571047808765,5,5,0,1,"(75,80]","(50,55]","(60,65]","(60,65]",21,0,20,19.9033018867925,21.4075,0.23,21.385,21.3756413323519,116.992,111.266,113.155,113.202540162037,"14","1","10","1","0","0","7","1","0","0","4","1","0","0",2016-11-08
"9",7.55987,0,0.298052,0.151359101151777,103,7.55987,0.31074,0.552298495145631,0.283228,0.0864735,0.153188,0.131624231346939,245,0.283228,0.153188,0.158135657142857,5,5,0,0,"(75,80]","(50,55]","(60,65]","(60,65]",20.5,4.5,20,19.9235069539133,21.41,1.0875,21.385,21.380830453149,116.415,111.991,113.374,113.337827430556,"12","1","6","1","0","0","7","1","0","0","5","1","0","0",2016-11-09
"10",6.08845,0,0.322931,0.160215044281638,87,6.08845,0.351562,0.630490850574713,0.349114,0.0767517,0.158216,0.137373785434783,161,0.349114,0.158216,0.166620248447205,5,5,0,2,"(80,85]","(50,55]","(60,65]","(60,65]",32.5,0,19.5,19.8419674039581,21.3925,0,21.3825,17.6275627240143,116.226,92.8286,112.55,105.976585929532,"12","1","12","1","0","0","6","1","0","0","3","1","0","0",2016-11-10
