"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_median_value","thy_resv_average_value","thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_max_value","dqi_min_value","dqi_median_value","dqi_average_value","hvv_max_value","hvv_min_value","hvv_median_value","hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",1.32785,0,0.340399,0.0966830823475877,0,-Inf,NA,NA,0.565643,0.029834,0.147323,0.113890556636213,86,0.565643,0.147323,0.170860220930233,NA,NA,NA,NA,"(80,85]","(55,60]","(60,65]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,113.51,110.213,111.611,111.676416108479,"5","1","19","1","2","1","3","1","2","1","2","1","1","1",2015-10-02
"2",9.87646,0,0.646598,0.142711955326494,24,9.87646,0.6479115,1.2975685,0.527357,0,0.155256,0.123812944848639,140,0.527357,0.155256,0.191821264285714,NA,NA,NA,NA,"(85,90]","(50,55]","(65,70]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,113.238,107.711,111.279,111.200982175926,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-10-03
"3",0.769984,0,0.388114,0.0934782822705882,1,0.745777,0.745777,0.745777,0.439567,0.0659127,0.142146,0.108926847155939,91,0.439567,0.142146,0.160158846153846,NA,NA,NA,NA,"(85,90]","(50,55]","(65,70]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,113.204,109.372,110.993,110.994549537037,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-10-04
"4",0.774984,0,0.343224,0.0929448840895447,1,0.774984,0.774984,0.774984,0.392931,0.026846,0.14265,0.111000191275315,87,0.392931,0.14265,0.165715068965517,NA,NA,NA,NA,"(80,85]","(45,50]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,114.15,108.272,110.4345,110.596630555556,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-10-05
"5",0.768729,0,0.388114,0.101817435134214,1,0.66356,0.66356,0.66356,0.407178,0.0280531,0.1471525,0.109709124207875,104,0.407178,0.1471525,0.165017769230769,NA,NA,NA,NA,"(85,90]","(50,55]","(65,70]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,113.461,96.9668,110.998,110.844171701389,"2","1","21","1","0","0","1","1","0","0","0","0","0","0",2015-10-06
"6",6.55006,0,0.452445,0.109375511994645,6,6.55006,0.747636,1.65597266666667,0.466735,0.0305655,0.152828,0.115578984688645,104,0.466735,0.152828,0.176826605769231,NA,NA,NA,1,"(80,85]","(50,55]","(65,70]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,115.426,93.8402,110.892,109.835761747685,"2","1","21","1","0","0","0","0","0","0","0","0","0","0",2015-10-07
"7",6.99048,0,0.616802,0.117435653675501,8,6.99048,0.689955,1.47718625,0.461341,0.0291631,0.1583555,0.122914724379699,76,0.461341,0.1583555,0.198268605263158,NA,NA,NA,4,"(85,90]","(55,60]","(60,65]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,123.784,93.337,110.943,106.239177974375,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-10-08
"8",5.14986,0,0.439453,0.107601493041861,4,0.687853,0.598532,0.6039775,0.443831,0.0148629,0.1539565,0.119574673606771,128,0.443831,0.1539565,0.1822310390625,NA,NA,NA,NA,"(90,95]","(55,60]","(65,70]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,117.047,110.827,114.041,114.137919328704,"12","1","12","1","9","1","7","1","6","1","5","1","3","1",2015-10-09
"9",0.807925,0,0.5337135,0.174311538895173,54,0.807925,0.529159,0.550936018518518,0.48346,0.0625597,0.189164,0.153348267945326,189,0.48346,0.189164,0.212882343915344,NA,NA,NA,NA,"(90,95]","(50,55]","(70,75]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,114.932,109.412,112.1475,112.193455092593,"20","1","5","1","18","1","11","1","9","1","8","1","6","1",2015-10-10
"10",0.954737,0.0439453,0.591224,0.235835062111539,74,0.954737,0.573803,0.592097148648649,0.512823,0.0668005,0.216875,0.189900655772299,197,0.512823,0.216875,0.25226347715736,NA,NA,NA,NA,"(80,85]","(50,55]","(60,65]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,114.231,109.706,111.67,111.532261805556,"17","1","7","1","14","1","8","1","8","1","7","1","6","1",2015-10-11
"11",10.7413,0.0439453,0.529172,0.232464723501891,63,10.7413,0.483398,0.753414301587302,0.476352,0,0.207174,0.182874912321785,167,0.476352,0.207174,0.233551173652695,NA,NA,NA,NA,"(85,90]","(50,55]","(65,70]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,114.532,108.006,111.2745,111.343083101852,"16","1","8","1","14","1","9","1","8","1","5","1","4","1",2015-10-12
