"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,0.146681,0.0677581,0.1279325,0.1106351465,40,0.146681,0.1279325,0.129213925,5,5,0,NA,"(65,70]","(50,55]","(55,60]","(55,60]",20,18.5,19.5,19.4343891402715,21.39,21.3675,21.38,21.3802210042433,114.116,110.836,111.595,111.862708333333,"9","1","9","1","0","0","4","1","0","0","3","1","0","0",2016-10-01
"2",1.15016,0,0.288149,0.142646561419427,32,0.799515,0.294794,0.32599334375,0.251499,0.0676766,0.132272,0.116490526535433,127,0.251499,0.132272,0.135205440944882,5,5,0,NA,"(75,80]","(45,50]","(65,70]","(60,65]",20.5,0,19,18.8927272727273,22.4575,20.38,21.375,21.3796221492076,113.776,93.7237,110.655,110.448248684855,"8","1","15","1","0","0","4","1","0","0","3","1","0","0",2016-10-02
"3",7.58308,0,0.254345,0.134632031917441,36,7.58308,0.269103,0.501567694444444,0.300263,0.0630288,0.130885,0.113930473355263,152,0.300263,0.130885,0.133902664473684,5,5,0,2,"(80,85]","(45,50]","(55,60]","(60,65]",32.5,0,19.5,19.5096649484536,21.395,0.23,21.3775,21.3380061672684,114.077,107.549,110.751,110.783581134259,"6","1","18","1","0","0","3","1","0","0","2","1","0","0",2016-10-03
"4",2.37101,0,0.259984,0.13451492289228,24,0.584654,0.274438,0.288811666666667,0.285113,0.063262,0.1344185,0.118993766039326,178,0.285113,0.1344185,0.137794376404494,5,5,0,NA,"(70,75]","(45,50]","(55,60]","(55,60]",20.5,0,19.5,19.5736731843575,21.395,6.39,21.38,21.375080760095,114.1,109.148,111.012,111.074777083333,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-10-04
"5",0.752223,0.0439453,0.215287,0.116516717654176,0,-Inf,NA,NA,0.279919,0.0686488,0.1311795,0.115513078522727,176,0.279919,0.1311795,0.133749943181818,5,5,0,NA,"(75,80]","(50,55]","(60,65]","(60,65]",20,19,19.5,19.5566371681416,21.4,21.3675,21.38,21.3811039841469,113.207,108.685,111.016,110.979538310185,"9","1","15","1","0","0","4","1","0","0","3","1","0","0",2016-10-05
"6",0.732715,0.0439453,0.263672,0.133902254602413,33,0.732715,0.274438,0.291151727272727,0.163165,0.0681914,0.133325,0.117956950371429,175,0.163165,0.133325,0.134591114285714,5,5,0,0,"(75,80]","(45,50]","(55,60]","(60,65]",20.5,18.5,19.5,19.3363393453574,21.3975,21.35,21.38,21.3799758885515,113.404,109.322,110.774,110.761064699074,"6","1","17","1","0","0","3","1","0","0","3","1","0","0",2016-10-06
"7",3.58363,0,0.254345,0.126733998675424,23,0.893074,0.267309,0.301073,0.184683,0.0657729,0.136639,0.119599903358209,201,0.184683,0.136639,0.137369039800995,5,5,0,1,"(80,85]","(45,50]","(55,60]","(60,65]",20.5,0,20,19.912348401323,21.4,7.28,21.38,21.3731095697155,114.767,108.675,111.144,111.211890162037,"6","1","19","1","0","0","3","1","0","0","2","1","0","0",2016-10-07
"8",0.78857,0,0.256243,0.126450265922716,22,0.501054,0.2830925,0.302276363636364,0.184484,0.0735614,0.1381,0.121579429345794,214,0.184484,0.1381,0.139493929906542,5,5,0,NA,"(85,90]","(45,50]","(60,65]","(65,70]",20.5,18.5,20,19.7501601537476,21.3975,21.36,21.38,21.3815233593892,114.984,109.674,111.231,111.462495543466,"3","1","21","1","0","0","2","1","0","0","1","1","0","0",2016-10-08
"9",3.16589,0,0.236653,0.11986202507621,12,0.81861,0.274416,0.312862166666667,0.177268,0.0729898,0.138376,0.122618956294643,224,0.177268,0.138376,0.140597651785714,5,5,0,NA,"(85,90]","(50,55]","(65,70]","(65,70]",21,0,20.5,20.1965927528394,21.4,2.255,21.3825,21.3749494219653,115.755,109.416,111.784,111.854918287037,"3","1","21","1","0","0","1","1","0","0","0","0","0","0",2016-10-09
"10",3.16589,0,0.232537,0.118568780067017,11,0.587948,0.281387,0.303752181818182,1.19846,0.0686957,0.1378515,0.121965070212264,212,1.19846,0.1378515,0.144417094339623,5,5,0,NA,"(85,90]","(50,55]","(65,70]","(65,70]",21,18.5,20,20.0499054820416,21.4,21.225,21.3825,21.3824496461622,115.513,109.745,111.874,111.915865740741,"6","1","18","1","0","0","2","1","0","0","2","1","0","0",2016-10-10
"11",0.748362,0,0.244677,0.128664893007521,22,0.726096,0.2726675,0.311954136363636,0.182558,0.0659127,0.13572,0.118575418489583,192,0.182558,0.13572,0.13813671875,5,5,0,NA,"(80,85]","(45,50]","(60,65]","(60,65]",25,0,19.5,19.5893146249325,24.9575,20.8175,21.3825,21.3821311393915,115.152,110.008,111.305,111.502043981481,"5","1","20","1","0","0","2","1","0","0","2","1","0","0",2016-10-11
"12",0.769984,0,0.248592,0.131350564953891,19,0.690655,0.256243,0.278390578947368,0.201455,0.0747837,0.134038,0.117190839236453,203,0.201455,0.134038,0.136385866995074,5,5,0,NA,"(75,80]","(55,60]","(55,60]","(60,65]",20,0,19.5,19.5614422369389,21.3875,2.3925,21.38,21.3747916170517,114.151,110.146,111.35,111.408032407407,"4","1","14","1","0","0","1","1","0","0","0","0","0","0",2016-10-12
"13",5.54669,0,0.263672,0.139790827188377,12,5.54669,0.274416,0.804047333333333,0.467048,0.0771345,0.1381045,0.122524493709677,124,0.467048,0.1381045,0.143838137096774,5,5,0,4,"(75,80]","(50,55]","(55,60]","(60,65]",22.5,0,19.5,19.488379814077,21.405,0,21.3775,20.823979791395,129.494,91.6557,110.685,104.14455100411,"11","1","13","1","0","0","6","1","0","0","4","1","0","0",2016-10-13
"14",3.16955,0,0.277935,0.14468308020172,46,0.748362,0.281387,0.290801673913043,0.277621,0.075103,0.141728,0.125340343109118,223,0.277621,0.141728,0.146810865470852,5,5,0,NA,"(70,75]","(45,50]","(55,60]","(55,60]",20.5,0,19,19.2663271420012,21.385,0.9825,21.3775,21.3741516842323,114.58,109.689,111.7175,111.642175810185,"1","1","23","1","0","0","1","1","0","0","0","0","0","0",2016-10-14
"15",3.16955,0.0439453,0.244677,0.125083517944846,5,0.367673,0.288169,0.2863932,0.282838,0.0646721,0.1401475,0.122589636804124,194,0.282838,0.1401475,0.147668396907217,5,5,0,NA,"(70,75]","(55,60]","(60,65]","(60,65]",20.5,18.5,19.5,19.7283287101248,21.395,21.2975,21.3825,21.3821326860841,114.164,110.044,112.056,112.056281597222,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-10-15
"16",3.09495,0,0.244677,0.12957523051838,2,1.2782,0.7745485,0.7745485,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,"(75,80]","(50,55]","(60,65]","(60,65]",21,0,19.5,19.6043841336117,21.4775,7.17,21.3825,21.3784931192661,115.257,110.624,112.028,112.13266087963,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-10-16
"17",2.43133,0,0.244677,0.129223812709666,1,2.43133,2.43133,2.43133,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,1,"(65,70]","(60,65]","(60,65]","(60,65]",31.5,0,19.5,19.6322695035461,21.405,0.6775,21.3825,21.3729713710579,115.58,110.915,113.0695,113.020546412037,"4","1","20","1","0","0","2","1","0","0","0","0","0","0",2016-10-17
"18",9.97617,0,0.2466345,0.13374228889926,15,9.97617,0.274438,1.06345226666667,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,1,"(80,85]","(50,55]","(60,65]","(60,65]",21,0,20,19.7869305108145,21.405,0.0075,21.3825,21.2364429562536,114.185,93.3167,112.003,111.646325960648,"5","1","19","1","0","0","3","1","0","0","1","1","0","0",2016-10-18
"19",0.723431,0,0.244677,0.129553035256339,20,0.552384,0.2562155,0.2767049,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,1,"(70,75]","(45,50]","(55,60]","(55,60]",25.5,0,20,20.0940992400536,21.3975,0.095,21.38,21.3358101045296,115.987,104.663,111.672,111.917579861111,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-10-19
"20",0.947631,0.0439453,0.224078,0.119013578257147,0,-Inf,NA,NA,0.243843,0.0854186,0.143047,0.125891135151515,11,0.243843,0.143047,0.154771272727273,5,5,0,NA,"(80,85]","(45,50]","(55,60]","(60,65]",21.5,19,20,19.9504352030948,21.405,21.3725,21.3825,21.3830709033613,115.56,110.699,112.638,112.641417476852,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-10-20
"21",3.49662,0,0.232537,0.114471936627827,0,-Inf,NA,NA,0.265765,0.0774204,0.1514375,0.132089088,230,0.265765,0.1514375,0.155337139130435,5,5,0,NA,"(80,85]","(45,50]","(55,60]","(60,65]",21,6.5,20,20.2280521262003,21.3925,14.3375,21.3825,21.3821201171875,116.206,110.73,112.7335,112.846044560185,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-10-21
"22",1.46806,0,0.219727,0.115797230205876,0,-Inf,NA,NA,0.275183,0.075103,0.149301,0.130748577716535,254,0.275183,0.149301,0.153536098425197,5,5,0,1,"(80,85]","(50,55]","(60,65]","(65,70]",21,0,20,20.0021310602025,21.395,0.245,21.3825,21.3755880382775,116.06,111.339,112.991,113.092871875,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-10-22
"23",1.44419,0,0.224078,0.119982539489683,0,-Inf,NA,NA,0.269764,0.0768416,0.149506,0.132510290912548,263,0.269764,0.149506,0.153826425855513,5,5,0,NA,"(75,80]","(45,50]","(60,65]","(60,65]",21,0,20,19.9432379072063,21.3925,6.9375,21.3825,21.3803163029794,116.122,111.159,112.8425,112.887517361111,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-10-23
"24",6.64955,0,0.236653,0.126710617022739,2,6.64955,5.216085,5.216085,0.289318,0.0748083,0.153908,0.134890264868914,267,0.289318,0.153908,0.15793625093633,5,5,0,NA,"(70,75]","(40,45]","(55,60]","(55,60]",20.5,3,20,19.9593495934959,21.395,18.2775,21.3825,21.3808669713125,115.834,110.734,112.512,112.398428703704,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-10-24
"25",1.7407,0,0.224078,0.121727615375511,0,-Inf,NA,NA,0.273244,0.0808629,0.1485225,0.129258178955026,252,0.273244,0.1485225,0.153483444444444,5,5,0,0,"(65,70]","(55,60]","(60,65]","(60,65]",21.5,0,20,19.8641171684296,21.415,20.39,21.385,21.3839487047395,115.6,110.948,112.429,112.435590626831,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-10-25
"26",5.89408,0,0.224078,0.121718696290168,0,-Inf,NA,NA,0.25275,0.0786237,0.149025,0.131468444723347,247,0.25275,0.149025,0.15328467611336,5,5,0,NA,"(75,80]","(55,60]","(60,65]","(60,65]",21,18,20,19.9638989169675,21.3925,21.0025,21.385,21.3846461439352,115.719,111.547,112.567,112.66611712963,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-10-26
"27",2.89573,0.0439453,0.263672,0.130282616696015,1,0.288169,0.288169,0.288169,151.846,0.0853809,0.155399,0.25326057394636,261,151.846,0.155399,0.741501681992337,5,5,0,NA,"(80,85]","(50,55]","(60,65]","(60,65]",21,11,20,20.1415991053956,21.4025,15.8925,21.385,21.3838263108614,116.162,111.76,113.119,113.197556134259,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-10-27
"28",2.89573,0,0.288169,0.133838998258381,1,2.27542,2.27542,2.27542,20.2579,0.0795547,0.155399,0.154840819740597,257,20.2579,0.155399,0.240136178988327,5,5,0,NA,"(70,75]","(55,60]","(60,65]","(60,65]",20.5,19.5,20,20.0508010118044,21.4,21.265,21.385,21.3841824960057,115.981,112.096,112.9975,113.058710069444,"0","0","22","1","0","0","0","0","0","0","0","0","0","0",2016-10-28
"29",5.69172,0,0.298052,0.138759501826685,6,5.69172,3.882765,3.61805166666667,0.29967,0.0796703,0.158222,0.14035034589372,276,0.29967,0.158222,0.163050315217391,5,5,0,2,"(70,75]","(55,60]","(60,65]","(60,65]",26,0,20.5,20.2588369441277,21.395,0.2,21.385,21.3743179020788,115.8,110.397,113.179,113.239816087963,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-10-29
"30",0.66356,0.0439453,0.288169,0.134947161412973,0,-Inf,NA,NA,0.310274,0.0731913,0.157782,0.138593601185185,270,0.310274,0.157782,0.161451455555556,5,5,0,NA,"(75,80]","(55,60]","(60,65]","(65,70]",20.5,19.5,20,20.2365721182861,21.3975,21.3725,21.385,21.3854941040759,116.116,112.591,113.322,113.401985300926,"0","0","17","1","0","0","0","0","0","0","0","0","0","0",2016-10-30
"31",1.21943,0,0.299663,0.134419404165733,0,-Inf,NA,NA,0.297764,0.0729898,0.1535495,0.133992991221374,262,0.297764,0.1535495,0.159680553435115,5,5,0,NA,"(65,70]","(55,60]","(60,65]","(60,65]",20.5,0,20,19.9299918831169,21.3925,7.4075,21.385,21.3799304045237,115.343,111.061,112.714,112.643237384259,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-10-31
