"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,0.772278,0.0659964,0.134922,0.112044314711538,104,0.772278,0.134922,0.151391567307692,5,5,1,2,"(100,105]","(50,55]","(65,70]","(70,75]",538.5,0,21,71.7559019788311,21.3425,0,21.3,21.0868248472505,124.638,94.6043,122.517,120.985613208692,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-09-01
"2",1.09335,0,0.240698,0.104966763682422,0,-Inf,NA,NA,0.274139,0.0614014,0.13166,0.103055814516129,62,0.274139,0.13166,0.147311516129032,5,5,0,NA,"(110,115]","(65,70]","(80,85]","(85,90]",22.375,19.45,21,21.0042072526699,21.3475,21.2625,21.305,21.3061759972008,125.566,122.19,123.946,123.980842703495,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-09-02
"3",0.807925,0.0439453,0.252447,0.0861389905961118,0,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,"(105,110]","(70,75]","(85,90]","(85,90]",22.175,19.85,20.875,20.8831924386521,21.3675,21.27,21.3075,21.3071661635763,125.879,122.624,124.363,124.529171835097,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-09-03
"4",0.813879,0,0.328857,0.086516864169629,0,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,"(105,110]","(70,75]","(80,85]","(85,90]",22.05,19.475,20.825,20.81908157277,21.3375,21.28,21.305,21.3063595199529,125.92,123.185,124.3925,124.527303140097,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-09-04
"5",0.816248,0.0439453,0.1932675,0.096608522097752,0,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,"(90,95]","(65,70]","(75,80]","(75,80]",21.8,19.775,20.775,20.7746979117785,21.33,21.2675,21.3025,21.3033721198157,125.252,122.617,124.029,124.084794940404,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-09-05
"6",0.831484,0.0439453,0.334678,0.0881892981142749,0,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,"(90,95]","(65,70]","(75,80]","(75,80]",22.2,19.775,20.775,20.775,21.355,21.27,21.3025,21.3026340176789,124.529,123.233,124.1265,124.070830088921,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-09-06
"7",0.170199,0.0439453,0.158447,0.109346720719184,0,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,"(85,90]","(60,65]","(70,75]","(70,75]",21.9,19.725,20.8,20.8076765429207,21.3575,21.2825,21.3,21.3000503452244,124.75,121.974,123.873,123.854472911826,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-09-07
"8",0.843017,0.0439453,0.164428,0.108763756053991,0,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,"(80,85]","(65,70]","(65,70]","(70,75]",22.475,19.875,20.925,20.927119488743,21.3175,21.21,21.2975,21.2972289115646,124.532,122.654,123.514,123.50483651292,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-09-08
"9",4.64201,0,0.170199,0.117565275784175,0,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,"(80,85]","(55,60]","(65,70]","(65,70]",22.375,20.025,20.975,20.972409144197,21.325,21.215,21.295,21.2952839569829,123.997,121.506,122.858,122.856529096011,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-09-09
"10",0.839574,0.0439453,0.164428,0.115046566215468,0,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,"(90,95]","(60,65]","(65,70]","(70,75]",23.525,19.825,20.975,20.9603430110044,21.3625,21.22,21.2975,21.2966292816005,123.983,122.078,123.093,123.165008076358,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-09-10
"11",0.848725,0,0.170199,0.113583220461805,0,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,1,"(95,100]","(55,60]","(65,70]","(70,75]",22.15,0.1,20.925,20.9173452673453,21.3325,0.225,21.2975,21.2909192269574,124.956,120.844,123.207,123.251662116041,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-09-11
"12",0.830322,0,0.175781,0.0987807910788116,0,-Inf,NA,NA,0.171276,0.00761497,0.12575,0.102642426648705,19,0.171276,0.12575,0.129114315789474,5,5,0,1,"(95,100]","(65,70]","(75,80]","(80,85]",22.575,0.075,20.8,20.7950339459206,22.765,0.05,21.3,21.267227916896,125.101,107.481,123.695,123.806580550816,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-09-12
"13",1.5318,0,0.175781,0.104579682196608,0,-Inf,NA,NA,0.383623,0.0616109,0.1288555,0.100374102586336,74,0.383623,0.1288555,0.135000959459459,5,5,0,NA,"(95,100]","(60,65]","(70,75]","(75,80]",21.75,17.75,20.775,20.7764521972885,21.36,21.2325,21.2975,21.2980503144654,124.844,121.974,123.853,123.827276188167,"0","0","16","1","0","0","0","0","0","0","0","0","0","0",2017-09-13
"14",1.12555,0.0439453,0.328857,0.109824370004148,0,-Inf,NA,NA,0.38742,0.0641864,0.17204,0.106556087178932,33,0.38742,0.17204,0.181625575757576,5,5,1,2,"(85,90]","(60,65]","(65,70]","(70,75]",25.625,0,20.275,19.8257300227312,24.7825,0,21.2775,21.0956578137818,124.666,82.2896,123.038,113.111054265214,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-09-14
"15",0.827993,0,0.233713,0.104185898745516,0,-Inf,NA,NA,0.289768,0.0682184,0.142973,0.105907341486486,37,0.289768,0.142973,0.162891648648649,5,5,0,NA,"(80,85]","(55,60]","(65,70]","(65,70]",21.225,19.45,20.2,20.1893929656462,21.31,21.195,21.2775,21.2767576554284,123.762,122.266,123.096,123.097061518008,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-09-15
"16",0.626124,0.0439453,0.158447,0.107576830114767,0,-Inf,NA,NA,0.337358,0.0668831,0.132845,0.106019715267857,56,0.337358,0.132845,0.155307642857143,5,5,0,NA,"(85,90]","(50,55]","(60,65]","(65,70]",21.45,19.125,20.2,20.2047920803644,21.3075,21.26,21.275,21.2755254197022,123.665,121.236,122.538,122.449848150394,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-09-16
"17",0.662103,0.0439453,0.158447,0.109917843125843,0,-Inf,NA,NA,14.2118,0.0664412,0.133081,0.156696310740741,54,14.2118,0.133081,0.409722481481481,5,5,0,NA,"(80,85]","(50,55]","(60,65]","(65,70]",20.9,18.5,20.175,20.1807930390096,21.3125,21.24,21.275,21.2751791850761,123.702,121.047,122.193,122.221869559917,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2017-09-17
