"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",3.76753,0,3.76753,0.0848437092341333,1,3.76753,3.76753,3.76753,0.194689,0.102933,0.1516675,0.149095,12,0.194689,0.1516675,0.1567745,4.4468085106383,4.54545454545455,0,0,"(60,65]","(35,40]","(40,45]","(45,50]",23.0335093051778,7.92772901790259,19.7892755340964,19.8742238745988,21.412336038961,10.5949171847656,21.0026490513033,20.9636518332652,116.885,77.3201,88.9302,89.3027220893048,2,1,23,1,0,0,0,0,0,0,0,0,0,0,2015-01-06
"2",5.83,0,2.4719,0.133018271735585,5,5.83,3.32013,3.419808,0.245538,0.0893218,0.158588,0.149611468595041,121,0.245538,0.158588,0.159659487603306,4.4468085106383,4.54545454545455,0,0,"(60,65]","(35,40]","(45,50]","(45,50]",23.0335093051778,7.92772901790259,19.7892755340964,19.8742238745988,21.412336038961,10.5949171847656,21.0026490513033,20.9636518332652,109.131,93.7116,106.997,106.395436560019,1,1,24,1,0,0,0,0,0,0,0,0,0,0,2015-01-07
"24",5.16203,0,0.259984,0.109397854951272,0,7.220302,5.709844,5.7297796,0.272415,0.0997588,0.141054,0.1354692184573,121,0.272415,0.141054,0.143766123966942,4.4468085106383,4.54545454545455,0,0,"(65,70]","(40,45]","(50,55]","(55,60]",23.0335093051778,7.92772901790259,19.7892755340964,19.8742238745988,21.412336038961,10.5949171847656,21.0026490513033,20.9636518332652,107.482,92.1666,105.367,100.771399846951,1,1,22,1,0,0,0,0,0,0,0,0,0,0,2015-01-29
"36",4.4658,0.0621481,0.186444,0.131992493231956,1,4.4658,4.4658,4.4658,0.239165,0.12012,0.1877235,0.175857333333333,194,0.239165,0.1877235,0.189290046391753,4.4468085106383,4.54545454545455,0,0,"(70,75]","(50,55]","(60,65]","(60,65]",23.0335093051778,7.92772901790259,19.7892755340964,19.8742238745988,21.412336038961,10.5949171847656,21.0026490513033,20.9636518332652,107.671,104.081,105.514,105.739944560185,1,1,24,1,0,0,0,0,0,0,0,0,0,0,2015-02-10
"154",0.900611,0,0.313832,0.0823624494395736,0,7.65237333333333,5.6722555,5.6722555,0.184833,0.0903057,0.13807,0.1234728384,125,0.184833,0.13807,0.140194784,4.4468085106383,4.54545454545455,0,0,"(100,105]","(55,60]","(75,80]","(75,80]",23.0335093051778,7.92772901790259,19.7892755340964,19.8742238745988,21.412336038961,10.5949171847656,21.0026490513033,20.9636518332652,111.181,105.298,108.642,108.771939930556,1,1,23,1,1,1,1,1,0,0,1,1,1,1,2015-06-10
"155",8.89836,0,0.487377,0.153198662134289,2,8.89836,4.6689065,4.6689065,0.162563,0.0874262,0.1358815,0.115991507801418,94,0.162563,0.1358815,0.135505372340426,4.4468085106383,4.54545454545455,0,0,"(75,80]","(60,65]","(65,70]","(65,70]",23.0335093051778,7.92772901790259,19.7892755340964,19.8742238745988,21.412336038961,10.5949171847656,21.0026490513033,20.9636518332652,110.156,93.3255,108.489,107.794346909722,2,1,18,1,1,1,1,1,1,1,0,0,0,0,2015-06-11
"205",1.8342117,0,0.43852815,0.101424888239731,2.1,3.60871466666667,2.41491933333333,2.63330977777778,0.170891,0.0949172,0.132438,0.128943738383838,99,0.170891,0.132438,0.13628195959596,4.4468085106383,4.54545454545455,0,0,"(85,90]","(60,65]","(65,70]","(70,75]",23.0335093051778,7.92772901790259,19.7892755340964,19.8742238745988,21.412336038961,10.5949171847656,21.0026490513033,20.9636518332652,111.202,105.603,108.479,108.602196875,1,1,18,1,1,1,0,0,0,0,0,0,0,0,2015-08-01
"209",3.1018,0,0.267309,0.0864660146941912,0,3.60871466666667,2.41491933333333,2.63330977777778,0.18328,0.0907327,0.134261,0.12648236741573,89,0.18328,0.134261,0.136197292134831,4.4468085106383,4.54545454545455,0,0,"(80,85]","(55,60]","(65,70]","(65,70]",23.0335093051778,7.92772901790259,19.7892755340964,19.8742238745988,21.412336038961,10.5949171847656,21.0026490513033,20.9636518332652,110.832,106.992,108.287,108.427599074074,1,1,22,1,0,0,0,0,0,0,0,0,0,0,2015-08-05
"210",3.65407,0,0.479387,0.104135335163083,5,3.65407,0.467145,1.0930448,0.264766,0.0953816,0.138459,0.137485068348624,109,0.264766,0.138459,0.149773082568807,4.4468085106383,4.54545454545455,0,0,"(85,90]","(55,60]","(70,75]","(65,70]",23.0335093051778,7.92772901790259,19.7892755340964,19.8742238745988,21.412336038961,10.5949171847656,21.0026490513033,20.9636518332652,110.981,107.025,108.466,108.460844791667,4,1,20,1,2,1,1,1,1,1,1,1,0,0,2015-08-06
"220",6.7925,0,0.435036,0.0878085216880912,0,4.121239,0.637176875,1.41210548958333,0.305028,0.0611309,0.13708,0.106774774213033,95,0.305028,0.13708,0.148844357894737,4.4468085106383,4.54545454545455,0,0,"(90,95]","(50,55]","(70,75]","(70,75]",23.0335093051778,7.92772901790259,19.7892755340964,19.8742238745988,21.412336038961,10.5949171847656,21.0026490513033,20.9636518332652,114.821,110.665,112.449,112.468863673186,1,1,23,1,0,0,0,0,0,0,0,0,0,0,2015-09-26
"221",0.750938,0,0.495239,0.101338365723724,4,0.679378,0.6508495,0.648291,0.434576,0.0550463,0.147906,0.114077898633053,85,0.434576,0.147906,0.182322847058824,4.4468085106383,4.54545454545455,0,0,"(85,90]","(50,55]","(65,70]","(70,75]",23.0335093051778,7.92772901790259,19.7892755340964,19.8742238745988,21.412336038961,10.5949171847656,21.0026490513033,20.9636518332652,114.198,110.686,111.848,111.927106597222,1,1,23,1,0,0,0,0,0,0,0,0,0,0,2015-09-27
"225",1.32785,0,0.340399,0.0966830823475877,0,2.23218727586207,0.613046051724138,0.724310808702217,0.565643,0.029834,0.147323,0.113890556636213,86,0.565643,0.147323,0.170860220930233,4.4468085106383,4.54545454545455,0,0,"(80,85]","(55,60]","(60,65]","(65,70]",23.0335093051778,7.92772901790259,19.7892755340964,19.8742238745988,21.412336038961,10.5949171847656,21.0026490513033,20.9636518332652,113.51,110.213,111.611,111.676416108479,5,1,19,1,2,1,3,1,2,1,2,1,1,1,2015-10-02
"229",0.768729,0,0.388114,0.101817435134214,1,0.66356,0.66356,0.66356,0.407178,0.0280531,0.1471525,0.109709124207875,104,0.407178,0.1471525,0.165017769230769,4.4468085106383,4.54545454545455,0,0,"(85,90]","(50,55]","(65,70]","(65,70]",23.0335093051778,7.92772901790259,19.7892755340964,19.8742238745988,21.412336038961,10.5949171847656,21.0026490513033,20.9636518332652,113.461,96.9668,110.998,110.844171701389,2,1,21,1,0,0,1,1,0,0,0,0,0,0,2015-10-06
"230",6.55006,0,0.452445,0.109375511994645,6,6.55006,0.747636,1.65597266666667,0.466735,0.0305655,0.152828,0.115578984688645,104,0.466735,0.152828,0.176826605769231,4.4468085106383,4.54545454545455,0,1,"(80,85]","(50,55]","(65,70]","(65,70]",23.0335093051778,7.92772901790259,19.7892755340964,19.8742238745988,21.412336038961,10.5949171847656,21.0026490513033,20.9636518332652,115.426,93.8402,110.892,109.835761747685,2,1,21,1,0,0,0,0,0,0,0,0,0,0,2015-10-07
"232",5.14986,0,0.439453,0.107601493041861,4,0.687853,0.598532,0.6039775,0.443831,0.0148629,0.1539565,0.119574673606771,128,0.443831,0.1539565,0.1822310390625,4.4468085106383,4.54545454545455,0,0,"(90,95]","(55,60]","(65,70]","(70,75]",23.0335093051778,7.92772901790259,19.7892755340964,19.8742238745988,21.412336038961,10.5949171847656,21.0026490513033,20.9636518332652,117.047,110.827,114.041,114.137919328704,12,1,12,1,9,1,7,1,6,1,5,1,3,1,2015-10-09
