"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","max_value","min_value","median_value","average_value","event_duration_seconds","threshold","event_duration","month"
"1",1501545605,0.107644,418208303,0,0,2017-08-01 00:00:05,"li22_31",0.131836,0.0439453,0.0878906,0.0865290367231638,3599,0.15,60,"aug_2017"
"1265",1501554018,0.0878906,361679294,0,0,2017-08-01 02:20:18,"li22_31",0.138967,0.0439453,0.0878906,0.0923342055846422,3599,0.15,60,"aug_2017"
"1838",1501557622,0.0761155,770135707,0,0,2017-08-01 03:20:22,"li22_31",0.138967,0.0439453,0.0878906,0.0897054562607204,3600,0.15,60,"aug_2017"
"2421",1501561227,0.0761155,178780475,0,0,2017-08-01 04:20:27,"li22_31",0.138967,0.0439453,0.0878906,0.0869621790909091,3589,0.15,60,"aug_2017"
"2971",1501564832,0.0982647,596977957,0,0,2017-08-01 05:20:32,"li22_31",0.14575,0.0621481,0.0982647,0.0950854531083481,3564,0.15,60,"aug_2017"
"3656",1501569261,0.0761155,108391160,0,0,2017-08-01 06:34:21,"li22_31",0.14575,0.0439453,0.0878906,0.0922335329351536,3599,0.15,60,"aug_2017"
"5553",1501581114,0.0878906,231994585,0,0,2017-08-01 09:51:54,"li22_31",0.14575,0.0621481,0.0982647,0.0956694079173838,3599,0.15,60,"aug_2017"
"7352",1501592237,0.116268,766268268,0,0,2017-08-01 12:57:17,"li22_31",0.14575,0.0439453,0.0878906,0.0909465175131348,3590,0.15,60,"aug_2017"
"7923",1501595847,0.0761155,176229480,0,0,2017-08-01 13:57:27,"li22_31",0.138967,0.0439453,0.0878906,0.088497321024735,3589,0.15,60,"aug_2017"
"8544",1501599802,0.0982647,392373326,0,0,2017-08-01 15:03:22,"li22_31",0.14575,0.0621481,0.0878906,0.0902081548330404,3589,0.15,60,"aug_2017"
"10112",1501610105,0.0621481,308398518,0,0,2017-08-01 17:55:05,"li22_31",0.131836,0.0439453,0.0761155,0.076371252952381,3599,0.15,60,"aug_2017"
"10637",1501613709,0.0761155,513225058,0,0,2017-08-01 18:55:09,"li22_31",0.116268,0,0.0761155,0.0753462596,3600,0.15,60,"aug_2017"
"11137",1501617314,0.0982647,4308517,0,0,2017-08-01 19:55:14,"li22_31",0.124296,0.0439453,0.0761155,0.0809038185628742,3594,0.15,60,"aug_2017"
"12305",1501625527,0.0878906,707368025,0,0,2017-08-01 22:12:07,"li22_31",0.124296,0.0439453,0.0761155,0.074817621541502,3595,0.15,60,"aug_2017"
"12811",1501629132,0.0878906,140292477,0,0,2017-08-01 23:12:12,"li22_31",0.138967,0.0439453,0.0761155,0.0770498333333333,3594,0.15,60,"aug_2017"
"13339",1501632741,0.0761155,567095159,0,0,2017-08-02 00:12:21,"li22_31",0.138967,0.0439453,0.0878906,0.0832821409836066,3599,0.15,60,"aug_2017"
"15552",1501647119,0.0878906,220138731,0,0,2017-08-02 04:11:59,"li22_31",0.138967,0.0439453,0.0878906,0.0921519378927911,3594,0.15,60,"aug_2017"
"16200",1501651408,0.107644,552998509,0,0,2017-08-02 05:23:28,"li22_31",0.14575,0.0439453,0.0878906,0.0897576922939068,3599,0.15,60,"aug_2017"
"16758",1501655012,0.0761155,971417720,0,0,2017-08-02 06:23:32,"li22_31",0.14575,0.0439453,0.0878906,0.091276409314587,3600,0.15,60,"aug_2017"
"17393",1501659047,0.0878906,349772946,0,0,2017-08-02 07:30:47,"li22_31",0.14575,0.0439453,0.0878906,0.0904120920353982,3599,0.15,60,"aug_2017"
"17958",1501662651,0.0761155,782374815,0,0,2017-08-02 08:30:51,"li22_31",0.131836,0.0439453,0.0878906,0.0911594499102334,3600,0.15,60,"aug_2017"
"19015",1501669400,0.107644,661684324,0,0,2017-08-02 10:23:20,"li22_31",0.131836,0.0439453,0.0878906,0.0898996489130435,3595,0.15,60,"aug_2017"
"19567",1501673005,0.0982647,360402171,0,0,2017-08-02 11:23:25,"li22_31",0.14575,0.0439453,0.0982647,0.0942983147110333,3600,0.15,60,"aug_2017"
"20788",1501680868,0.0878906,832906213,0,0,2017-08-02 13:34:28,"li22_31",0.138967,0.0439453,0.0982647,0.0939534366024518,3595,0.15,60,"aug_2017"
"22716",1501693181,0.0982647,920386523,0,0,2017-08-02 16:59:41,"li22_31",0.138967,0.0439453,0.0878906,0.0852012764705882,3600,0.15,60,"aug_2017"
"23260",1501696791,0.0621481,341639018,0,0,2017-08-02 17:59:51,"li22_31",0.124296,0.0439453,0.0878906,0.0840776788389513,3589,0.15,60,"aug_2017"
"23794",1501700395,0.0878906,756080100,0,0,2017-08-02 18:59:55,"li22_31",0.124296,0.0439453,0.0761155,0.0777873042801556,3600,0.15,60,"aug_2017"
"24399",1501704620,0.0878906,369708480,0,0,2017-08-02 20:10:20,"li22_31",0.138967,0.0439453,0.0761155,0.0787116219230769,3599,0.15,60,"aug_2017"
"24919",1501708225,0.0621481,97904948,0,0,2017-08-02 21:10:25,"li22_31",0.116268,0.0439453,0.0761155,0.0804546011428571,3599,0.15,60,"aug_2017"
"25706",1501713638,0.107644,909803120,0,0,2017-08-02 22:40:38,"li22_31",0.14575,0.0439453,0.0761155,0.0766547929273085,3600,0.15,60,"aug_2017"
"26215",1501717243,0.0878906,352796975,0,0,2017-08-02 23:40:43,"li22_31",0.131836,0.0439453,0.0761155,0.0757779258252427,3599,0.15,60,"aug_2017"
"26730",1501720847,0.0982647,969708100,0,0,2017-08-03 00:40:47,"li22_31",0.116268,0.0439453,0.0761155,0.0754512385321101,3600,0.15,60,"aug_2017"
"27957",1501728976,0.0982647,721284231,0,0,2017-08-03 02:56:16,"li22_31",0.14575,0.0439453,0.0878906,0.0877289925858951,3600,0.15,60,"aug_2017"
"28780",1501734330,0.0621481,928483937,0,0,2017-08-03 04:25:30,"li22_31",0.131836,0.0621481,0.0982647,0.0945557807079646,3590,0.15,60,"aug_2017"
"29345",1501737935,0.0761155,374435694,0,0,2017-08-03 05:25:35,"li22_31",0.138967,0.0621481,0.0982647,0.0974803834196891,3594,0.15,60,"aug_2017"
"29924",1501741539,0.116268,811660236,0,0,2017-08-03 06:25:39,"li22_31",0.138967,0.0621481,0.0982647,0.0966332083617747,3596,0.15,60,"aug_2017"
"30510",1501745154,0.0878906,234164854,0,0,2017-08-03 07:25:54,"li22_31",0.14575,0.0621481,0.0982647,0.0942459917975567,3599,0.15,60,"aug_2017"
"31639",1501752188,0.0878906,143696242,0,0,2017-08-03 09:23:08,"li22_31",0.14575,0.0439453,0.0982647,0.0951596093577982,3599,0.15,60,"aug_2017"
"32184",1501755792,0.0982647,569630971,0,0,2017-08-03 10:23:12,"li22_31",0.131836,0.0621481,0.0982647,0.0945207953153153,3600,0.15,60,"aug_2017"
"32739",1501759397,0.116268,15656375,0,0,2017-08-03 11:23:17,"li22_31",0.14575,0.0439453,0.0982647,0.0936304187387387,3594,0.15,60,"aug_2017"
"33294",1501763006,0.0982647,451788118,0,0,2017-08-03 12:23:26,"li22_31",0.14575,0.0439453,0.0982647,0.0939116980530973,3599,0.15,60,"aug_2017"
"33989",1501767426,0.107644,573313470,0,0,2017-08-03 13:37:06,"li22_31",0.14575,0.0439453,0.0982647,0.0944635521885522,3599,0.15,60,"aug_2017"
"35349",1501775884,0.0878906,454806417,0,0,2017-08-03 15:58:04,"li22_31",0.138967,0.0439453,0.0878906,0.0906978177816901,3589,0.15,60,"aug_2017"
"35917",1501779488,0.107644,893233023,0,0,2017-08-03 16:58:08,"li22_31",0.124296,0.0439453,0.0878906,0.0850897901639344,3595,0.15,60,"aug_2017"
"36466",1501783093,0.0982647,572945346,0,0,2017-08-03 17:58:13,"li22_31",0.131836,0.0439453,0.0878906,0.0834197191204589,3600,0.15,60,"aug_2017"
"36989",1501786698,0.0761155,28318448,0,0,2017-08-03 18:58:18,"li22_31",0.138967,0.0439453,0.0761155,0.0814099424418605,3599,0.15,60,"aug_2017"
"37505",1501790307,0.0982647,463711882,0,0,2017-08-03 19:58:27,"li22_31",0.124296,0.0439453,0.0761155,0.077728225046729,3589,0.15,60,"aug_2017"
"38040",1501793911,0.0621481,904346927,0,0,2017-08-03 20:58:31,"li22_31",0.131836,0.0439453,0.0761155,0.0808871913919414,3600,0.15,60,"aug_2017"
"38643",1501797896,0.0878906,292936187,0,0,2017-08-03 22:04:56,"li22_31",0.124296,0.0439453,0.0878906,0.0831264907020873,3599,0.15,60,"aug_2017"
"39170",1501801500,0.0982647,749191521,0,0,2017-08-03 23:05:00,"li22_31",0.14575,0.0439453,0.0878906,0.0836235685816876,3600,0.15,60,"aug_2017"
"39727",1501805105,0.0878906,189709093,0,0,2017-08-04 00:05:05,"li22_31",0.138967,0.0439453,0.0878906,0.0834937314647378,3599,0.15,60,"aug_2017"
"40280",1501808709,0.0878906,593164015,0,0,2017-08-04 01:05:09,"li22_31",0.14575,0.0439453,0.0878906,0.0877175716845878,3600,0.15,60,"aug_2017"
"40923",1501812843,0.0621481,940043795,0,0,2017-08-04 02:14:03,"li22_31",0.138967,0.0439453,0.0878906,0.0872377933579336,3596,0.15,60,"aug_2017"
"41465",1501816448,0.0982647,367214566,0,0,2017-08-04 03:14:08,"li22_31",0.131836,0.0439453,0.0878906,0.0872869507992895,3599,0.15,60,"aug_2017"
"42190",1501821147,0.0761155,591219190,0,0,2017-08-04 04:32:27,"li22_31",0.138967,0.0439453,0.0878906,0.0915817305301645,3600,0.15,60,"aug_2017"
"44825",1501837984,0.0982647,984390704,0,0,2017-08-04 09:13:04,"li22_31",0.131836,0.0439453,0.0878906,0.089928969664903,3600,0.15,60,"aug_2017"
"46418",1501848033,0.107644,572184716,0,0,2017-08-04 12:00:33,"li22_31",0.138967,0.0439453,0.0878906,0.092483815916955,3599,0.15,60,"aug_2017"
"47053",1501852028,0.0982647,53399541,0,0,2017-08-04 13:07:08,"li22_31",0.131836,0.0439453,0.0982647,0.0939785659536542,3599,0.15,60,"aug_2017"
"48082",1501858491,0.0982647,806688145,0,0,2017-08-04 14:54:51,"li22_31",0.14575,0.0439453,0.0878906,0.0916661159574468,3600,0.15,60,"aug_2017"
"48646",1501862106,0.0761155,238522631,0,0,2017-08-04 15:55:06,"li22_31",0.14575,0.0439453,0.0878906,0.0932434380208333,3599,0.15,60,"aug_2017"
"50201",1501871849,0.0878906,715259237,0,0,2017-08-04 18:37:29,"li22_31",0.138967,0.0621481,0.0878906,0.092718125528169,3600,0.15,60,"aug_2017"
"51230",1501878353,0.0982647,764430492,0,0,2017-08-04 20:25:53,"li22_31",0.138967,0.0439453,0.0878906,0.0919324700179533,3595,0.15,60,"aug_2017"
"51949",1501882968,0.0982647,63823331,0,0,2017-08-04 21:42:48,"li22_31",0.14575,0.0621481,0.0982647,0.0942396356890459,3599,0.15,60,"aug_2017"
