"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","max_value","min_value","median_value","average_value","event_duration_seconds","threshold","event_duration","month"
"10293",1480602982,0.0439453,284719046,0,0,2016-12-01 14:36:22,"li22_31",0.138967,0,0.0621481,0.0705087777777778,50,0.15,60,"dec_2016"
"311031",1482167030,0,189355743,0,0,2016-12-19 17:03:50,"li22_31",0,0,0,0,0,0.15,60,"dec_2016"
"311032",1482170806,0,475741807,0,0,2016-12-19 18:06:46,"li22_31",0,0,0,0,0,0.15,60,"dec_2016"
"102931",1480602982,0.0439453,284719046,0,0,2016-12-01 14:36:22,"li22_31",0.138967,0,0.0621481,0.0705087777777778,50,0.15,90,"dec_2016"
"3110311",1482167030,0,189355743,0,0,2016-12-19 17:03:50,"li22_31",0,0,0,0,3776,0.15,90,"dec_2016"
"102932",1480602982,0.0439453,284719046,0,0,2016-12-01 14:36:22,"li22_31",0.138967,0,0.0621481,0.0705087777777778,50,0.15,120,"dec_2016"
"3110312",1482167030,0,189355743,0,0,2016-12-19 17:03:50,"li22_31",0,0,0,0,3776,0.15,120,"dec_2016"
"102933",1480602982,0.0439453,284719046,0,0,2016-12-01 14:36:22,"li22_31",0.138967,0,0.0621481,0.0705087777777778,50,0.15,180,"dec_2016"
"3110313",1482167030,0,189355743,0,0,2016-12-19 17:03:50,"li22_31",0,0,0,0,3776,0.15,180,"dec_2016"
"102934",1480602982,0.0439453,284719046,0,0,2016-12-01 14:36:22,"li22_31",0.138967,0,0.0621481,0.0705087777777778,50,0.2,60,"dec_2016"
"3110314",1482167030,0,189355743,0,0,2016-12-19 17:03:50,"li22_31",0,0,0,0,0,0.2,60,"dec_2016"
"3110321",1482170806,0,475741807,0,0,2016-12-19 18:06:46,"li22_31",0,0,0,0,0,0.2,60,"dec_2016"
"1029311",1480602982,0.0439453,284719046,0,0,2016-12-01 14:36:22,"li22_31",0.138967,0,0.0621481,0.0705087777777778,50,0.2,90,"dec_2016"
"31103111",1482167030,0,189355743,0,0,2016-12-19 17:03:50,"li22_31",0,0,0,0,3776,0.2,90,"dec_2016"
"1029321",1480602982,0.0439453,284719046,0,0,2016-12-01 14:36:22,"li22_31",0.138967,0,0.0621481,0.0705087777777778,50,0.2,120,"dec_2016"
"31103121",1482167030,0,189355743,0,0,2016-12-19 17:03:50,"li22_31",0,0,0,0,3776,0.2,120,"dec_2016"
"1029331",1480602982,0.0439453,284719046,0,0,2016-12-01 14:36:22,"li22_31",0.138967,0,0.0621481,0.0705087777777778,50,0.2,180,"dec_2016"
"31103131",1482167030,0,189355743,0,0,2016-12-19 17:03:50,"li22_31",0,0,0,0,3776,0.2,180,"dec_2016"
