"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","max_value","min_value","median_value","average_value","event_duration_seconds","threshold","event_duration","month"
"10183",1496334884,0.0982647,569717726,0,0,2017-06-01 16:34:44,"li22_31",0.138967,0.0621481,0.0982647,0.10147374778157,3600,0.15,60,"june_2017"
"11177",1496341233,0.0761155,472371902,0,0,2017-06-01 18:20:33,"li22_31",0.138967,0.0439453,0.0761155,0.0756561495201536,3599,0.15,60,"june_2017"
"12172",1496348037,0.0621481,363271672,0,0,2017-06-01 20:13:57,"li22_31",0.124296,0.0439453,0.0878906,0.0822181785582255,3599,0.15,60,"june_2017"
"12957",1496353251,0.0621481,393422272,0,0,2017-06-01 21:40:51,"li22_31",0.138967,0.0439453,0.0878906,0.0871015066176471,3594,0.15,60,"june_2017"
"14308",1496361919,0.116268,873121281,0,0,2017-06-02 00:05:19,"li22_31",0.14575,0.0439453,0.0982647,0.0937987395390071,3600,0.15,60,"june_2017"
"24563",1496422554,0.0982647,336226206,0,0,2017-06-02 16:55:54,"li22_31",0.14575,0.0439453,0.0878906,0.0869253108499096,3599,0.15,60,"june_2017"
"25116",1496426158,0.0878906,735038493,0,0,2017-06-02 17:55:58,"li22_31",0.124296,0.0439453,0.0761155,0.0775855397148676,3590,0.15,60,"june_2017"
"26237",1496434042,0.0761155,399873610,0,0,2017-06-02 20:07:22,"li22_31",0.124296,0.0439453,0.0761155,0.0754227407265774,3599,0.15,60,"june_2017"
"26760",1496437651,0.0761155,785019772,0,0,2017-06-02 21:07:31,"li22_31",0.116268,0.0439453,0.0761155,0.0754958440239044,3600,0.15,60,"june_2017"
"27352",1496441901,0.0761155,89129928,0,0,2017-06-02 22:18:21,"li22_31",0.116268,0.0439453,0.0761155,0.0752592284274194,3594,0.15,60,"june_2017"
"27848",1496445505,0.0761155,489888932,0,0,2017-06-02 23:18:25,"li22_31",0.14575,0.0439453,0.0878906,0.0826077774311927,3599,0.15,60,"june_2017"
"28792",1496451624,0.0982647,469071187,0,0,2017-06-03 01:00:24,"li22_31",0.14575,0.0621481,0.0982647,0.0975299213660245,3594,0.15,60,"june_2017"
"38853",1496510394,0.124296,725246833,0,0,2017-06-03 17:19:54,"li22_31",0.14575,0.0439453,0.0982647,0.0988995143598616,3600,0.15,60,"june_2017"
"39431",1496513999,0.0878906,122077253,0,0,2017-06-03 18:19:59,"li22_31",0.14575,0.0439453,0.0982647,0.096260590443686,3599,0.15,60,"june_2017"
"40514",1496520772,0.0761155,991966039,0,0,2017-06-03 20:12:52,"li22_31",0.124296,0.0439453,0.0761155,0.0777654,3600,0.15,60,"june_2017"
"41025",1496524382,0.0761155,386654652,0,0,2017-06-03 21:13:02,"li22_31",0.124296,0.0439453,0.0761155,0.0775421814885496,3594,0.15,60,"june_2017"
"41549",1496527986,0.0878906,761513320,0,0,2017-06-03 22:13:06,"li22_31",0.131836,0.0439453,0.0761155,0.0774105016981132,3595,0.15,60,"june_2017"
"42079",1496531591,0.0761155,146687650,0,0,2017-06-03 23:13:11,"li22_31",0.124296,0.0439453,0.0878906,0.0823184469387755,3599,0.15,60,"june_2017"
"42618",1496535195,0.0761155,547612076,0,0,2017-06-04 00:13:15,"li22_31",0.138967,0.0439453,0.0761155,0.0817730972118959,3589,0.15,60,"june_2017"
"43156",1496538799,0.0761155,994034431,0,0,2017-06-04 01:13:19,"li22_31",0.138967,0.0439453,0.0982647,0.0945914631669535,3600,0.15,60,"june_2017"
"50137",1496581822,0,660934214,0,0,2017-06-04 13:10:22,"li22_31",0.0878906,0,0,0.0292968666666667,10,0.15,60,"june_2017"
"50258",1496587171,0.0621481,719221718,0,0,2017-06-04 14:39:31,"li22_31",0.0761155,0,0.0439453,0.0360999538690476,3600,0.15,60,"june_2017"
"50594",1496590776,0.0439453,115016513,0,0,2017-06-04 15:39:36,"li22_31",0.0761155,0,0.0439453,0.0418529113074205,3599,0.15,60,"june_2017"
"51069",1496596450,0.116268,867000121,0,0,2017-06-04 17:14:10,"li22_31",0.14575,0.0439453,0.0878906,0.0858374881415929,3594,0.15,60,"june_2017"
"51729",1496600699,0.0878906,432721718,0,0,2017-06-04 18:24:59,"li22_31",0.124296,0.0439453,0.0761155,0.0743215298568507,3599,0.15,60,"june_2017"
"52218",1496604303,0.0621481,835337178,0,0,2017-06-04 19:25:03,"li22_31",0.124296,0.0439453,0.0621481,0.0683061159827214,3600,0.15,60,"june_2017"
