"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","max_value","min_value","median_value","average_value","event_duration_seconds","threshold","event_duration","month"
"322",1494459892,0.0761155,821621607,0,0,2017-05-10 23:44:52,"li22_31",0.138967,0,0.0439453,0.0365811273809524,3595,0.15,60,"may_2017"
"2850",1494476629,0,739825343,0,0,2017-05-11 04:23:49,"li22_31",0.0439453,0,0,0.0218903554307116,3595,0.15,60,"may_2017"
"3117",1494480239,0.0439453,78453844,0,0,2017-05-11 05:23:59,"li22_31",0.0621481,0,0.02197265,0.0220454612,3594,0.15,60,"may_2017"
"3367",1494483853,0.0439453,408914087,0,0,2017-05-11 06:24:13,"li22_31",0.0439453,0,0.02197265,0.02197265,3589,0.15,60,"may_2017"
"17658",1494564948,0,715495704,0,0,2017-05-12 04:55:48,"li22_31",0,0,0,0,0,0.15,60,"may_2017"
"24527",1494616024,0,580588886,0,0,2017-05-12 19:07:04,"li22_31",0,0,0,0,0,0.15,60,"may_2017"
"65992",1494848770,0,289270880,0,0,2017-05-15 11:46:10,"li22_31",0.0439453,0,0,0.0208161947368421,3454,0.15,60,"may_2017"
"66011",1494852644,0.0439453,564604125,0,0,2017-05-15 12:50:44,"li22_31",0.0439453,0,0.0439453,0.0222656186666667,3599,0.15,60,"may_2017"
"66086",1494856248,0,885070339,0,0,2017-05-15 13:50:48,"li22_31",0.0439453,0,0.02197265,0.02197265,3580,0.15,60,"may_2017"
"66154",1494859863,0,215145243,0,0,2017-05-15 14:51:03,"li22_31",0.0439453,0,0.02197265,0.02197265,3504,0.15,60,"may_2017"
"66428",1494863472,0,547124283,0,0,2017-05-15 15:51:12,"li22_31",0.0439453,0,0,0.0218694920187793,2790,0.15,60,"may_2017"
"66641",1494867686,0.0439453,768932089,0,0,2017-05-15 17:01:26,"li22_31",0.0439453,0,0.0439453,0.0220497470175439,3445,0.15,60,"may_2017"
"66926",1494871296,0.0439453,108783409,0,0,2017-05-15 18:01:36,"li22_31",0.0439453,0,0.0439453,0.0220758079812207,3599,0.15,60,"may_2017"
