"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","max_value","min_value","median_value","average_value","event_duration_seconds","threshold","event_duration","month"
"138921",1478699366,0,642202291,0,0,2016-11-09 13:49:26,"li22_31",0,0,0,0,0,0.15,60,"nov_2016"
"138922",1478713814,0,17133468,0,0,2016-11-09 17:50:14,"li22_31",0,0,0,0,0,0.15,60,"nov_2016"
"138923",1478718001,0,331792415,0,0,2016-11-09 19:00:01,"li22_31",0,0,0,0,0,0.15,60,"nov_2016"
"267077",1479403925,0,763510116,0,0,2016-11-17 17:32:05,"li22_31",0.0439453,0,0,0.0214092487179487,1970,0.15,60,"nov_2016"
"1389211",1478699366,0,642202291,0,0,2016-11-09 13:49:26,"li22_31",0,0,0,0,0,0.15,90,"nov_2016"
"1389221",1478713814,0,17133468,0,0,2016-11-09 17:50:14,"li22_31",0,0,0,0,4187,0.15,90,"nov_2016"
"1389212",1478699366,0,642202291,0,0,2016-11-09 13:49:26,"li22_31",0,0,0,0,0,0.15,120,"nov_2016"
"1389222",1478713814,0,17133468,0,0,2016-11-09 17:50:14,"li22_31",0,0,0,0,4187,0.15,120,"nov_2016"
"1389213",1478699366,0,642202291,0,0,2016-11-09 13:49:26,"li22_31",0,0,0,0,0,0.15,180,"nov_2016"
"1389223",1478713814,0,17133468,0,0,2016-11-09 17:50:14,"li22_31",0,0,0,0,4187,0.15,180,"nov_2016"
"1389214",1478699366,0,642202291,0,0,2016-11-09 13:49:26,"li22_31",0,0,0,0,0,0.2,60,"nov_2016"
"1389224",1478713814,0,17133468,0,0,2016-11-09 17:50:14,"li22_31",0,0,0,0,0,0.2,60,"nov_2016"
"1389231",1478718001,0,331792415,0,0,2016-11-09 19:00:01,"li22_31",0,0,0,0,0,0.2,60,"nov_2016"
"2670771",1479403925,0,763510116,0,0,2016-11-17 17:32:05,"li22_31",0.0439453,0,0,0.0214092487179487,1970,0.2,60,"nov_2016"
"13892111",1478699366,0,642202291,0,0,2016-11-09 13:49:26,"li22_31",0,0,0,0,0,0.2,90,"nov_2016"
"13892211",1478713814,0,17133468,0,0,2016-11-09 17:50:14,"li22_31",0,0,0,0,4187,0.2,90,"nov_2016"
"13892121",1478699366,0,642202291,0,0,2016-11-09 13:49:26,"li22_31",0,0,0,0,0,0.2,120,"nov_2016"
"13892221",1478713814,0,17133468,0,0,2016-11-09 17:50:14,"li22_31",0,0,0,0,4187,0.2,120,"nov_2016"
"13892131",1478699366,0,642202291,0,0,2016-11-09 13:49:26,"li22_31",0,0,0,0,0,0.2,180,"nov_2016"
"13892231",1478713814,0,17133468,0,0,2016-11-09 17:50:14,"li22_31",0,0,0,0,4187,0.2,180,"nov_2016"
