"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","max_value","min_value","median_value","average_value","event_duration_seconds","threshold","event_duration","month"
"175601",1476276261,0.0439453,586260236,0,0,2016-10-12 12:44:21,"li22_31",0.0982647,0,0.0530467,0.0560323333333333,30,0.15,60,"oct_2016"
"175607",1476282498,0,766183632,0,0,2016-10-12 14:28:18,"li22_31",0,0,0,0,1449,0.15,60,"oct_2016"
"1756011",1476276261,0.0439453,586260236,0,0,2016-10-12 12:44:21,"li22_31",0.0982647,0,0.0530467,0.0560323333333333,30,0.15,90,"oct_2016"
"1756071",1476282498,0,766183632,0,0,2016-10-12 14:28:18,"li22_31",0,0,0,0,1449,0.15,90,"oct_2016"
"1756012",1476276261,0.0439453,586260236,0,0,2016-10-12 12:44:21,"li22_31",0.0982647,0,0.0439453,0.0480277142857143,6237,0.15,120,"oct_2016"
"175608",1476283947,0,499860938,0,0,2016-10-12 14:52:27,"li22_31",0,0,0,0,0,0.15,120,"oct_2016"
"1756013",1476276261,0.0439453,586260236,0,0,2016-10-12 12:44:21,"li22_31",0.0982647,0,0.0439453,0.04202425,7686,0.15,180,"oct_2016"
"6479",1475340355,0.124296,789980009,0,0,2016-10-01 16:45:55,"li22_31",0.196529,0.0439453,0.0982647,0.0995201447194719,3600,0.2,60,"oct_2016"
"7198",1475344630,0.124296,26059436,0,0,2016-10-01 17:57:10,"li22_31",0.181191,0,0.0878906,0.0889384640522876,3599,0.2,60,"oct_2016"
"7810",1475348234,0.0761155,377758183,0,0,2016-10-01 18:57:14,"li22_31",0.181191,0.0439453,0.0878906,0.0920653134304207,3599,0.2,60,"oct_2016"
"8428",1475351839,0.0982647,53747592,0,0,2016-10-01 19:57:19,"li22_31",0.196529,0.0439453,0.0878906,0.0904041071082391,3599,0.2,60,"oct_2016"
"9047",1475355443,0.0878906,89113513,0,0,2016-10-01 20:57:23,"li22_31",0.181191,0.0439453,0.0878906,0.0880596360841424,3599,0.2,60,"oct_2016"
"9665",1475359047,0.0439453,463354904,0,0,2016-10-01 21:57:27,"li22_31",0.181191,0.0439453,0.0878906,0.0900171424143556,3599,0.2,60,"oct_2016"
"11158",1475367735,0.0621481,991942071,0,0,2016-10-02 00:22:15,"li22_31",0.181191,0.0439453,0.0982647,0.103307885248447,3600,0.2,60,"oct_2016"
"12329",1475374294,0.14575,796047196,0,0,2016-10-02 02:11:34,"li22_31",0.191553,0.0621481,0.116268,0.11465607566719,3600,0.2,60,"oct_2016"
"23499",1475435409,0.0878906,301189252,0,0,2016-10-02 19:10:09,"li22_31",0.175781,0,0.0878906,0.0955268221122112,3599,0.2,60,"oct_2016"
"25734",1475448187,0.0878906,77553992,0,0,2016-10-02 22:43:07,"li22_31",0.196529,0.0439453,0.0982647,0.10499473748056,3600,0.2,60,"oct_2016"
"37294",1475511075,0.0761155,982502727,0,0,2016-10-03 16:11:15,"li22_31",0.191553,0.0439453,0.0982647,0.105583657710652,3590,0.2,60,"oct_2016"
"39083",1475521314,0.0878906,73902937,0,0,2016-10-03 19:01:54,"li22_31",0.191553,0.0439453,0.107644,0.109157750809061,3599,0.2,60,"oct_2016"
"39987",1475526498,0.107644,144502550,0,0,2016-10-03 20:28:18,"li22_31",0.196529,0,0.0982647,0.10440867568,3600,0.2,60,"oct_2016"
"55036",1475610193,0.107644,546255828,0,0,2016-10-04 19:43:13,"li22_31",0.175781,0.0439453,0.0982647,0.0976573575039495,3599,0.2,60,"oct_2016"
"70082",1475692974,0.0761155,124067393,0,0,2016-10-05 18:42:54,"li22_31",0.181191,0.0439453,0.0878906,0.094860788748019,3599,0.2,60,"oct_2016"
"71322",1475700117,0.131836,846524355,0,0,2016-10-05 20:41:57,"li22_31",0.196529,0.0439453,0.0982647,0.0963016420880914,3600,0.2,60,"oct_2016"
"73107",1475710481,0.0761155,104087593,0,0,2016-10-05 23:34:41,"li22_31",0.175781,0.0439453,0.0982647,0.0976631326953748,3599,0.2,60,"oct_2016"
"84456",1475772390,0.0878906,906967538,0,0,2016-10-06 16:46:30,"li22_31",0.196529,0.0439453,0.0878906,0.0972260993333333,3600,0.2,60,"oct_2016"
"88600",1475796371,0.0878906,597599038,0,0,2016-10-06 23:26:11,"li22_31",0.196529,0.0439453,0.0878906,0.0959987274322169,3599,0.2,60,"oct_2016"
"102045",1475870548,0.0982647,467599100,0,0,2016-10-07 20:02:28,"li22_31",0.196529,0.0439453,0.0982647,0.099858637745098,3599,0.2,60,"oct_2016"
"103007",1475876192,0.0761155,472925699,0,0,2016-10-07 21:36:32,"li22_31",0.186444,0.0439453,0.0982647,0.0979675828125,3599,0.2,60,"oct_2016"
"103647",1475879796,0.0878906,856720414,0,0,2016-10-07 22:36:36,"li22_31",0.196529,0.0439453,0.0982647,0.0977018843548387,3595,0.2,60,"oct_2016"
"118296",1475961367,0.0761155,854658881,0,0,2016-10-08 21:16:07,"li22_31",0.186444,0.0439453,0.0878906,0.0930798701130856,3600,0.2,60,"oct_2016"
"118915",1475964971,0.107644,586087192,0,0,2016-10-08 22:16:11,"li22_31",0.196529,0.0439453,0.0982647,0.101428622870662,3599,0.2,60,"oct_2016"
"119549",1475968575,0.0761155,942197792,0,0,2016-10-08 23:16:15,"li22_31",0.191553,0.0439453,0.0878906,0.0943843376012966,3590,0.2,60,"oct_2016"
"120166",1475972176,0.124296,52608861,0,0,2016-10-09 00:16:16,"li22_31",0.181191,0.0439453,0.0878906,0.0954710274959083,3598,0.2,60,"oct_2016"
"120881",1475976395,0.0621481,181539575,0,0,2016-10-09 01:26:35,"li22_31",0.181191,0.0439453,0.0982647,0.0966580146496815,3599,0.2,60,"oct_2016"
"131798",1476036793,0.0761155,728127889,0,0,2016-10-09 18:13:13,"li22_31",0.196529,0.0439453,0.0982647,0.0993008916932907,3600,0.2,60,"oct_2016"
"133149",1476044447,0.0761155,366342404,0,0,2016-10-09 20:20:47,"li22_31",0.191553,0.0439453,0.0982647,0.0962423600638978,3594,0.2,60,"oct_2016"
"134879",1476054475,0.152231,606224333,0,0,2016-10-09 23:07:55,"li22_31",0.186444,0.0439453,0.0982647,0.0966257610576923,3600,0.2,60,"oct_2016"
"165191",1476219821,0.152231,558378106,0,0,2016-10-11 21:03:41,"li22_31",0.196529,0,0.107644,0.104933940775194,3599,0.2,60,"oct_2016"
"1756014",1476276261,0.0439453,586260236,0,0,2016-10-12 12:44:21,"li22_31",0.0982647,0,0.0530467,0.0560323333333333,30,0.2,60,"oct_2016"
"1756072",1476282498,0,766183632,0,0,2016-10-12 14:28:18,"li22_31",0,0,0,0,1449,0.2,60,"oct_2016"
"254441",1476740379,0.107644,430017290,0,0,2016-10-17 21:39:39,"li22_31",0.196529,0.0439453,0.107644,0.106035900786164,3594,0.2,60,"oct_2016"
"284625",1476905809,0.0761155,613065624,0,0,2016-10-19 19:36:49,"li22_31",0.186444,0.0439453,0.107644,0.110556933433735,3599,0.2,60,"oct_2016"
"286089",1476913873,0.0982647,152963979,0,0,2016-10-19 21:51:13,"li22_31",0.196529,0.0439453,0.107644,0.107441636908517,3599,0.2,60,"oct_2016"
"287694",1476922916,0.116268,553298772,0,0,2016-10-20 00:21:56,"li22_31",0.196529,0.0439453,0.107644,0.106266271036585,3595,0.2,60,"oct_2016"
"291807",1476945512,0.0621481,474479253,0,0,2016-10-20 06:38:32,"li22_31",0.196529,0.0439453,0.107644,0.104288922580645,3599,0.2,60,"oct_2016"
"300613",1476994133,0.0982647,950263856,0,0,2016-10-20 20:08:53,"li22_31",0.196529,0.0439453,0.107644,0.10795679503876,3600,0.2,60,"oct_2016"
"301711",1477000307,0.0982647,895092276,0,0,2016-10-20 21:51:47,"li22_31",0.196529,0.0439453,0.107644,0.106365800786164,3595,0.2,60,"oct_2016"
"314537",1477071181,0.138967,857107116,0,0,2016-10-21 17:33:01,"li22_31",0.191553,0.0439453,0.107644,0.11193039375975,3600,0.2,60,"oct_2016"
"317140",1477085679,0.116268,704622910,0,0,2016-10-21 21:34:39,"li22_31",0.196529,0.0439453,0.107644,0.108538203265941,3600,0.2,60,"oct_2016"
"320112",1477102271,0.124296,928683770,0,0,2016-10-22 02:11:11,"li22_31",0.196529,0.0439453,0.116268,0.11496572003012,3600,0.2,60,"oct_2016"
"321030",1477107301,0.196529,139172295,0,0,2016-10-22 03:35:01,"li22_31",0.196529,0.0621481,0.116268,0.118121406396256,3599,0.2,60,"oct_2016"
"330299",1477157937,0.124296,684306220,0,0,2016-10-22 17:38:57,"li22_31",0.191553,0.0439453,0.107644,0.109890170471842,3599,0.2,60,"oct_2016"
"333256",1477174314,0.116268,574609461,0,0,2016-10-22 22:11:54,"li22_31",0.196529,0.0439453,0.107644,0.110777727580894,3599,0.2,60,"oct_2016"
"361679",1477329433,0.0621481,560090663,0,0,2016-10-24 17:17:13,"li22_31",0.196529,0.0439453,0.107644,0.11213182,3599,0.2,60,"oct_2016"
"477722",1477957838,0.158447,735099354,0,0,2016-10-31 23:50:38,"li22_31",0.196529,0.0439453,0.124296,0.12579956122449,550,0.2,60,"oct_2016"
"71981",1475344630,0.124296,26059436,0,0,2016-10-01 17:57:10,"li22_31",0.181191,0,0.0878906,0.0895891666304348,5399,0.2,90,"oct_2016"
"8118",1475350034,0.0982647,56751591,0,0,2016-10-01 19:27:14,"li22_31",0.196529,0.0439453,0.0878906,0.0912994026939655,5394,0.2,90,"oct_2016"
"9046",1475355438,0.138967,87835279,0,0,2016-10-01 20:57:18,"li22_31",0.181191,0.0439453,0.0878906,0.0889590395474138,5399,0.2,90,"oct_2016"
"700821",1475692974,0.0761155,124067393,0,0,2016-10-05 18:42:54,"li22_31",0.196529,0.0439453,0.0878906,0.0950015058324496,5399,0.2,90,"oct_2016"
"713221",1475700117,0.131836,846524355,0,0,2016-10-05 20:41:57,"li22_31",0.196529,0.0439453,0.0982647,0.0961496529411765,5399,0.2,90,"oct_2016"
"1020451",1475870548,0.0982647,467599100,0,0,2016-10-07 20:02:28,"li22_31",0.196529,0.0439453,0.0982647,0.0991697686486487,5399,0.2,90,"oct_2016"
"1030071",1475876192,0.0761155,472925699,0,0,2016-10-07 21:36:32,"li22_31",0.196529,0.0439453,0.0982647,0.0980145655755016,5399,0.2,90,"oct_2016"
"1182961",1475961367,0.0761155,854658881,0,0,2016-10-08 21:16:07,"li22_31",0.196529,0.0439453,0.0982647,0.0982637062566278,5399,0.2,90,"oct_2016"
"119239",1475966771,0.116268,264397569,0,0,2016-10-08 22:46:11,"li22_31",0.191553,0.0439453,0.0878906,0.0943847333333333,5394,0.2,90,"oct_2016"
"1208811",1475976395,0.0621481,181539575,0,0,2016-10-09 01:26:35,"li22_31",0.186444,0.0439453,0.0982647,0.0972835019189765,5393,0.2,90,"oct_2016"
"1331491",1476044447,0.0761155,366342404,0,0,2016-10-09 20:20:47,"li22_31",0.196529,0.0439453,0.0878906,0.0956626758547009,5399,0.2,90,"oct_2016"
"17560111",1476276261,0.0439453,586260236,0,0,2016-10-12 12:44:21,"li22_31",0.0982647,0,0.0530467,0.0560323333333333,30,0.2,90,"oct_2016"
"17560711",1476282498,0,766183632,0,0,2016-10-12 14:28:18,"li22_31",0,0,0,0,1449,0.2,90,"oct_2016"
"4777221",1477957838,0.158447,735099354,0,0,2016-10-31 23:50:38,"li22_31",0.196529,0.0439453,0.124296,0.12579956122449,550,0.2,90,"oct_2016"
"71982",1475344630,0.124296,26059436,0,0,2016-10-01 17:57:10,"li22_31",0.181191,0,0.0878906,0.0905116461350692,7198,0.2,120,"oct_2016"
"8427",1475351833,0.0878906,734999040,0,0,2016-10-01 19:57:13,"li22_31",0.196529,0.0439453,0.0878906,0.0892610663430421,7199,0.2,120,"oct_2016"
"1030072",1475876192,0.0761155,472925699,0,0,2016-10-07 21:36:32,"li22_31",0.196529,0.0439453,0.0982647,0.0978368423015873,7199,0.2,120,"oct_2016"
"1182962",1475961367,0.0761155,854658881,0,0,2016-10-08 21:16:07,"li22_31",0.196529,0.0439453,0.0982647,0.0973117379392971,7198,0.2,120,"oct_2016"
"119548",1475968570,0.0878906,941587380,0,0,2016-10-08 23:16:10,"li22_31",0.191553,0.0439453,0.0878906,0.0949089419381108,7194,0.2,120,"oct_2016"
"17560121",1476276261,0.0439453,586260236,0,0,2016-10-12 12:44:21,"li22_31",0.0982647,0,0.0439453,0.0480277142857143,6237,0.2,120,"oct_2016"
"1756081",1476283947,0,499860938,0,0,2016-10-12 14:52:27,"li22_31",0,0,0,0,0,0.2,120,"oct_2016"
"4777222",1477957838,0.158447,735099354,0,0,2016-10-31 23:50:38,"li22_31",0.196529,0.0439453,0.124296,0.12579956122449,550,0.2,120,"oct_2016"
"71983",1475344630,0.124296,26059436,0,0,2016-10-01 17:57:10,"li22_31",0.196529,0,0.0878906,0.0904479864718615,10798,0.2,180,"oct_2016"
"1182963",1475961367,0.0761155,854658881,0,0,2016-10-08 21:16:07,"li22_31",0.196529,0.0439453,0.0982647,0.0963408143315508,10798,0.2,180,"oct_2016"
"17560131",1476276261,0.0439453,586260236,0,0,2016-10-12 12:44:21,"li22_31",0.0982647,0,0.0439453,0.04202425,7686,0.2,180,"oct_2016"
"4777223",1477957838,0.158447,735099354,0,0,2016-10-31 23:50:38,"li22_31",0.196529,0.0439453,0.124296,0.12579956122449,550,0.2,180,"oct_2016"
