"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","hour_data","day_data","year_data","max_value","min_value","median_value","average_value","event_duration_seconds"
"1",1427760012,0.116268,605022779,0,0,2015-03-31 00:00:12,"li24_61",0,31,2015,0.397942,0.0621481,0.116268,0.116324672123177,3594
"63",1427763626,0.116268,915888854,0,0,2015-03-31 01:00:26,"li24_61",1,31,2015,0.354298,0.0621481,0.116268,0.113679887623762,3595
"124",1427767251,0.131836,303946732,0,0,2015-03-31 02:00:51,"li24_61",2,31,2015,0.152231,0.0621481,0.116268,0.114620663751987,3594
"186",1427770800,0.107644,634147123,0,0,2015-03-31 03:00:00,"li24_61",3,31,2015,0.414579,0.0621481,0.116268,0.117657909902597,3594
"248",1427774430,0.107644,124834366,0,0,2015-03-31 04:00:30,"li24_61",4,31,2015,0.794669,0.0621481,0.116268,0.115484965505804,3599
"308",1427778014,0.116268,265637638,0,0,2015-03-31 05:00:14,"li24_61",5,31,2015,2.2139,0.0761155,0.116268,0.118262533884298,3594
"369",1427781638,0.116268,587051375,0,0,2015-03-31 06:00:38,"li24_61",6,31,2015,0.164428,0.0621481,0.116268,0.117068689320388,3594
"431",1427785273,0.116268,207654333,0,0,2015-03-31 07:01:13,"li24_61",7,31,2015,0.158447,0.0761155,0.116268,0.114505062316476,3590
"492",1427788837,0.107644,222483512,0,0,2015-03-31 08:00:37,"li24_61",8,31,2015,0.158447,0.0621481,0.116268,0.113391788543372,3589
"553",1427792421,0.116268,551913796,0,0,2015-03-31 09:00:21,"li24_61",9,31,2015,0.158447,0.0621481,0.116268,0.112370029011345,3594
"615",1427796040,0.138967,874641986,0,0,2015-03-31 10:00:40,"li24_61",10,31,2015,0.943546,0,0.107644,0.113304532289951,3590
"675",1427799600,0.124296,211020252,0,0,2015-03-31 11:00:00,"li24_61",11,31,2015,0.351562,0.0621481,0.116268,0.116765720757825,3599
"736",1427803219,0.138967,522570920,0,0,2015-03-31 12:00:19,"li24_61",12,31,2015,0.175781,0.0621481,0.116268,0.117249382286634,3594
"798",1427806813,0.124296,865647603,0,0,2015-03-31 13:00:13,"li24_61",13,31,2015,0.170199,0.0761155,0.116268,0.119144543322981,3595
"863",1427810458,0.131836,155404416,0,0,2015-03-31 14:00:58,"li24_61",14,31,2015,0.164428,0.0761155,0.116268,0.118182062601626,3594
"924",1427814022,0.0982647,472870962,0,0,2015-03-31 15:00:22,"li24_61",15,31,2015,0.170199,0.0761155,0.116268,0.119149166449511,3594
"986",1427817656,0.107644,778004615,0,0,2015-03-31 16:00:56,"li24_61",16,31,2015,0.37029,0.0761155,0.116268,0.119995176650564,3585
"1048",1427821261,0.0982647,91826686,0,0,2015-03-31 17:01:01,"li24_61",17,31,2015,0.191553,0,0.116268,0.11843926026936,3594
"1077",1427824810,0.0878906,423508359,0,0,2015-03-31 18:00:10,"li24_61",18,31,2015,2.12033,0.0761155,0.116268,0.135793973502304,3594
"1143",1427828434,0.124296,744269514,0,0,2015-03-31 19:00:34,"li24_61",19,31,2015,1.43143,0.0621481,0.116268,0.12230038816568,3590
"1205",1427832034,0.107644,58915898,0,0,2015-03-31 20:00:34,"li24_61",20,31,2015,1.59116,0.0621481,0.116268,0.12007476284153,3589
"1266",1427835608,0.138967,391657537,0,0,2015-03-31 21:00:08,"li24_61",21,31,2015,2.17029,0.0621481,0.116268,0.116775381622517,3589
"1327",1427839237,0.0878906,705865079,0,0,2015-03-31 22:00:37,"li24_61",22,31,2015,0.152231,0.0621481,0.116268,0.11258135721562,3594
"1386",1427842832,0.124296,27684695,0,0,2015-03-31 23:00:32,"li24_61",23,31,2015,0.164428,0.0621481,0.116268,0.112597142166667,3594
