"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","hour_data","day_data","year_data","max_value","min_value","median_value","average_value","event_duration_seconds"
"1",1438300828,0.107644,817249620,0,0,2015-07-31 00:00:28,"li24_61",0,31,2015,0.158447,0.0621481,0.0982647,0.101266718858131,3595
"59",1438304448,0.0878906,109176718,0,0,2015-07-31 01:00:48,"li24_61",1,31,2015,0.158447,0.0621481,0.0982647,0.100400078275862,3584
"117",1438308037,0.116268,408576950,0,0,2015-07-31 02:00:37,"li24_61",2,31,2015,0.14575,0.0439453,0.0982647,0.098372923518851,3594
"173",1438311651,0.0878906,702813642,0,0,2015-07-31 03:00:51,"li24_61",3,31,2015,0.397942,0.0439453,0.0878906,0.093519676731794,3595
"229",1438315241,0.0878906,3449557,0,0,2015-07-31 04:00:41,"li24_61",4,31,2015,0.359708,0.0439453,0.0982647,0.0958767929310345,3594
"287",1438318835,0.0878906,298620865,0,0,2015-07-31 05:00:35,"li24_61",5,31,2015,0.131836,0.0439453,0.0878906,0.0888478322183099,3599
"344",1438322444,0.107644,590059946,0,0,2015-07-31 06:00:44,"li24_61",6,31,2015,0.152231,0.0621481,0.0982647,0.0959721413969336,3589
"402",1438326033,0.116268,887321567,0,0,2015-07-31 07:00:33,"li24_61",7,31,2015,0.284798,0.0439453,0.0982647,0.098841445,3579
"460",1438329613,0.0621481,186393672,0,0,2015-07-31 08:00:13,"li24_61",8,31,2015,0.152231,0.0439453,0.0982647,0.100299710877193,3584
"517",1438333207,0.0761155,491693949,0,0,2015-07-31 09:00:07,"li24_61",9,31,2015,0.14575,0.0621481,0.0982647,0.0979919443103448,3594
"575",1438336806,0.0621481,787303399,0,0,2015-07-31 10:00:06,"li24_61",10,31,2015,0.138967,0.0621481,0.0878906,0.0920680874779541,3595
"632",1438340426,0.0878906,83234517,0,0,2015-07-31 11:00:26,"li24_61",11,31,2015,0.14575,0.0621481,0.0982647,0.0947964172535211,3589
"689",1438344030,0.0982647,379501378,0,0,2015-07-31 12:00:30,"li24_61",12,31,2015,0.131836,0.0621481,0.0878906,0.0905521227272727,3599
"746",1438347634,0.0761155,671203779,0,0,2015-07-31 13:00:34,"li24_61",13,31,2015,0.131836,0.0439453,0.0878906,0.0895957613678373,3594
"800",1438351218,0.0878906,971088063,0,0,2015-07-31 14:00:18,"li24_61",14,31,2015,0.131836,0.0621481,0.0982647,0.0957202071691177,3595
"855",1438354868,0.0878906,963185622,0,0,2015-07-31 15:01:08,"li24_61",15,31,2015,0.158447,0.0621481,0.107644,0.105199631833333,3584
"915",1438358462,0.0761155,561691895,0,0,2015-07-31 16:01:02,"li24_61",16,31,2015,0.14575,0.0439453,0.0982647,0.097851373951049,3589
"972",1438362051,0.116268,865585340,0,0,2015-07-31 17:00:51,"li24_61",17,31,2015,0.152231,0.0439453,0.0982647,0.100204239965986,3590
"1031",1438365651,0.0982647,158337137,0,0,2015-07-31 18:00:51,"li24_61",18,31,2015,0.14575,0.0621481,0.0982647,0.0990651221052632,3589
"1088",1438369255,0.107644,453011880,0,0,2015-07-31 19:00:55,"li24_61",19,31,2015,0.158447,0.0621481,0.0982647,0.0980491385398981,3599
"1146",1438372804,0.107644,762527016,0,0,2015-07-31 20:00:04,"li24_61",20,31,2015,0.152231,0.0621481,0.0982647,0.101178866494845,3595
"1205",1438376474,0.131836,43211203,0,0,2015-07-31 21:01:14,"li24_61",21,31,2015,0.152231,0,0.107644,0.108014058417508,3594
