"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","hour_data","day_data","year_data","max_value","min_value","median_value","average_value","event_duration_seconds"
"1",1454357841,0.124296,636219002,0,0,2016-02-01 20:17:21,"li24_61",20,1,2016,0.186444,0.0761155,0.116268,0.119088506086957,2490
"24",1454361106,0.116268,43917648,0,0,2016-02-01 21:11:46,"li24_61",21,1,2016,0.170199,0.0621481,0.116268,0.112996201037344,2889
"73",1454364060,0.0982647,524087427,0,0,2016-02-01 22:01:00,"li24_61",22,1,2016,0.256243,0.0439453,0.0982647,0.0995717037099494,3594
"132",1454367639,0.0761155,872167245,0,0,2016-02-01 23:00:39,"li24_61",23,1,2016,0.152231,0.0439453,0.0982647,0.102223684201077,3594
"1407",1454443201,0.0982647,259988900,0,0,2016-02-02 20:00:01,"li24_61",20,2,2016,0.138967,0.0439453,0.0878906,0.0918605468805704,3594
"1464",1454446856,0.0621481,21293129,0,0,2016-02-02 21:00:56,"li24_61",21,2,2016,0.158447,0.0621481,0.107644,0.109426574733096,3589
"1520",1454450449,0.116268,913927756,0,0,2016-02-02 22:00:49,"li24_61",22,2,2016,0.14575,0.0621481,0.107644,0.107058460101868,3580
"1579",1454454064,0.107644,267734722,0,0,2016-02-02 23:01:04,"li24_61",23,2,2016,0.152231,0.0621481,0.107644,0.10683805152027,3593
"189",1454371249,0.107644,241300854,0,0,2016-02-02 00:00:49,"li24_61",0,2,2016,0.14575,0.0439453,0.0982647,0.101435060539629,3594
"248",1454374823,0.107644,590716587,0,0,2016-02-02 01:00:23,"li24_61",1,2,2016,0.175781,0.0621481,0.124296,0.121217306510851,3594
"308",1454378427,0.107644,952011138,0,0,2016-02-02 02:00:27,"li24_61",2,2,2016,4.39145,0.0439453,0.107644,0.112268233671743,3591
"367",1454382002,0.0982647,292744007,0,0,2016-02-02 03:00:02,"li24_61",3,2,2016,4.28146,0.0439453,0.0982647,0.116618740306122,3589
"427",1454385661,0.0878906,673262973,0,0,2016-02-02 04:01:01,"li24_61",4,2,2016,0.158447,0.0621481,0.107644,0.110322355848435,3590
"487",1454389211,0.0982647,55476992,0,0,2016-02-02 05:00:11,"li24_61",5,2,2016,0.191553,0.0761155,0.131836,0.129179394577352,3594
"550",1454392830,0.107644,379337875,0,0,2016-02-02 06:00:30,"li24_61",6,2,2016,0.175781,0.0761155,0.124296,0.124169094285714,3599
"613",1454396434,0.0982647,733585074,0,0,2016-02-02 07:00:34,"li24_61",7,2,2016,0.567899,0.0761155,0.124296,0.123325771794872,3595
"675",1454400009,0.186444,98994062,0,0,2016-02-02 08:00:09,"li24_61",8,2,2016,0.186444,0.0621481,0.124296,0.121287981391586,3594
"737",1454403618,0.124296,488854258,0,0,2016-02-02 09:00:18,"li24_61",9,2,2016,0.170199,0.0761155,0.116268,0.114031207855974,3594
"798",1454407212,0.116268,826724200,0,0,2016-02-02 10:00:12,"li24_61",10,2,2016,0.263672,0.0621481,0.116268,0.119991044517185,3590
"859",1454410808,0.0982647,55406908,0,0,2016-02-02 11:00:08,"li24_61",11,2,2016,0.175781,0.0761155,0.124296,0.124147725914149,3589
"922",1454414416,0.107644,541871257,0,0,2016-02-02 12:00:16,"li24_61",12,2,2016,0.186444,0.0621481,0.124296,0.125459902070064,3589
"985",1454418020,0.14575,892894154,0,0,2016-02-02 13:00:20,"li24_61",13,2,2016,0.170199,0.0621481,0.116268,0.11836409,3595
"1044",1454421630,0.0982647,373922300,0,0,2016-02-02 14:00:30,"li24_61",14,2,2016,2.66585,0.0621481,0.116268,0.116691392751236,3594
"1105",1454425244,0.0982647,587993531,0,0,2016-02-02 15:00:44,"li24_61",15,2,2016,0.152231,0.0621481,0.107644,0.104444466504065,3594
"1166",1454428813,0.107644,940327782,0,0,2016-02-02 16:00:13,"li24_61",16,2,2016,2.34274,0.0621481,0.107644,0.11198627804878,3595
"1228",1454432453,0.107644,295777505,0,0,2016-02-02 17:00:53,"li24_61",17,2,2016,0.158447,0.0621481,0.0982647,0.101415315993266,3589
"1287",1454436017,0.0982647,643281308,0,0,2016-02-02 18:00:17,"li24_61",18,2,2016,0.2915,0.0621481,0.116268,0.115472914029364,3594
"1349",1454439656,0.124296,941530303,0,0,2016-02-02 19:00:56,"li24_61",19,2,2016,0.158447,0.0439453,0.107644,0.106701432142857,3590
"2818",1454529605,0.0878906,524633813,0,0,2016-02-03 20:00:05,"li24_61",20,3,2016,0.152231,0.0439453,0.0878906,0.0919753689655172,3599
"2876",1454533209,0.107644,721532214,0,0,2016-02-03 21:00:09,"li24_61",21,3,2016,0.152231,0.0439453,0.0878906,0.0901522474956822,3595
"2934",1454536819,0.0761155,272609829,0,0,2016-02-03 22:00:19,"li24_61",22,3,2016,0.158447,0,0.0878906,0.0910364167070218,3589
"2976",1454540453,0.0761155,400004988,0,0,2016-02-03 23:00:53,"li24_61",23,3,2016,0.164428,0.0439453,0.0982647,0.0959536226381462,3589
"1638",1454457628,0.107644,722228178,0,0,2016-02-03 00:00:28,"li24_61",0,3,2016,0.215287,0.0439453,0.107644,0.107741030694669,3595
"1700",1454461233,0.0878906,51939821,0,0,2016-02-03 01:00:33,"li24_61",1,3,2016,0.288169,0.0621481,0.116268,0.114524549025974,3594
"1761",1454464808,0.107644,3395447,0,0,2016-02-03 02:00:08,"li24_61",2,3,2016,0.158447,0.0621481,0.0982647,0.100021309233449,3588
"1819",1454468446,0.0439453,684407786,0,0,2016-02-03 03:00:46,"li24_61",3,3,2016,0.131836,0.0439453,0.0878906,0.089720370609319,3590
"1875",1454472066,0.0982647,20867244,0,0,2016-02-03 04:01:06,"li24_61",4,3,2016,0.547115,0.0439453,0.0878906,0.0891574397849462,3589
"1930",1454475610,0.0761155,359261022,0,0,2016-02-03 05:00:10,"li24_61",5,3,2016,0.538218,0.0621481,0.0982647,0.100110522757475,3589
"1991",1454479250,0.0982647,496399597,0,0,2016-02-03 06:00:50,"li24_61",6,3,2016,0.138967,0.0621481,0.0878906,0.0930779738596491,3595
"2048",1454482859,0.116268,34371892,0,0,2016-02-03 07:00:59,"li24_61",7,3,2016,0.181191,0.0439453,0.0982647,0.0999786862010221,3595
"2106",1454486408,0.107644,343554767,0,0,2016-02-03 08:00:08,"li24_61",8,3,2016,0.541794,0.0439453,0.0878906,0.0934443615114235,3595
"2163",1454490012,0.0982647,675054433,0,0,2016-02-03 09:00:12,"li24_61",9,3,2016,0.138967,0.0439453,0.0878906,0.0906742217926186,3595
"2220",1454493627,0.0761155,14767247,0,0,2016-02-03 10:00:27,"li24_61",10,3,2016,0.196529,0,0.0982647,0.0958897198003328,3589
