"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","hour_data","day_data","year_data","max_value","min_value","median_value","average_value","event_duration_seconds"
"1",1467244803,0.0982647,598065464,0,0,2016-06-30 00:00:03,"li24_61",0,30,2016,0.164428,0.0621481,0.107644,0.111180810358891,2595594
"64",1467248417,0.116268,921170591,0,0,2016-06-30 01:00:17,"li24_61",1,30,2016,0.175781,0.0621481,0.107644,0.111480951936027,2595595
"123",1467252042,0.116268,238477285,0,0,2016-06-30 02:00:42,"li24_61",2,30,2016,1.62598,0.0621481,0.107644,0.112258606234204,2595593
"183",1467255626,0.107644,575395230,0,0,2016-06-30 03:00:26,"li24_61",3,30,2016,1.79316,0.0621481,0.107644,0.113220512728785,2595594
"244",1467259215,0.138967,905352117,0,0,2016-06-30 04:00:15,"li24_61",4,30,2016,1.66064,0.0621481,0.107644,0.11186842006552,2595595
"304",1467262810,0.107644,228722528,0,0,2016-06-30 05:00:10,"li24_61",5,30,2016,0.191553,0.0621481,0.107644,0.108512200823045,2595593
"367",1467266409,0.116268,563709714,0,0,2016-06-30 06:00:09,"li24_61",6,30,2016,0.186444,0.0621481,0.116268,0.117084287117552,2595594
"429",1467270023,0.0982647,877905632,0,0,2016-06-30 07:00:23,"li24_61",7,30,2016,0.164428,0,0.0982647,0.0995736333333333,2595595
"489",1467273638,0.0982647,194211602,0,0,2016-06-30 08:00:38,"li24_61",8,30,2016,0.175781,0.0439453,0.107644,0.106978656286428,2595594
"546",1467277212,0.116268,521949570,0,0,2016-06-30 09:00:12,"li24_61",9,30,2016,0.301274,0.0621481,0.116268,0.11895707795082,2595595
"605",1467280801,0.116268,840445106,0,0,2016-06-30 10:00:01,"li24_61",10,30,2016,0.508704,0.0621481,0.107644,0.109693617232809,2595595
"664",1467284471,0.0982647,157613672,0,0,2016-06-30 11:01:11,"li24_61",11,30,2016,0.536421,0.0621481,0.0982647,0.0989219749358426,2595593
"722",1467288015,0.0982647,496793281,0,0,2016-06-30 12:00:15,"li24_61",12,30,2016,0.196529,0.0439453,0.107644,0.108681786688852,2595599
