"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","hour_data","day_data","year_data","max_value","min_value","median_value","average_value","event_duration_seconds"
"1",1496188803,0.131836,448862146,0,0,2017-05-31 00:00:03,"li24_61",0,31,2017,0.210754,0.0621481,0.107644,0.111333321096346,3594
"62",1496192442,0.116268,781311025,0,0,2017-05-31 01:00:42,"li24_61",1,31,2017,0.357013,0.0621481,0.107644,0.10553050950764,3595
"121",1496196052,0.0982647,106977910,0,0,2017-05-31 02:00:52,"li24_61",2,31,2017,0.158447,0.0439453,0.107644,0.10686303327674,3594
"179",1496199601,0.107644,444905955,0,0,2017-05-31 03:00:01,"li24_61",3,31,2017,0.170199,0.0621481,0.107644,0.104332911486486,3594
"239",1496203245,0.124296,769560180,0,0,2017-05-31 04:00:45,"li24_61",4,31,2017,0.228347,0.0621481,0.107644,0.106735164744646,3595
"299",1496206810,0.0878906,113729265,0,0,2017-05-31 05:00:10,"li24_61",5,31,2017,0.277935,0.0621481,0.107644,0.108066411744966,3589
"359",1496210449,0.0982647,454240517,0,0,2017-05-31 06:00:49,"li24_61",6,31,2017,0.375469,0.0621481,0.107644,0.107893517338004,3574
"416",1496214028,0.0761155,773616664,0,0,2017-05-31 07:00:28,"li24_61",7,31,2017,0.252447,0.0621481,0.107644,0.106687639795918,3590
"475",1496217638,0.116268,107107423,0,0,2017-05-31 08:00:38,"li24_61",8,31,2017,0.201383,0.0621481,0.107644,0.108045408745875,3594
"535",1496221202,0.0982647,446198604,0,0,2017-05-31 09:00:02,"li24_61",9,31,2017,0.367673,0.0439453,0.107644,0.106158093143813,3594
"595",1496224811,0.0982647,791914513,0,0,2017-05-31 10:00:11,"li24_61",10,31,2017,0.14575,0.0621481,0.107644,0.104111847306397,3595
"655",1496228451,0.107644,146525803,0,0,2017-05-31 11:00:51,"li24_61",11,31,2017,3.67594,0.0621481,0.107644,0.111541470364238,3589
"715",1496232020,0.107644,505051684,0,0,2017-05-31 12:00:20,"li24_61",12,31,2017,0.236653,0.0621481,0.107644,0.10905089624183,3599
"1022",1496235614,0.107644,835246389,0,0,2017-05-31 13:00:14,"li24_61",13,31,2017,0.33178,0.0621481,0.116268,0.1152739632,3595
"1085",1496239239,0.0982647,162702808,0,0,2017-05-31 14:00:39,"li24_61",14,31,2017,0.191553,0.0621481,0.107644,0.106580882495948,3594
"1269",1496242803,0.107644,505712195,0,0,2017-05-31 15:00:03,"li24_61",15,31,2017,0.164428,0.0621481,0.107644,0.10755096142132,3594
"1329",1496246477,0.107644,822877330,0,0,2017-05-31 16:01:17,"li24_61",16,31,2017,0.354298,0.0621481,0.107644,0.111851643427621,3595
"1389",1496250042,0.0878906,210763984,0,0,2017-05-31 17:00:42,"li24_61",17,31,2017,0.158447,0.0621481,0.107644,0.108726562207358,3594
"1448",1496253601,0.138967,630393133,0,0,2017-05-31 18:00:01,"li24_61",18,31,2017,0.527344,0.0621481,0.107644,0.118704798228663,3595
