"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","hour_data","day_data","year_data","max_value","min_value","median_value","average_value","event_duration_seconds"
"263814",1442795145,0,89067810,0,0,2015-09-21 00:25:45,"li24_61",0,21,2015,0.741882,0,0.0850995,0.22802025,60
"263815",1442802118,0.931184,751829320,0,0,2015-09-21 02:21:58,"li24_61",2,21,2015,3.68276,0,0.6893755,0.781341535,825
"263819",1442837606,0.228347,927986847,0,0,2015-09-21 12:13:26,"li24_61",12,21,2015,3.64269,0.0761155,0.14575,0.176308661952191,2855
"263869",1442840416,0.170199,386022360,0,0,2015-09-21 13:00:16,"li24_61",13,21,2015,0.206122,0.0761155,0.138967,0.142379328728414,3594
"263933",1442844030,0.170199,698883461,0,0,2015-09-21 14:00:30,"li24_61",14,21,2015,0.900611,0.0761155,0.138967,0.14192517796875,3595
"263997",1442847650,0.116268,9158685,0,0,2015-09-21 15:00:50,"li24_61",15,21,2015,0.201383,0,0.138967,0.128171902649007,3599
"264057",1442851234,0.0761155,328446326,0,0,2015-09-21 16:00:34,"li24_61",16,21,2015,0.0878906,0,0.0621481,0.0566350450121655,3594
"264098",1442854843,0.0621481,641350515,0,0,2015-09-21 17:00:43,"li24_61",17,21,2015,0.0878906,0,0.0621481,0.0567567034653465,3589
"264139",1442858452,0.0439453,946332676,0,0,2015-09-21 18:00:52,"li24_61",18,21,2015,0.0878906,0,0.0621481,0.053410540874036,3595
"264178",1442862097,0.0439453,261909757,0,0,2015-09-21 19:01:37,"li24_61",19,21,2015,0.0982647,0,0.0621481,0.0540826540897098,3534
"324486",1442865672,0.0621481,49622455,0,0,2015-09-21 20:01:12,"li24_61",20,21,2015,0.152231,0,0.0439453,0.04886298125,260
"324568",1442869860,0.131836,823052987,0,0,2015-09-21 21:11:00,"li24_61",21,21,2015,0.855524,0.0878906,0.175781,0.177428910922787,2970
"324621",1442872825,0.170199,265055705,0,0,2015-09-21 22:00:25,"li24_61",22,21,2015,0.274438,0.116268,0.186444,0.188774627941176,3599
"324689",1442876429,0.164428,596035551,0,0,2015-09-21 23:00:29,"li24_61",23,21,2015,0.301274,0.124296,0.210754,0.212636793604651,3595
"324758",1442880039,0.186444,357265136,0,0,2015-09-22 00:00:39,"li24_61",0,22,2015,0.307617,0.138967,0.219727,0.220986529839884,3595
"324896",1442887212,0.244677,587009147,0,0,2015-09-22 02:00:12,"li24_61",2,22,2015,0.322931,0.158447,0.228347,0.229846317180617,3595
