"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","max_value","min_value","median_value","average_value","event_duration_seconds","threshold","event_duration","month"
"7",1461974441,0.152231,322622588,0,0,2016-04-30 00:00:41,"li24_61",0.175781,0.0761155,0.116268,0.116876398709677,900,0.15,15,"apr_2016"
"168",1461975376,0.158447,144456480,0,0,2016-04-30 00:16:16,"li24_61",0.164428,0.0621481,0.124296,0.123436887654321,899,0.15,15,"apr_2016"
"331",1461976285,0.158447,984283005,0,0,2016-04-30 00:31:25,"li24_61",0.224078,0.0761155,0.124296,0.127971092948718,900,0.15,15,"apr_2016"
"496",1461977245,0.152231,796076315,0,0,2016-04-30 00:47:25,"li24_61",0.196529,0.0878906,0.124296,0.129672181168831,900,0.15,15,"apr_2016"
"653",1461978165,0.158447,618971269,0,0,2016-04-30 01:02:45,"li24_61",0.181191,0.0761155,0.124296,0.124628471428571,895,0.15,15,"apr_2016"
"877",1461979445,0.152231,374947116,0,0,2016-04-30 01:24:05,"li24_61",0.191553,0.0761155,0.116268,0.113947653378378,900,0.15,15,"apr_2016"
"1041",1461980450,0.152231,188299582,0,0,2016-04-30 01:40:50,"li24_61",0.181191,0.0621481,0.116268,0.113521159354839,900,0.15,15,"apr_2016"
"1209",1461981429,0.152231,999993128,0,0,2016-04-30 01:57:09,"li24_61",0.784888,0.0761155,0.116268,0.118359784459459,900,0.15,15,"apr_2016"
"1379",1461982469,0.158447,802223053,0,0,2016-04-30 02:14:29,"li24_61",0.170199,0.0621481,0.107644,0.111521407643312,900,0.15,15,"apr_2016"
"1559",1461983519,0.571289,972836213,0,0,2016-04-30 02:31:59,"li24_61",0.571289,0.0621481,0.107644,0.108864423489933,900,0.15,15,"apr_2016"
"1780",1461984859,0.152231,340995827,0,0,2016-04-30 02:54:19,"li24_61",0.206122,0.0621481,0.107644,0.110748515333333,900,0.15,15,"apr_2016"
"2053",1461986459,0.158447,42073054,0,0,2016-04-30 03:20:59,"li24_61",0.170199,0.0621481,0.116268,0.114490465189873,889,0.15,15,"apr_2016"
"2213",1461987373,0.152231,865287801,0,0,2016-04-30 03:36:13,"li24_61",0.164428,0.0761155,0.116268,0.115659022360248,900,0.15,15,"apr_2016"
"2391",1461988378,0.152231,668711749,0,0,2016-04-30 03:52:58,"li24_61",0.191553,0.0621481,0.116268,0.121496967073171,900,0.15,15,"apr_2016"
"2571",1461989388,0.152231,476255198,0,0,2016-04-30 04:09:48,"li24_61",0.210754,0.0761155,0.107644,0.113783283333333,900,0.15,15,"apr_2016"
"2727",1461990293,0.152231,306878760,0,0,2016-04-30 04:24:53,"li24_61",0.186444,0.0621481,0.107644,0.10980372,900,0.15,15,"apr_2016"
"2920",1461991433,0.152231,88853316,0,0,2016-04-30 04:43:53,"li24_61",0.170199,0.0621481,0.107644,0.113050280246914,899,0.15,15,"apr_2016"
"3091",1461992387,0.158447,903727058,0,0,2016-04-30 04:59:47,"li24_61",0.175781,0.0621481,0.116268,0.121216230201342,900,0.15,15,"apr_2016"
"3241",1461993297,0.152231,799033604,0,0,2016-04-30 05:14:57,"li24_61",0.181191,0.0761155,0.116268,0.115400458823529,895,0.15,15,"apr_2016"
"3395",1461994207,0.152231,574084517,0,0,2016-04-30 05:30:07,"li24_61",0.152231,0.0621481,0.107644,0.107649036184211,900,0.15,15,"apr_2016"
"3577",1461995282,0.152231,353929595,0,0,2016-04-30 05:48:02,"li24_61",0.152231,0,0.107644,0.111470672115385,560,0.15,15,"apr_2016"
"3681",1461996297,0.164428,169390866,0,0,2016-04-30 06:04:57,"li24_61",0.170199,0.0621481,0.107644,0.112043426451613,899,0.15,15,"apr_2016"
"3852",1461997311,0.158447,970199494,0,0,2016-04-30 06:21:51,"li24_61",0.228347,0.0761155,0.116268,0.121839558282209,900,0.15,15,"apr_2016"
"4024",1461998276,0.152231,782996079,0,0,2016-04-30 06:37:56,"li24_61",0.175781,0.0761155,0.124296,0.122485141139241,900,0.15,15,"apr_2016"
