"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_max_value","temp_min_value","temp_median_value","temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-03-31
"2",NA,NA,NA,NA,NA,NA,NA,NA,0.259003,0.0528532,0.1231995,0.0933265775,14,0.259003,0.1231995,0.165345714285714,4,4,0,NA,NA,NA,NA,NA,20,18.5,19.5,19.2602137020742,22.3575,21.4975,21.5375,21.5388769325369,107.405,103.991,105.372,105.574100462963,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-04-01
"3",NA,NA,NA,NA,NA,NA,NA,NA,0.338972,0.0474728,0.228542,0.0992201747826087,23,0.338972,0.228542,0.201893217391304,4,4,0,NA,NA,NA,NA,NA,20.5,0.5,19,19.1706081081081,21.55,5.0525,21.5375,21.5355439461883,107.49,103.931,105.5835,105.707883449074,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-04-02
"4",NA,NA,NA,NA,NA,NA,NA,NA,0.925013,0.0521787,0.215802,0.112449498181818,11,0.925013,0.215802,0.265810454545455,4,4,0,NA,NA,NA,NA,NA,19.5,0,19,19.1941512752858,21.555,21.35,21.54,21.539658674189,107.836,104.209,105.665,105.899925231481,"0","0","22","1","0","0","0","0","0","0","0","0","0","0",2016-04-03
"5",NA,NA,NA,NA,NA,NA,NA,NA,0.250299,0.0519194,0.2300855,0.0975840466666667,12,0.250299,0.2300855,0.206661916666667,4,4,0,NA,NA,NA,NA,NA,19.5,0,19.5,19.2936927139972,23.7225,20.9025,21.54,21.5399266877637,107.802,104.861,105.8025,106.205814699074,"0","0","18","1","0","0","0","0","0","0","0","0","0","0",2016-04-04
"6",NA,NA,NA,NA,NA,NA,NA,NA,1.74683,0.0612228,0.208772,0.1776739125,8,1.74683,0.208772,0.381045,4,4,0,3,NA,NA,NA,NA,25,0,19,19.2504025764895,23.98,0.0075,21.5375,17.3231734496124,107.25,93.4762,104.729,102.124702857479,"0","0","17","1","0","0","0","0","0","0","0","0","0","0",2016-04-05
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.235134,0.0629615,0.192152,0.10675793,3,0.235134,0.192152,0.204535333333333,4,4,1,2,NA,NA,NA,NA,32.5,0,19.5,19.2319615179049,25.09,0.245,21.54,20.1820187812349,108.507,93.0255,105.233,102.469226550926,"0","0","23","1","0","0","0","0","0","0","0","0","0","0",2016-04-06
"8",NA,NA,NA,NA,NA,NA,NA,NA,0.219547,0.0507695,0.125641,0.0848476542857143,7,0.219547,0.125641,0.145659714285714,4,4,0,1,NA,NA,NA,NA,21.5,0,19,19.1570669029685,21.555,0.2425,21.54,18.1093613138686,109.49,93.3593,106.162,105.291704224537,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-04-07
"9",NA,NA,NA,NA,NA,NA,NA,NA,0.254087,0.0619078,0.244123,0.108981175,4,0.254087,0.244123,0.24121925,4,4,0,NA,NA,NA,NA,NA,17.5,15,15.5,15.6710103534452,21.55,21.5325,21.5425,21.5420757180157,109.5,105.523,106.713,106.949619444444,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-04-08
"10",NA,NA,NA,NA,NA,NA,NA,NA,0.259563,0.0645164,0.233453,0.112302505,4,0.259563,0.233453,0.23670475,4,4,0,1,NA,NA,NA,NA,33.5,0,15.5,15.6166770379589,24.0925,0.2575,21.54,21.5227193414826,107.167,103.497,105.925,106.073515277778,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-04-09
"11",NA,NA,NA,NA,NA,NA,NA,NA,0.270593,0.0544876,0.248332,0.112901942857143,7,0.270593,0.248332,0.246432,4,4,0,NA,NA,NA,NA,NA,16,15,15.5,15.5669209431345,21.5475,21.5325,21.54,21.5398404533566,107.272,105.573,106.024,106.186047685185,"0","0","18","1","0","0","0","0","0","0","0","0","0","0",2016-04-10
"12",NA,NA,NA,NA,NA,NA,NA,NA,116.379,0.059575,0.243453,5.23001033703704,9,116.379,0.243453,25.847416,4,4,0,10,NA,NA,NA,NA,35,0,16,15.7754739336493,24.16,0.2425,21.5375,21.1081920314066,106.759,97.0446,104.831,104.961295150463,"0","0","14","1","0","0","0","0","0","0","0","0","0","0",2016-04-11
"13",NA,NA,NA,NA,NA,NA,NA,NA,0.249579,0.0561645,0.249579,0.10403844,1,0.249579,0.249579,0.249579,4,4,0,2,NA,NA,NA,NA,29,0,15.5,15.7105992379633,24,0.245,21.5375,21.4704781852672,106.029,95.5687,104.702,104.385693657407,"0","0","2","1","0","0","0","0","0","0","0","0","0","0",2016-04-12
"14",NA,NA,NA,NA,NA,NA,NA,NA,0.275786,0.0529489,0.240272,0.096926332,5,0.275786,0.240272,0.2055814,4,4,0,NA,NA,NA,NA,NA,16.5,15,15.5,15.7306903622693,21.545,5.0725,21.5375,21.5338917595866,106.026,104.007,104.529,104.782235648148,"0","0","3","1","0","0","0","0","0","0","0","0","0","0",2016-04-13
"15",NA,NA,NA,NA,NA,NA,NA,NA,0.161459,0.0630954,0.161459,0.0971423,1,0.161459,0.161459,0.161459,4,4,0,1,NA,NA,NA,NA,18.5,0,16,15.7943076923077,22.835,0.0075,21.5375,20.9534275114155,106.148,93.1003,103.994,101.183869907407,"0","0","3","1","0","0","0","0","0","0","0","0","0","0",2016-04-14
"16",NA,NA,NA,NA,NA,NA,NA,NA,0.268791,0.0566431,0.164451,0.091795044,5,0.268791,0.164451,0.1806816,4,4,0,NA,NA,NA,NA,NA,26,14.5,16,15.8418661011815,21.9125,19.75,21.54,21.5393614947197,106.085,103.528,104.5135,104.666146064815,"0","0","14","1","0","0","0","0","0","0","0","0","0","0",2016-04-15
"17",NA,NA,NA,NA,NA,NA,NA,NA,0.266084,0.0532032,0.228761,0.0991530755,10,0.266084,0.228761,0.2044181,4,4,0,1,NA,NA,NA,NA,28.5,0,16,15.8357383357383,21.7225,0.2525,21.5375,21.5260153203343,106.016,101.898,103.999,104.337994328704,"0","0","14","1","0","0","0","0","0","0","0","0","0","0",2016-04-16
"18",NA,NA,NA,NA,NA,NA,NA,NA,0.26726,0.0487006,0.2403525,0.1005210575,8,0.26726,0.2403525,0.21577625,4,4,0,NA,NA,NA,NA,NA,16,15.5,16,15.7835088993825,21.555,21.5175,21.54,21.5400920447074,108.077,103.296,105.1425,105.387246180556,"0","0","9","1","0","0","0","0","0","0","0","0","0","0",2016-04-17
