"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_max_value","temp_min_value","temp_median_value","temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","20","1","0","0","0","0","0","0","0","0","0","0",2015-11-30
"2",NA,NA,NA,NA,NA,NA,NA,NA,2.71498,0.0601106,0.1294305,0.1867912525,20,2.71498,0.1294305,0.26988465,4,4,1,4,NA,NA,NA,NA,33.5,0,18,17.8198327671806,22.285,0.2275,21.555,21.4815691141887,106.178,100.972,103.498,104.013081828704,"4","1","20","1","0","0","2","1","0","0","2","1","0","0",2015-12-01
"3",10.4982,0,1.641825,0.136239269753975,17,10.4982,2.9857,3.13702094117647,0.203799,0.0601106,0.1589425,0.12272063,20,0.203799,0.1589425,0.1570062,4,4,1,NA,NA,NA,NA,NA,33.5,9,18,17.7692826841496,23.86,19.395,21.555,21.5538648098889,106.247,103.173,104.696,104.711433449074,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-12-02
"4",7.26946,0,0.181191,0.105089753679194,0,-Inf,NA,NA,0.200327,0.0669101,0.139099,0.113589476190476,7,0.200327,0.139099,0.154690571428571,4,4,0,NA,NA,NA,NA,NA,33,8.5,17.5,17.7458394517866,22.6925,20.0575,21.5525,21.5534350975754,106.591,103.33,104.348,104.726666087963,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-12-03
"5",10.6764,0,0.458803,0.113861725790381,2,10.6764,9.666365,9.666365,0.187027,0.0569104,0.1649205,0.118462375,10,0.187027,0.1649205,0.1557686,4,4,0,NA,NA,NA,NA,NA,35,9,18,17.7878081279147,23.925,8.72,21.555,21.5520141446884,106.5,103.62,104.4995,104.630268287037,"0","0","14","1","0","0","0","0","0","0","0","0","0","0",2015-12-04
"6",5.28295,0,0.1673135,0.119265051080997,3,5.28295,0.298052,1.94056666666667,0.17401,0.0776676,0.127626,0.111934635714286,7,0.17401,0.127626,0.132963285714286,4,4,0,2,NA,NA,NA,NA,30,0,18,17.8697794462694,25.465,0.225,0.28,10.841768494283,106.062,92.0085,104.323,99.8111054827866,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-12-05
"7",1.54185,0.0439453,0.170199,0.110951566774054,0,-Inf,NA,NA,0.195899,0.068922,0.1353325,0.116495320833333,12,0.195899,0.1353325,0.145764416666667,4,4,0,NA,NA,NA,NA,NA,18.5,17.5,18,17.8147058823529,21.5675,21.545,21.5525,21.5536591251885,106.016,103.123,104.055,104.404605902778,"2","1","21","1","0","0","0","0","0","0","0","0","0","0",2015-12-06
"8",10.2064,0,0.294794,0.119616805725053,6,10.2064,6.088915,6.40261833333333,0.178725,0.0633888,0.135397,0.11186625,6,0.178725,0.135397,0.141326,4,4,0,2,NA,NA,NA,NA,29,0,18,17.7827837423313,24.0725,0.23,21.555,20.9572779901079,106.841,97.0747,105.044,105.086533275463,"3","1","22","1","0","0","1","1","0","0","1","1","0","0",2015-12-07
"9",11.0282,0,3.78134,0.132629383682417,13,11.0282,4.66856,5.19771384615385,0.199337,0.0582869,0.146368,0.12604385,16,0.199337,0.146368,0.153713,4,4,1,6,NA,NA,NA,NA,36.5,0,18,17.9624579753455,25.0275,0.2275,21.555,18.7573415224033,106.571,95.1658,105.541,105.076396574074,"2","1","23","1","0","0","1","1","0","0","0","0","0","0",2015-12-08
"10",4.51633,0,0.191553,0.135856396002438,8,4.51633,2.41805,2.451162125,0.188677,0.0763534,0.129408,0.12398377,5,0.188677,0.129408,0.1417972,4,4,0,2,NA,NA,NA,NA,37.5,0,20.5,20.5922208281054,24.2225,0.0075,21.595,20.3458461981567,106.898,95.3426,105.102,104.947036412037,"0","0","23","1","0","0","0","0","0","0","0","0","0","0",2015-12-09
