"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_trip_count","temp_max_value","temp_min_value","temp_median_value","temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-01-31
"2",NA,NA,NA,NA,NA,NA,NA,NA,3.22273,0.0700894,0.1318945,0.238158575,8,3.22273,0.1318945,0.534288625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.49,95.43,102.995,103.342213576389,"0","0","19","1","0","0","0","0","0","0","1","1","1","1",2015-02-01
"3",7.15499,0,0.313832,0.1888842971346,1,7.15499,7.15499,7.15499,0.133047,0.0613287,0.125665,0.0918175333333333,9,0.133047,0.125665,0.126292888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.251,91.6259,102.917,101.091730219907,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-02
"4",1.70596,0,0.2475115,0.110192827187157,0,-Inf,NA,NA,0.273559,0.0571257,0.1248695,0.105904986111111,6,0.273559,0.1248695,0.1490345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.233,101.904,103.208,103.465874305556,"1","1","23","1","0","0","0","0","0","0","0","0","0","0",2015-02-03
"5",5.11241,0,0.3515165,0.115830961889094,3,5.11241,4.62325,4.37457666666667,0.915155,0.0816916,0.122986,0.125501441666667,26,0.915155,0.122986,0.153724769230769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.188,94.4886,103.03,102.903812986111,"0","0","22","1","0","0","0","0","0","0","0","0","0","0",2015-02-04
"6",10.0052,0,0.476251,0.119966071089818,3,10.0052,8.83268,8.47475,6.22987,0.00782692,0.122877,0.215776301666667,24,6.22987,0.122877,0.417101625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.938,92.9501,102.647,100.981376493056,"4","1","19","1","0","0","2","1","0","0","2","1","0","0",2015-02-05
"7",9.75487,0,0.786118,0.134807915561861,17,9.75487,0.228347,0.974301588235294,0.536161,0.057937,0.1559285,0.15516923125,32,0.536161,0.1559285,0.1727520625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.506,93.9398,103.032,102.279959891191,"20","1","4","1","0","0","10","1","0","0","6","1","0","0",2015-02-06
"8",8.07124,0,0.240698,0.177850914265532,80,8.07124,0.228347,0.5038644125,3.35581,0.105766,0.162811,0.165897552971576,129,3.35581,0.162811,0.190727263565891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.743,92.5008,100.512,99.7178783126953,"0","0","20","1","0","0","0","0","0","0","0","0","0","0",2015-02-07
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.7542,92.4115,93.26795,93.3596637731481,"0","0","17","1","0","0","0","0","0","0","0","0","0","0",2015-02-08
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.169,92.6278,93.4166,93.3991478703704,"1","1","13","1","1","1","0","0","0","0","0","0","0","0",2015-02-09
