"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_median_value","thy_resv_average_value","thy_resv_high_var","swrd_trip_count","temp_max_value","temp_min_value","temp_median_value","temp_average_value","dqi_max_value","dqi_min_value","dqi_median_value","dqi_average_value","hvv_max_value","hvv_min_value","hvv_median_value","hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.3097,73.5057,77.0669,78.3206253009259,"1","1","2","1","1","1","1","1","0","0","1","1","0","0",2015-01-05
"2",3.02777,0.0439453,0.378032,0.170912367206954,4,3.02777,0.36887,1.025765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.555,76.8066,88.4552,87.8829927060199,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-01-06
"3",3.85518,0,0.186444,0.103927750757767,1,2.93382,2.93382,2.93382,0.217459,0.0829027,0.128526,0.123424491666667,12,0.217459,0.128526,0.1367185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.185,93.1249,103.456,103.188140231227,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-01-07
"4",1.94604,0,1.04364,0.0756328675228751,0,-Inf,NA,NA,0.13651,0.0778706,0.12634,0.118222588095238,21,0.13651,0.12634,0.126577904761905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.22,94.0385,103.4395,103.463380335648,"1","1","14","1","1","1","0","0","0","0","0","0","0","0",2015-01-08
"5",1.75121,0,0.827993,0.09085107781638,1,1.65832,1.65832,1.65832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.124,73.595,103.372,96.3709263888889,"0","0","15","1","0","0","0","0","0","0","0","0","0","0",2015-01-09
"6",1.02309,0,0.485392,0.077961849784412,0,-Inf,NA,NA,0.122069,0.0733435,0.12134,0.0982285,2,0.122069,0.12134,0.12134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.122,91.6465,103.287,99.331103912037,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-01-10
"7",1.79478,0,0.497184,0.073241459559371,0,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.263,103.072,104.2475,104.26495462963,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-01-11
"8",3.73845,0,0.9032865,0.0742457111378246,0,-Inf,NA,NA,0.133514,0.093923,0.122081,0.112881842857143,7,0.133514,0.122081,0.123980428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.326,102.723,103.8695,104.054404282407,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-01-12
"9",2.0701,0,1.04457,0.0827950500737763,0,-Inf,NA,NA,0.132695,0.075763,0.125091,0.1146278,5,0.132695,0.125091,0.1266488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.949,102.361,103.4495,103.609004282407,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-01-13
"10",1.2075,0.0439453,0.519968,0.0827681185659481,0,-Inf,NA,NA,0.137036,0.0863949,0.1260165,0.114544700666667,10,0.137036,0.1260165,0.1284416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.803,102.397,103.553,103.610955173221,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-01-14
"11",1.60385,0.0439453,0.530993,0.0895566337349547,0,-Inf,NA,NA,0.157699,0.0800078,0.129806,0.121711266666667,66,0.157699,0.129806,0.131388015151515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.033,101.833,103.059,103.323108449074,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-01-15
"12",2.08358,0.0439453,1.06471,0.095205844682543,0,-Inf,NA,NA,0.142596,0.0819828,0.1246905,0.109421272222222,6,0.142596,0.1246905,0.128494333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.576,102.085,103.4755,103.673440277778,"0","0","21","1","0","0","0","0","0","0","0","0","0","0",2015-01-16
"13",1.78993,0,0.340399,0.0956638308508811,0,-Inf,NA,NA,0.132648,0.0713271,0.130221,0.103497977777778,3,0.132648,0.130221,0.130094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.22,93.1969,103.408,100.860085462963,"0","0","10","1","0","0","0","0","0","0","0","0","0","0",2015-01-17
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.2314,92.5998,93.2487,93.3362091319444,"0","0","18","1","0","0","0","0","0","0","0","0","0","0",2015-01-18
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.3187,92.4272,93.21145,93.3061720601852,"0","0","21","1","0","0","0","0","0","0","0","0","0","0",2015-01-19
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.1741,92.8102,93.3119,93.4167915625,"0","0","1","1","0","0","0","0","0","0","0","0","0","0",2015-01-20
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.929,91.9272,92.48815,92.7025703009259,"0","0","3","1","0","0","0","0","0","0","0","0","0","0",2015-01-21
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.8007,91.2434,92.08575,92.3792054282407,"1","1","8","1","0","0","0","0","0","0","0","0","0","0",2015-01-22
"19",4.07414,0,2.20516,0.1264353509184,6,4.07414,2.962915,2.81663,0.655488,0.0625843,0.5612265,0.348344383333333,2,0.655488,0.5612265,0.5612265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.703,91.1313,92.2457,94.7383245138889,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-01-23
"20",10.0483,0,0.175781,0.104763166970833,1,10.0483,10.0483,10.0483,4.33038,0,0.128117,0.146691590960452,59,4.33038,0.128117,0.216909711864407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.16,91.8328,101.8205,101.658000613426,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-01-24
"21",1.35733,0.0439453,0.164428,0.100427126822707,0,-Inf,NA,NA,0.168724,0.0750214,0.12842,0.115706144708995,63,0.168724,0.12842,0.131855158730159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.596,101.45,102.383,102.767981481481,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-01-25
"22",3.98742,0,0.164428,0.102441152827387,1,3.98742,3.98742,3.98742,0.560208,0.0758464,0.127065,0.119584464646465,33,0.560208,0.127065,0.143646636363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.222,99.0155,102.689,102.725048912037,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-01-26
"23",1.4575,0,0.676529,0.104314880133869,0,-Inf,NA,NA,0.139925,0.07747,0.130333,0.109300905555556,12,0.139925,0.130333,0.129841833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.25,99.4138,102.3,102.605140289352,"1","1","21","1","0","0","1","1","0","0","1","1","0","0",2015-01-27
"24",1.375,0,0.527344,0.104841998280133,1,0.512486,0.512486,0.512486,0.167506,0.0776706,0.126943,0.10970082,25,0.167506,0.126943,0.13135156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.562,92.4342,103.1575,101.905073974032,"0","0","10","1","0","0","0","0","0","0","0","0","0","0",2015-01-28
"25",6.28556,0,0.368282,0.110976003693948,1,2.69754,2.69754,2.69754,3.22534,0.0776706,0.130999,0.153908422,25,3.22534,0.130999,0.25533356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.371,91.6301,93.6097,96.6604227979275,"0","0","21","1","0","0","0","0","0","0","0","0","0","0",2015-01-29
