"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_max_value","temp_min_value","temp_median_value","temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","1","0","0","0","0","0","0","0","0","0","0",2016-01-03
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,1,NA,NA,NA,NA,0,0,0,0,0.005,0,0.0025,0.0025,NA,NA,NA,NA,"0","0","1","1","0","0","0","0","0","0","0","0","0","0",2016-01-04
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,1,NA,NA,NA,NA,0,0,0,0,0.3675,0.005,0.0075,0.0120992366412214,777.331,-1.20926e+239,92.3431,-1.2155133449185e+236,"3","1","8","1","2","1","2","1","0","0","1","1","0","0",2016-01-05
"4",4.91107,0,1.53997,0.157809780297985,6,4.91107,1.5669,2.11560333333333,0.1602,0.0623423,0.126054,0.11764911,5,0.1602,0.126054,0.1315628,4,4,0,2,NA,NA,NA,NA,35,0,22.5,22.1434748427673,24.04,0.005,0.27,7.13714583333333,575.191,-1.28205e+126,93.1763,-2.98324607329843e+122,"2","1","18","1","0","0","2","1","0","0","0","0","0","0",2016-01-06
"5",5.20655,0,1.52674,0.132255140763609,4,2.57633,1.942445,1.6989745,0.196835,0.0561645,0.1282805,0.120809995,10,0.196835,0.1282805,0.1403161,4,4,0,8,NA,NA,NA,NA,35,0,22.5,22.2103004291845,23.87,0.005,21.555,13.6185422922923,104.405,91.7635,101.439,98.4697175268566,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-01-07
"6",3.56364,0,0.191553,0.10379522824402,1,1.97167,1.97167,1.97167,114.376,0.0619078,0.148756,1.63492982933333,15,114.376,0.148756,7.76551113333333,4,4,0,5,NA,NA,NA,NA,37,0,22.5,22.3123028391167,21.8075,0.2375,21.5575,21.4094693670151,105.238,100.626,103.798,103.899341087963,"3","1","21","1","3","1","3","1","0","0","1","1","0","0",2016-01-08
"7",5.73162,0,1.984155,0.135729883758394,8,5.73162,3.56472,3.55850125,113.834,0.0532032,0.153401,0.967278151034483,29,113.834,0.153401,4.51899189655172,4,4,0,12,NA,NA,NA,NA,34,0,22.5,22.1357552581262,24.0575,0.2375,21.5575,21.251740252804,105.331,96.2052,103.39,103.637764328704,"1","1","23","1","0","0","1","1","0","0","1","1","0","0",2016-01-09
"8",5.59712,0,1.545915,0.133881571744303,14,5.44408,4.04476,3.41607928571429,60.4783,0.0513969,0.1541025,0.3362011171,50,60.4783,0.1541025,1.36094358,4,4,0,2,NA,NA,NA,NA,35,0,22.5,22.3053834237026,23.8875,0.245,21.5575,21.5380910150181,105.838,102.74,104.392,104.589188773148,"2","1","22","1","0","0","0","0","0","0","0","0","0","0",2016-01-10
"9",11.2422,0,0.196529,0.133043626888072,9,11.2422,5.00572,4.21829111111111,0.206829,0.0458827,0.162625,0.0953165912790698,43,0.206829,0.162625,0.159558720930233,4,4,0,1,NA,NA,NA,NA,36,0,22.5,22.264684287812,23.95,0.2625,21.5575,21.5442316100823,105.627,103.658,104.384,104.515046990741,"9","1","16","1","0","0","4","1","0","0","2","1","0","0",2016-01-11
"10",4.99645,0.0621481,0.210754,0.143821748392569,28,4.99645,0.219727,1.04569346428571,36.4332,0.0528532,0.133059,0.216644868196721,61,36.4332,0.133059,0.744443295081967,4,4,0,NA,NA,NA,NA,NA,36,0.5,22,22.2201534963047,21.795,1.3925,21.5575,21.5539256501678,106.015,103.737,104.388,104.585569328704,"0","0","23","1","0","0","0","0","0","0","0","0","0","0",2016-01-12
"11",5.34058,0,0.196529,0.130869156307074,3,2.53325,2.39613,2.14759333333333,87.0425,0.0586619,0.1442415,2.50852110319444,36,87.0425,0.1442415,2.56685338888889,4,4,0,1,NA,NA,NA,NA,30.5,0,22,21.4519101123595,23.7625,0.24,21.5575,17.4420930602716,105.867,92.2476,104.3865,103.279090439815,"1","1","23","1","0","0","0","0","0","0","0","0","0","0",2016-01-13
"12",5.55504,0.0439453,0.186444,0.127957307054802,7,5.55504,4.36012,3.84353571428571,0.251068,0.0549807,0.130816,0.101899182890625,64,0.251068,0.130816,0.14731915625,4,4,0,NA,NA,NA,NA,NA,31.5,11,20.5,20.678175990676,23.875,20.1275,21.5575,21.5586556064073,105.775,103.145,104.766,104.610263888889,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-01-14
"13",0.325907,0.0439453,0.181191,0.125077343975236,0,-Inf,NA,NA,0.23766,0.0619078,0.136157,0.104577318497653,71,0.23766,0.136157,0.147999661971831,4,4,0,NA,NA,NA,NA,NA,21.5,20.5,20.5,20.713141025641,21.5675,21.5475,21.5575,21.5567615338526,105.1,102.808,103.682,103.870111805556,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-01-15
"14",1.59359,0.0621481,0.175781,0.122133058969328,1,1.50893,1.50893,1.50893,0.246017,0.0605858,0.130553,0.101774649104478,67,0.246017,0.130553,0.145132343283582,4,4,0,NA,NA,NA,NA,NA,21.5,11.5,20.5,20.6735224586288,21.5725,17.7975,21.5575,21.5568461007591,105.936,103.391,104.457,104.587560300926,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-01-16
"15",1.52168,0.0439453,0.175781,0.119664216980988,0,-Inf,NA,NA,0.195957,0.0619078,0.126831,0.0950046769607843,51,0.195957,0.126831,0.134729862745098,4,4,0,NA,NA,NA,NA,NA,21,0,20.5,20.4794672586016,21.57,8.895,21.5575,21.553794095092,106.138,104.241,104.735,104.9672,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-01-17
"16",0.325907,0.0439453,0.191553,0.130676019501159,1,0.201383,0.201383,0.201383,0.221992,0.0521787,0.1281915,0.096797164,60,0.221992,0.1281915,0.1424799,4,4,0,NA,NA,NA,NA,NA,21,19.5,20,20.1955193482688,21.57,21.55,21.5575,21.5587163873733,105.878,104.541,105.256,105.24790625,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-01-18
"17",0.605744,0.0621481,0.191553,0.135117628581332,0,-Inf,NA,NA,0.194239,0.0594333,0.129278,0.0966661784397163,47,0.194239,0.129278,0.140218,4,4,0,NA,NA,NA,NA,NA,21,20,20,20.1422190879173,21.565,21.55,21.5575,21.5583016847516,106.104,104.411,104.948,105.098198726852,"5","1","18","1","3","1","3","1","1","1","3","1","1","1",2016-01-19
"18",9.42583,0,0.719416,0.151562871387213,22,9.42583,4.165865,4.17056281818182,116.693,0.0503357,0.133413,0.57161999382969,61,116.693,0.133413,4.70537955737705,4,4,0,14,NA,NA,NA,NA,36,0,20,20.2051658966821,23.9875,0.235,21.5575,20.927355661435,105.885,95.6796,104.994,104.820967430556,"2","1","21","1","0","0","1","1","0","0","0","0","0","0",2016-01-20
"19",4.47984,0,0.186444,0.1271575104926,4,4.47984,4.10205,3.896415,0.235836,0.0458827,0.148074,0.085746298517865,46,0.235836,0.148074,0.159407543478261,4,4,0,1,NA,NA,NA,NA,38,0,20,20.2217289719626,23.8225,0.2575,21.3075,21.289022696011,105.598,102.919,104.2585,104.315854398148,"2","1","22","1","0","0","2","1","0","0","0","0","0","0",2016-01-21
"20",1.64134,0.0621481,0.186444,0.125243952083854,9,0.215287,0.210754,0.209128555555556,0.242411,0.0484227,0.172627,0.092543220625,40,0.242411,0.172627,0.16325745,4,4,0,NA,NA,NA,NA,NA,20.5,19.5,20,20.1460843373494,21.3225,21.3,21.3075,21.3067288682671,106.009,103.413,104.194,104.487740972222,"3","1","22","1","0","0","1","1","0","0","1","1","0","0",2016-01-22
"21",0.304462,0.0621481,0.196529,0.136714148606116,19,0.304462,0.210754,0.219442368421053,0.243676,0.0559237,0.130902,0.094535995,35,0.243676,0.130902,0.153469171428571,4,4,0,NA,NA,NA,NA,NA,20.5,19.5,20,19.9754098360656,21.32,21.3,21.3075,21.307024618871,105.84,104.17,104.835,104.857777662037,"10","1","15","1","0","0","4","1","0","0","2","1","0","0",2016-01-23
"22",0.545347,0.0621481,0.210754,0.144372648295133,35,0.236653,0.210754,0.212664314285714,0.240975,0.055439,0.132957,0.0938769780392157,51,0.240975,0.132957,0.149671980392157,4,4,0,NA,NA,NA,NA,NA,20.5,19.5,20,19.921568627451,21.3125,21.2975,21.3075,21.3066069560669,105.325,103.486,104.54,104.50385787037,"10","1","13","1","2","1","5","1","1","1","5","1","1","1",2016-01-24
"23",10.6764,0,0.325907,0.152651010965042,39,10.6764,1.52104,3.01629261538462,6.81717,0.0509023,0.133185,0.122603475634921,63,6.81717,0.133185,0.258655206349206,4,4,1,6,NA,NA,NA,NA,38.5,0,20,20.089605734767,23.5975,0.2375,21.305,21.1230688789738,105.567,99.5545,104.086,104.16345818287,"10","1","15","1","1","1","4","1","0","0","4","1","0","0",2016-01-25
"24",6.79591,0.0621481,0.210754,0.151331157570465,41,6.79591,0.215287,0.709687804878049,0.233466,0.0544566,0.1616565,0.100111563676471,68,0.233466,0.1616565,0.160452073529412,4,4,0,NA,NA,NA,NA,NA,37.5,11,20,20.0423728813559,23.5775,19.275,21.305,21.3040865232521,105.833,103.059,103.974,104.252032060185,"10","1","14","1","0","0","4","1","0","0","3","1","0","0",2016-01-26
"25",8.77994,0,0.224078,0.144786876458691,37,8.77994,0.232537,1.85138778378378,105.352,0.0528532,0.1331465,0.573625704431818,44,105.352,0.1331465,2.54363234090909,4,4,0,1,NA,NA,NA,NA,38,0,20,19.9786931818182,23.855,0.25,21.305,21.2882201225741,105.733,101.807,104.397,104.486210532407,"0","0","18","1","0","0","0","0","0","0","0","0","0","0",2016-01-27
