"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_max_value","temp_min_value","temp_median_value","temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-05-31
"2",NA,NA,NA,NA,NA,NA,NA,NA,0.31318,0.0474728,0.210445,0.0931449533333333,9,0.31318,0.210445,0.218915111111111,4,4,0,NA,NA,NA,NA,NA,31,9.5,21,20.7471369674759,21.75,18.8875,20.61,20.6096853789593,107.224,102.655,104.3935,104.714108333333,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-06-01
"3",5.28441,0,0.175781,0.110783769529638,0,-Inf,NA,NA,22.8541,0.0496949,0.219854,0.444376612307692,13,22.8541,0.219854,1.95547853846154,4,4,1,2,NA,NA,NA,NA,29.5,0,20.5,20.6508379888268,20.6175,0.25,20.61,20.3963118811881,107.013,98.0952,104.707,104.631871114454,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-06-02
"4",6.13301,0,0.170199,0.111319686472963,0,-Inf,NA,NA,0.226421,0.0528532,0.210339,0.0915971555555556,9,0.226421,0.210339,0.185513555555556,4,4,0,NA,NA,NA,NA,NA,21.5,16.5,20.5,20.6720554272517,20.6175,19.8825,20.6075,20.6087015470928,106.779,103.383,104.329,104.730420833333,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-06-03
"5",8.07829,0,0.186444,0.12058261974832,0,-Inf,NA,NA,0.402447,0.0549807,0.226349,0.106194916,10,0.402447,0.226349,0.2288939,4,4,0,1,NA,NA,NA,NA,23.5,0,20,20.1243781094527,22.4975,0.01,20.61,20.1931696136215,108.175,96.5147,104.6775,104.538339074074,"0","0","23","1","0","0","0","0","0","0","0","0","0","0",2016-06-04
"6",8.07829,0,0.175781,0.119851009808794,1,8.07829,8.07829,8.07829,0.43497,0.0587769,0.204271,0.105500564,5,0.43497,0.204271,0.24138,4,4,0,13,NA,NA,NA,NA,28.5,0,19.5,19.0805987334485,23.54,0.2625,20.61,17.7105243180648,107.738,95.6285,104.708,104.701735150463,"0","0","22","1","0","0","0","0","0","0","0","0","0","0",2016-06-05
"7",6.49886,0,0.170199,0.113432085815145,0,-Inf,NA,NA,0.215364,0.0487352,0.12228,0.08448012,5,0.215364,0.12228,0.1407292,4,4,0,1,NA,NA,NA,NA,21,0,19,19.1852380952381,20.8825,0.26,20.6075,15.6936132331198,106.879,93.2323,104.4135,103.517283819444,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-06-06
"8",3.18262,0,0.170199,0.112172741491513,0,-Inf,NA,NA,10.4592,0.0620983,0.206654,0.35308227,8,10.4592,0.206654,1.47034125,4,4,0,NA,NA,NA,NA,NA,20,0,19,19.0996472663139,20.62,11.3,20.6075,20.6067231759657,106.711,103.053,104.1785,104.460868171296,"1","1","23","1","0","0","0","0","0","0","0","0","0","0",2016-06-07
"9",7.35464,0,0.277935,0.114414736190593,1,7.35464,7.35464,7.35464,0.365214,0.0484227,0.2319485,0.1116518375,6,0.365214,0.2319485,0.253164833333333,4,4,0,2,NA,NA,NA,NA,38,0,19,19.0277269957343,24.6925,0.2775,20.61,20.5496046712803,105.988,96.8828,104.182,104.443108312987,"0","0","22","1","0","0","0","0","0","0","0","0","0","0",2016-06-08
"10",6.54888,0,0.1914865,0.120699780562478,5,6.54888,4.75707,4.63885,0.531352,0.0503692,0.235731,0.10654656,5,0.531352,0.235731,0.2724108,4,4,0,2,NA,NA,NA,NA,35,0,19,19.1618435155413,23.0125,0.2625,20.61,18.1386537572254,105.947,93.3603,104.336,103.873254895833,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-06-09
