"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_max_value","temp_min_value","temp_median_value","temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,0.224057,0.0548579,0.126189,0.08605332,4,0.224057,0.126189,0.1497125,5,5,0,0,NA,NA,NA,NA,20.5,18.5,19.5,19.4875,21.9675,21.9325,21.9475,21.9472832749562,107.392,105.167,106.0345,106.169254365079,"0","0","17","1","0","0","0","0","0","0","0","0","0","0",2016-10-01
"2",1.81776,0,0.365037,0.113734734281789,3,1.63427,1.45153,1.314901,0.353042,0.0594333,0.130431,0.104174658333333,12,0.353042,0.130431,0.165332166666667,5,5,0,12,NA,NA,NA,NA,30.5,0,20,19.7116603295311,21.9525,0.2275,21.9425,16.6957904,107.695,94.8035,104.4085,104.151744150327,"1","1","22","1","0","0","0","0","0","0","0","0","0","0",2016-10-02
"3",1.6803,0,0.274438,0.114435361757595,2,1.6803,1.593015,1.593015,0.278609,0.0484227,0.126498,0.0904906546078431,17,0.278609,0.126498,0.149574470588235,5,5,0,6,NA,NA,NA,NA,28.5,0,16,16.069700697007,22.01,0.23,21.8875,18.8004484463277,107.356,93.9058,104.893,104.234700590209,"0","0","11","1","0","0","0","0","0","0","0","0","0","0",2016-10-03
"4",5.40599,0,0.982647,0.110187276955425,1,5.40599,5.40599,5.40599,19.0229,0.0618806,0.24094,0.774119603571429,7,19.0229,0.24094,2.90115428571429,5,5,0,1,NA,NA,NA,NA,32,0,12.5,12.870523415978,21.5525,0,0.2725,6.43632157123835,106.395,92.2192,93.99395,98.5471603935185,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-10-04
"5",1.47463,0,1.36301,0.0966851298765492,0,-Inf,NA,NA,0.413658,0.0529807,0.129616,0.09936172,9,0.413658,0.129616,0.189513666666667,5,5,0,NA,NA,NA,NA,NA,13,11.5,12.5,12.3025060989133,21.5075,21.475,21.4975,21.4969933670798,107.017,104.369,105.512,105.648036462554,"1","1","23","1","0","0","0","0","0","0","0","0","0","0",2016-10-05
"6",4.63639,0,1.361595,0.110876101154374,3,4.63639,4.0334,4.12275,0.258051,0.0604743,0.123348,0.094541665,11,0.258051,0.123348,0.148025454545455,5,5,0,0,NA,NA,NA,NA,13,10.5,12,12.2395577395577,21.5125,21.4775,21.4975,21.4969670353502,107.115,95.4633,105.15,104.992761451221,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-10-06
"7",3.5378,0.0439453,0.164428,0.112635043424616,0,-Inf,NA,NA,0.253673,0.0549807,0.126404,0.0981449255555556,15,0.253673,0.126404,0.164487866666667,5,5,0,NA,NA,NA,NA,NA,13,11.5,12,12.0184331797235,21.505,21.4675,21.4975,21.4979992096944,107.858,103.632,105.4435,105.511432407407,"1","1","23","1","1","1","1","1","0","0","1","1","0","0",2016-10-07
"8",8.63981,0,0.164428,0.1214816116498,2,8.63981,5.08675,5.08675,0.236303,0.0589774,0.1239335,0.0976736911111111,18,0.236303,0.1239335,0.159637722222222,5,5,0,NA,NA,NA,NA,NA,15,0,12,11.843137254902,21.615,21.11,21.4975,21.4988347407929,108.735,103.773,105.6045,105.835755902778,"3","1","21","1","0","0","1","1","0","0","1","1","1","1",2016-10-08
"9",3.36605,0,0.170199,0.125902728582065,4,1.57101,1.53116,1.5276425,0.648207,0.0496949,0.225825,0.109646086176471,17,0.648207,0.225825,0.219560823529412,5,5,0,7,NA,NA,NA,NA,27.5,0,12,11.8199635369189,23.22,0.235,21.4975,21.3763329979879,109.489,103.832,106.057,106.344850480268,"3","1","22","1","2","1","1","1","1","1","1","1","0","0",2016-10-09
"10",5.51877,0,0.186444,0.137485296326373,4,5.51877,1.522305,2.5129225,4.30503,0.0503357,0.220742,0.163442562857143,14,4.30503,0.220742,0.499983428571429,5,5,0,10,NA,NA,NA,NA,27.5,0,12,12.7658266748617,21.5625,0,21.4975,21.1629838337182,109.095,100.305,106.116,106.308362152778,"1","1","23","1","1","1","1","1","1","1","0","0","0","0",2016-10-10
"11",2.78351,0.0439453,0.170199,0.123766483368134,2,1.52611,1.506885,1.506885,0.260095,0.0569104,0.127676,0.0925472440909091,11,0.260095,0.127676,0.171360272727273,5,5,0,NA,NA,NA,NA,NA,19,0,18,17.9940528634361,24.97,21.14,21.4975,21.4992632935114,108.47,103.936,105.715,105.634031022109,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-10-11
"12",7.17373,0,0.164428,0.11341804627018,2,7.17373,3.9314925,3.9314925,0.258181,0.0596599,0.223748,0.0956424244444444,9,0.258181,0.223748,0.196585444444444,5,5,0,NA,NA,NA,NA,NA,18.5,17,18,18.2372432775778,21.5125,21.4875,21.4975,21.497941287166,106.697,104.331,105.156,105.397295949074,"1","1","5","1","1","1","1","1","1","1","1","1","1","1",2016-10-12
"13",1.563,0,0.164428,0.186747610045191,1,1.51532,1.51532,1.51532,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,8,NA,NA,NA,NA,22,0,18,13.9875,24.4825,0,0.265,0.833470438328237,106.267,92.7812,93.619,94.4612099025021,"0","0","23","1","0","0","0","0","0","0","0","0","0","0",2016-10-13
"14",1.563,0,0.175781,0.132189546908384,2,1.563,1.54519,1.54519,0.246949,0.0532032,0.124178,0.0872895783333333,12,0.246949,0.124178,0.143384,5,5,0,1,NA,NA,NA,NA,31,0,19.5,19.7224074074074,21.505,0.235,21.495,19.611324221716,106.846,92.2785,104.7245,104.114004398148,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-10-14
"15",7.31924,0.0439453,0.175781,0.112642114586898,0,-Inf,NA,NA,0.270749,0.0569104,0.123239,0.0886579553846154,13,0.270749,0.123239,0.138628692307692,5,5,0,NA,NA,NA,NA,NA,20,17.5,19.5,19.5350318471338,21.515,3.3475,21.4975,21.493471968312,106.629,103.937,105.16,105.189378009259,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-10-15
"16",1.53746,0,0.1614375,0.102048418458638,0,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,NA,NA,NA,NA,22,19,19.5,19.6057770545159,21.505,21.49,21.4975,21.4968179640719,106.27,104.506,105.422,105.430382638889,"0","0","22","1","0","0","0","0","0","0","0","0","0","0",2016-10-16
"17",1.45949,0.0439453,0.170199,0.101164519678258,0,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,1,NA,NA,NA,NA,31.5,0,19,19.1953974895397,21.505,0.2375,21.495,17.761374197364,105.784,93.5081,105.2755,103.898919212963,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-10-17
"18",10.4369,0,0.170199,0.111581265529897,1,10.4369,10.4369,10.4369,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,1,NA,NA,NA,NA,20.5,0,19,19.214815647482,21.5075,0.0075,21.4975,21.3108431617147,106.892,95.4765,105.014,105.068582395833,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-10-18
"19",7.25763,0.0439453,0.170199,0.113741772364728,1,0.543573,0.543573,0.543573,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,NA,NA,NA,NA,19.5,0,19.5,19.2536898136947,24.6025,4.435,21.4975,21.4936979016959,107.535,103.548,105.048,105.341888657407,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-10-19
