"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",3.07507857142857,0,0.6017635,0.0995120730932144,0.952380952380952,3.8353116,3.4407261,3.47356043333333,0.802369555555556,0.07291225,0.229171694444444,0.193460765010869,20.4444444444444,0.802369555555556,0.229171694444444,0.249970549347976,4.12607561929596,4.12742285962625,0,0,"(60,65]","(35,40]","(40,45]","(45,50]",27.8401946782635,6.10288824334817,21.0767070070732,21.0308318334245,21.9251927331425,9.26621596951696,20.5102772963164,20.1436592993131,86.3097,73.5057,77.0669,78.3206253009259,1,1,2,1,1,1,1,1,0,0,1,1,0,0,2015-01-05
"23",1.4575,0,0.676529,0.104314880133869,0,3.8353116,3.4407261,3.47356043333333,0.139925,0.07747,0.130333,0.109300905555556,12,0.139925,0.130333,0.129841833333333,4.12607561929596,4.12742285962625,0,0,"(70,75]","(50,55]","(60,65]","(60,65]",27.8401946782635,6.10288824334817,21.0767070070732,21.0308318334245,21.9251927331425,9.26621596951696,20.5102772963164,20.1436592993131,104.25,99.4138,102.3,102.605140289352,1,1,21,1,0,0,1,1,0,0,1,1,0,0,2015-01-27
"29",5.27832318181818,0,1.05940206818182,0.128826797611802,5.22727272727273,7.15986555555556,3.92381822222222,4.08216045510815,3.22273,0.0700894,0.1318945,0.238158575,8,3.22273,0.1318945,0.534288625,3,3,0,0,"(70,75]","(35,40]","(50,55]","(50,55]",26.2777777777778,0,19.3333333333333,18.6203957641666,18.21325,0.442,10.845,11.7813203922162,105.49,95.43,102.995,103.342213576389,0,0,19,1,0,0,0,0,0,0,1,1,1,1,2015-02-01
"33",10.0052,0,0.476251,0.119966071089818,3,10.0052,8.83268,8.47475,6.22987,0.00782692,0.122877,0.215776301666667,24,6.22987,0.122877,0.417101625,3,3,0,0,"(65,70]","(45,50]","(50,55]","(55,60]",26.2777777777778,0,19.3333333333333,18.6203957641666,18.21325,0.442,10.845,11.7813203922162,104.938,92.9501,102.647,100.981376493056,4,1,19,1,0,0,2,1,0,0,2,1,0,0,2015-02-05
"34",9.75487,0,0.786118,0.134807915561861,17,9.75487,0.228347,0.974301588235294,0.536161,0.057937,0.1559285,0.15516923125,32,0.536161,0.1559285,0.1727520625,3,3,0,0,"(65,70]","(55,60]","(60,65]","(60,65]",26.2777777777778,0,19.3333333333333,18.6203957641666,18.21325,0.442,10.845,11.7813203922162,104.506,93.9398,103.032,102.279959891191,20,1,4,1,0,0,10,1,0,0,6,1,0,0,2015-02-06
"44",1.70313,0,1.01646,0.0961882695421366,0,7.15986555555556,3.92381822222222,4.08216045510815,0.260179,0.0619911,0.2512305,0.13007835,2,0.260179,0.2512305,0.2512305,3,3,0,0,"(65,70]","(50,55]","(55,60]","(55,60]",40,0,22,21.7860501567398,21.72,3.73,21.53,21.4574401081917,104.54,102.527,103.412,103.451211458333,3,1,20,1,3,1,1,1,1,1,1,1,1,1,2015-02-18
"121",2.77134,0,0.405156,0.0889437858877658,0,4.232908125,3.21424275,3.27818754166667,0.281127,0.0620983,0.124357,0.0997528647727273,22,0.281127,0.124357,0.148064,3,3,0,0,"(75,80]","(45,50]","(55,60]","(55,60]",18.5,0,18,18.2215940430226,21.1075,0.2975,21.1,21.0925963800905,106.063,103.398,104.612,104.899765277778,1,1,15,1,1,1,1,1,1,1,1,1,0,0,2015-05-05
"130",4.75483,0,0.473305,0.0963346309196049,0,4.232908125,3.21424275,3.27818754166667,0.319503,0.0275975,0.179054,0.0883979485515873,34,0.319503,0.179054,0.187348852941176,3,3,0,4,"(75,80]","(50,55]","(55,60]","(60,65]",28,0,18,17.8044856167723,21.7675,0.25,21.68,21.6199673049977,106.547,101.075,104.8955,105.013515247478,1,1,22,1,1,1,1,1,1,1,1,1,0,0,2015-05-14
"194",2.35343,0,0.244677,0.109055738275652,1,2.32038,2.32038,2.32038,0.527967,0.0544876,0.127626,0.114079176315789,19,0.527967,0.127626,0.158410684210526,3,3,0,1,"(85,90]","(60,65]","(65,70]","(70,75]",33,0,20.5,20.4187461010605,21.69,0.2525,21.6825,19.4699981343284,107.796,94.5993,105.697,105.475154895833,5,1,20,1,2,1,3,1,1,1,2,1,0,0,2015-07-16
"196",5.52943,0,0.3868665,0.114791477502754,6,5.52943,0.6816815,1.5282445,0.232307,0.0711381,0.138232,0.12822752,25,0.232307,0.138232,0.14970484,3,3,0,7,"(85,90]","(55,60]","(65,70]","(70,75]",26.5,0,18,18.0962914769031,21.5925,0.2525,21.58,20.6872097924773,108.035,99.0193,106.087,106.220308518519,7,1,17,1,6,1,4,1,4,1,2,1,2,1,2015-07-18
"197",2.49561,0,0.506802,0.334143113068178,28,2.34233,1.643835,1.59518921428571,1.21905,0.0732814,0.391707,0.416847937272727,55,1.21905,0.391707,0.495474181818182,3,3,0,1,"(95,100]","(60,65]","(70,75]","(70,75]",20,0,18,18.0599123234291,21.6,0.255,21.58,21.239305782424,107.991,97.2061,106.0075,106.180918715278,7,1,16,1,3,1,4,1,1,1,2,1,1,1,2015-07-19
"199",4.47854,0,0.175781,0.110276327129439,0,2.68318083333333,1.107216375,1.37725201646825,0.137452,0.0667081,0.129032,0.1072834875,8,0.137452,0.129032,0.129602375,3,3,0,0,"(90,95]","(60,65]","(70,75]","(70,75]",23,0,21.5,21.5109983079526,24.69,5.8275,21.5825,21.5793446892076,108.644,105.211,106.506,106.846089583333,2,1,22,1,1,1,1,1,1,1,1,1,1,1,2015-07-21
"200",2.40698,0,0.31074,0.129022174121781,8,2.40698,0.6016045,1.116374375,1.06861,0.0566431,0.153522,0.245444808333333,12,1.06861,0.153522,0.3236235,3,3,0,0,"(85,90]","(55,60]","(70,75]","(70,75]",24,0,20.5,20.7901498929336,21.615,0.83,21.5825,21.5790521872602,108.01,105.16,106.2885,106.465564699074,7,1,16,1,4,1,4,1,2,1,3,1,1,1,2015-07-22
"202",1.74845,0,0.316894,0.108684152972818,3,1.74845,1.38967,1.33420866666667,0.191272,0.0639452,0.124671,0.112001136363636,11,0.191272,0.124671,0.136721272727273,3,3,1,9,"(85,90]","(50,55]","(65,70]","(65,70]",25.5,0,20.5,20.306488612158,22.415,0,21.5825,21.2973856776336,107.415,94.3873,105.167,104.833339780093,4,1,19,1,3,1,2,1,2,1,2,1,1,1,2015-07-24
"221",6.73821666666667,0,1.48159922222222,0.854253312522617,31,6.57157111111111,2.3943555,2.54888827003968,2.6448785,0.035936425,0.9699280625,0.848781355439683,66,2.6448785,0.9699280625,1.02887060684517,4,4,1,0,"(95,100]","(55,60]","(70,75]","(70,75]",24.1,4.9,13.6,14.33155491506,0.005,0,0.0025,0.0021496062992126,96.0912,92.2192,93.85125,94.0363072685185,1,1,1,1,0,0,1,1,0,0,1,1,0,0,2015-09-19
"222",6.73821666666667,0,1.48159922222222,0.854253312522617,31,6.57157111111111,2.3943555,2.54888827003968,2.6448785,0.035936425,0.9699280625,0.848781355439683,66,2.6448785,0.9699280625,1.02887060684517,4,4,1,0,"(85,90]","(45,50]","(60,65]","(60,65]",0,0,0,0,0.2875,0,0.2475,0.150812655086849,100.504,91.9091,94.6401,94.9715359027778,7,1,8,1,3,1,5,1,3,1,4,1,2,1,2015-09-21
"223",3.68276,0,0.294794,0.22908947337264,16,3.68276,0.2864435,0.7550501875,2.6448785,0.035936425,0.9699280625,0.848781355439683,66,2.6448785,0.9699280625,1.02887060684517,4,4,1,8,"(90,95]","(55,60]","(70,75]","(70,75]",28,0,11.5,11.1235119047619,23.205,0.005,0.27,1.78523378995434,97.3492,93.8162,95.3057,95.5050093171296,22,1,0,0,16,1,11,1,8,1,7,1,5,1,2015-09-22
"224",10.1566,0,0.316894,0.215274877347776,84,10.1566,0.304462,0.591702452380952,0.126214,0.074565,0.124241,0.0914822945833333,4,0.126214,0.124241,0.1241395,4,4,0,2,"(90,95]","(50,55]","(70,75]","(70,75]",21,0,11,10.8147637795276,15.535,0.005,9.895,9.49738897515528,97.1289,93.1776,94.91835,94.9117263078704,3,1,1,1,3,1,2,1,2,1,1,1,1,1,2015-09-23
"225",7.67887,0,7.25533,2.88526517252827,9,7.67887,6.59238,5.71792,5.30731,0.0613604,4.68021,2.90876571533333,20,5.30731,4.68021,3.30813475,4,4,0,2,"(85,90]","(50,55]","(65,70]","(70,75]",32.5,0,11,15.4841750841751,22.4975,0.0025,9.8975,13.2195505617978,99.6093,92.2098,93.7746,94.1864350081986,14,1,12,1,12,1,6,1,5,1,5,1,4,1,2015-09-24
"226",9.25558,0,1.956645,1.57427887841163,50,9.04398,3.779025,3.9475089,4.80878,0.0516588,0.5590975,1.32826245717949,130,4.80878,0.5590975,1.547911,4,4,0,2,"(85,90]","(50,55]","(65,70]","(65,70]",30,0,17.5,19.19778208441,25.19,0.2325,21.5825,21.0030957827019,107.263,94.076,95.9003,96.5240751186205,11,1,13,1,10,1,6,1,5,1,4,1,4,1,2015-09-25
"233",5.3798365,0,0.21129145,0.120596050212788,2.7,6.74877405263158,4.95147836842105,4.96647117175008,0.207409,0.0556819,0.130214,0.0840061846164021,9,0.207409,0.130214,0.142850444444444,4,4,0,0,"(80,85]","(45,50]","(55,60]","(60,65]",17,9.5,16.5,16.7121350364963,23.3875,21.5775,21.5825,21.5874715909091,106.3,105.259,105.895,105.861313888889,5,1,14,1,1,1,3,1,0,0,2,1,0,0,2015-10-01
"234",8.54157,0,0.395508,0.146741632917564,17,8.54157,3.39433,3.04096811764706,0.254452,0.0509023,0.13576,0.0956384694,25,0.254452,0.13576,0.1573196,4,4,0,4,"(85,90]","(50,55]","(65,70]","(65,70]",32.5,0,17,16.7466945024356,23.7475,0.2275,21.5825,21.2343551964512,107.023,100.491,105.301,105.517913249469,5,1,19,1,2,1,2,1,1,1,2,1,2,1,2015-10-02
"237",1.51021,0.0439453,0.186444,0.119080141825923,1,0.228347,0.228347,0.228347,0.211405,0,0.1708,0.0924616593107769,19,0.211405,0.1708,0.160692157894737,4,4,0,0,"(90,95]","(55,60]","(65,70]","(70,75]",17,16,16.5,16.4353967084254,21.59,21.57,21.5825,21.5818344252531,107.557,103.697,104.835,105.21526412037,3,1,20,1,1,1,2,1,1,1,1,1,0,0,2015-10-05
"246",3.62941,0,0.186444,0.119090422462605,2,3.62941,3.505885,3.505885,0.235851,0.0264266,0.1515255,0.0950301994325397,30,0.235851,0.1515255,0.1542591,4,4,0,7,"(75,80]","(55,60]","(60,65]","(65,70]",32.5,0,17,16.734977324263,24.18,0.2275,21.58,21.5287781278128,109.719,102.974,106.6325,107.06328287037,4,1,21,1,2,1,2,1,1,1,2,1,1,1,2015-10-14
"252",2.0018,0.0439453,0.284798,0.105084634072006,0,6.74877405263158,4.95147836842105,4.96647117175008,0.197656,0.0388338,0.1812925,0.090807422255291,18,0.197656,0.1812925,0.164315388888889,4,4,0,1,"(80,85]","(50,55]","(60,65]","(60,65]",33,0,17,16.7586854460094,23.0975,0.225,21.58,18.9777000476304,106.83,94.783,105.542,104.464739652778,2,1,22,1,0,0,1,1,0,0,1,1,0,0,2015-10-20
"292",9.76921,0,3.98524,0.118699322297364,5,9.76921,4.28934,5.24447,0.202246,0.0763534,0.1354595,0.12396281,10,0.202246,0.1354595,0.1465388,4,4,1,8,"(60,65]","(35,40]","(45,50]","(45,50]",33,0,18,17.7801478352693,24.195,0.225,21.5525,21.3719299319728,106.205,97.5979,103.585,103.9781559375,5,1,21,1,1,1,3,1,0,0,1,1,0,0,2015-11-28
"293",9.15593,0,1.67742,0.141303549521685,16,9.15593,3.857145,4.113394375,0.375134,0.0685293,0.137648,0.131545059090909,11,0.375134,0.137648,0.163226363636364,4,4,1,21,"(55,60]","(40,45]","(45,50]","(45,50]",32,0,18,17.6871635024086,24.0375,0.225,21.5525,21.1967959158106,106.15,98.2801,103.396,103.810565104167,7,1,17,1,0,0,1,1,0,0,1,1,0,0,2015-11-29
"294",8.20284,0,2.80803,0.14643815896253,34,8.20284,3.88186,3.37002105882353,4.70015,0.0711381,0.128088,0.327390586363636,11,4.70015,0.128088,0.553714818181818,4,4,1,16,"(65,70]","(40,45]","(45,50]","(50,55]",32,0,18,17.6936790923825,24.0275,0.225,21.5525,21.2980866940077,106.202,97.8871,103.587,103.832100034722,5,1,20,1,1,1,1,1,1,1,1,1,0,0,2015-11-30
"296",6.8918723,0,0.76718575,0.150634053617506,21.2,7.496054375,3.36084975,3.75057550029695,2.71498,0.0601106,0.1294305,0.1867912525,20,2.71498,0.1294305,0.26988465,4,4,1,4,"(55,60]","(35,40]","(45,50]","(45,50]",33.5,0,18,17.8198327671806,22.285,0.2275,21.555,21.4815691141887,106.178,100.972,103.498,104.013081828704,4,1,20,1,0,0,2,1,0,0,2,1,0,0,2015-12-01
"302",10.2064,0,0.294794,0.119616805725053,6,10.2064,6.088915,6.40261833333333,0.178725,0.0633888,0.135397,0.11186625,6,0.178725,0.135397,0.141326,4,4,0,2,"(55,60]","(45,50]","(50,55]","(50,55]",29,0,18,17.7827837423313,24.0725,0.23,21.555,20.9572779901079,106.841,97.0747,105.044,105.086533275463,3,1,22,1,0,0,1,1,0,0,1,1,0,0,2015-12-07
"305",6.8918723,0,0.76718575,0.150634053617506,21.2,7.496054375,3.36084975,3.75057550029695,0.171363,0.0706383,0.122886,0.107697257142857,7,0.171363,0.122886,0.133870857142857,4,4,0,5,"(55,60]","(45,50]","(50,55]","(50,55]",30.5,0,21.5,21.3171929824561,21.8525,0.0175,21.605,21.1672967914438,94.5189,91.3258,92.1616,92.5784827662037,21,1,1,1,18,1,11,1,9,1,8,1,7,1,2015-12-17
"306",7.26667,0,0.396725,0.262194980882301,78,7.26667,0.380578,0.825832807692308,0.205946,0.0612228,0.126817,0.109325596666667,15,0.205946,0.126817,0.1384416,4,4,0,3,"(60,65]","(45,50]","(45,50]","(50,55]",32.5,0,19.5,19.52625,23.9675,0.2325,19.0025,19.9025900034953,103.691,92.7647,99.7519,99.9201283333333,21,1,2,1,21,1,11,1,11,1,7,1,6,1,2015-12-18
"310",4.50755304545455,0,0.488853363636364,0.134802358514454,13.0909090909091,4.60980763157895,1.98166031578947,2.10588611855548,29.2787877727273,0.0548919318181818,0.139923045454545,0.378578780217558,46.2272727272727,29.2787877727273,0.139923045454545,1.20636296193184,4,4,0,1,"(55,60]","(35,40]","(45,50]","(45,50]",0,0,0,0,0.3675,0.005,0.0075,0.0120992366412214,777.331,-1.20926e+239,92.3431,-1.2155133449185e+236,3,1,8,1,2,1,2,1,0,0,1,1,0,0,2016-01-05
"313",3.56364,0,0.191553,0.10379522824402,1,1.97167,1.97167,1.97167,114.376,0.0619078,0.148756,1.63492982933333,15,114.376,0.148756,7.76551113333333,4,4,0,5,"(60,65]","(50,55]","(55,60]","(55,60]",37,0,22.5,22.3123028391167,21.8075,0.2375,21.5575,21.4094693670151,105.238,100.626,103.798,103.899341087963,3,1,21,1,3,1,3,1,0,0,1,1,0,0,2016-01-08
"314",5.73162,0,1.984155,0.135729883758394,8,5.73162,3.56472,3.55850125,113.834,0.0532032,0.153401,0.967278151034483,29,113.834,0.153401,4.51899189655172,4,4,0,12,"(70,75]","(50,55]","(55,60]","(55,60]",34,0,22.5,22.1357552581262,24.0575,0.2375,21.5575,21.251740252804,105.331,96.2052,103.39,103.637764328704,1,1,23,1,0,0,1,1,0,0,1,1,0,0,2016-01-09
"316",11.2422,0,0.196529,0.133043626888072,9,11.2422,5.00572,4.21829111111111,0.206829,0.0458827,0.162625,0.0953165912790698,43,0.206829,0.162625,0.159558720930233,4,4,0,1,"(65,70]","(40,45]","(50,55]","(50,55]",36,0,22.5,22.264684287812,23.95,0.2625,21.5575,21.5442316100823,105.627,103.658,104.384,104.515046990741,9,1,16,1,0,0,4,1,0,0,2,1,0,0,2016-01-11
"324",0.605744,0.0621481,0.191553,0.135117628581332,0,4.60980763157895,1.98166031578947,2.10588611855548,0.194239,0.0594333,0.129278,0.0966661784397163,47,0.194239,0.129278,0.140218,4,4,0,0,"(65,70]","(40,45]","(45,50]","(45,50]",21,20,20,20.1422190879173,21.565,21.55,21.5575,21.5583016847516,106.104,104.411,104.948,105.098198726852,5,1,18,1,3,1,3,1,1,1,3,1,1,1,2016-01-19
"327",1.64134,0.0621481,0.186444,0.125243952083854,9,0.215287,0.210754,0.209128555555556,0.242411,0.0484227,0.172627,0.092543220625,40,0.242411,0.172627,0.16325745,4,4,0,0,"(65,70]","(35,40]","(45,50]","(50,55]",20.5,19.5,20,20.1460843373494,21.3225,21.3,21.3075,21.3067288682671,106.009,103.413,104.194,104.487740972222,3,1,22,1,0,0,1,1,0,0,1,1,0,0,2016-01-22
"328",0.304462,0.0621481,0.196529,0.136714148606116,19,0.304462,0.210754,0.219442368421053,0.243676,0.0559237,0.130902,0.094535995,35,0.243676,0.130902,0.153469171428571,4,4,0,0,"(65,70]","(35,40]","(45,50]","(50,55]",20.5,19.5,20,19.9754098360656,21.32,21.3,21.3075,21.307024618871,105.84,104.17,104.835,104.857777662037,10,1,15,1,0,0,4,1,0,0,2,1,0,0,2016-01-23
"329",0.545347,0.0621481,0.210754,0.144372648295133,35,0.236653,0.210754,0.212664314285714,0.240975,0.055439,0.132957,0.0938769780392157,51,0.240975,0.132957,0.149671980392157,4,4,0,0,"(75,80]","(40,45]","(50,55]","(55,60]",20.5,19.5,20,19.921568627451,21.3125,21.2975,21.3075,21.3066069560669,105.325,103.486,104.54,104.50385787037,10,1,13,1,2,1,5,1,1,1,5,1,1,1,2016-01-24
"330",10.6764,0,0.325907,0.152651010965042,39,10.6764,1.52104,3.01629261538462,6.81717,0.0509023,0.133185,0.122603475634921,63,6.81717,0.133185,0.258655206349206,4,4,1,6,"(75,80]","(45,50]","(55,60]","(55,60]",38.5,0,20,20.089605734767,23.5975,0.2375,21.305,21.1230688789738,105.567,99.5545,104.086,104.16345818287,10,1,15,1,1,1,4,1,0,0,4,1,0,0,2016-01-25
