"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","hour_data","day_data","year_data","max_value","min_value","median_value","average_value","event_duration_seconds"
"1",1448841635,0.164428,293486909,0,0,2015-11-30 00:00:35,"li28_31",0,30,2015,0.232537,0.0878906,0.152231,0.154102508669656,3599
"68",1448845244,0.124296,715914294,0,0,2015-11-30 01:00:44,"li28_31",1,30,2015,0.210754,0.0621481,0.138967,0.136816736858476,3595
"132",1448848834,0.164428,142946719,0,0,2015-11-30 02:00:34,"li28_31",2,30,2015,0.236653,0,0.138967,0.138831742746914,3589
"197",1448852438,0.116268,466747368,0,0,2015-11-30 03:00:38,"li28_31",3,30,2015,0.196529,0,0.131836,0.13584547511592,3594
"261",1448856002,0.124296,866509338,0,0,2015-11-30 04:00:02,"li28_31",4,30,2015,0.762423,0.0761155,0.138967,0.139388232298137,3595
"326",1448859632,0.175781,221530998,0,0,2015-11-30 05:00:32,"li28_31",5,30,2015,0.259984,0.0878906,0.170199,0.169542565919283,3594
"393",1448863241,0.201383,587526585,0,0,2015-11-30 06:00:41,"li28_31",6,30,2015,0.334678,0.131836,0.224078,0.224200353025937,3589
"462",1448866815,0.256243,934091034,0,0,2015-11-30 07:00:15,"li28_31",7,30,2015,0.385619,0.158447,0.263672,0.265167897841727,3595
"532",1448870435,0.294794,298426244,0,0,2015-11-30 08:00:35,"li28_31",8,30,2015,0.764951,0.170199,0.31074,0.328478380818054,3599
"603",1448874044,0.409895,669002843,0,0,2015-11-30 09:00:44,"li28_31",9,30,2015,0.895234,0.201383,0.400361,0.436260846262341,3595
"674",1448877644,0.723431,47513120,0,0,2015-11-30 10:00:44,"li28_31",10,30,2015,0.870073,0.191553,0.501054,0.512627016877637,3594
"745",1448881238,0.545347,421643311,0,0,2015-11-30 11:00:38,"li28_31",11,30,2015,0.889825,0.37029,0.583,0.600070425383542,3594
"816",1448884802,0.527344,810196834,0,0,2015-11-30 12:00:02,"li28_31",12,30,2015,0.712673,0.252447,0.4923045,0.49213200280112,3595
"888",1448888432,0.388114,322156521,0,0,2015-11-30 13:00:32,"li28_31",13,30,2015,5.45418,0.236653,0.510598,0.5219864697609,3594
"959",1448892026,0.682215,564191021,0,0,2015-11-30 14:00:26,"li28_31",14,30,2015,0.966797,0.31074,0.764951,0.727800598039216,3594
"1030",1448895605,0.737967,933771032,0,0,2015-11-30 15:00:05,"li28_31",15,30,2015,0.915498,0.170199,0.756702,0.702699561797753,3595
"1102",1448899245,0.270897,288513024,0,0,2015-11-30 16:00:45,"li28_31",16,30,2015,0.452445,0.14575,0.288169,0.292193603129445,3599
"1172",1448902839,0.206122,662974801,0,0,2015-11-30 17:00:39,"li28_31",17,30,2015,0.2915,0.0982647,0.181191,0.182107539850746,3595
"1239",1448906434,0.201383,56210182,0,0,2015-11-30 18:00:34,"li28_31",18,30,2015,0.274438,0,0.175781,0.176862207153502,3594
"1306",1448910028,0.206122,414598260,0,0,2015-11-30 19:00:28,"li28_31",19,30,2015,0.66356,0.116268,0.181191,0.181300166666667,3594
"1373",1448913622,0.152231,749117706,0,0,2015-11-30 20:00:22,"li28_31",20,30,2015,0.256243,0,0.181191,0.179509235565476,3595
"1440",1448917207,0.196529,121702969,0,0,2015-11-30 21:00:07,"li28_31",21,30,2015,0.263672,0.107644,0.170199,0.171967154311649,3594
"1506",1448920801,0.181191,506561850,0,0,2015-11-30 22:00:01,"li28_31",22,30,2015,0.236653,0,0.170199,0.167542356065089,3594
