"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","hour_data","day_data","year_data","max_value","min_value","median_value","average_value","event_duration_seconds"
"165",1420490866,0.294794,654062696,0,0,2015-01-05 20:47:46,"li28_31",20,5,2015,2.23733,0.175781,0.307617,0.324845553333333,750
"180",1420491631,0.210754,476854285,0,0,2015-01-05 21:00:31,"li28_31",21,5,2015,0.450305,0.0982647,0.224078,0.22697197234957,3594
"250",1420495235,0.186444,805743422,0,0,2015-01-05 22:00:35,"li28_31",22,5,2015,1.47266,0.107644,0.240698,0.297001228323699,3595
"319",1420498825,0.471261,157479848,0,0,2015-01-05 23:00:25,"li28_31",23,5,2015,0.829158,0.175781,0.456693,0.457653195224719,3599
"1673",1420574451,0.175781,158295332,0,0,2015-01-06 20:00:51,"li28_31",20,6,2015,0.745777,0.116268,0.206122,0.262543627192982,3594
"1741",1420578025,0.475341,462243962,0,0,2015-01-06 21:00:25,"li28_31",21,6,2015,0.610508,0.124296,0.215287,0.267647426300578,3599
"1810",1420581619,0.170199,853636706,0,0,2015-01-06 22:00:19,"li28_31",22,6,2015,0.57466,0.124296,0.206122,0.215661586956522,3595
"1879",1420585219,0.158447,216437824,0,0,2015-01-06 23:00:19,"li28_31",23,6,2015,0.589588,0.107644,0.206122,0.210420123188406,3594
"390",1420502419,0.450305,485824417,0,0,2015-01-06 00:00:19,"li28_31",0,6,2015,1.82783,0.152231,0.43725,0.43831508,3594
"461",1420506013,0.506802,817205823,0,0,2015-01-06 01:00:13,"li28_31",1,6,2015,1.20269,0.14575,0.322931,0.35109607027027,3595
"517",1420509638,0.252447,148338124,0,0,2015-01-06 02:00:38,"li28_31",2,6,2015,0.538218,0.175781,0.33178,0.336142468838527,3594
"587",1420513207,0.557603,550225159,0,0,2015-01-06 03:00:07,"li28_31",3,6,2015,0.762423,0.228347,0.458803,0.469012731364276,3594
"658",1420516801,0.514367,807875586,0,0,2015-01-06 04:00:01,"li28_31",4,6,2015,0.912328,0.304462,0.5636315,0.570065122535211,3595
"729",1420520401,0.452445,127688916,0,0,2015-01-06 05:00:01,"li28_31",5,6,2015,0.784888,0.152231,0.4619475,0.423457943342776,3594
"800",1420524020,0.164428,492495087,0,0,2015-01-06 06:00:20,"li28_31",6,6,2015,0.340399,0.131836,0.232537,0.23513851,3599
"870",1420527624,0.244677,855940942,0,0,2015-01-06 07:00:24,"li28_31",7,6,2015,0.469208,0.131836,0.232537,0.233533989928058,3595
"940",1420531249,0.175781,130071503,0,0,2015-01-06 08:00:49,"li28_31",8,6,2015,0.508704,0.138967,0.232537,0.233471214899713,3594
"1009",1420534808,0.240698,478149411,0,0,2015-01-06 09:00:08,"li28_31",9,6,2015,0.383106,0.124296,0.232537,0.234620547925608,3594
"1079",1420538417,0.244677,796378151,0,0,2015-01-06 10:00:17,"li28_31",10,6,2015,0.388114,0.152231,0.240698,0.241135308022923,3590
"1149",1420542022,0.164428,112557111,0,0,2015-01-06 11:00:22,"li28_31",11,6,2015,0.423793,0.131836,0.248592,0.247727387784091,3594
"1219",1420545601,0.274438,436225280,0,0,2015-01-06 12:00:01,"li28_31",12,6,2015,0.419212,0.138967,0.248592,0.251713064469914,3594
"1289",1420549210,0.206122,772380655,0,0,2015-01-06 13:00:10,"li28_31",13,6,2015,0.562775,0.206122,0.380578,0.382843933895921,3595
"1360",1420552805,0.357013,95496956,0,0,2015-01-06 14:00:05,"li28_31",14,6,2015,0.562775,0.14575,0.284798,0.294549349002849,3599
"1431",1420556449,0.267309,403155111,0,0,2015-01-06 15:00:49,"li28_31",15,6,2015,0.538218,0.175781,0.375469,0.370799970505618,3594
"1502",1420560038,0.267309,738182195,0,0,2015-01-06 16:00:38,"li28_31",16,6,2015,2.54655,0,0.277935,0.359296084919473,3595
"1570",1420563633,0.152231,54879713,0,0,2015-01-06 17:00:33,"li28_31",17,6,2015,7.94827,0,0.421509,0.745395372259136,3584
"1631",1420567232,0,377417539,0,0,2015-01-06 18:00:32,"li28_31",18,6,2015,5.247,0,0.4535095,0.4864283828125,1300
"1656",1420571116,0.0439453,659691188,0,0,2015-01-06 19:05:16,"li28_31",19,6,2015,1.85926,0,0.14575,0.156531137888199,3280
"3352",1420660825,0.647355,862127650,0,0,2015-01-07 20:00:25,"li28_31",20,7,2015,1.08002,0.170199,0.516241,0.517012047552448,3595
"3423",1420664400,0.608924,154003019,0,0,2015-01-07 21:00:00,"li28_31",21,7,2015,0.999212,0.298052,0.530993,0.537463901251738,3599
"3495",1420668009,0.489354,846566930,0,0,2015-01-07 22:00:09,"li28_31",22,7,2015,0.809119,0.288169,0.508704,0.508701987412587,3594
"3567",1420671633,0.439453,871746475,0,0,2015-01-07 23:00:33,"li28_31",23,7,2015,1.01741,0.270897,0.510598,0.549745734265734,3595
"1948",1420588818,0.215287,554757108,0,0,2015-01-07 00:00:18,"li28_31",0,7,2015,0.552384,0.138967,0.228347,0.230703877729258,3594
"2017",1420592432,0.252447,889283998,0,0,2015-01-07 01:00:32,"li28_31",1,7,2015,0.508704,0.158447,0.256243,0.256857596541787,3595
"2086",1420596012,0.277935,233511139,0,0,2015-01-07 02:00:12,"li28_31",2,7,2015,0.562775,0.14575,0.244677,0.247580836676218,3594
"2156",1420599621,0.201383,601956566,0,0,2015-01-07 03:00:21,"li28_31",3,7,2015,0.469208,0.14575,0.240698,0.240734023154848,3594
"2225",1420603215,0.267309,943573778,0,0,2015-01-07 04:00:15,"li28_31",4,7,2015,0.452445,0.158447,0.263672,0.26523301010101,3595
"2294",1420606800,0.263672,282277170,0,0,2015-01-07 05:00:00,"li28_31",5,7,2015,0.667911,0.164428,0.288169,0.292472924929178,3599
"2365",1420610424,0.441645,600782812,0,0,2015-01-07 06:00:24,"li28_31",6,7,2015,0.583,0.152231,0.281387,0.286444887464387,3594
"2435",1420614018,0.267309,928596067,0,0,2015-01-07 07:00:18,"li28_31",7,7,2015,0.719416,0.175781,0.298052,0.308348667140825,3590
"2506",1420617648,0.319927,274290191,0,0,2015-01-07 08:00:48,"li28_31",8,7,2015,0.567899,0.158447,0.277935,0.280443071123755,3594
"2576",1420621232,0.365037,593160878,0,0,2015-01-07 09:00:32,"li28_31",9,7,2015,0.536421,0.170199,0.281387,0.285391451977401,3595
"2647",1420624842,0.270897,99203098,0,0,2015-01-07 10:00:42,"li28_31",10,7,2015,0.483398,0.158447,0.270897,0.27284879519774,3594
"2717",1420628401,0.240698,467363043,0,0,2015-01-07 11:00:01,"li28_31",11,7,2015,0.439453,0.152231,0.267309,0.268250441428571,3594
"2787",1420632000,0.259984,823695070,0,0,2015-01-07 12:00:00,"li28_31",12,7,2015,0.514367,0.152231,0.274438,0.275833123229462,3595
"2858",1420635620,0.277935,750351108,0,0,2015-01-07 13:00:20,"li28_31",13,7,2015,0.610508,0.164428,0.277935,0.281642116975749,3599
"2928",1420639219,0.294794,684655512,0,0,2015-01-07 14:00:19,"li28_31",14,7,2015,0.572977,0.170199,0.270897,0.276305489855072,3595
"2997",1420642819,0.2915,15397638,0,0,2015-01-07 15:00:19,"li28_31",15,7,2015,0.613663,0.164428,0.288169,0.296562791549296,3594
"3068",1420646418,0.521822,363512097,0,0,2015-01-07 16:00:18,"li28_31",16,7,2015,0.555869,0.164428,0.288169,0.293101605714286,3594
"3138",1420650027,0.232537,807199951,0,0,2015-01-07 17:00:27,"li28_31",17,7,2015,2.09006,0.158447,0.2915,0.325060021276596,3595
"3209",1420653627,0.439453,81788101,0,0,2015-01-07 18:00:27,"li28_31",18,7,2015,0.949666,0.201383,0.428326,0.442071783216783,3594
"3280",1420657201,0.469208,443618818,0,0,2015-01-07 19:00:01,"li28_31",19,7,2015,0.969788,0.259984,0.452445,0.471113137062937,3594
"3638",1420675208,0.623032,234171680,0,0,2015-01-08 00:00:08,"li28_31",0,8,2015,0.930147,0.277935,0.495239,0.530627,3594
"3710",1420678832,0.357013,594458770,0,0,2015-01-08 01:00:32,"li28_31",1,8,2015,0.792235,0.201383,0.375469,0.385566619519095,3594
"3781",1420682446,0.493285,966656553,0,0,2015-01-08 02:00:46,"li28_31",2,8,2015,0.743183,0.232537,0.375469,0.384999959326788,3595
"3852",1420686031,0.365037,332894760,0,0,2015-01-08 03:00:31,"li28_31",3,8,2015,0.692051,0.236653,0.375469,0.380259964838256,3594
"3923",1420689626,0.307617,504721347,0,0,2015-01-08 04:00:26,"li28_31",4,8,2015,0.709958,0.224078,0.367673,0.370269100424328,3595
"3994",1420693240,0.343224,46423325,0,0,2015-01-08 05:00:40,"li28_31",5,8,2015,0.662103,0.201383,0.37029,0.371428741620112,3599
