"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","hour_data","day_data","year_data","max_value","min_value","median_value","average_value","event_duration_seconds"
"1",1461974441,0.14575,399908031,0,0,2016-04-30 00:00:41,"li28_31",0,30,2016,0.519968,0.0761155,0.170199,0.172191278183172,2595595
"67",1461978020,0.124296,782072938,0,0,2016-04-30 01:00:20,"li28_31",1,30,2016,2.03719,0.0761155,0.164428,0.173905070185874,2595590
"133",1461981625,0.402765,135485468,0,0,2016-04-30 02:00:25,"li28_31",2,30,2016,0.610508,0.0761155,0.158447,0.167995545748683,2595599
"199",1461985249,0.319927,588912174,0,0,2016-04-30 03:00:49,"li28_31",3,30,2016,0.521822,0.0761155,0.158447,0.167995067816092,2595595
"341",1461992643,0.116268,165791261,0,0,2016-04-30 05:04:03,"li28_31",5,30,2016,2.00758,0.0761155,0.175781,0.19565087306525,2595369
"405",1461996012,0.116268,552717403,0,0,2016-04-30 06:00:12,"li28_31",6,30,2016,0.548877,0.0761155,0.158447,0.165671071837709,2595594
"322213",1464613228,0.164428,315535921,0,0,2016-05-30 13:00:28,"li28_31",13,30,2016,0.529172,0.0878906,0.181191,0.194818159912536,3594
"322282",1464616837,0.175781,654518214,0,0,2016-05-30 14:00:37,"li28_31",14,30,2016,0.554129,0.0761155,0.215287,0.2202071875,3595
"322351",1464620407,0.325907,27710531,0,0,2016-05-30 15:00:07,"li28_31",15,30,2016,0.619925,0.0982647,0.206122,0.224578455028736,3589
"322421",1464624026,0.152231,391952087,0,0,2016-05-30 16:00:26,"li28_31",16,30,2016,0.57466,0.0878906,0.191553,0.197430101940299,3594
"322488",1464627630,0.236653,755616922,0,0,2016-05-30 17:00:30,"li28_31",17,30,2016,0.626124,0,0.210754,0.229574775071633,3595
"322558",1464631235,0.196529,136545572,0,0,2016-05-30 18:00:35,"li28_31",18,30,2016,0.550633,0.152231,0.228347,0.235145517291066,3599
"322627",1464634819,0.224078,522601603,0,0,2016-05-30 19:00:19,"li28_31",19,30,2016,0.597721,0.131836,0.224078,0.228889166910688,3594
"322695",1464638403,0.232537,901397088,0,0,2016-05-30 20:00:03,"li28_31",20,30,2016,0.586304,0.124296,0.219727,0.241612649275362,3595
"322764",1464642003,0.201383,268781627,0,0,2016-05-30 21:00:03,"li28_31",21,30,2016,0.623032,0.116268,0.215287,0.237270242732558,3594
"322833",1464645612,0.206122,664683439,0,0,2016-05-30 22:00:12,"li28_31",22,30,2016,0.592855,0.138967,0.215287,0.227319001466276,3595
"322901",1464649202,0.224078,41968311,0,0,2016-05-30 23:00:02,"li28_31",23,30,2016,0.604148,0,0.210754,0.22331215625,3589
"321602",1464580814,0.131836,563406038,0,0,2016-05-30 04:00:14,"li28_31",4,30,2016,0.949666,0.0878906,0.175781,0.178924068075802,3594
"321806",1464591622,0.152231,203407764,0,0,2016-05-30 07:00:22,"li28_31",7,30,2016,0.566196,0.0878906,0.152231,0.157833794144144,3594
"321873",1464595241,0.175781,534473140,0,0,2016-05-30 08:00:41,"li28_31",8,30,2016,0.367673,0.0761155,0.186444,0.189879115014577,3594
"321941",1464598815,0.206122,893755191,0,0,2016-05-30 09:00:15,"li28_31",9,30,2016,1.1759,0.0982647,0.191553,0.197690641654357,3595
"322009",1464602425,0.240698,685021811,0,0,2016-05-30 10:00:25,"li28_31",10,30,2016,0.618365,0.0982647,0.170199,0.181670199705015,3598
"322077",1464606054,0.131836,621736079,0,0,2016-05-30 11:00:54,"li28_31",11,30,2016,0.639853,0.0982647,0.201383,0.208631703692762,3594
"322144",1464609605,0.232537,52506573,0,0,2016-05-30 12:00:05,"li28_31",12,30,2016,11.1541,0.116268,0.201383,0.228230836972344,3593
"8449",1462195346,0.138967,944055791,0,0,2016-05-02 13:22:26,"li28_31",13,2,2016,3.25255,0.0761155,0.14575,0.195196796634615,2275
"9352",1462197646,0.191553,536048721,0,0,2016-05-02 14:00:46,"li28_31",14,2,2016,0.383106,0.0621481,0.116268,0.121811900811688,3589
"9413",1462201211,0.0878906,888071484,0,0,2016-05-02 15:00:11,"li28_31",15,2,2016,0.248592,0.0621481,0.107644,0.110016585318108,3595
"9475",1462204851,0.0982647,241554958,0,0,2016-05-02 16:00:51,"li28_31",16,2,2016,0.479387,0.0621481,0.107644,0.113528043980738,3599
"9537",1462208434,0.138967,580966351,0,0,2016-05-02 17:00:34,"li28_31",17,2,2016,0.604148,0.0621481,0.116268,0.120222302647975,3594
"9601",1462212023,0.0761155,935002904,0,0,2016-05-02 18:00:23,"li28_31",18,2,2016,0.479387,0.0621481,0.107644,0.10812542091195,3594
"9665",1462215653,0.0878906,285260513,0,0,2016-05-02 19:00:53,"li28_31",19,2,2016,1.14764,0.0621481,0.107644,0.111241889644013,3594
