"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","hour_data","day_data","year_data","max_value","min_value","median_value","average_value","event_duration_seconds"
"1",1443682842,0.236653,995113617,0,0,2015-10-01 07:00:42,"li28_31",7,1,2015,0.402765,0.0982647,0.277935,0.277008965236052,3594
"71",1443686452,0.259984,329250231,0,0,2015-10-01 08:00:52,"li28_31",8,1,2015,0.416902,0.170199,0.274438,0.276177687679083,3589
"140",1443690006,0.267309,674519498,0,0,2015-10-01 09:00:06,"li28_31",9,1,2015,0.397942,0.152231,0.270897,0.272738254285714,3595
"210",1443693606,0.304462,59126671,0,0,2015-10-01 10:00:06,"li28_31",10,1,2015,0.426066,0.175781,0.281387,0.282052246043165,3594
"280",1443697230,0.277935,425244240,0,0,2015-10-01 11:00:30,"li28_31",11,1,2015,0.421509,0.164428,0.277935,0.279395199716714,3599
"350",1443700804,0.236653,804421798,0,0,2015-10-01 12:00:04,"li28_31",12,1,2015,0.412244,0.158447,0.294794,0.293251669044223,3595
"421",1443704449,0.259984,175114441,0,0,2015-10-01 13:00:49,"li28_31",13,1,2015,0.416902,0.164428,0.270897,0.272011605150215,3594
"490",1443708003,0.263672,684071290,0,0,2015-10-01 14:00:03,"li28_31",14,1,2015,0.419212,0.170199,0.259984,0.260707476327116,3595
"560",1443711618,0.281387,61592039,0,0,2015-10-01 15:00:18,"li28_31",15,1,2015,5.09178,0,0.277935,0.286760298571429,3594
"630",1443715217,0.274438,446497805,0,0,2015-10-01 16:00:17,"li28_31",16,1,2015,0.844162,0.181191,0.288169,0.291579855920114,3594
"700",1443718812,0.307617,221937293,0,0,2015-10-01 17:00:12,"li28_31",17,1,2015,0.467145,0.164428,0.288169,0.290181153846154,3594
"770",1443722401,0.288169,175980148,0,0,2015-10-01 18:00:01,"li28_31",18,1,2015,0.504893,0.181191,0.298052,0.299254563559322,3594
"841",1443726015,0.294794,544392333,0,0,2015-10-01 19:00:15,"li28_31",19,1,2015,0.483398,0,0.301274,0.301427203661327,2245
"885",1443731834,0.175781,556215722,0,0,2015-10-01 20:37:14,"li28_31",20,1,2015,0.445996,0.0982647,0.294794,0.285407643283582,1390
"912",1443733239,0.219727,326131286,0,0,2015-10-01 21:00:39,"li28_31",21,1,2015,0.426066,0,0.301274,0.300839534090909,3594
"982",1443736818,0.288169,684305326,0,0,2015-10-01 22:00:18,"li28_31",22,1,2015,0.407532,0.175781,0.281387,0.284114170243205,3594
"1052",1443740428,0.252447,57981119,0,0,2015-10-01 23:00:28,"li28_31",23,1,2015,0.493285,0.158447,0.298052,0.299914424501425,3594
"39115",1443682798,0.224078,3271544,0,0,2015-10-01 06:59:58,"li28_31",6,1,2015,0.224078,0.224078,0.224078,0.224078,0
"1615",1443769223,0.313832,571522858,0,0,2015-10-02 07:00:23,"li28_31",7,2,2015,0.532809,0.14575,0.267309,0.269811828080229,3595
"1685",1443772832,0.274438,202348510,0,0,2015-10-02 08:00:32,"li28_31",8,2,2015,0.405156,0.164428,0.277935,0.277466333808845,3594
"1755",1443776427,0.215287,90724448,0,0,2015-10-02 09:00:27,"li28_31",9,2,2015,0.430574,0.170199,0.263672,0.26657532810271,3594
"1825",1443780025,0.294794,952391279,0,0,2015-10-02 10:00:25,"li28_31",10,2,2015,0.395508,0.138967,0.259984,0.258561790530846,3589
"1895",1443783635,0.316894,323954049,0,0,2015-10-02 11:00:35,"li28_31",11,2,2015,0.367673,0.152231,0.256243,0.255267057224607,3599
"1965",1443787244,0.236653,714094526,0,0,2015-10-02 12:00:44,"li28_31",12,2,2015,0.383106,0.158447,0.267309,0.266608201991465,3595
