"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","max_value","min_value","median_value","average_value","event_duration_seconds","threshold","event_duration","month"
"1",1438387203,0.186444,151084915,0,0,2015-08-01 00:00:03,"li28_31",0.477368,0.152231,0.232537,0.245068848314607,900,0.15,15,"aug_2015"
"179",1438388107,0.201383,999522072,0,0,2015-08-01 00:15:07,"li28_31",0.477368,0.164428,0.232537,0.241608272727273,900,0.15,15,"aug_2015"
"355",1438389012,0.256243,839535163,0,0,2015-08-01 00:30:12,"li28_31",0.450305,0.152231,0.236653,0.241041118644068,900,0.15,15,"aug_2015"
"532",1438389917,0.224078,883735985,0,0,2015-08-01 00:45:17,"li28_31",0.416902,0.152231,0.232537,0.241538124293785,900,0.15,15,"aug_2015"
"709",1438390822,0.270897,539638813,0,0,2015-08-01 01:00:22,"li28_31",0.402765,0.131836,0.224078,0.228367247126437,900,0.15,15,"aug_2015"
"883",1438391727,0.215287,387889678,0,0,2015-08-01 01:15:27,"li28_31",0.409895,0.14575,0.224078,0.233243137142857,900,0.15,15,"aug_2015"
"1058",1438392632,0.186444,240201434,0,0,2015-08-01 01:30:32,"li28_31",0.383106,0.138967,0.215287,0.219576137142857,900,0.15,15,"aug_2015"
"1233",1438393537,0.196529,93992730,0,0,2015-08-01 01:45:37,"li28_31",0.354298,0.131836,0.219727,0.220878011695906,900,0.15,15,"aug_2015"
"1404",1438394442,0.236653,112527152,0,0,2015-08-01 02:00:42,"li28_31",0.393059,0.124296,0.228347,0.231624595375723,900,0.15,15,"aug_2015"
"1577",1438395346,0.215287,949446424,0,0,2015-08-01 02:15:46,"li28_31",0.319927,0.14575,0.228347,0.231124325443787,900,0.15,15,"aug_2015"
"1746",1438396251,0.228347,777705797,0,0,2015-08-01 02:30:51,"li28_31",0.340399,0.14575,0.228347,0.22689748,900,0.15,15,"aug_2015"
"1921",1438397156,0.210754,646365108,0,0,2015-08-01 02:45:56,"li28_31",0.313832,0.124296,0.210754,0.212784170454545,900,0.15,15,"aug_2015"
"2097",1438398061,0.175781,480306398,0,0,2015-08-01 03:01:01,"li28_31",0.298052,0.124296,0.215287,0.2135954375,900,0.15,15,"aug_2015"
"2273",1438398966,0.191553,324496122,0,0,2015-08-01 03:16:06,"li28_31",0.334678,0.124296,0.219727,0.223543988571429,900,0.15,15,"aug_2015"
"2448",1438399871,0.256243,164543934,0,0,2015-08-01 03:31:11,"li28_31",0.304462,0.131836,0.228347,0.227633316384181,900,0.15,15,"aug_2015"
"2625",1438400776,0.259984,22019963,0,0,2015-08-01 03:46:16,"li28_31",0.301274,0.152231,0.224078,0.224854807017544,899,0.15,15,"aug_2015"
"2796",1438401680,0.267309,864898273,0,0,2015-08-01 04:01:20,"li28_31",0.512486,0.107644,0.206122,0.208342017241379,900,0.15,15,"aug_2015"
"2970",1438402585,0.191553,707836881,0,0,2015-08-01 04:16:25,"li28_31",0.567899,0.14575,0.206122,0.211387965317919,900,0.15,15,"aug_2015"
"3143",1438403490,0.206122,542563858,0,0,2015-08-01 04:31:30,"li28_31",0.334678,0.138967,0.210754,0.215819811428571,900,0.15,15,"aug_2015"
"3318",1438404395,0.215287,383390427,0,0,2015-08-01 04:46:35,"li28_31",0.378032,0.14575,0.219727,0.223842171428571,900,0.15,15,"aug_2015"
"3493",1438405300,0.175781,232897257,0,0,2015-08-01 05:01:40,"li28_31",0.481397,0.138967,0.219727,0.231818318435754,900,0.15,15,"aug_2015"
"3672",1438406205,0.158447,73100908,0,0,2015-08-01 05:16:45,"li28_31",0.400361,0.14575,0.224078,0.233379788571429,899,0.15,15,"aug_2015"
"3847",1438407109,0.224078,924430312,0,0,2015-08-01 05:31:49,"li28_31",0.33755,0.14575,0.219727,0.22595441954023,900,0.15,15,"aug_2015"
"4021",1438408014,0.164428,753031199,0,0,2015-08-01 05:46:54,"li28_31",0.343224,0.14575,0.219727,0.223436693641619,900,0.15,15,"aug_2015"
"4194",1438408919,0.259984,602219645,0,0,2015-08-01 06:01:59,"li28_31",0.383106,0.14575,0.219727,0.226481405714286,900,0.15,15,"aug_2015"
"4369",1438409824,0.322931,452407275,0,0,2015-08-01 06:17:04,"li28_31",0.395508,0.14575,0.228347,0.232154345238095,900,0.15,15,"aug_2015"
"4537",1438410729,0.206122,300099171,0,0,2015-08-01 06:32:09,"li28_31",0.334678,0.138967,0.219727,0.22441601754386,900,0.15,15,"aug_2015"
"4708",1438411634,0.244677,138708672,0,0,2015-08-01 06:47:14,"li28_31",0.325907,0,0.210754,0.210168208955224,345,0.15,15,"aug_2015"
"4775",1438434449,2.73098,967576144,0,0,2015-08-01 13:07:29,"li28_31",2.73098,0.0621481,0.210754,0.208456026946108,900,0.15,15,"aug_2015"
"4942",1438435354,0.196529,801728164,0,0,2015-08-01 13:22:34,"li28_31",0.288169,0.116268,0.210754,0.209812694117647,895,0.15,15,"aug_2015"
"5112",1438436259,0.164428,648845811,0,0,2015-08-01 13:37:39,"li28_31",0.322931,0.138967,0.210754,0.214650485207101,900,0.15,15,"aug_2015"
"5281",1438437164,0.175781,498299783,0,0,2015-08-01 13:52:44,"li28_31",0.378032,0.138967,0.206122,0.209247508571429,900,0.15,15,"aug_2015"
"5456",1438438069,0.215287,341690381,0,0,2015-08-01 14:07:49,"li28_31",0.385619,0.138967,0.2037525,0.209197284883721,900,0.15,15,"aug_2015"
"5628",1438438974,0.210754,185985614,0,0,2015-08-01 14:22:54,"li28_31",0.31074,0.131836,0.206122,0.205911880681818,900,0.15,15,"aug_2015"
"5804",1438439879,0.270897,21853585,0,0,2015-08-01 14:37:59,"li28_31",0.304462,0.152231,0.206122,0.206844028409091,899,0.15,15,"aug_2015"
"5980",1438440783,0.191553,917330860,0,0,2015-08-01 14:53:03,"li28_31",0.328857,0.131836,0.206122,0.208794902298851,895,0.15,15,"aug_2015"
"6154",1438441684,0.210754,632384343,0,0,2015-08-01 15:08:04,"li28_31",0.328857,0.131836,0.210754,0.213954849710983,899,0.15,15,"aug_2015"
