"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","max_value","min_value","median_value","average_value","event_duration_seconds","threshold","event_duration","month"
"1529",1433126446,0.152231,966803361,0,0,2015-06-01 02:40:46,"li28_31",0.152231,0.0761155,0.107644,0.108995878014184,895,0.15,15,"june_2015"
"1772",1433127996,0.158447,690287445,0,0,2015-06-01 03:06:36,"li28_31",0.158447,0.0761155,0.107644,0.112428446496815,900,0.15,15,"june_2015"
"1981",1433129191,0.170199,489651633,0,0,2015-06-01 03:26:31,"li28_31",0.170199,0.0621481,0.107644,0.111042835064935,900,0.15,15,"june_2015"
"2241",1433130706,0.158447,217602790,0,0,2015-06-01 03:51:46,"li28_31",0.170199,0.0761155,0.116268,0.113058787421384,900,0.15,15,"june_2015"
"2432",1433131796,0.170199,14238844,0,0,2015-06-01 04:09:56,"li28_31",0.170199,0.0761155,0.116268,0.119228483018868,899,0.15,15,"june_2015"
"2748",1433133605,0.164428,688971273,0,0,2015-06-01 04:40:05,"li28_31",0.164428,0.0621481,0.107644,0.106283732624113,900,0.15,15,"june_2015"
"3297",1433137000,0.170199,65221197,0,0,2015-06-01 05:36:40,"li28_31",0.170199,0.0761155,0.107644,0.107785062416107,899,0.15,15,"june_2015"
"4216",1433142654,0.164428,303316253,0,0,2015-06-01 07:10:54,"li28_31",0.164428,0.0621481,0.107644,0.106441233108108,899,0.15,15,"june_2015"
"4765",1433146093,0.164428,481826779,0,0,2015-06-01 08:08:13,"li28_31",0.164428,0.0761155,0.107644,0.105479080136986,895,0.15,15,"june_2015"
"5173",1433148632,0.158447,978008155,0,0,2015-06-01 08:50:32,"li28_31",0.158447,0.0621481,0.107644,0.107829589361702,900,0.15,15,"june_2015"
"5336",1433149672,0.152231,800855400,0,0,2015-06-01 09:07:52,"li28_31",0.170199,0.0621481,0.116268,0.116568991925466,895,0.15,15,"june_2015"
"5522",1433150722,0.152231,611193492,0,0,2015-06-01 09:25:22,"li28_31",0.164428,0.0621481,0.124296,0.12234127133758,900,0.15,15,"june_2015"
"5720",1433151882,0.152231,404167214,0,0,2015-06-01 09:44:42,"li28_31",0.164428,0.0761155,0.116268,0.113979926315789,895,0.15,15,"june_2015"
"5881",1433152837,0.152231,222569876,0,0,2015-06-01 10:00:37,"li28_31",0.164428,0.0761155,0.111956,0.112362157594937,900,0.15,15,"june_2015"
"6084",1433153997,0.152231,15117067,0,0,2015-06-01 10:19:57,"li28_31",0.152231,0.0761155,0.107644,0.108847918243243,899,0.15,15,"june_2015"
"6551",1433156756,0.152231,880588694,0,0,2015-06-01 11:05:56,"li28_31",0.152231,0.0761155,0.107644,0.110460754487179,895,0.15,15,"june_2015"
"6773",1433158076,0.158447,645222783,0,0,2015-06-01 11:27:56,"li28_31",0.158447,0.0621481,0.107644,0.105608838709677,895,0.15,15,"june_2015"
