"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_trip_count","temp_max_value","temp_min_value","temp_median_value","temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,0.121589,0.0687106,0.121589,0.092373675,1,0.121589,0.121589,0.121589,6,6,0,NA,NA,NA,NA,NA,31.5,0.5,19.5,19.2747252747253,22.01,18.09,21.66,21.6593725443505,108.195,96.3696,105.821,105.982056961,"0","0","1","1","0","0","0","0","0","0","0","0","0","0",2015-03-31
"2",NA,NA,NA,NA,NA,NA,NA,NA,0.135555,0.0682571,0.135555,0.0878892,1,0.135555,0.135555,0.135555,6,6,0,NA,NA,NA,NA,NA,20.5,18.5,19.5,19.2703139427516,21.71,21.6425,21.66,21.6592399593289,107.824,103.961,105.994,106.037800671374,"0","0","2","1","0","0","0","0","0","0","0","0","0","0",2015-04-01
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,NA,NA,NA,NA,NA,20,19,19.5,19.3158450704225,21.6675,21.65,21.66,21.6589220368626,108.218,103.701,105.376,105.718083323689,"0","0","8","1","0","0","0","0","0","0","0","0","0","0",2015-04-02
"4",NA,NA,NA,NA,NA,NA,NA,NA,550.945,0.0704736,0.137102,45.9959763333333,3,550.945,0.137102,183.737231666667,6,6,0,NA,NA,NA,NA,NA,30,0,19.5,19.2245491564863,24.9725,0.24,21.66,21.555005186722,108.522,98.2325,105.682,105.948156157407,"0","0","6","1","0","0","0","0","0","0","0","0","0","0",2015-04-03
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,NA,NA,NA,NA,NA,32.5,0.5,19.5,19.2760857304004,22.04,16.1025,21.6575,21.6565179111245,108.337,103.847,105.5785,105.901706597222,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-04
"6",NA,NA,NA,NA,NA,NA,NA,NA,0.120244,0.0819085,0.120244,0.0941846,1,0.120244,0.120244,0.120244,6,6,0,NA,NA,NA,NA,NA,20.5,19,19,19.2439912600146,21.67,21.65,21.6575,21.6586077348066,107.132,104.039,105.256,105.355143865741,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-05
"7",NA,NA,NA,NA,NA,NA,NA,NA,0.150372,0.0557038,0.150372,0.081395225,1,0.150372,0.150372,0.150372,6,6,1,NA,NA,NA,NA,NA,27,0,19.5,18.1205170975813,22.0075,0.23,21.6575,21.340095776417,107.046,94.1579,104.691,104.395447615741,"0","0","18","1","0","0","0","0","0","0","0","0","0","0",2015-04-06
"8",NA,NA,NA,NA,NA,NA,NA,NA,3.14191,0.0522809,2.18366,1.7454398375,2,3.14191,2.18366,2.18366,6,6,1,NA,NA,NA,NA,NA,35,0,19.5,19.6068181818182,22.0375,0.005,21.6575,20.5623329013146,106.823,90.7862,104.539,100.800938555204,"0","0","7","1","0","0","0","0","0","0","0","0","0","0",2015-04-07
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,NA,NA,NA,NA,NA,21,0,19.5,19.2936241610738,21.7,0.2925,21.6575,21.6520856265199,107.574,103.521,105.3285,105.691583217593,"0","0","10","1","0","0","0","0","0","0","0","0","0","0",2015-04-08
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,NA,NA,NA,NA,NA,20.5,18.5,19.5,19.2599096838936,21.6775,21.6375,21.66,21.6588320656525,107.946,104.194,105.714,105.850350462963,"0","0","9","1","0","0","0","0","0","0","0","0","0","0",2015-04-09
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,NA,NA,NA,NA,NA,20,18.5,19.5,19.2947548460661,21.6825,21.65,21.66,21.6591569693095,108.102,104.517,105.8815,106.098891087963,"0","0","10","1","0","0","0","0","0","0","0","0","0","0",2015-04-10
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,NA,NA,NA,NA,NA,28.5,0,19,19.2000495785821,21.935,7.3925,21.66,21.6569107238248,108.705,104.382,105.982,106.225207175926,"0","0","10","1","0","0","0","0","0","0","0","0","0","0",2015-04-11
"13",NA,NA,NA,NA,NA,NA,NA,NA,0.901289,0.0495667,0.901289,0.3419795,1,0.901289,0.901289,0.901289,6,6,0,NA,NA,NA,NA,NA,29.5,0.5,19,19.1326742976067,21.9025,0.24,21.66,21.5327939093484,108.776,97.7344,106.171,106.384483892461,"0","0","11","1","0","0","0","0","0","0","0","0","0","0",2015-04-12
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,NA,NA,NA,NA,NA,32,0.5,19,19.120983935743,22.015,0.3125,21.66,21.6476118326118,108.585,105.031,106.225,106.431688425926,"0","0","9","1","0","0","0","0","0","0","0","0","0","0",2015-04-13
"15",NA,NA,NA,NA,NA,NA,NA,NA,0.140594,0.0591649,0.140594,0.081956025,1,0.140594,0.140594,0.140594,6,6,0,NA,NA,NA,NA,NA,20,18.5,19,19.1393244873341,21.6775,21.6475,21.66,21.6593187849162,108.096,104.207,106.099,106.323395717593,"0","0","8","1","0","0","0","0","0","0","0","0","0","0",2015-04-14
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,NA,NA,NA,NA,NA,20.5,17.5,19,19.1549796747967,21.6775,21.6325,21.6575,21.6586896499698,108.479,104.528,105.9485,106.272108449074,"0","0","9","1","0","0","0","0","0","0","0","0","0","0",2015-04-15
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,NA,NA,NA,NA,NA,19.5,15.5,19,19.0540540540541,21.67,21.595,21.66,21.6591856612775,109.18,104.907,106.647,106.792134953704,"0","0","10","1","0","0","0","0","0","0","0","0","0","0",2015-04-16
"18",NA,NA,NA,NA,NA,NA,NA,NA,557.431,0.0594007,557.431,139.40558345,1,557.431,557.431,557.431,6,6,0,NA,NA,NA,NA,NA,19.5,18.5,19,19.0830429732869,21.665,21.645,21.66,21.6594125159642,109.065,105.096,106.501,106.916832986111,"0","0","13","1","0","0","0","0","0","0","0","0","0","0",2015-04-17
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,NA,NA,NA,NA,NA,19.5,18,19,18.9425,21.68,21.64,21.66,21.6596860648209,108.81,105.113,106.3065,106.647230439815,"0","0","12","1","0","0","0","0","0","0","0","0","0","0",2015-04-18
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,NA,NA,NA,NA,NA,22,0,19,18.05,21.6825,0.2825,21.66,21.6432056288715,108.467,103.404,106.382,106.65823912037,"0","0","14","1","0","0","0","0","0","0","0","0","0","0",2015-04-19
"21",NA,NA,NA,NA,NA,NA,NA,NA,0.120037,0.0718917,0.120037,0.086740675,1,0.120037,0.120037,0.120037,6,6,0,NA,NA,NA,NA,NA,20.5,0.5,19,18.1638655462185,23.8725,0.295,21.66,21.6512464053277,108.113,104.788,106.148,106.480918055556,"0","0","3","1","0","0","0","0","0","0","0","0","0","0",2015-04-20
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,1,NA,NA,NA,NA,NA,29.5,0,19,18.2185089974293,22.7475,0.005,21.66,20.993864965712,107.315,90.912,105.183,100.344133009259,"0","0","4","1","0","0","0","0","0","0","0","0","0","0",2015-04-21
"23",NA,NA,NA,NA,NA,NA,NA,NA,0.130628,0.0544918,0.1282685,0.0816017166666667,2,0.130628,0.1282685,0.1282685,6,6,0,NA,NA,NA,NA,NA,25.5,0,19.5,19.325643776824,22.0725,17.5325,21.6575,21.6303974543708,107.461,103.733,105.004,105.304603356481,"0","0","9","1","0","0","0","0","0","0","0","0","0","0",2015-04-22
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,NA,NA,NA,NA,NA,20.5,18,19.5,19.2612764651734,21.575,21.5225,21.5475,21.5475690153806,106.927,103.827,104.908,105.179521412037,"0","0","14","1","0","0","0","0","0","0","0","0","0","0",2015-04-23
"25",NA,NA,NA,NA,NA,NA,NA,NA,0.169776,0.0536589,0.169776,0.083800725,1,0.169776,0.169776,0.169776,6,6,0,NA,NA,NA,NA,NA,20,18.5,19.5,19.2606139777923,21.5625,21.54,21.5475,21.5480258382302,107.387,103.732,104.8775,105.201489467593,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-24
"26",NA,NA,NA,NA,NA,NA,NA,NA,4.34214,0.0657539,2.23114,0.6128119375,2,4.34214,2.23114,2.23114,6,6,0,NA,NA,NA,NA,NA,20,0,19.5,19.2069256756757,24.5775,0.265,21.5475,21.5407869284877,107.627,102.384,105.4645,105.616815509259,"0","0","20","1","0","0","0","0","0","0","0","0","0","0",2015-04-25
"27",NA,NA,NA,NA,NA,NA,NA,NA,0.125798,0.0612288,0.1233105,0.0838417625,2,0.125798,0.1233105,0.1233105,6,6,0,NA,NA,NA,NA,NA,19.5,18.5,19.5,19.2863423212192,21.56,21.54,21.5475,21.5485079620532,108.389,103.756,105.793,106.008979627272,"0","0","23","1","0","0","0","0","0","0","0","0","0","0",2015-04-26
"28",NA,NA,NA,NA,NA,NA,NA,NA,0.125857,0.0562862,0.1250245,0.0951765041666667,2,0.125857,0.1250245,0.1250245,6,6,0,NA,NA,NA,NA,NA,20,19,19,19.2438982468202,21.575,21.5375,21.55,21.5489994942684,109.339,104.888,106.218,106.732440509259,"0","0","17","1","0","0","0","0","0","0","0","0","0","0",2015-04-27
