"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_max_value","temp_min_value","temp_median_value","temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,0.236205,0.0612007,0.136709,0.112255749012346,162,0.236205,0.136709,0.140530549382716,4,4,0,NA,NA,NA,NA,NA,20,19,19.5,19.418341307815,20.865,20.83,20.8525,20.8539324880055,105.374,102.285,103.297,103.584361749794,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",2017-07-31
"2",0.525509,0.0878906,0.346026,0.219042566461294,96,0.525509,0.3303185,0.339786697916667,29.2924,0.0564651,0.13771,0.152072715464853,147,29.2924,0.13771,0.342513795918367,4,4,0,NA,NA,NA,NA,NA,20.5,4,19.5,19.3535773710483,24.35,20.8375,20.8525,20.8545816506815,106.061,101.471,103.194,103.565350918512,"24","1","0","0","23","1","12","1","12","1","8","1","8","1",2017-08-01
"3",1.58325,0,0.348805,0.218016145226123,86,1.58325,0.325907,0.352278418604651,0.201774,0.0632147,0.136966,0.109021330330189,106,0.201774,0.136966,0.140000924528302,4,4,1,2,NA,NA,NA,NA,523.5,0,19.5,195.755368543239,24.045,0,20.855,20.6785579141671,106.095,92.7762,103.545,103.055145696456,"23","1","0","0","19","1","12","1","10","1","8","1","7","1",2017-08-02
"4",0.501054,0.0982647,0.304462,0.214780799359579,95,0.501054,0.288169,0.290883021052632,0.15605,0.0665434,0.128053,0.101892369354839,62,0.15605,0.128053,0.129674370967742,4,4,0,NA,NA,NA,NA,NA,455.5,431.5,443,442.747976319923,20.8825,20.83,20.855,20.8544927423131,105.993,102.649,103.713,103.963813228198,"24","1","0","0","17","1","12","1","9","1","8","1","6","1",2017-08-03
"5",0.501054,0.0621481,0.298052,0.206913167094476,94,0.501054,0.281387,0.287763489361702,0.152872,0.0661458,0.12724,0.101474355178571,56,0.152872,0.12724,0.129036,4,4,1,1,NA,NA,NA,NA,462,0,442.5,321.282978000247,20.8775,0,20.8525,20.8106829196651,104.74,94.5333,103.747,103.578589576201,"24","1","0","0","17","1","12","1","9","1","8","1","6","1",2017-08-04
"6",1.88504,0.0621481,0.31074,0.215165629820977,82,0.969788,0.301274,0.300404707317073,0.993874,0.0718502,0.127869,0.106488759298246,57,0.993874,0.127869,0.144677842105263,4,4,1,1,NA,NA,NA,NA,24.525,0,22.125,20.439809853633,20.87,0,20.85,20.5011965536307,104.893,94.7957,103.036,102.139595474367,"21","1","0","0","14","1","10","1","7","1","8","1","5","1",2017-08-05
"7",1.88504,0.0982647,0.304462,0.211739569951741,95,1.88504,0.2915,0.305915105263158,0.148538,0.063501,0.130283,0.100270417,55,0.148538,0.130283,0.130799109090909,4,4,0,NA,NA,NA,NA,NA,22.5,8.15,22.15,22.1484098400684,20.8925,20.8425,20.85,20.8496526667636,104.867,102.323,103.232,103.464579978751,"24","1","0","0","17","1","12","1","9","1","8","1","5","1",2017-08-06
"8",0.541794,0,0.4492305,0.304880133481529,87,0.541794,0.426066,0.407601195402299,0.316666,0.0645566,0.125748,0.104291626086957,46,0.316666,0.125748,0.132545434782609,4,4,0,1,NA,NA,NA,NA,25.025,0.15,22.15,21.7574050883206,20.88,0.005,20.8475,20.5819090372618,104.888,91.7073,102.507,101.822204307801,"22","1","1","1","21","1","11","1","10","1","7","1","7","1",2017-08-07
"9",1.12383,0,0.481397,0.353406826898193,94,1.12383,0.469208,0.484823031914894,0.14492,0.0632147,0.130118,0.1028598272,25,0.14492,0.130118,0.13255032,4,4,1,1,NA,NA,NA,NA,23.6,0,22.175,22.1383173254525,20.8875,0,20.85,20.8273424419523,104.733,93.4477,102.6155,102.709228662571,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2017-08-08
"10",0.65477,0.186444,0.487377,0.355898659923894,96,0.65477,0.4702345,0.47445859375,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,NA,NA,NA,NA,NA,22.9,21.525,22.15,22.153392249757,20.8875,20.8375,20.86,20.859515661778,104.524,101.552,102.837,102.924250177179,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2017-08-09
"11",0.57801,0.186444,0.495239,0.358129330624082,95,0.57801,0.479387,0.482365989473684,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,NA,NA,NA,NA,NA,22.75,21.175,22.175,22.1676246830093,20.89,20.84,20.8575,20.858700444152,104.774,101.423,102.531,102.846985368732,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2017-08-10
"12",0.605744,0.181191,0.479387,0.352412747607041,96,0.605744,0.4702345,0.473209552083333,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,NA,NA,NA,NA,NA,23.15,21.75,22.175,22.1421350343002,23.55,20.84,20.8575,20.8591143896524,105.408,101.4,102.816,103.131020975725,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2017-08-11
"13",0.626124,0.170199,0.479387,0.34405069182825,95,0.626124,0.460902,0.465591021052632,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,NA,NA,NA,NA,NA,23.125,21.475,22.125,22.1190028901734,20.8725,20.845,20.8575,20.8582690494894,104.933,101.442,103.033,103.24062707475,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2017-08-12
"14",0.627665,0.170199,0.4783775,0.341389054491591,96,0.627665,0.457748,0.463308958333333,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,NA,NA,NA,NA,NA,22.325,21.8,22.15,22.1249939968784,20.905,20.8,20.8575,20.8578280126294,105.201,101.196,103.029,103.199264764824,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2017-08-13
"15",0.937386,0.138967,0.460902,0.328162367594725,95,0.937386,0.450305,0.448010715789474,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,NA,NA,NA,NA,NA,22.475,20.9,22.1,22.0921137339056,20.91,20.835,20.8575,20.8575998928353,105.011,100.599,102.368,102.397743123598,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2017-08-14
"16",3.59305,0.0761155,0.441645,0.32186928928164,94,3.59305,0.4339235,0.463712978723404,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,1,NA,NA,NA,NA,24.025,0,22.175,21.9952457916565,20.8825,0,20.8575,20.7912718045113,103.681,94.3486,101.948,101.815563998581,"23","1","0","0","23","1","12","1","12","1","8","1","8","1",2017-08-15
"17",0.502977,0.116268,0.423793,0.304033951814442,95,0.502977,0.412244,0.412469589473684,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,NA,NA,NA,NA,NA,22.775,1.85,22.15,22.1482232441472,24.4625,20.795,20.8575,20.8576900013945,104.814,101.391,102.192,102.632047933884,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2017-08-16
"18",0.550633,0,0.448156,0.322269361798916,96,0.550633,0.430574,0.43329340625,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,1,NA,NA,NA,NA,22.95,0.25,22.025,22.016677503251,20.8875,0.5075,20.8575,20.8549156944222,104.963,101.979,103.213,103.474274433428,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2017-08-17
"19",0.502977,0.152231,0.441645,0.31242056098797,95,0.502977,0.426066,0.421630042105263,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,NA,NA,NA,NA,NA,22.45,20.175,21.975,21.9578508254717,20.875,20.83,20.8575,20.8582354401059,105.078,102.334,103.278,103.596658223374,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2017-08-18
"20",0.495239,0.138967,0.435036,0.316041558501281,95,0.495239,0.426066,0.424161073684211,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,NA,NA,NA,NA,NA,22.5,20.975,21.95,21.930650382578,20.885,20.84,20.8575,20.8572419991541,104.761,101.964,103.2845,103.432950342062,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2017-08-19
"21",6.05074,0,0.419212,0.292454717293927,95,6.05074,0.400361,0.531370821052632,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,NA,NA,NA,NA,NA,22.475,21.475,22.025,21.985380980508,20.87,20.84,20.8575,20.8561883485135,104.77,94.181,102.319,102.577746709906,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2017-08-20
"22",0.448156,0.0439453,0.365037,0.272257726709742,95,0.43725,0.357013,0.359846242105263,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,NA,NA,NA,NA,NA,22.175,21.475,21.9,21.8843188490898,20.8675,18.2625,20.8575,20.8565873993757,104.746,101.401,102.706,102.995478491456,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2017-08-21
"23",0.502977,0,0.402765,0.29649809138474,96,0.502977,0.385619,0.390613177083333,0.141885,0.0677465,0.127054,0.0971679655263158,19,0.141885,0.127054,0.127033315789474,4,4,0,NA,NA,NA,NA,NA,22.575,21.4,21.85,21.8494693327079,20.9025,20.795,20.8575,20.8572524578652,105.207,102.313,102.981,103.381922189523,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2017-08-22
