"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_max_value","temp_min_value","temp_median_value","temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",2.26308,0,0.414579,0.188531407411841,15,0.762423,0.340399,0.3924532,0.33842,0.123247,0.288796,0.260336856097561,41,0.33842,0.288796,0.291927048780488,8,8,0,1,NA,NA,NA,NA,22.5,0.5,20.5,20.5253623188406,20.9675,0.0225,20.9625,20.2493732294618,102.89,97.3404,102.59,102.373732576419,"4","1","0","0","0","0","2","1","0","0","2","1","0","0",2016-02-01
"2",8.07781,0,0.439453,0.202543770346753,75,8.07781,0.388114,0.7315572,25.6475,0.100932,0.305883,0.308206312292609,221,25.6475,0.305883,0.47549507239819,8,8,1,2,NA,NA,NA,NA,39.5,0,20.5,19.1542409123307,20.965,0.0025,20.955,20.3461088395639,102.441,92.3821,100.504,99.3303111689815,"20","1","4","1","6","1","11","1","5","1","7","1","3","1",2016-02-02
"3",0.587948,0.0439453,0.372888,0.232946387574998,72,0.587948,0.37546,0.384172763888889,0.158869,0.0569303,0.134681,0.08253194,6,0.158869,0.134681,0.135726,3,3,0,1,NA,NA,NA,NA,39,0.5,19,19.0123504438441,22.42,0.29,20.5075,20.7237631735932,104.972,98.6862,102.355,102.655275602903,"17","1","6","1","15","1","9","1","7","1","6","1","5","1",2016-02-03
"4",0.530993,0.0439453,0.288169,0.123807063629782,3,0.530993,0.236653,0.326133333333333,0.172048,0.0632929,0.129489,0.097488706,20,0.172048,0.129489,0.1332617,3,3,0,NA,NA,NA,NA,NA,19.5,17.5,18.5,18.5485061813187,21.0675,21.04,21.0575,21.0580084844258,105.28,102.61,103.726,103.834732523148,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-02-04
"5",0.547115,0,0.31074,0.129737790531403,9,0.516241,0.267309,0.354810333333333,23.4926,0.0566982,0.131764,0.2856457696,25,23.4926,0.131764,1.07168136,3,3,0,1,NA,NA,NA,NA,25.5,0.5,18.5,18.1640710169755,21.0725,0.4175,21.0575,21.0466672240803,105.83,102.208,103.473,103.793209722222,"2","1","22","1","0","0","2","1","0","0","2","1","0","0",2016-02-05
"6",5.30265,0.0439453,0.284798,0.13017569810399,18,5.30265,0.2562155,0.567555055555556,0.164016,0.0523441,0.1289025,0.1033769646875,64,0.164016,0.1289025,0.131676953125,3,3,0,NA,NA,NA,NA,NA,18.5,16.5,17.5,17.6962564603995,21.0825,21.0475,21.0575,21.0589410208528,105.757,102.318,103.65,103.885646990741,"4","1","20","1","0","0","2","1","0","0","1","1","0","0",2016-02-06
"7",4.71445,0,0.224078,0.118128471954722,0,-Inf,NA,NA,0.168818,0.0461423,0.1306285,0.102959796153846,52,0.168818,0.1306285,0.132768019230769,3,3,0,NA,NA,NA,NA,NA,24,1,18,18.5741580756014,23.1625,21.0325,21.06,21.0622009326845,106.383,103.012,104.0255,104.369190740741,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-02-07
"8",0.462993,0.0439453,0.215287,0.120924306484709,0,-Inf,NA,NA,0.161422,0.0512299,0.1281505,0.099590790952381,42,0.161422,0.1281505,0.130655738095238,3,3,0,NA,NA,NA,NA,NA,23.5,17,18,18.2548416845988,21.075,21.05,21.0625,21.0621021775544,106.832,103.036,104.4195,104.660409143519,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-02-08
"9",0.485392,0.0439453,0.228347,0.12256326673083,5,0.31074,0.270897,0.2590352,0.286321,0.0588945,0.129712,0.106004459122807,57,0.286321,0.129712,0.134725333333333,3,3,0,NA,NA,NA,NA,NA,18.5,17,18,17.7494982798165,21.0675,21.0475,21.0625,21.0623793920803,106.811,103.16,104.42,104.751514814815,"1","1","22","1","0","0","0","0","0","0","0","0","0","0",2016-02-09
"10",7.39235,0,0.33755,0.137600308806271,12,7.39235,0.392182,1.51115825,0.248273,0.0562604,0.131341,0.109092245,89,0.248273,0.131341,0.136427528089888,3,3,0,2,NA,NA,NA,NA,27.5,0,17.5,16.9976357410729,21.0775,0.005,21.0625,20.3583958031838,106.494,90.9272,104.309,102.356701539352,"4","1","19","1","0","0","2","1","0","0","2","1","0","0",2016-02-10
