"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_trip_count","temp_max_value","temp_min_value","temp_median_value","temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",2.23733,0.0982647,0.829158,0.339578262898233,13,2.23733,0.596103,0.750846076923077,0.39144,0.088049,0.367508,0.332584833333333,9,0.39144,0.367508,0.363125666666667,5,5,1,NA,NA,NA,NA,NA,20,0,9.5,6.21124031007752,22.1125,0,16.4,15.6031832855093,105.002,65.7892,71.1224,75.5346548208349,"4","1","0","0","4","1","2","1","2","1","2","1","2","1",2015-01-05
"2",7.94827,0,0.5497495,0.334748883456769,90,7.94827,0.519968,0.841237388888889,0.380901,0.0682571,0.179928,0.212956360810811,111,0.380901,0.179928,0.230578981981982,5,5,0,NA,NA,NA,NA,NA,27.5,0,6.5,6.49123493504461,22.09,0.0075,21.9675,21.7514576732987,106.106,93.2598,103.62,103.232807194581,"23","1","0","0","23","1","12","1","12","1","8","1","8","1",2015-01-06
"3",2.09006,0.138967,0.570438,0.340416880494977,96,2.09006,0.5373195,0.610743229166667,0.372693,0.0936392,0.201376,0.202014660504202,119,0.372693,0.201376,0.224287218487395,5,5,0,NA,NA,NA,NA,NA,17.5,1,5.5,6.09315694694556,22.01,21.585,21.87,21.8367955906716,106.552,102.988,104.249,104.508664930556,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2015-01-07
"4",0.915498,0,0.713342,0.379603316915386,55,0.915498,0.692051,0.698793236363636,0.449834,0.0594007,0.235337,0.224895058791209,91,0.449834,0.235337,0.252864021978022,5,5,1,NA,NA,NA,NA,NA,17.5,0,5,4.84707678883072,22.05,0.0025,21.87,21.4811813256048,105.766,89.4325,104.166,99.4446892708333,"14","1","1","1","14","1","7","1","7","1","4","1","4","1",2015-01-08
"5",4.75991,0.107644,0.555869,0.290431064649658,53,4.75991,0.506802,0.70989658490566,0.465485,0.102991,0.232273,0.221965323754789,87,0.465485,0.232273,0.243996298850575,5,5,0,NA,NA,NA,NA,NA,20,0.5,5,4.80927606818685,22.055,0.165,21.77,21.6936280353201,106.239,86.5821,103.755,98.2374655439815,"14","1","0","0","14","1","7","1","7","1","5","1","5","1",2015-01-09
"6",0.837271,0.124296,0.578844,0.275027952363664,96,0.837271,0.567899,0.533330708333333,0.484882,0.110779,0.237184,0.228755156050955,157,0.484882,0.237184,0.251795025477707,5,5,0,NA,NA,NA,NA,NA,6,2.5,4,4.31390160854761,21.7775,21.76,21.7675,21.767124911032,106.504,103.658,104.877,104.982531944444,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2015-01-10
"7",0.660643,0,0.516241,0.269616674783198,95,0.660643,0.450305,0.470315610526316,0.405908,0.14648,0.2380985,0.225399085443038,158,0.405908,0.2380985,0.243516879746835,5,5,0,NA,NA,NA,NA,NA,7,1.5,4,4.15258132956153,21.775,21.6925,21.7675,21.7667800664452,106.187,103.364,104.537,104.676602546296,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2015-01-11
"8",2.14523,0.0761155,0.426066,0.229794967343416,70,2.14523,0.412244,0.465241057142857,0.417957,0.104071,0.230786,0.218329619047619,105,0.417957,0.230786,0.23560980952381,5,5,1,NA,NA,NA,NA,NA,29,0,4.5,7.89426072369998,24.9675,0.275,21.7675,21.8367340686275,107.003,101.203,104.309,104.709603703704,"18","1","6","1","16","1","9","1","8","1","7","1","5","1",2015-01-12
"9",2.96004,0.0761155,0.313832,0.190541454850761,89,2.96004,0.281387,0.367178337078652,0.235178,0.0281431,0.1767405,0.150571119047619,28,0.235178,0.1767405,0.173875892857143,5,5,0,NA,NA,NA,NA,NA,22.5,1,13,12.2776531151003,22.17,21.7075,21.9875,21.9759854142357,106.847,93.2378,104.762,104.715379571529,"23","1","0","0","6","1","12","1","3","1","8","1","4","1",2015-01-13
"10",0.489354,0.0761155,0.31074,0.171889883674841,67,0.489354,0.301274,0.303966597014925,0.294546,0.0644599,0.206957,0.173066249487179,65,0.294546,0.206957,0.204286953846154,5,5,0,NA,NA,NA,NA,NA,20.5,1,11,10.9140866873065,22.155,21.655,21.935,21.9340379050926,106.489,103.26,104.466,104.734078587963,"16","1","8","1","5","1","8","1","1","1","6","1","0","0",2015-01-14
"11",7.91992,0.0761155,0.259984,0.183818879364982,85,7.91992,0.248592,0.3773846,383.835,0.0632254,0.2537455,3.96924480784314,34,383.835,0.2537455,11.5272432647059,5,5,0,NA,NA,NA,NA,NA,24.5,1,18,16.5046166759933,22.18,21.6175,22,21.9679071651812,106.658,103.186,104.5045,104.695649768519,"23","1","2","1","4","1","11","1","2","1","8","1","1","1",2015-01-15
"12",1.36372,0,0.236653,0.168274589449892,82,1.36372,0.232537,0.273152390243902,3.14431,0.0657303,0.2552845,0.318058988888889,12,3.14431,0.2552845,0.490561583333333,5,5,0,NA,NA,NA,NA,NA,23,0.5,17.5,16.5597278225806,22.1375,0.27,21.9975,21.9775309606481,106.819,103.54,105.134,105.234748148148,"22","1","1","1","2","1","11","1","0","0","8","1","0","0",2015-01-16
"13",4.32342,0.0878906,0.288169,0.201024873968552,96,4.32342,0.274438,0.373919770833333,438.356,0.0695865,0.213982,2.56788279153005,61,438.356,0.213982,7.39423937704918,5,5,0,NA,NA,NA,NA,NA,21,0.5,12.5,11.5582810047096,22.085,16.8625,21.9025,21.8999447337963,107.012,104.679,105.43,105.650864930556,"24","1","0","0","10","1","12","1","6","1","8","1","3","1",2015-01-17
"14",0.905956,0.0982647,0.274438,0.188458858444212,82,0.905956,0.263672,0.284101975609756,0.274852,0.067617,0.194726,0.149341429333333,25,0.274852,0.194726,0.1934766,5,5,0,NA,NA,NA,NA,NA,21.5,0.5,12.5,12.7814441529753,22.34,17.2475,21.9225,21.931137521714,107.25,104.476,105.327,105.633394328704,"22","1","1","1","6","1","11","1","4","1","8","1","1","1",2015-01-18
"15",2.62644,0.107644,0.299663,0.211718106774115,91,1.48961,0.284798,0.317883912087912,0.33662,0.068688,0.241874,0.19737842962963,36,0.33662,0.241874,0.23888725,5,5,0,NA,NA,NA,NA,NA,24,0.5,16,14.5485034013605,25.445,10.82,21.965,21.9422829861111,106.643,105.026,105.694,105.796923032407,"24","1","0","0","19","1","12","1","9","1","8","1","7","1",2015-01-19
"16",2.62644,0.0761155,0.2915,0.197180979732176,92,2.62644,0.2761865,0.331827619565217,2.89948,0.0637391,0.2312455,0.209856779166667,24,2.89948,0.2312455,0.3329595,5,5,0,NA,NA,NA,NA,NA,23,0.5,15.5,14.1247657128577,23.115,14.0625,21.96,21.9447074314157,106.791,103.765,104.862,105.132920949074,"23","1","1","1","12","1","12","1","6","1","8","1","5","1",2015-01-20
"17",2.67994,0.0878906,0.294794,0.203473968943162,79,2.67994,0.281387,0.34809370886076,0.348123,0.0697648,0.2166625,0.188303167666667,50,0.348123,0.2166625,0.21769958,5,5,1,NA,NA,NA,NA,NA,29.5,0,10.5,12.4119864304561,22.2375,0,21.8725,21.1312345760913,106.237,91.8545,104.4605,103.092888553241,"21","1","0","0","11","1","11","1","7","1","8","1","4","1",2015-01-21
"18",0.545347,0,0.274438,0.187060927021276,88,0.545347,0.2654905,0.275936056818182,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,NA,NA,NA,NA,29,21,26.5,26.3800194694573,21.9375,21.715,21.87,21.8709215339593,105.834,102.809,103.761,104.116986226852,"23","1","1","1","8","1","12","1","4","1","8","1","3","1",2015-01-22
"19",0.644365,0.0878906,0.277935,0.191940273041325,94,0.644365,0.269103,0.28078720212766,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,NA,NA,NA,NA,27.5,20.5,26.5,26.3306613226453,21.9125,21.7025,21.87,21.8704099356249,106.667,102.533,103.775,104.224632986111,"24","1","0","0","9","1","12","1","3","1","8","1","1","1",2015-01-23
"20",4.87456,0,0.270897,0.185553933928688,90,4.87456,0.261828,0.334311355555556,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,NA,NA,NA,NA,30.5,0,26.5,26.2507591861524,21.995,0.28,21.8725,21.8582038977862,106.837,102.14,104.331,104.67703599537,"23","1","1","1","4","1","12","1","1","1","8","1","1","1",2015-01-24
"21",1.30733,0,0.2726675,0.191268740594314,96,1.30733,0.261828,0.282646822916667,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,NA,NA,NA,NA,27,0.5,26,25.9618355293049,21.89,14.4575,21.8725,21.8704830964272,106.403,102.798,104.445,104.578103819444,"24","1","0","0","8","1","12","1","3","1","8","1","3","1",2015-01-25
"22",1.43883,0,0.281387,0.196966046645773,93,1.43883,0.274438,0.29991823655914,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,NA,NA,NA,NA,30.5,0,24.5,24.7539346246973,22.09,0.2725,21.8725,21.8631005095232,106.481,102.116,104.1415,104.469367476852,"24","1","0","0","12","1","12","1","7","1","8","1","3","1",2015-01-26
"23",1.25994,0.0878906,0.277935,0.19373927056811,94,1.25994,0.270897,0.286606,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,NA,NA,NA,NA,31.5,0.5,24.5,24.2761102811354,22.7575,8.065,21.8725,21.8703466583385,106.129,102.569,104.731,104.722697106481,"24","1","0","0","9","1","12","1","5","1","8","1","3","1",2015-01-27
"24",1.03994,0,0.274438,0.192544903372328,56,1.03994,0.267309,0.281664321428571,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,NA,NA,NA,NA,27,0,24,18.2616597328662,21.9375,0.005,21.8725,21.5216120932101,105.978,90.5323,104.0085,99.9139942520612,"14","1","6","1","3","1","7","1","1","1","4","1","0","0",2015-01-28
"25",2.96492,0.0621481,0.224078,0.149728308866193,45,1.34303,0.219727,0.272389111111111,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,NA,NA,NA,NA,34.5,0.5,24.5,24.6908827319588,25.69,0.0075,21.8725,21.6136120413004,106.211,89.7437,103.844,102.092216018519,"12","1","9","1","1","1","5","1","0","0","4","1","0","0",2015-01-29
"26",0.502977,0.0621481,0.196529,0.137888113256314,10,0.443826,0.215287,0.2363085,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,NA,NA,NA,NA,29.5,14.5,24.5,24.3591194968553,22.0225,21.63,21.8725,21.8716160337553,106.583,103.008,104.19,104.530889467593,"2","1","21","1","0","0","0","0","0","0","0","0","0","0",2015-01-30
"27",1.10651,0.0621481,0.201383,0.1344181668143,0,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,NA,NA,NA,NA,29,15,24,23.0148032044584,22.035,21.6375,21.87,21.843866452367,106.953,102.954,104.3015,104.676238773148,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-01-31
