"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_max_value","temp_min_value","temp_median_value","temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,5.45475,0.0404397,0.173549,0.128522349107981,213,5.45475,0.173549,0.20430096713615,3,3,0,NA,NA,NA,NA,NA,20,18.5,19.5,19.2862301396245,21.0175,20.9975,21.005,21.0063354591837,106.468,102.521,103.699,104.207045138889,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",2016-06-30
"2",0.744481,0,0.462993,0.181219787132448,89,0.744481,0.435036,0.415791483146067,0.378164,0.0383902,0.213198,0.143869443271028,107,0.378164,0.213198,0.215053551401869,3,3,1,1,NA,NA,NA,NA,21,0,18.5,18.7729672650475,21.0175,0,21.0025,20.8483840749415,106.421,95.1594,103.999,104.003454039352,"24","1","0","0","5","1","12","1","2","1","8","1","2","1",2016-07-01
"3",5.21081,0,0.259984,0.160597454314917,78,5.21081,0.2386755,0.33163558974359,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,2,NA,NA,NA,NA,21,0,19,18.8306794055202,20.96,0.2675,20.9025,20.8810649127446,106.072,102.141,103.963,104.212765046296,"20","1","4","1","0","0","10","1","0","0","7","1","0","0",2016-07-02
"4",0.937386,0,0.284798,0.166205027806394,87,0.937386,0.244677,0.292445666666667,0.132264,0.0497939,0.1280165,0.078420155,4,0.132264,0.1280165,0.127155,4,4,0,NA,NA,NA,NA,NA,28.5,18.5,19,18.8083989501312,21.1425,20.8975,20.9,20.901687051167,105.803,101.348,103.936,104.208181134259,"22","1","2","1","1","1","10","1","0","0","8","1","0","0",2016-07-03
"5",4.06749,0,0.270897,0.161513861818829,72,4.06749,0.2466345,0.343909208333333,0.124137,0.0603052,0.124137,0.0741475,1,0.124137,0.124137,0.124137,4,4,0,NA,NA,NA,NA,NA,29,5.5,18.5,18.7015503875969,23.655,20.8875,20.9,20.9023705293276,105.925,103.293,103.876,104.292282523148,"17","1","6","1","0","0","9","1","0","0","6","1","0","0",2016-07-04
"6",0.465073,0,0.228347,0.149569283564991,55,0.465073,0.219727,0.2401292,0.12264,0.0588945,0.12264,0.0731801,1,0.12264,0.12264,0.12264,4,4,0,NA,NA,NA,NA,NA,19,18.5,18.5,18.7472826086957,20.9075,20.8925,20.9025,20.9025688237397,105.816,102.193,103.821,104.095265131351,"15","1","9","1","0","0","7","1","0","0","5","1","0","0",2016-07-05
"7",0.564488,0.0761155,0.301274,0.176842471115016,58,0.564488,0.248562,0.312234948275862,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,NA,NA,NA,NA,NA,20,5.5,18.5,18.3861985472155,23.565,20.89,20.9025,20.9028682371214,105.357,102.028,103.254,103.396431018519,"15","1","9","1","5","1","8","1","2","1","5","1","2","1",2016-07-06
"8",0.460902,0,0.240698,0.157178511362618,61,0.460902,0.232537,0.261316327868852,0.135286,0.0503208,0.124908,0.078578601,5,0.135286,0.124908,0.1265646,4,4,0,NA,NA,NA,NA,NA,21,18,18.5,18.4084269662921,20.955,20.8925,20.9025,20.9016361838853,105.524,102.462,103.773,103.906759606481,"15","1","9","1","1","1","7","1","1","1","5","1","0","0",2016-07-07
"9",0.562775,0.0761155,0.263672,0.168846811227647,48,0.562775,0.261828,0.300035625,0.216438,0.0481443,0.1254765,0.07956935,6,0.216438,0.1254765,0.140467666666667,4,4,0,NA,NA,NA,NA,NA,19,18,18.5,18.4814634146341,20.91,20.8825,20.9,20.9012425348374,106.184,102.421,103.694,103.967148032407,"11","1","13","1","3","1","6","1","1","1","4","1","1","1",2016-07-08
"10",0.743183,0,0.270897,0.150796873474174,54,0.65477,0.2426225,0.282694611111111,0.130153,0.0522495,0.1260005,0.07619478,2,0.130153,0.1260005,0.1260005,4,4,0,NA,NA,NA,NA,NA,26,17,18.5,18.4231550440081,21.1525,20.8825,20.9025,20.9025745062837,106.128,102.868,104.1305,104.402680208333,"13","1","10","1","0","0","7","1","0","0","5","1","0","0",2016-07-09
